query_id,query,query_group,reference_answer,category,ahd_row_index,sampling_seed,annotation_status
unseen100_001,هل من الطبيعي ان تصل ضربات قلبي الى 85 في الدقيقة مع وجود الم في منطقة القلب علما بان معدل ضربات قلبي عادة تكون بين 50-60 ضربة في الدقيقة,unseen_random_stratified_100,نعم أحياناً يكون طبيعي خاصة عند بذل جهد أو عند الانفعال، ولكن إذا كان هناك أعراض أخرى تترافق معه في نفس الوقت فإنه ينبغي اجراء فحص طبي للتأكد من عدم وجود علامات سريرية لاضطراب ما سواء في الدم أو الجهاز الدموي أو العصبي أو غير ذلك,جراحة القلب والشرايين,769058,20260726,source_answer_reference_not_human_adjudicated
unseen100_002,انا عمرى 13 سنة احب الجمال جدا واريد تطويل رموشى عن طريق مزج ملعقة عسل نحل صغيرة مع ملعقة زيت لوز حلو كبيرة ووضعها فى ماسكارا نظيفة ووضعها على رموشى...,unseen_random_stratified_100,"إن الله جميل يحب الجمال، ننصحك بعدم السماح للمخلوط من الدخول لعينيك لأنه قد يسبب أذية أنت لست بحاجة لها، وأما لتطيل الرموش فأعطيك هذه الوصفات المفيدة جدا، واستعمليها كا هو موصوف بحذر
في عملية تكثيف وتطويل الرموش والحواجب :
**استخدام زيت الخروع الكثيف لدهن الرموش 3مرات يوميا
** وصفة ثانية : كميات متساوية من -زيت الخروع - زيت اللوز -زيت الزيتون ويمكن الاستعاضة عنه بزيت الذرة . تخلط الماد مع بعضها البعض وتوضع في علبة مسكارا مغسولة جيدا حتى لا يبقى أثر لمادة المسكارا في العلبة ، ثم تدهن الرمومش بشكل جيد بخليط الزيوت مرة عند النوم ويستمر الاستعمال لحين الحصول على النتيجة المرغوبة
** وصفة ثالثة : نوى (بذور)التمر يتم تحميسها على النار حتى تصبح سوداء متفحمة وتخلط مع زيت الخروع حتى يتكون خليط يشبه المسكارا ، يتم احضار علبة مسكارا فارغة وتغسل جيدا حتى لا يبقى أثر للمسكارا بداخلها ثم يوضع الخليط بداخلها ، ثم يتم دهن الرموش بشكل جيد واحذري بحيث لا يدخل داخل العين كل ليلة عند النوم وستظهر النتيجة بعد اسبوع",الطب الوقائي,773190,20260726,source_answer_reference_not_human_adjudicated
unseen100_003,هل يوجد علاج كيميائي لا يسبب تساقط الشعر ؟,unseen_random_stratified_100,نعم يوجد. ..لكن اختيار الدواء يكون حسب المرض. ...ولايمكن للمريض اختيار الدواء بنفسه. .....,الأورام الخبيثة والحميدة,571975,20260726,source_answer_reference_not_human_adjudicated
unseen100_004,انا امراءة فى السبعين اعاني من الام قوية تمتد من الرقبة الى الكتف والظهر حتى الحوض فهل ممكن الالم نتيجة الا عصاب ام اسباب اخرى علما ام المسكنات القوية تخخف...,unseen_random_stratified_100,الالام التي تعانين منها قد تكون نتيجة انزلاق غضروفي عنقي او خشونة عالية في الفقرات او التهاب اوتار . ينصح عمل صورة رنين مغناطيسي للعنق وفحص هشاشة عظام ومراجعة اخصائي جراحة اعصاب من اجل الفحص السريري,صحة المسنين,786888,20260726,source_answer_reference_not_human_adjudicated
unseen100_005,اسباب البرودة الجنسية وعلاجها,unseen_random_stratified_100,"بنتج البرود الجنسي لاسباب نفسية او انفعالية:
كالضغط, القلق, الاكتئاب, او التعب,
-الشعور بالذنب, او الهم,
-عدم الاثارة بالشكل الكافي,
-الخوف من الالم من الجنس,
-الخوف من الحمل,
-و عدم الارتياح لشريك الحياة.
-عدم الارتياح للمكان,
قد يشمل علاج البرود الجنسي:
-التوعية الجنسية.
-تعزيز الاثارة الجنسية.
-توفير طرق تساعد على الإلهاء.
- تشجيع السلوكيات الغير مرتبطة بالجنس و لكنها تحفز التنبيه مثل بعث رسائل حلوة, و لمس الجسم بمناطق اخرى غير الاعضاء التناسلية مما سيزيد الراحة عند الشريكة و فد يحفزها ان تشعر بالاثارة.
- تقليل الالم عن طريق التحكم بكمية النفاذ و
-استخدام الكحول او الادوية.",تاريخ الطب,570594,20260726,source_answer_reference_not_human_adjudicated
unseen100_006,ماهو الحل المناسب لظاهرة التثدي عند الرجل,unseen_random_stratified_100,راجع اختصاصي الغدد الصماء فربما يستطيع مساعدتك قبل أن تلجأ للجراحة، والتي ربما تكون الحل الوحيد.,علم الأحياء الدقيقة,798444,20260726,source_answer_reference_not_human_adjudicated
unseen100_007,"انا عندي سؤال واتمنى انكم تجاوبوني عليه ،، وياريت الي يجاوب يكون متأكد من جوابه،،
تكفون يااهل الخير ساااعدووني ،،
انا عاطل لي 3 سنوات ْوربي رزقني بوظيفه وعندي تحاليل...",unseen_random_stratified_100,لا يوجد طريقة سحرية للتخلص من آثاره، لأن هذا يعتمد على طريقة التعاطي وكمية الجرعة ومدة الادمان، وحالة الأستقلاب في الجسم فهي تختلف من شخص لأخر والفارق كبير حيث تختفي أثاره عند البعض في مدة 3 أيام بينما عند آخرين قد تمتد آثاره في البول لمدة شهرين خاصة اذا ما كان الشخص بدين، واذا كان الوضع الصحي للفرد جيد ووظيفة الكلى والقلب طبيعية ويسمح بتناول كمية كبيرة من الماء فهذا يساعد على التخلص منه بشكل أسرع,علم السموم,787633,20260726,source_answer_reference_not_human_adjudicated
unseen100_008,":
إبنتي عمرها 16 عاماوقد لاحظنا ان بطة الرجل اليمين اكبر من الشمال(ولاحظنا ذلك عندممارستها الرياضة خلال فترة الصيف) ولا يوجد وجع ولا تعب . هل ذلك طبيعي أو من...",unseen_random_stratified_100,لا داعي للقلق فقد تكون مجرد لا تناظر عادي، ولكن الأفضل مراجعة اختصاصي باطني لعمل تخطيط عضلات والتأكد أن كل شيء على ما يرام.,تشخيص,795767,20260726,source_answer_reference_not_human_adjudicated
unseen100_009,"أفضل طريقة لإزالة الشعر الغير مرغوب فيه وهل توجد كريما لهذا الغرض وما اسمها وأين يمكن إيجادها
وهل لها مضاعفات",unseen_random_stratified_100,زيادة الشعر عند المرأة يسمى الشعرانية (هيرسوتيزم) وهو ليس مرضا وانما عرض لمرض ما .وفي معظم الحالات السبب مجهول وفي بعض الحالات السبب يكون اعتلال الغدة الكظرية وزيادة افراز الكورتيزون وهرمون الذكورة وهو الأندروجين بسبب أورام أو التهابات الغدة ، وقد يكون اعتلال الغدة النخامية هو السبب وزيادة افرازها لهرمون الحليب البرولاكتسن)، وقد يكون السبب تكيس المبيضن أو بعض الأدوية مثل الكورتيزون وادوية ضغط الدم وادوية الصرع العلاج : يعتمد على علاج السبب ، ولهذا يجب عمل تخاليل مخبرية للهرمونات وصور شعاعية للغدد وعند معرفة السبب يتم علاجه . أما مجهول السبب فعلاجه طويل الأمد ويحتاج الى صبر ومثابرة واستمرارية على العلاج وأكثر العلاجات استعمالا هو الليزر وأنجحها وهو آمن لا يسبب السرطان كما يشيع البعض.وأما العلاجات الأخرى فهي حبوب تنظيم الدورة والأدوية المضادة لهرمون الذكورة مثل ديان ، وبعض مدرات البول مثل سبايرولاكتون وأدوية السكري مثل ميتفورمن ،وفي الحالات GNRHالعنيدة حقن ابرة من دواء الليزر التي تستعمل أحدث جهاز ليزر منزلي واسمه نيو ريو وهي افضل طريقة وهناك طريقة ازالة الشعر بواسطة الجهاز الضوئي IPL وهو أحدث طريقة، وهناك طرق أخرى مثل الكي الكهربائي ، والملقط والخيط والعقيدة ، والكريمات والشريط اللاصق ويمكن استخدام زيت النمل البديل لليزر طريقة وكمية الاستعمال: يشترط قبل استعمال زيت النمل ازالة الشعر من جذوره عن طريق الحلاوه او الشمع او الآله او الخيط ثم تغسل المنطقه بالماء الدافئ ويدهن الزيت مباشره على المنطقه لمدة ثلاثة ايام في كل يوم مرتين وبعدها ان شاء الله ما راح يطلع شعر نهائيا يمكن يطلع شعر خفيف وهذا إ`ذا ما انخلع من جذوره واذا طلع استخدمي الزيت مره ثانيه وما راح يطلع ابد بس النوع الأصلي هو ماركة روجا الايراني ،وبعض السيدات قان أنهن استعملن زيت مو أصلي فطلع لهن شعر أفوى من الشعر الصلي، والنوع الأصلي لون علبته زهرية وعليها صورة نملة واحدة ، حمانا الله من التجار وغشهم وصفه تقلل نمو شعر الجسم ومرتين وتلاقيه اختفى نهائيا الوصفه :- طبعا هى طريقة الحلاوه التقليديه بس عليها شوية اضافات هذي اللى بتقلل الشعر وتمنع ظهوره كوب ماء كوب سكر من العطار تجيبى حاجه اسمها فسوخ بمقدار حبة البندق ومستكه مطحونه بمقدار ربع ملعقة شاى 3 معالق شب مطحون + نصف ليمونه كل المقادير حطيها على النار وقومي قللبى قللبى قللبى زى مابنسوي الحلاوه بالظبط وبعدين اذا جهزت شيلى الشعر عادى وراح تشوفين الشعر قل من اول مره واذا لاقيتى طلع مره ثانيه بعد فتره قصيره اعمليه مرة ثانية بنفس الوصفه وتقول سيدة انها عملت الطريقه مرتين بس وظلت ست شهور ما طلع لها الشعر,البشرة والجمال,770159,20260726,source_answer_reference_not_human_adjudicated
unseen100_010,انا اصوم ولله الحمد واكون بصحه جيده الي قبل الفطور بحوالي 2ساعتان ابدا افقد توازني واشعر بدوار وعدم التركيز وخاصتا عند قيادة السياره وهذا الحال من حوالي 5 سنوات تقريبا...,unseen_random_stratified_100,هذا شيء طبيعي وذلك لانخفاض السكر وفقدان السوائل خلال النهار خصوصا وان فترة الصيام تعتبر طويلة ولكن طالما أن الوضع يعود طبيعي بعد الافطار فلا خوف باذن الله,رمضان,777582,20260726,source_answer_reference_not_human_adjudicated
