query_id,claim,human_should_retain,original_failed_checks,v5_hard_failures,v5_soft_failures,v5_semantic_eligible,v5_status_after_hard_gates,support_score,v2_predicted_should_retain,v5_gated_predicted_should_retain,semantic_reason
entitygtv1_016,ثم متابعة الأطباء كل شهر حتى الشهر السابع,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,1.0,True,True,"Evidence explicitly states monthly follow‑ups until the seventh month, matching the claim."
entitygtv1_016,ثم أسبوعيًا أو حسب برنامج الطبيب المعالج,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,1.0,True,True,"Evidence explicitly states weekly follow‑ups or as per the treating physician’s program, matching the claim."
entitygtv1_093,الإكتئاب يتعالج، عليك بمراجعة الطبيب النفساني.,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0,True,True,"The claim is explicitly supported by all cited evidence segments, directly addresses the user’s depression concern, matches the requested information type, and preserves the clinical relationship and entity identities. The claim is relevant, applicable to the patient’s context, and provides a direct answer."
entitygtv1_064,يُنصح بمراجعة أخصائي أمراض داخلية.,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0,True,True,"The evidence explicitly recommends consulting an internal medicine specialist, directly addressing the user's concern about persistent dyspnea. All criteria are satisfied."
entitygtv1_053,ويجب فحص سريري لاستبعاد أمراض عضوية,True,intent_mismatch,,intent_mismatch,True,unsupported,0.4,True,True,"The cited evidence explicitly states that a clinical examination is necessary to rule out organic diseases, which directly supports the claim that a clinical exam is required. The claim is relevant to the user's headache complaint, matches the requested information type, and preserves the clinical relationship and named entities. The evidence applies to the patient's context. Therefore the claim should be retained."
entitygtv1_057,التهاب الأذن الداخلية يسبب دوخة وضعف دم حاد,False,claim_query_concept_mismatch|intent_mismatch,unrelated_condition_mismatch,claim_query_concept_mismatch|intent_mismatch,False,unsupported,1.0,False,False,"The evidence directly supports the claim, but the claim is irrelevant to the user’s query and does not address the user’s condition. Therefore it should not be retained."
entitygtv1_006,الدورة الشهرية تأخرت ثلاث أسابيع,False,intent_mismatch,,intent_mismatch,True,unsupported,0.6,False,False,Not sent: authoritative answer/relation evidence did not satisfy the semantic-review support floor.
entitygtv1_006,عدم انتظام الدورة قد يكون بسبب القلق، خلل غذائي، تكيس المبايض، أو خلل هرموني,True,intent_mismatch,,intent_mismatch,True,unsupported,0.636364,True,True,"The evidence explicitly lists anxiety, dietary imbalance, polycystic ovary syndrome, and hormonal imbalance as causes of menstrual irregularity, matching the claim."
entitygtv1_006,يُنصح بمراجعة طبيب نسائي لإجراء فحوصات هرمونية وموجات فوق صوتية للرحم والمبايض,True,intent_mismatch,,intent_mismatch,True,unsupported,0.818182,True,True,"The evidence recommends consulting a gynecologist for hormonal tests and ultrasound of uterus and ovaries, directly supporting the claim."
entitygtv1_063,العلاج التصلبي بالليزر.,False,claim_query_concept_mismatch,patient_context_mismatch,claim_query_concept_mismatch,False,unsupported,1.0,True,False,"The evidence explicitly states that laser is used in sclerotherapy for varicose veins, directly supporting the claim and answering the user’s question about treatment options."
entitygtv1_041,أعراض الإصابة بمرض القلب تشمل ألمًا في الصدر وضيقًا في التنفس أو صعوبة في التنفس، دوخة أو إغماء، تسارع أو خفقان، إزرقاق الجلد، أو غير ذلك.,True,anatomy_mismatch,anatomy_mismatch,,False,unsupported,0.588235,True,False,"The evidence explicitly lists the symptoms described in the claim, matching the user's request for symptoms of heart disease. All criteria are satisfied."
entitygtv1_041,أسباب مرض القلب متعددة وتشمل مشاكل في الصمامات أو الشرايين أو عضلة القلب أو أغشيتها أو غير ذلك.,False,intent_mismatch,incomplete_list_support,intent_mismatch,False,unsupported,0.416667,True,False,"The evidence explicitly enumerates the causes of heart disease mentioned in the claim, directly addressing the user's question about causes. All criteria are satisfied."
entitygtv1_073,لا بد من معالجة الآثار النفسية للتعاطي,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,1.0,True,True,"The evidence segment explicitly states that psychological effects of substance use must be addressed, which directly supports the claim. The claim is relevant to the user’s situation, matches the requested information type, and preserves the exact relationship presented in the evidence. All entities are consistent and applicable to the patient’s context."
entitygtv1_073,في حال استمرار الألم أو ظهور أعراض أخرى يجب مراجعة الطبيب لتحديد السبب وإجراء الفحوصات اللازمة,False,claim_query_concept_mismatch,patient_context_mismatch,claim_query_concept_mismatch,False,unsupported,0.75,True,False,"The evidence segments advise that persistent pain or new symptoms warrant a medical evaluation and diagnostic tests. This directly supports the claim. The claim is relevant, matches the intent, preserves the relationship, and is applicable to the patient’s context."
entitygtv1_042,الاعراض التي ظهرت لديك (كثرة البراز، خفقان، وحساسية الجلد) هي من أكثر الأعراض الجانبية للإريثرومايسين شائعةً، ما يدل على وجود حساسية لجسمك تجاه هذا الدواء.,False,anatomy_mismatch,,,False,unsupported,0.526316,False,False,"Evidence confirms the symptoms are common side effects of erythromycin but does not establish that they necessarily indicate an allergy. Therefore the claim overstates the relationship, making it partially supported but not fully preserved."
entitygtv1_060,الدورة الشهرية قبل موعدها ب 15 يومًا، وغزيرة مع تكبد الدم,False,intent_mismatch,,intent_mismatch,True,unsupported,0.888889,False,False,Not sent: authoritative answer/relation evidence did not satisfy the semantic-review support floor.
entitygtv1_060,راجعي الطبيب للفحص,True,intent_mismatch,,intent_mismatch,True,unsupported,1.0,True,True,"The claim is directly supported by the cited evidence, is relevant to the user's query about an early and heavy menstrual period, matches the medical concept of seeking professional evaluation, and provides a direct answer without altering any relationships or identities. All criteria for retention are satisfied."
