entity_id,canonical_name,canonical_name_norm,entity_type,entity_quality,is_actionable_medical_entity,aliases,mention_count,source_chunk_count,qa_count,avg_confidence,source_chunks,source_models,qa_ids
ent_diseasecondition_e04a557cb82b,Acanthosis nigricans,acanthosis nigricans,DiseaseCondition,high,true,"[""Acanthosis nigricans"", ""acanthosis nigricans""]",1,1,1,0.950,"[""chunk_00052""]","[""llama-3.1-8b-instant""]","[""ahd5k_04944""]"
ent_diseasecondition_5f5cc11b7f72,Achondroplasia,achondroplasia,DiseaseCondition,high,true,"[""Achondroplasia""]",1,1,1,0.850,"[""chunk_00147""]","[""llama-3.1-8b-instant""]","[""ahd5k_04892""]"
ent_diseasecondition_8d0f4dc232cb,Growth Hormone,growth hormone,DiseaseCondition,high,true,"[""GH"", ""Growth Hormone""]",1,1,1,0.950,"[""chunk_00171""]","[""llama-3.1-8b-instant""]","[""ahd5k_04373""]"
ent_diseasecondition_e70dbd4b1bf0,Hashimot,hashimot,DiseaseCondition,high,true,"[""Hashimot"", ""Hashimot's disease""]",1,1,1,0.950,"[""chunk_00171""]","[""llama-3.1-8b-instant""]","[""ahd5k_03831""]"
ent_diseasecondition_81ee665c48f1,Hashimoto,hashimoto,DiseaseCondition,high,true,"[""Hashimoto"", ""Hashimotou""]",2,1,1,0.950,"[""chunk_00157""]","[""llama-3.1-8b-instant""]","[""ahd5k_03394""]"
ent_diseasecondition_85bdadb0e2a2,Hypothyroidism,hypothyroidism,DiseaseCondition,high,true,"[""Hypothyroidism"", ""Underactive thyroid""]",1,1,1,0.950,"[""chunk_00171""]","[""llama-3.1-8b-instant""]","[""ahd5k_04335""]"
ent_diseasecondition_ae3dd473a795,Pallister Killian syndrome,pallister killian syndrome,DiseaseCondition,high,true,"[""Pallister Killian syndrome""]",1,1,1,0.850,"[""chunk_00147""]","[""llama-3.1-8b-instant""]","[""ahd5k_04892""]"
ent_diseasecondition_d66c4956707a,Rhizomelic and Micromelia,rhizomelic and micromelia,DiseaseCondition,high,true,"[""Rhizomelic and Micromelia""]",1,1,1,0.850,"[""chunk_00147""]","[""llama-3.1-8b-instant""]","[""ahd5k_04892""]"
ent_diseasecondition_4c4500ee0d57,ارتجاج دماغي,ارتجاج دماغي,DiseaseCondition,high,true,"[""ارتجاج دماغي""]",1,1,1,0.950,"[""chunk_00200""]","[""llama-3.1-8b-instant""]","[""ahd5k_02003""]"
ent_diseasecondition_d570c92436e9,ارتخاء,ارتخاء,DiseaseCondition,high,true,"[""ارتخاء""]",2,1,2,0.850,"[""chunk_00027""]","[""llama-3.1-8b-instant""]","[""ahd5k_01181"", ""ahd5k_04566""]"
ent_diseasecondition_af6114123652,ارتخاء الصمام الميترالي,ارتخاء الصمام الميترالي,DiseaseCondition,high,true,"[""ارتخاء الصمام الميترالي""]",1,1,1,0.950,"[""chunk_00075""]","[""llama-3.1-8b-instant""]","[""ahd5k_04352""]"
ent_diseasecondition_b774b131180f,ارتفاع الكلسترول,ارتفاع الكلسترول,DiseaseCondition,high,true,"[""ارتفاع الكلسترول"", ""الدهون الثلاثيه""]",1,1,1,0.850,"[""chunk_00088""]","[""llama-3.1-8b-instant""]","[""ahd5k_01558""]"
ent_diseasecondition_db17a406c72e,ارتفاع ضغط الدم,ارتفاع ضغط الدم,DiseaseCondition,high,true,"[""ارتفاع ضغط"", ""ارتفاع ضغط الدم"", ""ارتكاريا"", ""التهاب"", ""حساسية الصدر"", ""رتكاريا"", ""ضغط"", ""ضغط الدم""]",17,8,16,0.925,"[""chunk_00026"", ""chunk_00051"", ""chunk_00052"", ""chunk_00069"", ""chunk_00070"", ""chunk_00083"", ""chunk_00140"", ""chunk_00196""]","[""llama-3.1-8b-instant""]","[""ahd5k_00065"", ""ahd5k_00237"", ""ahd5k_00823"", ""ahd5k_01005"", ""ahd5k_01682"", ""ahd5k_01761"", ""ahd5k_01763"", ""ahd5k_02399"", ""ahd5k_03242"", ""ahd5k_03423"", ""ahd5k_03624"", ""ahd5k_03983"", ""ahd5k_04477"", ""ahd5k_04701"", ""ahd5k_04944"", ""ahd5k_04975""]"
ent_diseasecondition_7f3c581aaa3e,ارتكاريا,ارتكاريا,DiseaseCondition,high,true,"[""ارتكاريا""]",3,3,3,0.850,"[""chunk_00030"", ""chunk_00078"", ""chunk_00180""]","[""llama-3.1-8b-instant""]","[""ahd5k_00012"", ""ahd5k_00348"", ""ahd5k_01406""]"
ent_diseasecondition_f3982f19c624,ارتياف دعب \u0627لديم,ارتياف دعب \u0627لديم,DiseaseCondition,high,true,"[""ارتياف دعب \\u0627لديم"", ""ارتياف دعب الديم""]",1,1,1,0.850,"[""chunk_00179""]","[""llama-3.1-8b-instant""]","[""ahd5k_03738""]"
ent_diseasecondition_9db0143f0c61,إسهال,اسهال,DiseaseCondition,high,true,"[""إسهال"", ""اسهال""]",1,1,1,0.850,"[""chunk_00164""]","[""llama-3.1-8b-instant""]","[""ahd5k_03761""]"
