relation_id,chunk_id,qa_id,candidate_relation_type,validated_relation_type,keep,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,evidence,confidence,reason,provider,model,edge_id,original_relation_id,graph_relation_type,edge_direction
rel_seed_56abfb8d8355106e,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,0.920,Direct symptom attribution in allergy context,groq,qwen/qwen3-32b,rel_seed_56abfb8d8355106e,rel_seed_56abfb8d8355106e,HAS_SYMPTOM,direct
rel_seed_56abfb8d8355106e,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_symptom_f4cf885a0447,سعال,Symptom,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,0.920,Direct symptom attribution in allergy context,groq,qwen/qwen3-32b,rel_seed_56abfb8d8355106e__inverse,rel_seed_56abfb8d8355106e,SYMPTOM_OF,inverse
rel_seed_0c7a95bcebd3a487,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_dc2c7333a505,بلغم,Symptom,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,0.900,Phlegm explicitly linked to allergy condition,groq,qwen/qwen3-32b,rel_seed_0c7a95bcebd3a487,rel_seed_0c7a95bcebd3a487,HAS_SYMPTOM,direct
rel_seed_0c7a95bcebd3a487,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_symptom_dc2c7333a505,بلغم,Symptom,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,0.900,Phlegm explicitly linked to allergy condition,groq,qwen/qwen3-32b,rel_seed_0c7a95bcebd3a487__inverse,rel_seed_0c7a95bcebd3a487,SYMPTOM_OF,inverse
rel_seed_bd265df67c4d74e3,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,0.880,Cough directly associated with upper respiratory inflammation,groq,qwen/qwen3-32b,rel_seed_bd265df67c4d74e3,rel_seed_bd265df67c4d74e3,HAS_SYMPTOM,direct
rel_seed_bd265df67c4d74e3,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_symptom_f4cf885a0447,سعال,Symptom,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,0.880,Cough directly associated with upper respiratory inflammation,groq,qwen/qwen3-32b,rel_seed_bd265df67c4d74e3__inverse,rel_seed_bd265df67c4d74e3,SYMPTOM_OF,inverse
rel_seed_6c884a1c6b84097f,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_symptom_dc2c7333a505,بلغم,Symptom,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,0.870,Phlegm explicitly mentioned in inflammation context,groq,qwen/qwen3-32b,rel_seed_6c884a1c6b84097f,rel_seed_6c884a1c6b84097f,HAS_SYMPTOM,direct
rel_seed_6c884a1c6b84097f,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_symptom_dc2c7333a505,بلغم,Symptom,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,0.870,Phlegm explicitly mentioned in inflammation context,groq,qwen/qwen3-32b,rel_seed_6c884a1c6b84097f__inverse,rel_seed_6c884a1c6b84097f,SYMPTOM_OF,inverse
rel_seed_0c18290c6e2c4697,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,0.910,Cough directly attributed to asthma condition,groq,qwen/qwen3-32b,rel_seed_0c18290c6e2c4697,rel_seed_0c18290c6e2c4697,HAS_SYMPTOM,direct
rel_seed_0c18290c6e2c4697,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_symptom_f4cf885a0447,سعال,Symptom,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,0.910,Cough directly attributed to asthma condition,groq,qwen/qwen3-32b,rel_seed_0c18290c6e2c4697__inverse,rel_seed_0c18290c6e2c4697,SYMPTOM_OF,inverse
rel_seed_2d8676e4afe037e2,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ent_symptom_dc2c7333a505,بلغم,Symptom,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,0.900,Phlegm explicitly linked to asthma symptoms,groq,qwen/qwen3-32b,rel_seed_2d8676e4afe037e2,rel_seed_2d8676e4afe037e2,HAS_SYMPTOM,direct
rel_seed_2d8676e4afe037e2,chunk_00001,ahd5k_00970,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_symptom_dc2c7333a505,بلغم,Symptom,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,0.900,Phlegm explicitly linked to asthma symptoms,groq,qwen/qwen3-32b,rel_seed_2d8676e4afe037e2__inverse,rel_seed_2d8676e4afe037e2,SYMPTOM_OF,inverse
rel_seed_4e0920fcda8ee854,chunk_00001,ahd5k_03872,HAS_SYMPTOM,HAS_SYMPTOM,true,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_symptom_7b839cc80688,ضيق تنفس,Symptom,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,0.890,Direct symptom linkage in inflammation context,groq,qwen/qwen3-32b,rel_seed_4e0920fcda8ee854,rel_seed_4e0920fcda8ee854,HAS_SYMPTOM,direct
