query_id,query,reference_answer,removed_claim,verifier_status,support_score,question_relevance,query_concept_coverage,failed_checks,deterministic_audit_class,requires_human_adjudication,citations,cited_evidence,verifier_reason
entitygtv1_001,لدى الم فى اسفل راسى ورقبتى والم فى اسنانى حيث ان اخر دروس العقل يظهر وشاهدت اللثه بها التهاب هل سبب الم الراس والرقبه يمكن ان يكون ورائه الم الاسنان,احتمال وارد وقد يترافق مع أسباب أخرى من المفضل استشارة طبيب أسنان بالفحص السرير ي والشعاعي ليتم التشخيص أو قد يلزم استعانة أخصائي آخر حسب ما تطلبه الحالة,التهاب اللثة قد يسبب صداع.,weakly_supported,0.25,0.810865,0.0,,weak_evidence_conservative_removal,yes,E1,E1: السلام عليكم - لدي الم وانتفاخ بسيط من الجانب الايمن من الراس فوق الاذن هل يمكن ان يكون السبب هو التهاب في الاذن,Evidence E1 provides partial support for the claim.
entitygtv1_002,هل يفيد مسحوق العرقسوس في حالة البحة الصوتية؟ وبشكل عام ما هي فوائد عرق السوس واضراره؟,"نعم، يُعتقد أن عرق السوس يساهم في التخفيف من أعراض التهاب الحلق والحنجرة، مما يساهم بدوره في التخفيف من أعراض بحة الصوت، أما بالنسبة لفوائد عرق السوس على الصحة بشكل عام فقد تتضمن الآتي:

مضاد للالتهابات: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للالتهابات، والتي يمكن أن تساعد في تخفيف الالتهابات في الجسم، مثل التهاب الحلق، والتهاب المفاصل، والتهاب الجلد.
مسكن للألم: يحتوي عرق السوس أيضًا على مركبات نباتية لها خصائص مسكنة للألم، والتي يمكن أن تساعد في تخفيف الآلام الخفيفة إلى المتوسطة، مثل الصداع، وآلام الأسنان، وآلام العضلات.
مضاد للأكسدة: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للأكسدة، والتي يمكن أن تساعد في حماية الجسم من تلف الخلايا الناجم عن الجذور الحرة.
منشط للجهاز المناعي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تعزيز الجهاز المناعي، مما قد يساعد في الوقاية من العدوى.
مفيد لصحة الجهاز الهضمي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تخفيف الإمساك، وتحسين الهضم، وحماية المعدة والأمعاء من التلف.
مفيد لصحة القلب والأوعية الدموية: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في خفض ضغط الدم، وتحسين صحة الأوعية الدموية، وحماية القلب من الأمراض.
مفيد لصحة الكبد: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في حماية الكبد من التلف، وتحسين وظائف الكبد.

أما بالنسبة لأضرار عرق السوس على الجسم فإنها قد تظهر نتيجة الإفراط في استخدام عرق السوس أو استخدام عرق السوس من قبل بعض الأشخاص الذين يتناولون بعض الأدوية أو يعانون من بعض الأمراض المزمنة، وقد تتضمن أضرار عرق السوس الآتي:

ارتفاع ضغط الدم: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى ارتفاع ضغط الدم، وخاصةً لدى الأشخاص الذين يعانون من ارتفاع ضغط الدم بالفعل.
انخفاض مستويات البوتاسيوم: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى انخفاض مستويات البوتاسيوم في الجسم، مما قد يؤدي إلى مشاكل في القلب، والعضلات، والجهاز العصبي.
احتباس السوائل: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى احتباس السوائل في الجسم، مما قد يؤدي إلى تورم، وزيادة الوزن، ومشاكل في القلب.

للمزيد:

ما هي أهم فوائد عرق السوس للشعر والصحة العامة
عرق السوس والسكري فوائد مواد فعالة واثار جانبية",يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى ارتفاع ضغط الدم,unsupported,1.0,0.980564,0.0,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E1,E1: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى ارتفاع ضغط الدم يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للالتهابات مسكن للألم: يحتوي عرق السوس أيضًا على مركبات نباتية لها خصائص مسكنة للألم، والتي يمكن أن تساعد في تخفيف الآلام الخفيفة إلى المتوسطة، مثل الصداع نعم، يُعتقد أن عرق السوس يساهم في التخفيف من أعراض التهاب الحلق والحنجرة,No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_005,"السلام عليكم. علاج السواد الرقبه والشيب المبكر؟
أفيدوني بارك الله فيكم",بالنسبة للأماكن الداكنة بالرقبة ... يجب الاهتمام بنظافة الرقبة و جفافها من العرق ... كما يجب تجنب التعرض لضوء النهار ... هذه أهم خطوة لتجنب اسمرار البشرة فى هذه المنطقة يمكن استخدام بعض كريمات التفتيح بعد استشارة الطبيب أما شيب الشعر ...فربما يكون علاجه صعبا ... و يمكن فقط طمس اللون باستخدام الصبغة المناسبة او الحناء,تطبيق مكعبات ثلجية حول منطقة الرقبة قد يساعد في تبريد الجلد,unsupported,0.666667,0.794428,0.25,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E1,E1: العلاج الأولي: ينقل المصاب إلى منطقة مظللة بعيداً عن الشمس. يقوم المسعف بتبريد جسده وتخفيض درجة حرارته عن طريق نزع الملابس الثقيلة غير الضرورية. يرش الجسم بالماء الفاتر أو ذو حرارة باردة نسبياً 'أبرد من جسد المصاب'، وذلك حتى يتم تحفيز بثور الجلد في إفراز العرق. توضع مكعبات ثلجية حول منطقة الرقبة ومنطقة ما تحت الإبط، حيث تتواجد في هاتين المنطقتين أوعية دموية ظاهرة على سطح الجلد. إعطاء المصاب السوائل اللازمة ويفضل أن تكون باردة. وذلك ريثما يصل فريق الاسعاف لنقل المريض الى المستشفى,No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_006,انا عمري 23 سنه وكنت امارس العاده السريه منذ 3 شهرور تقريبا ولاكن ليسا باستمرار .وانا خائفه جدا لان دورتي انقطاعت منذ شهر ولاكن في نفس يوم الدوره احسست بالاعراض...,هناك عده اسباب لعدم انتظام الدوره الشهريه ومنها  ١. القلق والتوتر ٢. خلل في النظام الغذائي ٣. تكيس على المبايض ٤.خلل في هرمونات الجسم مثل : ١.زياده في هرمون الحليب ٢. خلل في هرمونات الغده النخاميه ٣. خلل في الهرمونات التي تفرزها الغده الدرقيه، والهيبوثلامس ٤. ارتفاع في الهرمون الذكري  لذلك انصحك بمراجعه اخصائي نسائيه لاجراء الفحوصات الهرمونيه اللازمه وكذلك فحص بجهاز الموجات الفوق صوتيه للرحم والمبايض لتشخيص حالتك.,تأخرت دورتك الشهرية بثلاث أسابيع,unsupported,0.8,0.783536,1.0,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E1,E1: اعملي فحص دم للحمل,No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_006,انا عمري 23 سنه وكنت امارس العاده السريه منذ 3 شهرور تقريبا ولاكن ليسا باستمرار .وانا خائفه جدا لان دورتي انقطاعت منذ شهر ولاكن في نفس يوم الدوره احسست بالاعراض...,هناك عده اسباب لعدم انتظام الدوره الشهريه ومنها  ١. القلق والتوتر ٢. خلل في النظام الغذائي ٣. تكيس على المبايض ٤.خلل في هرمونات الجسم مثل : ١.زياده في هرمون الحليب ٢. خلل في هرمونات الغده النخاميه ٣. خلل في الهرمونات التي تفرزها الغده الدرقيه، والهيبوثلامس ٤. ارتفاع في الهرمون الذكري  لذلك انصحك بمراجعه اخصائي نسائيه لاجراء الفحوصات الهرمونيه اللازمه وكذلك فحص بجهاز الموجات الفوق صوتيه للرحم والمبايض لتشخيص حالتك.,يجب مراجعة الطبيب لمعرفة السبب الرئيسي لعدم انتظام الدورة الشهرية,unsupported,1.0,0.772006,1.0,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E2,E2: يفضل مراجعة الطبيب لمعرفة السبب الرئيسي لعدم انتظام الدورة الشهرية، ولكن يوجد بعض العلاجات المنزلية التي تساعد على تنظيم الدورة يمكن اتباعها مثل: ممارسة اليوغا خمس مرات أسبوعيا يساعد على تنظيم مستويات الهرمونات. الحفاظ على الوزن المثالي. ممارسة التمارين الرياضية. إضافة الزنجبيل إلى الطعام كما أنه يخفف من أعراض الدورة الشهرية. تناول القرفة ينظم الدروة ويخفف آلامها، ويساعد في علاج تكيس المبايض تناول الفيتامينات وخاصة إذا كنتي تعانين من نقص في فيتامين د وفيتامين ب12. شرب 15غرام من خل التفاح يومياً.,No single cited evidence item passed all checks; best candidate: E2.
entitygtv1_007,كيفية تصغير الثدى ؟؟,"شد الصدر ورفعه بواسطة عملية جراحية تجميلية عند اختصاصي جراحة التجميل ، ففي حالة كبر حجمه وترهله وارتخائه لأسفل تجرى له
جراحة تصغير و شد او تجميل الثدي
فكرة العملية:
تقليل حجم الثدى ورفعة إما بأزالة الجلد الزائد أو الدهن الزائد أو كليهما
زمن العملية:ساعة إلى ثلاث ساعات
 اسباب العمليه:
كبر حجم الثدى و سقوطه قد يؤدى لآلام بالظهر والكتيفين و مشاكل فى الملابس المناسبة و مشاكل نفسية لدى المرأة يتم أزالة جزء من الجلد لرفع الثدى يتم أزالة جزء من الدهن والجلد لتقليل حجم الثدى بعد العملية:تختفى هذه المشاكل كلها مقابل ندبة أسفل الثدى
وأما إذا كان حجم الثدي صغيرا فيحتاج إلى عملية تكبير ورفع وعملية التكبير تتم بحقن الثدي بالماء المالح أو بالسيليكون",الانقاص في الوزن قد يقلل حجم الثدي,unsupported,0.0,1.0,0.5,intent_mismatch|support_below_weak_threshold,mixed_relevance_and_support_or_safety_failure,yes,E1,E1: نصيحة مني اعتقد ان انزال وزنك الى الوزن المثالي كفيل بتصغير حجم الثدي بدون اي جراحة.ولكن التثدي سبق وان تكلمت عنه كثيرا..يجب ان يراجع اخصاىي جراحة عامة لاجراء التحاليل الدموية الكاملة والتي تتضمن وظائف الغدة الدرقية والتستيستيرون وفحص الخصيتين والصفن والبحث عن العلاجات المتناولة بين يدي المريض.,No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_008,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية.راجعي اختصاصي تجميل.,ترسب الدهون في الجلد او الاوتار,unsupported,1.0,0.768057,0.5,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E1,"E1: فرط شحميات الدم هي: ارتفاع تركيز أحد انواع الدهون أو جميعها قد يؤدي ارتفاع نسبة الشحوم في الدم الى: انسداد الاوعية الدموية تراكم الدهون في الكبد , البنكرياس والطُحال والتسبب في تورمها أو تضخمها ترسب الدهون في الجلد او الاوتار يجب: - الفحص الدوري لدهون الدم تناول الأطعمة الغنية بالألياف الحفاظ على الوزن الصحي الابتعاد عن التدخين",No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_012,اكل علك وابلعه هل يمكن ان يؤدي الى انسداد البلعوم؟,"بلع العلكة "" اللبانة "" عادةً لا يسبب مشاكل في البلعوم .. في حالات نادرة قد يسبب مشاكل إذا دخل إلى القصبات أو القصيبات الهوائية مثل الإختناق أو الإلتهابات الناتجة عن وجود جسم أجنبي فيها .. أما المشاكل الأخرى فهي ممكنة وتكون ناتجة عن صعوبات هضمية سواء في المعدة أو الأمعاء .. فهي تتكون من مواد صعبة الهضم .. لذلك أنصحك أن لا تقومي بذلك أبداً",لا توجد أدلة متاحة تدعم أن تناول علكة وبلعها قد يؤدي إلى انسداد البلعوم,unsupported,0.0,0.0,0.0,no_valid_citation,low_or_missing_evidence,yes,,,No single cited evidence item passed all checks; best candidate: none.
entitygtv1_015,انا اعني من نزول كتل من الدم أثناء الدورة الشهرية هل في ذلك خطورة وماتفسير ذلك ، مع العلم انا لست متزوجة ...؟؟؟؟؟؟؟؟؟؟؟؟,هذا عادي ولا خطر منه.ولكن اعملي فحص قوة الدم,الكتل في الدم قد تكون نتيجة لتكيس المبايض.,unsupported,0.5,0.769571,0.333333,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E2,"E2: عدم انتظام الدوره الشهريه لديك يمكن ان يكون نتيجه لوجود تكيس على المبايض، وهو عباره عن اضطراب بعمليه الإباضة الطبيعية بسبب خلل هرموني في الجسم وهو يكون أحيانا متلازما مع عدة أعراض تظهر معا على المريضة مثل اضطرابات الدورة الشهرية (عادة\"" تكون ادوره الشهريه متباعده) اوازدياد وزن الجسم او ظهور الشعر الخشن في مناطق مختلفة من جسم المرأة. لذا انصحك بمراجعه طبيبك النسائيه لاجراء الفحوصات الهرموتيه الازمه مثل(اف،اس،اتش +ال،اتش+تستسترون+) وكذلك فحص لهرمون الحليب وايضا\"" فحص بجهاز الموجات الفوق صوتيه للمبايض لتشخيص حالتك ومن ثم العلاج حسب التشخيص",No single cited evidence item passed all checks; best candidate: E2.
entitygtv1_017,السلام عليكم ..اشعر بكتلة صغيرة لينة تحت الجلد اسفل الرأس اعلى الرقبة بحجم حبة الحمص عندما المسها اشعر بحرارة في المكان وتشنج قليل في الرقبة ولكن لا تؤلمني ومسببة لي...,أنا أظن أن هذه كتلة دهنية ولكن لا يمكن الجزم قبل المعاينة لذلك أنصحك بإستشارة طبيب.,العقدة تحت الجلد قد تكون متكلسة أو الالتهاب مستمر.,unsupported,0.428571,0.780122,0.166667,anatomy_mismatch|intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E1,E1: هذا معناه أن العقدة إما متكلسة ولا تذوب، أو أن الالتهاب ما زال موجوداً، عليك مراجعة طبيبك للفحص والبحث عن السبب.,No single cited evidence item passed all checks; best candidate: E1.
