query_id,claim,original_status,support_score,v5_hard_failures,v5_soft_failures,v5_semantic_eligible
evalv1_001,يمكن رفع مستوى هرمون البروجستيرون عن طريق زيادة تناول الخضار والفواكه، تقليل الضغط النفسي والتوتر، ووقف التدخين.,supported,0.6875,,,False
evalv1_001,يجب أن يتم العلاج الهرموني تحت إشراف اختصاصي غدد صماء، ولا يمكن وصفه بدون فحوصات طبية متخصصة.,unsupported,0.625,,claim_query_concept_mismatch,True
evalv1_002,يُنصح بإجراء تحليل صورة دم كاملة مع قياس نسبة الفيرتين في الدم لتقييم نقص الحديد المحتمل.,unsupported,0.5,,claim_query_concept_mismatch,True
evalv1_002,يُفضَّل فحص CBC للتحقق من وجود فقر الدم، وإذا كان طبيعيًا فإجراء تحليل TSH لتقييم وظيفة الغدة الدرقية.,unsupported,0.285714,,claim_query_concept_mismatch,False
evalv1_002,من المهم إجراء فحص طبي سريري شامل لتحديد الأسباب الالتهابية أو الدوائية أو التنفسية أو القلبية أو الدموية التي قد تسبب الدوخة والإغماء.,supported,0.5,clinical_relation_mismatch,,False
evalv1_003,الفحص السريري يشمل فحص الجسم من فوق لتحت بجميع أعضائه.,supported,1.0,,,False
evalv1_003,الفحص المخبري يشمل فحص كافة سوائل الجسم وإفرازاته في المختبر إما مجهرياً أو بأجهزة أخرى.,supported,1.0,,,False
evalv1_004,التحكم في جرعة التخدير أثناء الولادة يمكن تحقيقه باستخدام حقن التخدير بين الفقرات القطنية (الـEpidural) وهو آمن للنساء المصابات بالربو أو الحساسية، مع ضرورة توضيح المضاعفات المحتملة قبل الإجراء.,supported,0.4,,,False
evalv1_005,يُنصح بإجراء تحاليل مخبرية للدم لفحص وظائف الكلى والكبد، الحساسية، وعدد الكريات البيضاء مع الفروق، بالإضافة إلى فحوصات C.B.C. وR.F. وCRP.,unsupported,0.5,,claim_query_concept_mismatch|intent_mismatch,True
evalv1_006,يجب إجراء دراسة شاملة عند طبيب الباطنية أو القلب لتحديد سبب ارتفاع الضغط.,unsupported,1.0,,intent_mismatch,True
evalv1_010,استخدام مزيج من زيت الزيتون، زيت الذرة، زيت اللوز، زيت البابونج، زيت الصبار، ملعقتين من العسل، ملعقتين من اللبن الرائب، وصفار بيضة واحدة، وتطبيقه على الشعر مرتين أسبوعيًا يساعد على تطويل الشعر وتنعيمه.,unsupported,0.826087,,claim_query_concept_mismatch,True
evalv1_010,فقدان الشعر نتيجة لخلل في الغدة الدرقية يمكن أن يعود بعد الالتزام بالعلاج والجرعة المناسبة للغدة الدرقية.,unsupported,0.4,,intent_mismatch,True
evalv1_010,اتباع نظام غذائي صحي ومتوازن مع تناول الفيتامينات وفحص وجود فقر دم يساهم في تحسين كثافة وطول الشعر.,unsupported,0.4375,negation_mismatch,,False
