query_id,candidate_type,candidate_id,candidate_pool,relevance_label,candidate_rank,p_usable,p_direct_given_usable,p_direct,expected_relevance
evalv1_001,evidence,qa::ahd10k_00787,original_pool,1,1,0.96847071,0.00114703,0.00111086,0.96958158
evalv1_001,relation,rel_seed_12099cb4f8d5e172,original_pool,0,1,0.26172445,1.371e-05,3.59e-06,0.26172804
evalv1_001,evidence,qa::ahd10k_00396,original_pool,0,2,0.64478129,0.31658663,0.20412914,0.84891042
evalv1_001,relation,rel_seed_5a9e50cfa7ee1c67,original_pool,0,2,0.21682861,1.078e-05,2.34e-06,0.21683094
evalv1_001,evidence,qa::ahd10k_00720,original_pool,0,3,0.67298432,0.02428391,0.01634269,0.689327
evalv1_001,relation,rel_seed_3a09110f7e7bacf3,original_pool,1,3,0.20316149,9.95e-06,2.02e-06,0.20316351
evalv1_001,evidence,qa::ahdqa_0624550,original_pool,0,4,0.6541696,0.55159525,0.36083684,1.01500644
evalv1_001,evidence,mention::men_merge_0003382,original_pool,0,5,0.56921241,0.24779206,0.14104631,0.71025872
evalv1_001,evidence,qa::ahdqa_0113531,partial_fts_expansion,1,1,0.87469221,0.13343315,0.11671294,0.99140514
evalv1_001,evidence,qa::ahdqa_0754643,partial_fts_expansion,1,2,0.86457098,0.03624339,0.03133499,0.89590597
evalv1_001,evidence,qa::ahdqa_0724746,partial_fts_expansion,2,3,0.61634775,0.28543368,0.17592641,0.79227416
evalv1_002,evidence,qa::ahdqa_0211512,original_pool,0,1,0.39239945,0.05689882,0.02232706,0.41472652
evalv1_002,evidence,qa::ahdqa_0042778,original_pool,0,2,0.28580848,0.03809605,0.01088817,0.29669666
evalv1_002,evidence,qa::ahdqa_0073498,original_pool,1,3,0.57981448,0.70952171,0.41139096,0.99120544
evalv1_002,evidence,qa::ahdqa_0017782,original_pool,0,4,0.26127124,0.02873946,0.00750879,0.26878003
evalv1_002,evidence,qa::ahdqa_0723351,original_pool,1,5,0.22776529,0.02481153,0.0056512,0.2334165
evalv1_002,evidence,qa::ahdqa_0221395,partial_fts_expansion,1,1,0.6566215,0.2411417,0.15833883,0.81496032
evalv1_002,evidence,qa::ahdqa_0141898,partial_fts_expansion,1,2,0.23161917,0.22721695,0.0526278,0.28424697
evalv1_002,evidence,qa::ahdqa_0036765,partial_fts_expansion,0,3,0.19488813,0.22617688,0.04407919,0.23896732
evalv1_002,evidence,qa::ahdqa_0287930,partial_fts_expansion,1,4,0.55972356,0.33801561,0.1891953,0.74891886
evalv1_002,evidence,qa::ahdqa_0030209,partial_fts_expansion,1,5,0.79634457,0.3511323,0.2796223,1.07596688
evalv1_002,evidence,qa::ahdqa_0496848,partial_fts_expansion,0,6,0.31631887,0.32272633,0.10208443,0.4184033
evalv1_002,evidence,qa::ahdqa_0223837,partial_fts_expansion,0,7,0.30958105,0.3225411,0.09985261,0.40943367
evalv1_002,evidence,qa::ahdqa_0528835,partial_fts_expansion,2,8,0.77986647,0.35052426,0.27336212,1.05322859
evalv1_003,evidence,qa::ahdqa_0680701,original_pool,1,1,0.85595632,0.88358322,0.75630864,1.61226496
evalv1_003,relation,rel_seed_4a6448f814b2f13b,original_pool,0,1,0.39883574,3.14e-06,1.25e-06,0.39883699
evalv1_003,evidence,qa::ahdqa_0791809,original_pool,2,2,0.81260008,0.84801994,0.68910107,1.50170115
evalv1_003,evidence,qa::ahd5k_03544,original_pool,0,3,0.39521144,0.75440555,0.29814971,0.69336115
evalv1_003,evidence,qa::ahdqa_0214313,original_pool,0,4,0.64502165,0.34079086,0.21981748,0.86483913
evalv1_003,evidence,qa::ahdqa_0684636,original_pool,0,5,0.65574767,0.29465032,0.19321626,0.84896394
