query_id,query,query_group,reference_answer,gold_entity_ids,gold_evidence_ids,gold_qa_ids,gold_relation_ids,answerable_from_final_graph,annotation_status,annotator_id,adjudicator_id,annotation_notes
evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,ent_merge_001058|ent_merge_001064,,,,false,provisional_dataset_annotation,dataset_preannotation_v1,,PROVISIONAL DATASET-DERIVED LABELS; human confirmation required; original_dataset_row_verified=true; source_qa_id=ahd5k_04855; source_row_number=795468; source_category=العقم; method=exact entity phrases in held-out question/reference plus frozen provenance overlap; not eligible for gold metrics until status is annotated or adjudicated
evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,symptoms,راجع اختصاصي باطنية عمل فحص شامل للدم والبول والبراز، وضغط الدم وما يلزم للمتابعة والتشخيص الدقيق.,ent_merge_001854|ent_merge_000649|ent_merge_000651|ent_merge_000802|ent_merge_000010|ent_merge_001924,men_merge_0003459|men_merge_0003736|men_merge_0003737|men_merge_0003852|men_merge_0003439|men_merge_0004549|men_merge_0003457|men_merge_0003458|men_merge_0003845|men_merge_0004546,ahd10k_06938|ahd10k_00499|ahd10k_00612|ahd10k_03179|ahd5k_04701,rel_seed_1212baa74be0077f|rel_seed_a50b3d92680f48a2|rel_seed_7896f89a376e0ebb|rel_seed_a0d26b768f70288f,true,provisional_dataset_annotation,dataset_preannotation_v1,,PROVISIONAL DATASET-DERIVED LABELS; human confirmation required; original_dataset_row_verified=true; source_qa_id=ahd5k_04950; source_row_number=723258; source_category=علم الأمراض; method=exact entity phrases in held-out question/reference plus frozen provenance overlap; not eligible for gold metrics until status is annotated or adjudicated
evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,tests_diagnosis,الفحص الطبي هو استقصاء ناقد ومعاينة بهدف التشخيص.ويشمل جميع الوسائل التي تفيد في تحقيق الهدف، من الفحص السريري ثم المختبر والأشعة بأنواعها والفحوصات الخاصة لأمراض معينة مثل فحص الحمل والسكري وفحص الدم للسرطان وغيرها كثير،، يفيد مراجعتك للمفردات تحت بند التشخيص في مواضيع خاصة.,ent_merge_000949|ent_merge_000948|ent_merge_000117|ent_merge_001033|ent_merge_001034|ent_merge_000059|ent_merge_000140|ent_merge_000355|ent_merge_000505|ent_merge_000924,men_merge_0005282|men_merge_0005283|men_merge_0002496|men_merge_0002503|men_merge_0004325|men_merge_0004326|men_merge_0004328|men_merge_0004886|men_merge_0004887|men_merge_0005110,ahd10k_01433|ahd5k_03068|ahd5k_00775|ahd5k_00114|ahd5k_00453,rel_seed_636070e77235dd06|rel_seed_74c5cd6b487c8e46|rel_seed_07ad6639df4e801c|rel_seed_1d29011c343397f4|rel_seed_3f4ecd6aead473a0|rel_seed_6810d499ea283c90|rel_seed_69b607cacc0060b2|rel_seed_d593b83cca8af228|rel_seed_c8a09df7324a1d4b|rel_seed_e57f93bb182973a0,true,provisional_dataset_annotation,dataset_preannotation_v1,,PROVISIONAL DATASET-DERIVED LABELS; human confirmation required; original_dataset_row_verified=true; source_qa_id=ahd5k_00570; source_row_number=791835; source_category=تشخيص; method=exact entity phrases in held-out question/reference plus frozen provenance overlap; not eligible for gold metrics until status is annotated or adjudicated
evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,اذا ما تم استعمال هذه المسكنات في المستشفى وتحت اشراف طبي فلا خوف منها ان شاء الله اما المسكنات فهناك انواع منها على شكل ابر ومنها غاز يتم استنشاقه ومنها التخدير النصفي ( ابرة الظهر ) وسوف يقوم طبيبك بتحديد ما يناسبك ومناقشة الأمر معك,ent_merge_000329|ent_merge_000326|ent_merge_001594|ent_merge_000188|ent_merge_000578|ent_merge_000129|ent_merge_000371|ent_merge_001593|ent_merge_001617|ent_merge_001188,men_merge_0003228|men_merge_0003229|men_merge_0003230|men_merge_0003243|men_merge_0003244|men_merge_0003403|men_merge_0003404|men_merge_0005531|men_merge_0005532|men_merge_0005533,ahd5k_00866|ahd10k_08356|ahd10k_00643|ahd10k_00874|ahd10k_03921,rel_seed_1244728dac819d22|rel_seed_38cdc31c0782c317|rel_seed_a3de31b9bcd0e1f6|rel_seed_f8f51e2af377bd23,true,provisional_dataset_annotation,dataset_preannotation_v1,,PROVISIONAL DATASET-DERIVED LABELS; human confirmation required; original_dataset_row_verified=true; source_qa_id=ahd5k_04806; source_row_number=785515; source_category=تخدير; method=exact entity phrases in held-out question/reference plus frozen provenance overlap; not eligible for gold metrics until status is annotated or adjudicated
evalv1_005,عندي ظعف في النظر اليسرى 7/10 واليمنى 10/10ولما زرت الطبيب قالي عندك حول لانو لما اكون بعيد ة الاشخاص مايظهرون لي خاصة من الوجه لا اعرف منهم غير لما احط...,general_medical,بسم الله الرحمن الرحيم هنا الرؤيا بالنظارة احسن . فلا ضير من استمرار لبس النظارة الطبية. في هذا العمر يعتبر النظر ثابت وما راح يضعف اكثر. تحتاجي لمراجعة عيادة العيون كل ستة شهور ويمكن عمل فحوصات للتأكد فيما اذا كنت قد تستفيدي من عملية تصحيح البصر والتخلص من النظارة الطبية .,ent_merge_000967|ent_merge_001051|ent_merge_001061|ent_merge_002226|ent_merge_002089,,,,false,provisional_dataset_annotation,dataset_preannotation_v1,,PROVISIONAL DATASET-DERIVED LABELS; human confirmation required; original_dataset_row_verified=true; source_qa_id=ahd5k_03589; source_row_number=763433; source_category=امراض العيون; method=exact entity phrases in held-out question/reference plus frozen provenance overlap; not eligible for gold metrics until status is annotated or adjudicated
evalv1_006,السلام عليكم اني المريض عمري 22 اعاني من ارتفاع ضغط الدم وكذلك عندم انتظامه رغم اخذ الادوية والالتزام بالاكل الصحي قليل الملح،وعند اجراء تحليل الالدستيرون تبين وجود فرط نشاط للهرمون...,treatment,اذا لم يثبت سبب اخر لارتفاع الضغط .. فأن معالجة خلل الهرمونات بالمتابعة مع طبيب اخصائي دقيق غدد صماء ممكن يسهم باستقرار ضغط الدم لديك بصورة تامة مع تمنياتي بالشفاء العاجل,ent_merge_000010|ent_merge_001264|ent_merge_001648|ent_merge_001924|ent_merge_001011|ent_merge_001018,men_merge_0003504|men_merge_0003513|men_merge_0003522|men_merge_0003536|men_merge_0003551,ahd10k_02710|ahd10k_03413|ahd10k_05624|ahd10k_00272|ahd10k_01649,rel_seed_25ed64fe7a8acab4,true,provisional_dataset_annotation,dataset_preannotation_v1,,PROVISIONAL DATASET-DERIVED LABELS; human confirmation required; original_dataset_row_verified=true; source_qa_id=ahd5k_02402; source_row_number=74618; source_category=ارتفاع ضغط الدم; method=exact entity phrases in held-out question/reference plus frozen provenance overlap; not eligible for gold metrics until status is annotated or adjudicated
evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,symptoms,نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,ent_merge_000059|ent_merge_000106|ent_merge_000975|ent_merge_000766|ent_merge_000772|ent_merge_001993|ent_merge_002179,men_merge_0002022|men_merge_0002031|men_merge_0001488|men_merge_0000965|men_merge_0000971|men_merge_0002029|men_merge_0005725|men_merge_0005730|men_merge_0002035|men_merge_0001501,ahd10k_06958|ahd10k_02085|ahd5k_03407|ahd10k_05259|ahd10k_01793,rel_seed_3e5e943eceac6a80,true,provisional_dataset_annotation,dataset_preannotation_v1,,PROVISIONAL DATASET-DERIVED LABELS; human confirmation required; original_dataset_row_verified=true; source_qa_id=ahd5k_01481; source_row_number=641334; source_category=أمراض المسالك البولية والتناسلية; method=exact entity phrases in held-out question/reference plus frozen provenance overlap; not eligible for gold metrics until status is annotated or adjudicated
evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,tests_diagnosis,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,ent_merge_000273|ent_merge_000626|ent_merge_000696|ent_merge_000270|ent_merge_000391,men_merge_0003340|men_merge_0001492|men_merge_0001493|men_merge_0003897|men_merge_0005436,ahd5k_01832|ahd10k_03182|ahd10k_02159|ahd10k_02998|ahd10k_04720,rel_seed_acdf81785be76241|rel_seed_bc05d86c6b97cbff,true,provisional_dataset_annotation,dataset_preannotation_v1,,PROVISIONAL DATASET-DERIVED LABELS; human confirmation required; original_dataset_row_verified=true; source_qa_id=ahd5k_02488; source_row_number=755723; source_category=أمراض الجهاز الهضمي; method=exact entity phrases in held-out question/reference plus frozen provenance overlap; not eligible for gold metrics until status is annotated or adjudicated
evalv1_009,اريد ان اعرف البكتيريا التي تسبب الاسهال؟,causes_safety,كثيرة هي الجراثيم التي تسبب الإسهال وتسبب أشكال مختلفة من التهابات المعدة والأمعاء ، وبعضه تخترق أنسجة الأمعاء وتنتشر في الدم والجهاز اللمفي والأجهزة الداخلية مسببة مجموعة من الأمراض الهامة وأهم الأنواع هي: الإشريكية القولونية والكلبسيللا والمتحولات والسالمونيللا، والشيغيللا والكوليرا واليرسينيا وغيرها.,ent_merge_000059|ent_merge_000106|ent_merge_000975|ent_merge_000045|ent_merge_000611|ent_merge_000939,men_merge_0001579|men_merge_0002022|men_merge_0002031|men_merge_0001488|men_merge_0002029|men_merge_0005725|men_merge_0005730|men_merge_0002035|men_merge_0001501|men_merge_0001585,ahd10k_06958|ahd5k_03407|ahd10k_05259|ahd10k_02085|ahd10k_01674,rel_seed_e22b285afd3721c2|rel_seed_504a3613bb12e397,true,provisional_dataset_annotation,dataset_preannotation_v1,,PROVISIONAL DATASET-DERIVED LABELS; human confirmation required; original_dataset_row_verified=true; source_qa_id=ahd5k_00174; source_row_number=790818; source_category=علم الأحياء الدقيقة; method=exact entity phrases in held-out question/reference plus frozen provenance overlap; not eligible for gold metrics until status is annotated or adjudicated
evalv1_010,كيف اجعل شعري يعود كثيفا وطويلا من جديد انا متزوجة,general_medical,تساقط الشعر وكثافته يعتمد على عامل وراثي ، والامراض الوراثية للان لم يتم اكتشاف علاج لها ولكن هناك بعض الادوية تستعمل لفترة طويلة وبحاجة الى صبر تساعد على نمو الشعر وتأخير تساقطه مثل Z-span كبسولة يوميا ودواء سنتروم كبسولة يوميا ، ودهن الرأس بمحلول مينيكسوديل 2%مرة يوميا وتناول اطعمة متوازنة تحتوي على فيتامين ب12 وفيتامين ج وفيتامين إي,ent_merge_001752|ent_merge_000251|ent_merge_001505|ent_merge_001503|ent_merge_001506|ent_merge_001440,men_merge_0001989|men_merge_0001990|men_merge_0001996,ahd10k_03128,rel_seed_4055383739aa6ee0,true,provisional_dataset_annotation,dataset_preannotation_v1,,PROVISIONAL DATASET-DERIVED LABELS; human confirmation required; original_dataset_row_verified=true; source_qa_id=ahd5k_03097; source_row_number=800326; source_category=أعشاب طبية; method=exact entity phrases in held-out question/reference plus frozen provenance overlap; not eligible for gold metrics until status is annotated or adjudicated
