relation_id,chunk_id,qa_id,source_row_number,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,candidate_relation_type,validated_relation_type,keep,confidence,evidence,reason,provider,model,prompt_version
rel_seed_dd8ebf14ff23d0f2,chunk_00001,ahd10k_03415,771586,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000776,حكة,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.900,أرجية حساسية - لدي حكه في فصل الشتاء,Direct mention of allergy causing winter itching,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_78d6f71f2d20de82,chunk_00001,ahd5k_00970,769766,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000709,بلغم,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.700,التهاب الجهاز التنفسي العلوي - ما علاج البلغم رغم أخذ هلاج؟,Upper respiratory inflammation linked to phlegm symptoms,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_603e373db8b4fbd8,chunk_00001,ahd5k_00970,769766,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000822,سعال,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.700,التهاب الجهاز التنفسي العلوي - السعال والبلغم كأعراض,Upper respiratory inflammation associated with cough,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_b0795c80958147a8,chunk_00001,ahd5k_00970,769766,ent_merge_000371,ربو,DiseaseCondition,ent_merge_000709,بلغم,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.600,ربو - ما علاج البلغم رغم أخذ هلاج؟,Asthma potentially presenting with phlegm symptoms,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_7c0bca2aa62f9edc,chunk_00001,ahd5k_00970,769766,ent_merge_000371,ربو,DiseaseCondition,ent_merge_000822,سعال,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.600,ربو - السعال والبلغم كأعراض,Asthma associated with cough symptoms,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_98a1e7d2b0f4dd65,chunk_00001,ahd5k_00970,769766,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000709,بلغم,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.800,حساسية الصدر - ما علاج البلغم رغم أخذ هلاج؟,Direct mention of allergy causing phlegm,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_30ff3f9299a1bc92,chunk_00001,ahd5k_00970,769766,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000822,سعال,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.950,السؤال يربط بين الحساسية وعوارض السعال والبلغم بشكل مباشر.,العلاقة مدعومة بوضوح من خلال السؤال الذي يربط الحساسية الصدرية بعوارض السعال.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_41abaa89db7d8ed7,chunk_00001,ahd5k_03872,383286,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000735,تعب,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.850,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,Direct causal link stated in QA: throat sensitivity causes fatigue as a symptom of inflammation,groq,qwen/qwen3-32b,colleague_validation
rel_seed_096cac3fde260a90,chunk_00001,ahd5k_03872,383286,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000847,ضيق تنفس,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.850,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,Direct causal link stated in QA: throat sensitivity causes breathing difficulty as a symptom of inflammation,groq,qwen/qwen3-32b,colleague_validation
rel_seed_1b739e00ece579d7,chunk_00002,ahd5k_00020,340580,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002166,حليب مكسر بروتين الحليب,Treatment,TREATED_BY,TREATED_BY,true,1.000,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,The QA explicitly states the treatment for cow's milk allergy.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_bd7f87647f58a852,chunk_00002,ahd5k_00133,376061,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002246,نازونكس,Treatment,TREATED_BY,TREATED_BY,true,1.000,بدائل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,The QA directly links Nasonex to treatment for seasonal allergic rhinitis.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_e2a71a94949a61f3,chunk_00003,ahd10k_06287,98412,ent_merge_000260,تشقق الجلد,DiseaseCondition,ent_merge_000766,حرقان,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.950,"تشقق الجلد في هذه المنطقة, أشعر بألم وحرقان في الفتحة",الحرقان مذكور كأعراض مباشرة لتشقق الجلد في النص.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_e6efa72444f2651e,chunk_00003,ahd10k_06287,98412,ent_merge_000260,تشقق الجلد,DiseaseCondition,ent_merge_001050,فحص سريري,Test,DIAGNOSED_BY,DIAGNOSED_BY,true,0.900,"تشقق الجلد في هذه المنطقة, فحص سريري",الفحص السريري مذكور كوسيلة لتشخيص تشقق الجلد.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_89f9bab460ccb04d,chunk_00003,ahd10k_06287,98412,ent_merge_000766,حرقان,Symptom,ent_merge_001050,فحص سريري,Test,INVESTIGATED_BY,INVESTIGATED_BY,true,0.850,"أشعر بألم وحرقان في الفتحة, فحص سريري",الفحص السريري مذكور كوسيلة لاستقصاء أسباب الحرقان.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_c057596fb9a2aa6e,chunk_00003,ahd5k_01231,390602,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000975,تحليل الحساسية,Test,DIAGNOSED_BY,DIAGNOSED_BY,true,0.900,"تناولت مضاد حيووي زييثرون وانتج حساسية شديدة, تحليل حساسية المضادات",تحليل الحساسية مذكور كوسيلة لتشخيص الحساسية الناتجة عن المضاد الحيوي.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_248894ebb1f96639,chunk_00003,ahd5k_01231,390602,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_001544,كورتيزون,Treatment,TREATED_BY,TREATED_BY,true,0.850,"تناولت مضاد حيووي زييثرون وانتج حساسية شديدة, استخدمي مضاد هيسامين وكورتيزون موضعي",الكورتيزون مذكور كعلاج مباشر للحساسية الناتجة.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_b8db318441c83bad,chunk_00003,ahd5k_01231,390602,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_001600,مضاد الهيستامين,Treatment,TREATED_BY,TREATED_BY,true,0.850,"تناولت مضاد حيووي زييثرون وانتج حساسية شديدة, استخدمي مضاد هيسامين وكورتيزون موضعي",مضاد الهيستامين مذكور كعلاج مباشر للحساسية الناتجة.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_235f3c76c533dd55,chunk_00003,ahd5k_01245,266907,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000918,RAST Test,Test,DIAGNOSED_BY,DIAGNOSED_BY,true,0.850,معرفة سبب الحساسيه يتم ذلك عن طريق RAST Test,"The QA explicitly states that RAST Test is used to determine the cause of the allergy, directly supporting the DIAGNOSED_BY relation.",groq,qwen/qwen3-32b,colleague_validation
rel_seed_27188af5cd772db5,chunk_00004,ahd10k_00560,502449,ent_merge_000312,جفاف الجلد,DiseaseCondition,ent_merge_001126,Vaseline,Treatment,TREATED_BY,TREATED_BY,true,1.000,Vaseline,QA evidence explicitly states Vaseline as treatment for dry skin.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_4a6448f814b2f13b,chunk_00005,ahd10k_01949,169254,ent_merge_000847,ضيق تنفس,Symptom,ent_merge_000949,الفحص الطبي,Test,INVESTIGATED_BY,INVESTIGATED_BY,true,0.850,الفحص الطبي يمكن أن يساعد,Direct evidence links the medical exam to investigating dyspnea.,groq,qwen/qwen3-32b,colleague_validation
rel_seed_f682bfa44bcf4de2,chunk_00005,ahd10k_01949,169254,ent_merge_000250,تسارع قلبي,DiseaseCondition,ent_merge_000949,الفحص الطبي,Test,DIAGNOSED_BY,DIAGNOSED_BY,true,0.850,الفحص الطبي يمكن أن يساعد,Direct evidence links the medical exam to diagnosing tachycardia.,groq,qwen/qwen3-32b,colleague_validation
rel_seed_dc054699a041344a,chunk_00006,ahd10k_01239,622816,ent_merge_000684,النتصاب,Symptom,ent_merge_001386,ختان,Treatment,TREATED_BY,TREATED_BY,true,1.000,اجريت عملية ختان منذ شهرين,Circumcision is explicitly stated as a treatment for phimosis.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_c2b652a865fca387,chunk_00006,ahd5k_00812,393214,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002139,تجنب المنتجات التي تحوي جلوتين,Treatment,TREATED_BY,TREATED_BY,true,1.000,للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين,Avoiding gluten is directly cited as the primary treatment for celiac disease.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_7b16ef358f086e76,chunk_00006,ahd5k_02124,382451,ent_merge_000091,التهاب اللوزتين,DiseaseCondition,ent_merge_001934,نشفان,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.850,النشفان مذكور كأعراض بعد التهاب اللوزتين,النص يربط مباشرة بين التهاب اللوزتين والنشفان,groq,qwen/qwen3-32b,colleague_validation
rel_seed_05fda8fa93120777,chunk_00006,ahd5k_02124,382451,ent_merge_001934,نشفان,Symptom,ent_merge_002191,شراب ECHINACEA,Treatment,TREATED_BY,TREATED_BY,true,0.800,يوجد أيضا شراب ECHINACEA يحسن حالتك,Echinacea syrup is explicitly mentioned as improving throat dryness symptoms.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_f156f1b30130e684,chunk_00006,ahd5k_02124,382451,ent_merge_001934,نشفان,Symptom,ent_merge_002143,تقوية المناعة,Treatment,TREATED_BY,TREATED_BY,true,0.900,عليك بتقوية المناعة بأكل الفواكة... تقوية المناعة,Immune system strengthening is directly recommended as a treatment approach.,groq,qwen/qwen3-32b,dah_relation_validation_v1
rel_seed_0e17e506193644c9,chunk_00007,ahd10k_04091,237117,ent_merge_000776,حكة,Symptom,ent_merge_001398,دهونات ترطيب,Treatment,TREATED_BY,TREATED_BY,true,0.850,استعلي دهونات ترطيب,Direct treatment of 'حكة' (itching) with moisturizers is explicitly stated.,groq,qwen/qwen3-32b,colleague_validation
