query_id,query,candidate_answer,reference_answer,bertscore_precision,bertscore_recall,bertscore_f1
unseen100_001,السلام عليكم عند مشكلة في كبر الحوض اْي المؤخرة غير متناسقة مع جسمي مشكلتي بدءت في سن 14 سنة لقد راحت مؤخرة تكبرفي مدة قصيرة اْي بضعة اْشهر ومن الوقت...,التقيم بحاجة الى اخذ تاريخ مرضي واضح ومن ثم الفحص السريري واخيرا عمل الفحوصات المخبرية والصورالشعاعية ومن ثم العلاج,قياسات الجسم تتحدد غالباً بالوراثة، وهذه العلامة من النمو هي علامة على خلل في الغدد الصماء، وعليك مراجعة طبيب الغدد الصماء وعمل فحص للهرمونات، لتحديد إمكانية العلاج.,0.670184,0.666341,0.668257
unseen100_002,السلام عليكم سؤالي هل اجري عملية ترقيع عضو الذكري لطفلي او لا حيث انه بعد ان اجريت عمليه الطهارة لطفلي راه اطباء قال احدهم لابد من عمليه ترقيع للعضو عندما...,اشربي قهوتك و شايك على راحتك مع المحافظة على تنظيف الاسنان.,"باعتقادي انه لا بد من اجراء العمليه ومن دون تاخير.....
اذ انه كان من الخطأ ان تجرى له عمليه ختان....",0.660467,0.642612,0.651417
unseen100_003,عمري 48 عاما قمت بتركيب 4 دعامات في الشريان التاجي منذ شهرين والان بشعر ببعض الدوخة وعدم التركيز علي فترات وغالبا ماتكون اثناء المشي علما باني قمت بقياس الضغط وكان...,كثير من الفتيات يعانن من هذه الأعراض وذلك نتيجة انخفاض الضغط وبالتالي ارتفاع نبضات القلب والشعور بالدوخة والإجهاد وينصح بتناول وجبة الإفطار والإكثار من السوائل والأملاح .. ألف سلامة,"أسباب الدوخة هذه كثيرة وأكثرها شيوعاً امراض الأذن, ومشاكل الفقرات العنقية, وأحياناً الأدوية لذلك ننصحك بمعاودة طبيك المعالج للكشف عن أي علامة سريرية قد تكون موجودة لديك وتساعد في تحديد السببب",0.679719,0.664183,0.671861
unseen100_004,لدي انتفاخ يشبه العرق يمين منطقة العانة لم يكن موجود قبل اسبوع مع العلم امارس رياضة كمال الاجسام من شهر ذهبت لجراح شخص الحالة على انها بداية فتق و آخر...,هذا يتطلب معرفة نسبة الضعف الموجود في العضلة القلبية ونسبة التضيق في الثلاثة شرايين المذكورة، كما أنه من الضروري معرفة الحالة الوظيفية لباقي أعضاء الجسم خاصة الكلى والجهاز التنفسي، والكبد وغيره، وفي جميع الأحوال في العادة تُعرض نتائج القثطرة على فريق طبي مُتخصص لتقييم كل هذه الأمور ومن ثم يتم اختيار الطريقة العلاجية التي تتناسب أكثر مع حالة المريض,يوجد نوعين من الفتق الاربي المباشر اللي فيه انتفاخ مباشر يزداد بالسعال والاخر غير المباشر يحتاج لفحص بالاصبع,0.613264,0.636187,0.624515
unseen100_005,هل الوزن الزائد سبب في قصر القضيب,في الغالب الجينات والوراثة!!,السمنة تقصر القضيب، فكل زيادة وزم ١٠ كغم تقصر واحد سم من طول القضيب!,0.683474,0.621923,0.651247
unseen100_006,ما هي الأضرار الناتجة عن التعرض لعنصر النيكل؟,يعتقد أن لزيت الحبة السوداء أو ما يعرف بحبة البركة العديد من الفوائد الصحية، والتي تضمن فوائد للجلد، والشعر، والجسم، والمناعة، ولكن لم يتم إثبات فاعلية جميع الفوائد المشهورة للحبة السوداء والمستخدمة في الطب الشعبي، لذلك ينصح باستشارة الطبيب قبل استخدام الحبة السوداء في علاج أي من الاضطرابات الصحية المختلفة. سوف أبين لك فيما يأتي مجموعة من فوائد زيت الحبة السوداء الشائعة: التخفيف من أعراض الربو وأمراض الجهاز التنفسي. علاج حساسية الأنف والتهاب الجيوب الأنفية. التخفيف من أعراض الصداع والصداع النصفي. التخفيف من الأرق، والقلق، والتوتر. التخفيف من أعراض بعض الأمراض الجلدية مثل الصدفية والإكزيما. علاج اضطرابات الهضم والتخفيف من أعراض القولون العصبي. تنظيم سكر الدم. تنظيم ضغط الدم والكوليسترول. ت...,"صنف النيكل من المواد المسببة لسرطان عند الإنسان، التعرض المزمن للنيكل هو أحد عوامل الخطر للاصابة بسرطان الرئة
النيكل هو أكثر المعادن المسببة للحساسية",0.617706,0.667287,0.64154
unseen100_007,يوجد كتلة في الكلية ١٠ سم وقال الطبيب أنها موجودة منذ ٣ سنوات وتم اكتشافها في أثناء تشخيص حالة المرارة,أنصحك بمراجعة أخصائي الأمراض الداخلية الذي قد يطلب صور شعاعية للرأس من ضمن فحوص أخرى تحياتي,اعمل صورة مرنان مغناطيسي للكلية مع حقن مادة ظليلة وارسل النتيجة,0.665554,0.678923,0.672172
unseen100_008,زوجتي حامل في نهاية شهرها السابع وتبين من صور الأشعة السينية أن الجنين يعاني من متلازمة Chiari من الدرجة الثانية، : هل من الممكن الحصول على قائمة بأسماء مراكز طبية...,أحياناً تسوس الأسنان أو أي خراجات باللثة أو انتان خفي أو ظاهر بمنطقة العنق يمكنها أن تسبب تضخم بالغدد اللمفية الموضعية وهنا لابد من مراجعة طبيب أسنان وطبيب أذنية للبحث عن وجود انتان ومعالجته,"نعم هنالك عدد من اختصاصي جراحة الاكفاء في عمان الرجاء الاتصال بنا لدى حضوركم وسوف نقوم بالاتمام شخصيا لانتقاء افضل اطباء جراحي الاطفال لاجراء العمليه.
د.سليمان ضبيط
مدير وحدة الاخصاب والوراثة
+962-6-4647217
+962-6-4644281
+692-79-5544688",0.627137,0.587435,0.606637
unseen100_009,عندي فرط في تعرق اليدين والقدمين ويحدث تعرق لمناطق اخري كثير ولكن اريد حل لليدين والقدمين,الحل اما علاج درايسول محلول يوميا ليلا ثم اسبوعيا او العلاج الحديث بابر البوتوكس الموضعيه باشراف طبيب جلديه,اعمل تحاليل الغدة الدرقية اذا كانت طبيعية راجع طبيب أمراض الجلدية,0.665603,0.697268,0.681067
unseen100_010,اعاني من حكه بالبطن واحمرار وكذلك الوجه واليدين وانتفاخ البطن ولاتوجد حبوب مع العلم اني اتناول ادويه للضغط والسكر ومسيل الدم واسبرين,هذا يتطلب معرفة نسبة الضعف الموجود في العضلة القلبية ونسبة التضيق في الثلاثة شرايين المذكورة، كما أنه من الضروري معرفة الحالة الوظيفية لباقي أعضاء الجسم خاصة الكلى والجهاز التنفسي، والكبد وغيره، وفي جميع الأحوال في العادة تُعرض نتائج القثطرة على فريق طبي مُتخصص لتقييم كل هذه الأمور ومن ثم يتم اختيار الطريقة العلاجية التي تتناسب أكثر مع حالة المريض,"حساسيه الارتكاريا لابد من معرفة اخر شي تم التعرض له من غذاء ودواء او مسببات في الجو
لابد من مراجعة طبيب حساسيه",0.645072,0.669763,0.657185
unseen100_011,اعاني من خشونه المنطقه الحساسه حتى عند نزع الشعر بالحلاوة ماهو السبب ؟,أعراض التهاب وحساسيه الجيوب الانفيه لابد من استخدام الادويه المناسبه بعد الفحص عند طبيب ENT,لتفادي ظهور الحبوب بعد الحلاقة: تظهرالحبوب وتحدث الخشونة بسبب أن الشعر عندما يبدأ بالنمو والظهور نكون الشعرة مثل الشوكة فتسبب الحكة فتثير بصيلات وجراب الشعر فتتكون الحبوب. والحل هو ان لا تحلقي الشعر بالشفرة وتنعميه تماما وإنما يكفي أن تحلقيه بمكينة كهربائية أو بمشط فيه شفرة بحيث يبقى حزء من الشعر طالع فوق الجلد ولا يسبب حكة وبالتالي لاتتكون الحبوب .وإذا كنت مصرة على التنعيم بالشفرة أو الجلاوة أو الشمع فيمكنك بعد الحلاقة مباشرة وتنظيف المنطقة من الشعر وغسلها وتنشيفها أن تدهنيها بمرهم اسمه فيوزيكورت وكرري الدهن مرة أو مرتين في اليوم لمدة يومين أور ثلاثة وإن شاء الله ما يصير عندك حكة ولا حبوب .وهناك طريقة أخرى وهي أن تعملي صنفرة للمنطقة بكريم كاب بعد الحلاقة والتنظيف والغسل ادهني المنطقة بكريم جليسوليد مرة أو مرتين يوميا ويمكنك استخدام مرهم إسكن أورن، أو زيتاكورت ، ومسح المنطقة بمحلول خاص اسمه اسكن ستوب لوشن 20% فيمنع الحكة والحبوب.,0.642825,0.575452,0.607276
unseen100_012,اريد ان اسال عن كيفية استعمال ملح بيكاربونات الصوديوم للتشطيف اقصد ماهي نسب الملح بالنسبة للماء وكم مرة يستخدم باليوم للقضاء على الفطريات بانتظار الرد تحياتي,"ان ارتفاع ال CRP وكذلك ارتفاع كريات الدم البيضاء يدل على وجود التهاب( انفلونزا, التهاب باللثه ,وغيرها....), ولكن اذا كان ال CRP هو فقط ايجابي او حتى مرتفع حتى 10 فيمكن ان يعتبر طبيعياً وكذلك ارتفاع الكريات الدم البيضاء حتى 16,000 يعتبر طبيعياً اثناء الحمل ويصل اثناء الولاده الى 20,000. لذا فقط انصحك باعاده هذه الفحوصات فاذا لم يكن هناك ازدياد بمعدل هذه الفحوصات فلا داعي للقلق. اما اذا كان هناك ازدياد بمعدلها فانصحك بمراجعه الطبيب مره اخرى للفحص.",يفضل التشطيف بالماء والملح 9بالالف اي 9 غم ملح لكل لتر ، او بالمطهرات المنزلية المعروفة مخففة جدا يعني كاسة شاي في كل لتر ماء مثل ديتول او ريكسول او غيرهما ، 3 مرات يوميا ولكن لابد من استخدام دواء مضاد للفطريات مثل مايكوهيل جل ، وتحاميل مهبلية تافيجيل تحميلة واحدة عند النوم توضع عميقا داخل المهبل عند النوم اذا كنت متزوجة,0.635747,0.636967,0.636356
unseen100_013,"Salam alikom, O3ani min mochkil l3ara9 ta7ta L2ibt , wa yountijo 3an dalika ra2i7a kariha . bimadana tansa7ounani",يجب اجراء الفحص السريري و الفحوصات المخبرية لتحديد السبب ثم العلاج,"1- مضادات التعرق مثل الدرايسول ، ويمكن وضعه على اليدين والإبكين في الليل وإزالته في الصباح.ويمكن أن تكون مفيدة في الحالات الخفيفة.
2- محلول كلوريد اللومينيوم والذي يوجد في السوق تحت أسماء متعددة .
3- بوتوكس النوع أ وهو يستعمل كحقن لمنع وظيفة الغدد العرقية ويستمر تأثيرها من 4 إلى 9 أشهر حسب موضع الحقنة ويمكن حقنها في اليدين والقدمين مع بنج موضعي.
4- الأدوية الفموية: مضادات الفعل الكوليني أظهرت القدرة على تخفيض نسبة التعرقمثل الأوكسيبيوتينين، بعض الناس لا تتحمل آثاره الجانبية مثل جفاف الفم والدوخة، ويوجد عدة أدوية من نفس العائلة بتأثير مشابه.ودواء آخر أقل فاعلية هو الببيروبنتيلئين بروميد أو البروباتينوالبنزوتروبين.
وهناك من الأدوية الفموية أيضاً حاصرات بيتا، ولكنها لم تظهر مفعولاَ مشجعاً كما يمكن استعمال الأدوية المضادة للإكتئاب لتخفيف التوتر الذي يؤدي إلى التعرق ايضاً.
5- تنقيص الوزن يساعد في تخفيف التعرق الذي قد تكون السمنة أحد أسبابه.
6- استعمال البودرة كعلاج أولي لامتصاص العرق
7- التأمل والاسترخاء
8- الإبر الصينية
9- استئصال الودي عبر الجلد وهي جراحة صغيرة ، حيث يبطل عمل العصب الودي بواسطة حقنة من الفينول.
راجعي فرط التعرق في القاموس.",0.677827,0.58277,0.626714
