query_id,query,answerability_label,overall_reliability_score,reliability_score,reliability_label,claim_support_rate,hallucination_rate,mean_support_score,evidence_coverage,relation_confidence,source_reliability,evidence_count,supporting_relation_count,unique_source_count,claim_count,context_signal,calibration_bin,auroc,auprc,average_latency_seconds
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,answerable,0.8594,0.8594,high,1.0,0.0,0.4495,0.3333,0.7754,0.9542,6,2,2,2,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,answerable,0.8394,0.8394,high,1.0,0.0,0.5385,0.1429,0.8271,0.9594,7,1,1,1,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,1,0.0,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,answerable,0.7355,0.7355,medium,1.0,0.0,0.5833,0.1667,0.5059,0.8973,6,1,1,1,0.0,0.7-0.8,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,answerable,0.8772,0.8772,high,1.0,0.0,0.6364,0.5,0.7318,0.9498,6,3,1,1,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,answerable,0.8072,0.8072,high,1.0,0.0,0.3974,0.5,0.4711,0.7438,4,2,1,2,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,insufficient_evidence,0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,0.2-0.3,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,answerable,0.8838,0.8838,high,1.0,0.0,0.4602,1.0,0.4804,0.7447,2,2,1,2,1.0,0.8-0.9,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,insufficient_evidence,0.0,0.0,low,0.0,1.0,0.0,0.0,0.0,0.0,6,0,0,1,0.0,0.0-0.1,not_available_no_gold_labels,not_available_no_gold_labels,not_available_no_timing_trace
