entity_id,canonical_name,canonical_name_norm,entity_type,aliases,confidence,provider,model
ent_merge_000001,bacteremia,bacteremia,DiseaseCondition,"[""bacteremia""]|bacteremia",0.0,,
ent_merge_000002,septicemia,septicemia,DiseaseCondition,"[""septicemia""]|septicemia",0.0,,
ent_merge_000003,إجهاض,اجهاض,DiseaseCondition,"""اجهاض""]|[""إجهاض""|إجهاض",0.0,,
ent_merge_000004,إجهاض متكرر,اجهاض متكرر,DiseaseCondition,"[""إجهاض متكرر""]|إجهاض متكرر",0.0,,
ent_merge_000005,إدمان,ادمان,DiseaseCondition,"[""إدمان""]|إدمان",0.0,,
ent_merge_000006,إدمان القات,ادمان القات,DiseaseCondition,"[""إدمان القات""]|إدمان القات",0.0,,
ent_merge_000007,ارتخاء,ارتخاء,DiseaseCondition,"""ارتخاء في الآنسجة الضامة""]|[""ارتخاء""|[""ارتخاء""]|ارتخاء",0.0,,
ent_merge_000008,ارتخاء في الصمام الميترالي,ارتخاء في الصمام الميترالي,DiseaseCondition,"[""ارتخاء في الصمام الميترالي""]|ارتخاء في الصمام الميترالي",0.0,,
ent_merge_000009,ارتفاع انزيمات الكبد,ارتفاع انزيمات الكبد,DiseaseCondition,"""ارتفاع في انزيمات الكبد""]|[""ارتفاع انزيمات الكبد""|ارتفاع انزيمات الكبد",0.0,,
ent_merge_000010,ارتفاع ضغط الدم,ارتفاع ضغط الدم,DiseaseCondition,"""ارتفاع ضغط الدم""|""ارتفاع ضغط""|""ارتفاع في الضغط""|""ارتفاع في ضغط الدم""|""الضغط الخبيث""|""الضغط المرتفع""|""الضغط""|""حبة""|""ضغط الدم المرتفع""|""ضغط الدم المفرط""|""ضغط الدم""|""ضغط دم""|""ضغط عالي""|""ضغط""|""فرط ضغط الدم""]|""كتلة""]|[""ارتفاع الضغط الشرياني""|[""ارتفاع ضغط الدم""|ارتفاع ضغط الدم",0.0,,
ent_merge_000011,ارتفاع هرمون الحليب,ارتفاع هرمون الحليب,DiseaseCondition,"[""ارتفاع هرمون الحليب""]|ارتفاع هرمون الحليب",0.0,,
ent_merge_000012,ارتفاع هرمون اللبن,ارتفاع هرمون اللبن,DiseaseCondition,"[""ارتفاع هرمون اللبن""]|ارتفاع هرمون اللبن",0.0,,
ent_merge_000013,ارتكاريا,ارتكاريا,DiseaseCondition,"[""ارتكاريا""]|ارتكاريا",0.0,,
ent_merge_000014,آرجية جلدية,ارجيه جلديه,DiseaseCondition,"[""آرجية جلدية""]|آرجية جلدية",0.0,,
ent_merge_000015,استرواح الصدر,استرواح الصدر,DiseaseCondition,"""استرواح الصدر""]|[""pneumo thorax""|استرواح الصدر",0.0,,
ent_merge_000016,استرواح الصدر التوتري,استرواح الصدر التوتري,DiseaseCondition,"[""استرواح الصدر التوتري""]|استرواح الصدر التوتري",0.0,,
ent_merge_000017,استرواح الصدر اللاتوتري,استرواح الصدر اللاتوتري,DiseaseCondition,"[""استرواح الصدر اللاتوتري""]|استرواح الصدر اللاتوتري",0.0,,
ent_merge_000018,اسنان,اسنان,DiseaseCondition,"[""اسنان""]|اسنان",0.0,,
ent_merge_000019,إسهال,اسهال,DiseaseCondition,"[""إسهال""]|إسهال",0.0,,
ent_merge_000020,اشعه الشمس,اشعه الشمس,DiseaseCondition,"[""اشعه الشمس""]|اشعه الشمس",0.0,,
ent_merge_000021,إصابات القلب,اصابات القلب,DiseaseCondition,"[""إصابات القلب""]|إصابات القلب",0.0,,
ent_merge_000022,إصابة الكلى,اصابه الكلي,DiseaseCondition,"""قصور الكلى""]|[""إصابة الكلى""|إصابة الكلى",0.0,,
ent_merge_000023,اضطراب الجهاز العصبي,اضطراب الجهاز العصبي,DiseaseCondition,"[""اضطراب الجهاز العصبي""]|اضطراب الجهاز العصبي",0.0,,
ent_merge_000024,اضطراب المناعه,اضطراب المناعه,DiseaseCondition,"""اضطراب المناعه""]|[""اضطراب المناعة""|اضطراب المناعه",0.0,,
ent_merge_000025,اضطراب الوسواس القهري,اضطراب الوسواس القهري,DiseaseCondition,"[""اضطراب الوسواس القهري""]|اضطراب الوسواس القهري",0.0,,
ent_merge_000026,اضطراب دقات القلب,اضطراب دقات القلب,DiseaseCondition,"[""اضطراب دقات القلب""]|اضطراب دقات القلب",0.0,,
ent_merge_000027,اضطراب فى القولون,اضطراب في القولون,DiseaseCondition,"[""اضطراب فى القولون""]|اضطراب فى القولون",0.0,,
ent_merge_000028,اضطرابات الغدد,اضطرابات الغدد,DiseaseCondition,"[""اضطرابات الغدد""]|اضطرابات الغدد",0.0,,
ent_merge_000029,اضطرابات هرمونية,اضطرابات هرمونيه,DiseaseCondition,"[""اضطرابات هرمونية""]|اضطرابات هرمونية",0.0,,
ent_merge_000030,اعاقة ذهنية,اعاقه ذهنيه,DiseaseCondition,"[""اعاقة ذهنية""]|اعاقة ذهنية",0.0,,
ent_merge_000031,أعضاء الحس,اعضاء الحس,DiseaseCondition,"[""أعضاء الحس""]|أعضاء الحس",0.0,,
ent_merge_000032,اغتصاب,اغتصاب,DiseaseCondition,"[""اغتصاب""]|اغتصاب",0.0,,
ent_merge_000033,اكتئاب,اكتياب,DiseaseCondition,"""الإكتئاب""]|[""اكتئاب""|[""اكتئاب""]|اكتئاب",0.0,,
ent_merge_000034,إكزيما,اكزيما,DiseaseCondition,"""اكزيما""|""الأكزيما""|""الاكزيما الدهنيه""]|[""إكزيما""|إكزيما",0.0,,
ent_merge_000035,أكلة الأظافر,اكله الاظافر,DiseaseCondition,"[""أكلة الأظافر""]|أكلة الأظافر",0.0,,
ent_merge_000036,الاباضة,الاباضه,DiseaseCondition,"[""الاباضة""]|الاباضة",0.0,,
ent_merge_000037,الاجهاض,الاجهاض,DiseaseCondition,"""الاجهاض""]|[""اجهاض""|الاجهاض",0.0,,
ent_merge_000038,الأسمرار,الاسمرار,DiseaseCondition,"[""الأسمرار""]|الأسمرار",0.0,,
ent_merge_000039,الاضطرابات النفسية,الاضطرابات النفسيه,DiseaseCondition,"[""الاضطرابات النفسية""]|الاضطرابات النفسية",0.0,,
ent_merge_000040,الإكتئاب,الاكتياب,DiseaseCondition,"""الإكتئاب""|""الاكتئاب""|""الاكتئاب""]|""شعور بالخوف""]|[""اكتئاب""|الإكتئاب|الاكتئاب",0.0,,
ent_merge_000041,الاكزيما,الاكزيما,DiseaseCondition,"[""الاكزيما""]|الاكزيما",0.0,,
ent_merge_000042,الأكل الزائد,الاكل الزايد,DiseaseCondition,"[""الأكل الزائد""]|الأكل الزائد",0.0,,
ent_merge_000043,الإلتهابات,الالتهابات,DiseaseCondition,"[""الإلتهابات""]|الإلتهابات",0.0,,
ent_merge_000044,الامراض المعدية,الامراض المعديه,DiseaseCondition,"[""الامراض المعدية""]|الامراض المعدية",0.0,,
ent_merge_000045,الامعاء,الامعاء,DiseaseCondition,"[""الامعاء""]|الامعاء",0.0,,
ent_merge_000046,الانفلونزا,الانفلونزا,DiseaseCondition,"[""الانفلونزا""]|الانفلونزا",0.0,,
ent_merge_000047,الانيميا,الانيميا,DiseaseCondition,"""الانيميا""]|[""الأنيميا""|الانيميا",0.0,,
ent_merge_000048,الأورام الليفية العصبية,الاورام الليفيه العصبيه,DiseaseCondition,"[""الأورام الليفية العصبية""]|الأورام الليفية العصبية",0.0,,
ent_merge_000049,الأوعية اللمفية,الاوعيه اللمفيه,DiseaseCondition,"[""الأوعية اللمفية""]|الأوعية اللمفية",0.0,,
ent_merge_000050,الإياس,الاياس,DiseaseCondition,"[""الإياس""]|الإياس",0.0,,
