cohort,query_id,query,reference_answer,automatic_failure_class,automatic_reason,oracle_rank,qa_id,source_question,source_answer,answer_similarity,question_similarity,scenario_score,scenario_conflicts,query_concept_coverage,retrieved_by_current_pipeline,human_failure_class,human_equivalent_evidence,annotation_notes,annotation_status
ahd_reference,evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,5,ahdqa_0797040,ما هو سبب الحرقة فى القضيب بعد الجماع,"من الممكن ان يكون عندك التهابات
اعمل فحص بول وكذلك زراعه للبول
مع عمل تحليل للسائل المنوي وممكن زراعه للسائل",0.875123,0.815259,0.305,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,7,ahdqa_0599537,لدي طفله عمرها 6 سنوات تعاني من حرقان البول وخروج بعض الدم عند التبول. وشكرا,هذه اعراض التهاب البول. يفضل اجراء فحص بول و زراعة بول للتاكد و اظهار نوع الالتهاب لمعرفة العلاج المناسب.,0.871243,0.821385,0.605,"[""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,16,ahdqa_0606272,عمري 22 وزوجي 27 متزوجه من 11 شهر ولم يحدث حمل زوجي عنده تقطع في البول ويصيبني حرقان في المهبل بعد القذف هل زوجي عنده مشكله تحد من حدوث حمل؟...,"يجب عمل فحص زراعة البول عند الزوج
وفحص غدة البروستات عن طريق جهاز السونار والدم
وشكرا",0.865449,0.854963,0.705,"[""intent_mismatch""]",0.666667,False,,,,pending_human_confirmation
ahd_reference,evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,19,ahdqa_0105470,"انا حامل بالشهر السادس وعندي التهابات متوسطة بالبول تسبب لي تقلصات وألام الظهر و الفخذين
وصفلي طبيبي حقن ceftriaxone 1g في الوريد
وكذلك دواء metoxim
هل هي ادوية فعالة وتخفف...",يجب عمل فحص زراعة بول اذا كان هناك يوجد التهاب بالمجاري البولية و بعدها يتم اعطاء الدواء المناسب للبكتيريا المسببة,0.86423,0.823762,0.605,"[""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,2,ahdqa_0546174,ماسبل وجود ماء في البطن,"ان كنت تعني استسقاء اي ان الماء يسري بين الاحشاء داخل البطن فله اسباب كثيرة
اهمها مشاكل الكبد وتعب القلب والكلى و نقص البروتين",0.879151,0.828586,0.35,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,4,ahdqa_0538420,السلام عليكم دكتور ابني عمر 22 يوم عنده موجود ماء في البطن سبب انتفاخ في البطن شنو السبب,اولا كيف عرفت ان هنالك ماء في البطن؟ هل فحص من قبل طبيب الاطفال؟ انتفاخ البطن ان كان حقيقة عنده انتفاخ بطن له اسباب عديدة وبعضها نسبية طبيعية يرجى الايضاح,0.872905,0.854242,0.65,"[""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,5,ahdqa_0320628,اعاني من حبه في فتحة الشرج ولكن لا اشعر بالام ولا اي شي منها,اخي الكريم لا حياء في الطب يجب ان تزور طبيب جراح ليعاينك ويفحص فتحة المخرج والتأكد من التشخيص ، لانه من المحتمل ان لا تكون حبة انما هي تضخم في احد الشرايين او ما يسمى بالباسور الخارجي ولكن هذا ليس التشخيص النهائي لان التشخيص الصحيح هو بعد الفحص الدقيق للمنطقة التي ذكرتها,0.86959,0.818953,0.305,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,8,ahdqa_0752431,والدتي مريضه بالكلى منذ سنه ونصف تقريبآ تقوم بعلاج الغسيل الكلى في المستشفى ولكنها تعاني من انتفاخ في بطنها برغم من أنها لاتعاني من مشاكل البول ولا مشاكل خروج الغازات...,اخي الكريم انتفاخ البطن عند الوالدة يجب دراسته وفحصه اولا ربما هو نتيجة استسقاء Ascitis في جدار البطن وهو من احد نتائج الفشل الكلوي وهذا ما يجب طرحه على الطبيب المعالج كي يفحصها ويتفحص صدرها وعمل القلب والضغط لمعرفة سبب السعال والذي ممكن ان يكون مصدره قصور ما في عمل القلب . كل هذا يوضحه الطبيب عند فحصها فلا يجب التأخير في ذلك,0.865855,0.84518,0.65,"[""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,11,ahdqa_0231480,اشعر بالم في اسفل بطن ونفخة وعندي تسرع في زيادة وزن,يجب استشارة طبيب لفحصك سريريا ولمعرفة سبب النفخة التي تذكرها هل هي مجرد نفخة ناتجة عن غازات او ان هناك تضخم في اي عضو في البطن او أي شيء اخر يسبب لك الألم والنفخة .اذا كانت مجرد نفخة . يمكن استعمال حبوب الفحم,0.859661,0.842879,0.35,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_015,انا شخص مدخن من ٣ سنوات من امس اصبحت اشعر بصعوبة اخذ النفس لدرجة اشعر بالنعاس وقلة التركيز اليوم رحت للطبيب عملي اكس راي وقلي عندي التهاب قصبات هوائية وصفلي...,هذا الدواء يساعد على اسهال اخراج البلغم عندما يكون متخثر. تستطيعين اخذ ٢ ل من الماء اذا ليس لديك مشكل في الكلية. فهو يساعد ايضا على اخراج البلغم. لا تاخذيهما في اليل,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,5,ahdqa_0789932,لو سمحت معي بلغم بحلقي واستخدمت طارد للبلغم ولم استفد منه واستخدمت غسول لطرد البلغ ولم استفد اريد علاج طبيعي لطرد البلغم، وهل الثوم يطرد البلغم؟,"هناك العديد من العلاجات الطبيعية التي يمكن أن تساعد على طرد البلغم، ومنها:

المشروبات الساخنة: مثل الماء الدافئ والشاي الخالي من الكافيين ومرق اللحم أو الدجاج،و تساعد هذه المشروبات على الحفاظ على رطوبة الجسم وتذويب البلغم.
الزنجبيل: له خصائص مضادة للالتهابات ومضادة للميكروبات، ويمكن أن يساعد في تخفيف السعال وطرد البلغم. يمكنك تناول الزنجبيل الطازج أو المجفف، أو إضافة ملعقة صغيرة من عصير الزنجبيل إلى كوب من الماء الدافئ.
النعناع: له خصائص مضادة للالتهابات وطاردة للبلغم، ويمكن أن يساعد في تخفيف السعال وطرد البلغم. يمكنك تناول أوراق النعناع الطازجة أو المجففة، أو إضافة ملعقة صغيرة من زيت النعناع إلى كوب من الماء الدافئ.
استنشاق البخار: يمكن أن يساعد استنشاق البخار في تخفيف التهاب الشعب الهوائية وطرد البلغم. يمكنك استنشاق البخار من الماء الساخن، أو إضافة بضع قطرات من الزيوت العطرية، مثل زيت النعناع أو زيت الأوكالبتوس.
تجنب التدخين: التدخين يمكن أن يزيد من إنتاج البلغم.
أخذ قسط من الراحة: يمكن أن تساعد الراحة الجسم على التركيز على محاربة العدوى وطرد البلغم.

هل الثوم يطرد البلغم؟
 
نعم، الثوم يحتوي على مركبات مضادة للالتهابات ومضادة للبكتيريا، والتي يمكن أن تساعد في تخفيف السعال وطرد البلغم. يمكن تناول الثوم الخام أو المطبوخ، أو إضافة ملعقة صغيرة من عصير الثوم إلى كوب من الماء الدافئ.
 
إذا لم تتحسن حالة البلغم بعد تجربة العلاجات الطبيعية لمدة أسبوع، أو إذا كنت تعاني من أي أعراض أخرى، مثل الحمى أو صعوبة التنفس، فعليك استشارة الطبيب فقد تحتاج إلى استخدام بعض الأدوية للعلاج.
 
للمزيد:

علاج البلغم بالصدر، وما أفضل دواء طارد للبلغم
أسباب زيادة كثافة البلغم وعلاجه، ودلالات ألوان المخاط",0.857491,0.797388,0.305,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.555556,False,,,,pending_human_confirmation
