qa_id,source_row_number,split,category,category_en,question,answer,question_norm,answer_norm,qa_char_len
ahd5k_00008,807884,graph_train,علم الأجنة,Embryology,انا مصاب بمرض بهجت واعاني من الامه بالجسم ،ولم يصيب العين حتى الان فماهي افضل طرق الوقايه حتى لا يصل الى العين؟,داءُ بَهْجَت يحتاج إلى تواصل بين المريض والطبيب ليس فقط من أجل العلاج، ولكن من أجل الحد من مضاعفاته سواء على مستوى العين أو أي مكان آخر حيث بالمتابعة الدقيقة لكل نشاط للمرض في الأوعية الدقيقة يتطلب استخدام علاج محدد وخاص وفوري لكبح جهاز المناعة، عدا عن الدواء الخاص بالإصابة ذاتها وهو يختلف من مريض لآخر، ومن الإجراآت العامة التي يمكن اتباعها هو الإكثار من تناوال السوئل خاصة الماء ومعالجة أي التهاب دون تلكئ.,"انا مصاب بمرض بهجت واعاني من الامه بالجسم ,ولم يصيب العين حتي الان فماهي افضل طرق الوقايه حتي لا يصل الي العين?","داء بهجت يحتاج الي تواصل بين المريض والطبيب ليس فقط من اجل العلاج, ولكن من اجل الحد من مضاعفاته سواء علي مستوي العين او اي مكان اخر حيث بالمتابعه الدقيقه لكل نشاط للمرض في الاوعيه الدقيقه يتطلب استخدام علاج محدد وخاص وفوري لكبح جهاز المناعه, عدا عن الدواء الخاص بالاصابه ذاتها وهو يختلف من مريض لاخر, ومن الاجراات العامه التي يمكن اتباعها هو الاكثار من تناوال السويل خاصه الماء ومعالجه اي التهاب دون تلكي.",520
ahd5k_00010,550455,graph_train,جراحة القلب والشرايين,Cardiovascular surgery,يوجد أعراض ترعبني. عند الصعود بالدرج او مرتفع ينقطع نفسي ويجب ان استريح علماً باني ب٢٦ من العمر ومن قبل كانت هناك آلام في الصدر غريبه كنت اتجاهلها علما بان...,لم تذكر خصائص ضيق النفس، لكن الفحص الطبي السريري ضروري كونه يسمح بالتأكد من خصائص الأعراض المذكورة والعلامات التي قد يجدها الطبيب عند الفحص، لأن الأسباب كثيرة تنفسية وقلبية ودموية ووعائية وغير ذلك,يوجد اعراض ترعبني. عند الصعود بالدرج او مرتفع ينقطع نفسي ويجب ان استريح علما باني ب26 من العمر ومن قبل كانت هناك الام في الصدر غريبه كنت اتجاهلها علما بان.,"لم تذكر خصايص ضيق النفس, لكن الفحص الطبي السريري ضروري كونه يسمح بالتاكد من خصايص الاعراض المذكوره والعلامات التي قد يجدها الطبيب عند الفحص, لان الاسباب كثيره تنفسيه وقلبيه ودمويه ووعاييه وغير ذلك",354
ahd5k_00012,766399,graph_train,أمراض باطنية,Esoteric,السلام عليكم اناعمري 22 سنة واعاني من القولون العصبي ولدي توسع بالكليتين بسبب وجود الحصى كيف يمكنني التخلص من الحصى ومشاكل القولون,التخلص من الحصى يكون اولا بدراستها لمعرفة مكانها وخجمها وطبيعتها وبعد ذلك ممكن للطبيب ان يقرركيفية التخلص منها اما القولون العصبي فبأمكانك البحث في موقعنا الطبي عن ذلك وستجد كتابات عديدة وقيمة,السلام عليكم اناعمري 22 سنه واعاني من القولون العصبي ولدي توسع بالكليتين بسبب وجود الحصي كيف يمكنني التخلص من الحصي ومشاكل القولون,التخلص من الحصي يكون اولا بدراستها لمعرفه مكانها وخجمها وطبيعتها وبعد ذلك ممكن للطبيب ان يقرركيفيه التخلص منها اما القولون العصبي فبامكانك البحث في موقعنا الطبي عن ذلك وستجد كتابات عديده وقيمه,322
ahd5k_00020,340580,graph_train,أرجية حساسية,Allergic allergy,بنتي سنتين ونصف عندها حساسية من حليب البقر وتأخذ حليب خاص قليل التحسس HA لكن دائم مسبب لها غازات وانتفاخ بالبطن أريد أن اوقفه ما الاكل الي فيه نسب من...,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,بنتي سنتين ونصف عندها حساسيه من حليب البقر وتاخذ حليب خاص قليل التحسس ha لكن دايم مسبب لها غازات وانتفاخ بالبطن اريد ان اوقفه ما الاكل الي فيه نسب من.,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,201
ahd5k_00032,639402,graph_train,أمراض باطنية,Esoteric,عندي الم في الجهه الايسرى اعزكم الله تحت الابط وعندي الم في ضلوع الصدر من الجهه اليسرى مع الحجاب الحاجز وشكراً لكم,الأسباب عديدة تتراوح بين التهاب العضلات والتهاب الاضلاع واعتلال الغدد الليمفاوية وربما يكون ناجما عن قصور الشرايين. لا بد من استشارة أخصائي أمراض باطنية لفحصك سريريا وإجراء ما يلزم من فحوصات طبية.,عندي الم في الجهه الايسري اعزكم الله تحت الابط وعندي الم في ضلوع الصدر من الجهه اليسري مع الحجاب الحاجز وشكرا لكم,الاسباب عديده تتراوح بين التهاب العضلات والتهاب الاضلاع واعتلال الغدد الليمفاويه وربما يكون ناجما عن قصور الشرايين. لا بد من استشاره اخصايي امراض باطنيه لفحصك سريريا واجراء ما يلزم من فحوصات طبيه.,310
ahd5k_00035,317450,graph_train,أمراض الغدد الصماء,Endocrine,انا أعني مرض الغدة الدرقية يعني يخفض هل استطيع ان اخذ التروكسين وكم جرام اخذ؟,علاج الغدة وجرعة العلاج تعتمد على مستوى الهرمون في الدم,انا اعني مرض الغده الدرقيه يعني يخفض هل استطيع ان اخذ التروكسين وكم جرام اخذ?,علاج الغده وجرعه العلاج تعتمد علي مستوي الهرمون في الدم,132
ahd5k_00048,799207,graph_train,أمراض الغدد الصماء,Endocrine,زوجتي حامل لها شهرين وظهرت عندها الغدة هل تؤثر الغدة علي الحمل والجنين ً كثير لكم,ان هرمون الثيروكسين (هرمون الغده الدرقيه) مهم لنمو الجنين العقلي والجسدي، لذلك فان نقص افراز هذا الهرمون الذي يكون نتيجه خمول بالغده الدرقيه قد يؤدي اذا لم تتم معالجته لمده طويله خلال الحمل وخاصه في الثلث الثاني والثالث من الحمل الى تشوهات خلقية وحالات التقزم,زوجتي حامل لها شهرين وظهرت عندها الغده هل توثر الغده علي الحمل والجنين كثير لكم,"ان هرمون الثيروكسين (هرمون الغده الدرقيه) مهم لنمو الجنين العقلي والجسدي, لذلك فان نقص افراز هذا الهرمون الذي يكون نتيجه خمول بالغده الدرقيه قد يودي اذا لم تتم معالجته لمده طويله خلال الحمل وخاصه في الثلث الثاني والثالث من الحمل الي تشوهات خلقيه وحالات التقزم",340
ahd5k_00065,784566,graph_train,إسعاف أولي,First aid,هل عقار اولفين المسكن له اثار جانبية مثل الفولتارين حيث اني مصاب بالصداع الشقيقه واحتاج مسكن قوي وشكرا,"الأولفين هو نفس الدواء فولتارين , فالاثنان يحتووا على نفس المادة الفعالة ديكلوفيناك , ولكن الاسم التجاري مختلف , ولهم نفس الأعراض الجانبية . فإذا كنت لا تعاني من ارتفاع في ضغط الدم. ولا من أي مشاكل , فإنك تستطيع أخذ الدواء , وخذه على معدة ممتلئة ( بعد الأكل ) لتقلل من تهيج الجهاز الهضمي. و في حال كانت الشقيقة شديدة فهناك أدوية تقلل من توسع الأوعية في الدماغ لان توسع الأوعية يسبب ألم الشقيقة , لذا يمكنك استشارة الطبيب في ذلك.",هل عقار اولفين المسكن له اثار جانبيه مثل الفولتارين حيث اني مصاب بالصداع الشقيقه واحتاج مسكن قوي وشكرا,"الاولفين هو نفس الدواء فولتارين , فالاثنان يحتووا علي نفس الماده الفعاله ديكلوفيناك , ولكن الاسم التجاري مختلف , ولهم نفس الاعراض الجانبيه . فاذا كنت لا تعاني من ارتفاع في ضغط الدم. ولا من اي مشاكل , فانك تستطيع اخذ الدواء , وخذه علي معده ممتليه ( بعد الاكل ) لتقلل من تهيج الجهاز الهضمي. و في حال كانت الشقيقه شديده فهناك ادويه تقلل من توسع الاوعيه في الدماغ لان توسع الاوعيه يسبب الم الشقيقه , لذا يمكنك استشاره الطبيب في ذلك.",530
ahd5k_00069,89781,graph_train,أمراض الأسنان,Dental,انا قبل يجي طقطقة في الفك الايسر بدون اللم وبعد ما سويت التمرين راح طقطقة الفك وجاني اللم هل هذا امر عادي بسبب التمرين ولا لل,طبيعي بسبب التمرين ومع الوقت بيختفي الألم وممكن استعمال بعض المسكنات الخفيفه,انا قبل يجي طقطقه في الفك الايسر بدون اللم وبعد ما سويت التمرين راح طقطقه الفك وجاني اللم هل هذا امر عادي بسبب التمرين ولا لل,طبيعي بسبب التمرين ومع الوقت بيختفي الالم وممكن استعمال بعض المسكنات الخفيفه,201
ahd5k_00072,411608,graph_train,أمراض باطنية,Esoteric,السلام عليكم اعاني من غازات والم مغص في المعدة فوق السرة بحوالي اربع اصابع. وكثرة التبرز برائحة كريهة جدا-اكرمكم الله- بعد الاكل مع فقدان للشهية. اعتقد بانها بكتيريا بالمعدة. ما...,الاخت الكريمة لا يمكن وصف علاج للبكتيري بمجرد اعتقادك بوجودها.. انصح اولا بالفحص و اذا كانت موجودة عندئذ العلاج.. كما ان هذه الاعراض قد تكون مصاحبة لامراض اخرى مثل بعض الديدان او اشياء اخرى. انصح بالفحص للتوصل الى التشخيص السليم,السلام عليكم اعاني من غازات والم مغص في المعده فوق السره بحوالي اربع اصابع. وكثره التبرز برايحه كريهه جدا-اكرمكم الله- بعد الاكل مع فقدان للشهيه. اعتقد بانها بكتيريا بالمعده. ما.,الاخت الكريمه لا يمكن وصف علاج للبكتيري بمجرد اعتقادك بوجودها. انصح اولا بالفحص و اذا كانت موجوده عنديذ العلاج. كما ان هذه الاعراض قد تكون مصاحبه لامراض اخري مثل بعض الديدان او اشياء اخري. انصح بالفحص للتوصل الي التشخيص السليم,408
