relation_id,chunk_id,qa_id,source_row_number,candidate_relation_type,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,source_evidence,target_evidence,candidate_method,needs_llm_validation
rel_seed_dd8ebf14ff23d0f2,chunk_00001,ahd10k_03415,771586,HAS_SYMPTOM,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000776,حكة,Symptom,أرجية حساسية,لدي حكه في فصل الشتاء,entity_type_cooccurrence_same_qa,true
rel_seed_78d6f71f2d20de82,chunk_00001,ahd5k_00970,769766,HAS_SYMPTOM,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000709,بلغم,Symptom,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,entity_type_cooccurrence_same_qa,true
rel_seed_603e373db8b4fbd8,chunk_00001,ahd5k_00970,769766,HAS_SYMPTOM,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000822,سعال,Symptom,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,entity_type_cooccurrence_same_qa,true
rel_seed_b0795c80958147a8,chunk_00001,ahd5k_00970,769766,HAS_SYMPTOM,ent_merge_000371,ربو,DiseaseCondition,ent_merge_000709,بلغم,Symptom,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,entity_type_cooccurrence_same_qa,true
rel_seed_7c0bca2aa62f9edc,chunk_00001,ahd5k_00970,769766,HAS_SYMPTOM,ent_merge_000371,ربو,DiseaseCondition,ent_merge_000822,سعال,Symptom,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,entity_type_cooccurrence_same_qa,true
rel_seed_98a1e7d2b0f4dd65,chunk_00001,ahd5k_00970,769766,HAS_SYMPTOM,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000709,بلغم,Symptom,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,entity_type_cooccurrence_same_qa,true
rel_seed_30ff3f9299a1bc92,chunk_00001,ahd5k_00970,769766,HAS_SYMPTOM,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000822,سعال,Symptom,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,entity_type_cooccurrence_same_qa,true
rel_seed_c9c32ea1ddc10ff7,chunk_00001,ahd5k_03626,370529,TREATED_BY,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_001300,بنسلين,Treatment,هل بنسلين يسبب إلتهاب المعدة للأطفال,هل بنسلين يسبب إلتهاب المعدة للأطفال,entity_type_cooccurrence_same_qa,true
rel_seed_950e214e1e37ddc0,chunk_00001,ahd5k_03626,370529,TREATED_BY,ent_merge_000535,نزلة معوية,DiseaseCondition,ent_merge_001300,بنسلين,Treatment,ممكن ان يسبب نزله معويه,هل بنسلين يسبب إلتهاب المعدة للأطفال,entity_type_cooccurrence_same_qa,true
rel_seed_41abaa89db7d8ed7,chunk_00001,ahd5k_03872,383286,HAS_SYMPTOM,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000735,تعب,Symptom,أعراض التهاب وحساسيه الجيوب الانفيه لابد من استخدام الادويه المناسبه بعد الفحص عند طبيب ENT,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,entity_type_cooccurrence_same_qa,true
