relation_id,chunk_id,qa_id,source_row_number,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,candidate_relation_type,validated_relation_type,keep,confidence,evidence,reason,provider,model,prompt_version,edge_id,source_relation_id,graph_relation_type,direction
rel_seed_dd8ebf14ff23d0f2,chunk_00001,ahd10k_03415,771586,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000776,حكة,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.900,أرجية حساسية - لدي حكه في فصل الشتاء,Direct mention of allergy causing winter itching,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_dd8ebf14ff23d0f2,rel_seed_dd8ebf14ff23d0f2,HAS_SYMPTOM,original
rel_seed_dd8ebf14ff23d0f2,chunk_00001,ahd10k_03415,771586,ent_merge_000776,حكة,Symptom,ent_merge_000326,حساسية,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.900,أرجية حساسية - لدي حكه في فصل الشتاء,Direct mention of allergy causing winter itching,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_dd8ebf14ff23d0f2__inverse,rel_seed_dd8ebf14ff23d0f2,SYMPTOM_OF,inverse
rel_seed_78d6f71f2d20de82,chunk_00001,ahd5k_00970,769766,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000709,بلغم,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.700,التهاب الجهاز التنفسي العلوي - ما علاج البلغم رغم أخذ هلاج؟,Upper respiratory inflammation linked to phlegm symptoms,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_78d6f71f2d20de82,rel_seed_78d6f71f2d20de82,HAS_SYMPTOM,original
rel_seed_78d6f71f2d20de82,chunk_00001,ahd5k_00970,769766,ent_merge_000709,بلغم,Symptom,ent_merge_000059,التهاب,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.700,التهاب الجهاز التنفسي العلوي - ما علاج البلغم رغم أخذ هلاج؟,Upper respiratory inflammation linked to phlegm symptoms,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_78d6f71f2d20de82__inverse,rel_seed_78d6f71f2d20de82,SYMPTOM_OF,inverse
rel_seed_603e373db8b4fbd8,chunk_00001,ahd5k_00970,769766,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000822,سعال,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.700,التهاب الجهاز التنفسي العلوي - السعال والبلغم كأعراض,Upper respiratory inflammation associated with cough,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_603e373db8b4fbd8,rel_seed_603e373db8b4fbd8,HAS_SYMPTOM,original
rel_seed_603e373db8b4fbd8,chunk_00001,ahd5k_00970,769766,ent_merge_000822,سعال,Symptom,ent_merge_000059,التهاب,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.700,التهاب الجهاز التنفسي العلوي - السعال والبلغم كأعراض,Upper respiratory inflammation associated with cough,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_603e373db8b4fbd8__inverse,rel_seed_603e373db8b4fbd8,SYMPTOM_OF,inverse
rel_seed_b0795c80958147a8,chunk_00001,ahd5k_00970,769766,ent_merge_000371,ربو,DiseaseCondition,ent_merge_000709,بلغم,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.600,ربو - ما علاج البلغم رغم أخذ هلاج؟,Asthma potentially presenting with phlegm symptoms,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_b0795c80958147a8,rel_seed_b0795c80958147a8,HAS_SYMPTOM,original
rel_seed_b0795c80958147a8,chunk_00001,ahd5k_00970,769766,ent_merge_000709,بلغم,Symptom,ent_merge_000371,ربو,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.600,ربو - ما علاج البلغم رغم أخذ هلاج؟,Asthma potentially presenting with phlegm symptoms,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_b0795c80958147a8__inverse,rel_seed_b0795c80958147a8,SYMPTOM_OF,inverse
rel_seed_7c0bca2aa62f9edc,chunk_00001,ahd5k_00970,769766,ent_merge_000371,ربو,DiseaseCondition,ent_merge_000822,سعال,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.600,ربو - السعال والبلغم كأعراض,Asthma associated with cough symptoms,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_7c0bca2aa62f9edc,rel_seed_7c0bca2aa62f9edc,HAS_SYMPTOM,original
rel_seed_7c0bca2aa62f9edc,chunk_00001,ahd5k_00970,769766,ent_merge_000822,سعال,Symptom,ent_merge_000371,ربو,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.600,ربو - السعال والبلغم كأعراض,Asthma associated with cough symptoms,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_7c0bca2aa62f9edc__inverse,rel_seed_7c0bca2aa62f9edc,SYMPTOM_OF,inverse
rel_seed_98a1e7d2b0f4dd65,chunk_00001,ahd5k_00970,769766,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000709,بلغم,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.800,حساسية الصدر - ما علاج البلغم رغم أخذ هلاج؟,Direct mention of allergy causing phlegm,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_98a1e7d2b0f4dd65,rel_seed_98a1e7d2b0f4dd65,HAS_SYMPTOM,original
rel_seed_98a1e7d2b0f4dd65,chunk_00001,ahd5k_00970,769766,ent_merge_000709,بلغم,Symptom,ent_merge_000326,حساسية,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.800,حساسية الصدر - ما علاج البلغم رغم أخذ هلاج؟,Direct mention of allergy causing phlegm,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_98a1e7d2b0f4dd65__inverse,rel_seed_98a1e7d2b0f4dd65,SYMPTOM_OF,inverse
rel_seed_30ff3f9299a1bc92,chunk_00001,ahd5k_00970,769766,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_000822,سعال,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.950,السؤال يربط بين الحساسية وعوارض السعال والبلغم بشكل مباشر.,العلاقة مدعومة بوضوح من خلال السؤال الذي يربط الحساسية الصدرية بعوارض السعال.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_30ff3f9299a1bc92,rel_seed_30ff3f9299a1bc92,HAS_SYMPTOM,original
rel_seed_30ff3f9299a1bc92,chunk_00001,ahd5k_00970,769766,ent_merge_000822,سعال,Symptom,ent_merge_000326,حساسية,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.950,السؤال يربط بين الحساسية وعوارض السعال والبلغم بشكل مباشر.,العلاقة مدعومة بوضوح من خلال السؤال الذي يربط الحساسية الصدرية بعوارض السعال.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_30ff3f9299a1bc92__inverse,rel_seed_30ff3f9299a1bc92,SYMPTOM_OF,inverse
rel_seed_41abaa89db7d8ed7,chunk_00001,ahd5k_03872,383286,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000735,تعب,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.850,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,Direct causal link stated in QA: throat sensitivity causes fatigue as a symptom of inflammation,groq,qwen/qwen3-32b,colleague_validation,rel_seed_41abaa89db7d8ed7,rel_seed_41abaa89db7d8ed7,HAS_SYMPTOM,original
rel_seed_41abaa89db7d8ed7,chunk_00001,ahd5k_03872,383286,ent_merge_000735,تعب,Symptom,ent_merge_000059,التهاب,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.850,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,Direct causal link stated in QA: throat sensitivity causes fatigue as a symptom of inflammation,groq,qwen/qwen3-32b,colleague_validation,rel_seed_41abaa89db7d8ed7__inverse,rel_seed_41abaa89db7d8ed7,SYMPTOM_OF,inverse
rel_seed_096cac3fde260a90,chunk_00001,ahd5k_03872,383286,ent_merge_000059,التهاب,DiseaseCondition,ent_merge_000847,ضيق تنفس,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.850,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,Direct causal link stated in QA: throat sensitivity causes breathing difficulty as a symptom of inflammation,groq,qwen/qwen3-32b,colleague_validation,rel_seed_096cac3fde260a90,rel_seed_096cac3fde260a90,HAS_SYMPTOM,original
rel_seed_096cac3fde260a90,chunk_00001,ahd5k_03872,383286,ent_merge_000847,ضيق تنفس,Symptom,ent_merge_000059,التهاب,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.850,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,Direct causal link stated in QA: throat sensitivity causes breathing difficulty as a symptom of inflammation,groq,qwen/qwen3-32b,colleague_validation,rel_seed_096cac3fde260a90__inverse,rel_seed_096cac3fde260a90,SYMPTOM_OF,inverse
rel_seed_1b739e00ece579d7,chunk_00002,ahd5k_00020,340580,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002166,حليب مكسر بروتين الحليب,Treatment,TREATED_BY,TREATED_BY,true,1.000,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,The QA explicitly states the treatment for cow's milk allergy.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_1b739e00ece579d7,rel_seed_1b739e00ece579d7,TREATED_BY,original
rel_seed_1b739e00ece579d7,chunk_00002,ahd5k_00020,340580,ent_merge_002166,حليب مكسر بروتين الحليب,Treatment,ent_merge_000326,حساسية,DiseaseCondition,TREATED_BY,TREATED_BY,true,1.000,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,The QA explicitly states the treatment for cow's milk allergy.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_1b739e00ece579d7__inverse,rel_seed_1b739e00ece579d7,TREATS,inverse
rel_seed_bd7f87647f58a852,chunk_00002,ahd5k_00133,376061,ent_merge_000326,حساسية,DiseaseCondition,ent_merge_002246,نازونكس,Treatment,TREATED_BY,TREATED_BY,true,1.000,بدائل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,The QA directly links Nasonex to treatment for seasonal allergic rhinitis.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_bd7f87647f58a852,rel_seed_bd7f87647f58a852,TREATED_BY,original
rel_seed_bd7f87647f58a852,chunk_00002,ahd5k_00133,376061,ent_merge_002246,نازونكس,Treatment,ent_merge_000326,حساسية,DiseaseCondition,TREATED_BY,TREATED_BY,true,1.000,بدائل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,The QA directly links Nasonex to treatment for seasonal allergic rhinitis.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_bd7f87647f58a852__inverse,rel_seed_bd7f87647f58a852,TREATS,inverse
rel_seed_e2a71a94949a61f3,chunk_00003,ahd10k_06287,98412,ent_merge_000260,تشقق الجلد,DiseaseCondition,ent_merge_000766,حرقان,Symptom,HAS_SYMPTOM,HAS_SYMPTOM,true,0.950,"تشقق الجلد في هذه المنطقة, أشعر بألم وحرقان في الفتحة",الحرقان مذكور كأعراض مباشرة لتشقق الجلد في النص.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_e2a71a94949a61f3,rel_seed_e2a71a94949a61f3,HAS_SYMPTOM,original
rel_seed_e2a71a94949a61f3,chunk_00003,ahd10k_06287,98412,ent_merge_000766,حرقان,Symptom,ent_merge_000260,تشقق الجلد,DiseaseCondition,HAS_SYMPTOM,HAS_SYMPTOM,true,0.950,"تشقق الجلد في هذه المنطقة, أشعر بألم وحرقان في الفتحة",الحرقان مذكور كأعراض مباشرة لتشقق الجلد في النص.,groq,qwen/qwen3-32b,dah_relation_validation_v1,rel_seed_e2a71a94949a61f3__inverse,rel_seed_e2a71a94949a61f3,SYMPTOM_OF,inverse
