query_id,source_entity_id,graph_relation_type,target_entity_id,evidence_rank,hybrid_score,evidence_relevance,qa_id,evidence,reason,edge_id,edge_direction
trial_query_076,ent_diseasecondition_2f75d3dabe0b,TREATED_BY,ent_treatment_cbf0b7b10d4f,1,0.871748,0.114286,ahd5k_00812,للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين,Direct treatment recommendation for allergy,rel_seed_e43cc896f52f8b30,direct
trial_query_076,ent_diseasecondition_2f75d3dabe0b,TREATED_BY,ent_treatment_f4b5c1573769,1,0.856963,0.142857,ahd5k_01231,استخدمي مضاد هيسامين وكورتيزون موضعي,Direct treatment recommendation for allergy,rel_seed_036615e69fe27f5a,direct
trial_query_076,ent_diseasecondition_2f75d3dabe0b,TREATED_BY,ent_treatment_843876e28a68,1,0.856963,0.142857,ahd5k_01231,استخدمي مضاد هيسامين وكورتيزون موضعي,Direct treatment recommendation for allergy,rel_seed_8e92aaaff3cb2b47,direct
trial_query_076,ent_diseasecondition_2f75d3dabe0b,TREATED_BY,ent_treatment_104bb0a91d5a,1,0.85182,0.057143,ahd5k_02470,مضاد للهيستامين مثل تيليفاست,Direct treatment recommendation for allergy,rel_seed_7ce02234253ff02e,direct
trial_query_076,supp_ent_condition_cholesterol,MANAGED_BY,supp_ent_lifestyle_cholesterol,1,0.846477,0.114286,ahd5k_00171,طرق تخفيض الكوليسترول بدون دواء تعتمد على الجهد والتمارين خاصة المشي والحمية وتجنب الدهون الحيوانية والمقليات.,dataset-derived supplemental fact from ahd5k_00171,supp_rel_cholesterol_lifestyle,direct
trial_query_076,ent_diseasecondition_2f75d3dabe0b,TREATED_BY,ent_treatment_0311bc90ba75,1,0.837034,0.085714,ahd5k_00020,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,Direct treatment recommendation for allergy,rel_seed_f0f432e62cc5ed96,direct
trial_query_076,ent_diseasecondition_2f75d3dabe0b,TREATED_BY,ent_treatment_45a78ee47153,1,0.83532,0.057143,ahd5k_00133,بدائل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,Explicit treatment alternative listed for allergy,rel_seed_df369e76bea13661,direct
trial_query_076,ent_diseasecondition_2f75d3dabe0b,TREATED_BY,ent_treatment_677fdfb3086e,1,0.827391,0.2,ahd5k_00887,علاج حساسية الأنف. ما هي فوائد زيت حبة السوداء,Direct treatment claim for nasal allergies,rel_seed_4f94c296991a8bf7,direct
trial_query_077,ent_diseasecondition_0058b0001848,TREATED_BY,ent_treatment_07d0f0ae4c18,1,0.705785,0.285714,ahd5k_00255,عمل منظار قنوات مرارية الف سلامة,المناظير المرارية (ERCP) تُستخدم عادةً لعلاج تضيق القنوات داخل الكبد عبر تصحيح الانسداد أو توسعتها.,rel_seed_0056146242b02ab5,direct
trial_query_077,ent_treatment_07d0f0ae4c18,TREATS,ent_diseasecondition_0058b0001848,1,0.665785,0.285714,ahd5k_00255,عمل منظار قنوات مرارية الف سلامة,المناظير المرارية (ERCP) تُستخدم عادةً لعلاج تضيق القنوات داخل الكبد عبر تصحيح الانسداد أو توسعتها.,rel_seed_0056146242b02ab5__inverse,inverse
trial_query_077,ent_diseasecondition_2f75d3dabe0b,DIAGNOSED_BY,ent_test_dd68aa784555,1,0.394817,0.142857,ahd5k_02039,لابد من رؤيتها من قبل طبيب وعمل تحاليل خاصه بالحساسيه,The QA explicitly states that specific allergy tests are required to confirm the diagnosis of the allergy condition.,rel_seed_c4c6c926d85ac5f6,direct
trial_query_077,ent_symptom_fd750eeb2865,INVESTIGATED_BY,ent_test_c4cfd2d6468c,1,0.394513,0.142857,ahd5k_01537,اشعة بالصبغة,X-ray with contrast is explicitly mentioned as the investigative method for the symptom of swelling.,rel_seed_b0669eae8f21f480,direct
trial_query_077,ent_symptom_42ad4acdebc5,INVESTIGATED_BY,ent_test_c4cfd2d6468c,1,0.394243,0.142857,ahd5k_01537,اشعة بالصبغة,X-ray with contrast is explicitly mentioned as the investigative method for the symptom of body pain.,rel_seed_11af4134e6087155,direct
trial_query_077,ent_test_dd68aa784555,DIAGNOSES,ent_diseasecondition_2f75d3dabe0b,1,0.354817,0.142857,ahd5k_02039,لابد من رؤيتها من قبل طبيب وعمل تحاليل خاصه بالحساسيه,The QA explicitly states that specific allergy tests are required to confirm the diagnosis of the allergy condition.,rel_seed_c4c6c926d85ac5f6__inverse,inverse
trial_query_077,ent_test_c4cfd2d6468c,INVESTIGATES,ent_symptom_fd750eeb2865,1,0.354513,0.142857,ahd5k_01537,اشعة بالصبغة,X-ray with contrast is explicitly mentioned as the investigative method for the symptom of swelling.,rel_seed_b0669eae8f21f480__inverse,inverse
