entity_id,canonical_name,canonical_name_norm,entity_type,aliases,confidence,mention_count,provider,model
ent_merge_000001,bacteremia,bacteremia,DiseaseCondition,"[""bacteremia""]",0.800,1,,
ent_merge_000002,septicemia,septicemia,DiseaseCondition,"[""septicemia""]",0.800,1,,
ent_merge_000003,إجهاض,اجهاض,DiseaseCondition,"[""إجهاض"", ""الإجهاض"", ""اجهضت""]",0.900,3,,
ent_merge_000004,إجهاض متكرر,اجهاض متكرر,DiseaseCondition,"[""إجهاض متكرر"", ""الإجهاض المتكرر""]",0.800,1,,
ent_merge_000005,إدمان,ادمان,DiseaseCondition,"[""إدمان""]",0.850,1,,
ent_merge_000006,إدمان القات,ادمان القات,DiseaseCondition,"[""إدمان القات""]",0.950,1,,
ent_merge_000007,ارتخاء,ارتخاء,DiseaseCondition,"[""ارتخاء"", ""ارتخاء في الآنسجة الضامة"", ""ارتخاء في الآنسجة الضامة في الجسم""]",0.850,4,,
ent_merge_000008,ارتخاء في الصمام الميترالي,ارتخاء في الصمام الميترالي,DiseaseCondition,"[""ارتخاء في الصمام الميترالي""]",0.900,1,,
ent_merge_000009,ارتفاع انزيمات الكبد,ارتفاع انزيمات الكبد,DiseaseCondition,"[""ارتفاع انزيمات الكبد"", ""ارتفاع في انزيمات الكبد""]",0.850,1,,
ent_merge_000010,ارتفاع ضغط الدم,ارتفاع ضغط الدم,DiseaseCondition,"[""ارتفاع ضغط الدم"", ""ارتفاع ضغطي"", ""ارتفاع في ضغط الدم"", ""ارتفاع اضغط البابي"", ""ضغط الدم"", ""ارتفاع حمض البول"", ""انخفاض الضغط"", ""الضغط الدم المرتفع"", ""انخفاض ضغط الدم"", ""الضغط"", ""ضغط"", ""الضغط العالي"", ""الضغط المرتفع"", ""ارتفاع الضغط"", ""ارتفاع في الضغط"", ""ضغطي"", ""ضغط الدم المرتفع"", ""الضفط"", ""ضغط واكتشفت ده بالصدفه"", ""الضغط 14/9"", ""مرض الضغط الخبيث"", ""ارتفاع الضغط الشرياني"", ""ارتفاع الضغط الكلوي"", ""ضغط الدم الخاص بالجسم والضغط الخاص بالعينين"", ""مرض"", ""ارتفاع ضغط"", ""حبة"", ""كتلة""]",0.927,125,,
ent_merge_000011,ارتفاع هرمون الحليب,ارتفاع هرمون الحليب,DiseaseCondition,"[""ارتفاع هرمون الحليب""]",0.900,1,,
ent_merge_000012,ارتفاع هرمون اللبن,ارتفاع هرمون اللبن,DiseaseCondition,"[""ارتفاع هرمون اللبن""]",0.950,1,,
ent_merge_000013,ارتكاريا,ارتكاريا,DiseaseCondition,"[""ارتكاريا"", ""حساسيه الارتكاريا"", ""ارتخاء بالصمام الميترالى""]",0.890,5,,
ent_merge_000014,آرجية جلدية,ارجيه جلديه,DiseaseCondition,"[""آرجية جلدية"", ""الآرجية الجلدية""]",0.900,1,,
ent_merge_000015,استرواح الصدر,استرواح الصدر,DiseaseCondition,"[""استرواح الصدر"", ""pneumo thorax""]",0.950,2,,
ent_merge_000016,استرواح الصدر التوتري,استرواح الصدر التوتري,DiseaseCondition,"[""استرواح الصدر التوتري""]",0.900,1,,
ent_merge_000017,استرواح الصدر اللاتوتري,استرواح الصدر اللاتوتري,DiseaseCondition,"[""استرواح الصدر اللاتوتري""]",0.900,1,,
ent_merge_000018,اسنان,اسنان,DiseaseCondition,"[""اسنان"", ""الاسنان""]",0.900,2,,
ent_merge_000020,اشعه الشمس,اشعه الشمس,DiseaseCondition,"[""اشعه الشمس""]",0.800,1,,
ent_merge_000021,إصابات القلب,اصابات القلب,DiseaseCondition,"[""إصابات القلب""]",0.850,1,,
ent_merge_000022,إصابة الكلى,اصابه الكلي,DiseaseCondition,"[""إصابة الكلى""]",0.900,1,,
ent_merge_000023,اضطراب الجهاز العصبي,اضطراب الجهاز العصبي,DiseaseCondition,"[""اضطراب الجهاز العصبي""]",0.900,1,,
ent_merge_000024,اضطراب المناعه,اضطراب المناعه,DiseaseCondition,"[""اضطراب المناعه""]",0.850,1,,
ent_merge_000025,اضطراب الوسواس القهري,اضطراب الوسواس القهري,DiseaseCondition,"[""اضطراب الوسواس القهري""]",0.950,1,,
ent_merge_000026,اضطراب دقات القلب,اضطراب دقات القلب,DiseaseCondition,"[""اضطراب دقات القلب""]",0.900,1,,
ent_merge_000027,اضطراب فى القولون,اضطراب في القولون,DiseaseCondition,"[""اضطراب فى القولون""]",0.950,1,,
ent_merge_000028,اضطرابات الغدد,اضطرابات الغدد,DiseaseCondition,"[""اضطرابات الغدد""]",0.850,1,,
ent_merge_000029,اضطرابات هرمونية,اضطرابات هرمونيه,DiseaseCondition,"[""اضطرابات هرمونية"", ""الاضطرابات الهرمونية""]",0.850,2,,
ent_merge_000030,اعاقة ذهنية,اعاقه ذهنيه,DiseaseCondition,"[""اعاقة ذهنية""]",0.950,1,,
ent_merge_000031,أعضاء الحس,اعضاء الحس,DiseaseCondition,"[""أعضاء الحس""]",0.950,1,,
ent_merge_000032,اغتصاب,اغتصاب,DiseaseCondition,"[""اغتصاب""]",0.950,1,,
ent_merge_000033,اكتئاب,اكتياب,DiseaseCondition,"[""اكتئاب"", ""الاكتئاب"", ""حالة الاكتئاب"", ""مضاد الاكتئاب"", ""مرض الاكتئاب الذهاني"", ""حالة اكتئاب شديدة"", ""الاكتءاب""]",0.937,45,,
ent_merge_000034,إكزيما,اكزيما,DiseaseCondition,"[""إكزيما"", ""الاكزيما الدهنيه"", ""الأكزيما""]",0.856,9,,
ent_merge_000035,أكلة الأظافر,اكله الاظافر,DiseaseCondition,"[""أكلة الأظافر""]",0.950,1,,
ent_merge_000036,الاباضة,الاباضه,DiseaseCondition,"[""الاباضة""]",0.900,2,,
ent_merge_000037,الاجهاض,الاجهاض,DiseaseCondition,"[""الاجهاض"", ""اجهاض""]",0.890,5,,
ent_merge_000038,الأسمرار,الاسمرار,DiseaseCondition,"[""الأسمرار""]",0.900,2,,
ent_merge_000039,الاضطرابات النفسية,الاضطرابات النفسيه,DiseaseCondition,"[""الاضطرابات النفسية""]",0.900,1,,
ent_merge_000040,الإكتئاب,الاكتياب,DiseaseCondition,"[""الإكتئاب"", ""اكتئاب""]",0.900,5,,
ent_merge_000041,الاكزيما,الاكزيما,DiseaseCondition,"[""الاكزيما""]",0.900,2,,
ent_merge_000042,الأكل الزائد,الاكل الزايد,DiseaseCondition,"[""الأكل الزائد""]",0.850,1,,
ent_merge_000043,الإلتهابات,الالتهابات,DiseaseCondition,"[""الإلتهابات""]",0.800,1,,
ent_merge_000044,الامراض المعدية,الامراض المعديه,DiseaseCondition,"[""الامراض المعدية""]",0.900,1,,
ent_merge_000045,الامعاء,الامعاء,DiseaseCondition,"[""الامعاء""]",0.800,1,,
ent_merge_000046,الانفلونزا,الانفلونزا,DiseaseCondition,"[""الانفلونزا"", ""الانفونزا"", ""مطعوم الانفلونزا""]",0.950,2,,
ent_merge_000047,الانيميا,الانيميا,DiseaseCondition,"[""الانيميا""]",0.825,2,,
ent_merge_000048,الأورام الليفية العصبية,الاورام الليفيه العصبيه,DiseaseCondition,"[""الأورام الليفية العصبية""]",0.950,1,,
ent_merge_000049,الأوعية اللمفية,الاوعيه اللمفيه,DiseaseCondition,"[""الأوعية اللمفية""]",0.900,1,,
ent_merge_000050,الإياس,الاياس,DiseaseCondition,"[""الإياس""]",0.900,1,,
ent_merge_000051,الإيدز,الايدز,DiseaseCondition,"[""الإيدز"", ""مرض الإيدز""]",0.914,7,,
ent_merge_000052,البرود الجنسي,البرود الجنسي,DiseaseCondition,"[""البرود الجنسي"", ""البرودة الجنسية""]",0.950,1,,
ent_merge_000053,البرولاكتين,البرولاكتين,DiseaseCondition,"[""البرولاكتين""]",0.950,1,,
ent_merge_000054,البلعوم,البلعوم,DiseaseCondition,"[""البلعوم"", ""انسداد البلعوم""]",0.900,2,,
ent_merge_000055,البنكرياس,البنكرياس,DiseaseCondition,"[""البنكرياس""]",0.950,2,,
ent_merge_000056,البهاق,البهاق,DiseaseCondition,"[""البهاق""]",0.950,5,,
ent_merge_000057,التدخين,التدخين,DiseaseCondition,"[""التدخين""]",0.850,1,,
ent_merge_000058,التسلخات,التسلخات,DiseaseCondition,"[""التسلخات""]",0.900,1,,
ent_merge_000059,التهاب,التهاب,DiseaseCondition,"[""التهاب"", ""الاصابه بالفطريات"", ""التهابات"", ""التهاب الأمعاء"", ""التهاب جلدي"", ""التهاب الدم"", ""التهاب مجتري بوليه"", ""التهاب السحايا"", ""التهاب خلوى"", ""التهاب الشعيرات الدمويه"", ""التهاب الاعصاب"", ""التهاب الاذن الوسطى"", ""التهابات بولية"", ""التهاب الرئة المزمن"", ""التهاب المزمن"", ""التهاب الجيوب"", ""التهاب قصبات"", ""التهاب القولون"", ""التهاب غشائي عضلي"", ""التهاب اللثه"", ""التهاب فطري"", ""التهاب حاد في المعدة"", ""التهاب في الجيوب الانفيه"", ""التهاب الجيوب الانفيه"", ""التهبات"", ""التهاب الغدد اللمفاويه"", ""التهاب المعدة"", ""التهاب الكبد"", ""التهاب القرنية الفيروسي"", ""التهابات المنثورة"", ""التهاب أوتار"", ""الالتهاب"", ""التهاب البروستاتا"", ""التهاب القصبات"", ""التهاب العصب السابع"", ""التهاب الشعرة"", ""البواسير"", ""التهاب الرحم"", ""التهاب المهبل"", ""الم عند الاستيقاظ فى الكليتين"", ""التهاب المسالك البوليه"", ""التهابات نسائيه"", ""تهاب"", ""التهاب في عينه"", ""الاشعة"", ""التحاليل المخبرية"", ""ادوية الالتهاب"", ""رضح"", ""التهاب بكتيري وفطريات"", ""التهاب فيروسي"", ""البلغم"", ""الام اسفل الظهر"", ""اعراض الغدة الدرقيه"", ""اعانى من تضخم فى حجم الثدى"", ""تضخم فى حجم الثدى"", ""الم في الرقبه"", ""الم"", ""التهاب في الامعاء"", ""التهاب في المعده"", ""التهاب في ملتقى الامعاء"", ""التهاب القولون التقرحى"", ""التهاب اللسان"", ""وجود صديد ودم في البراز ربما يدل على مشكلة مثل القولون التقرحي"", ""اصبت بكورونا ٢٨/٣/٢١٢١"", ""دوخه"", ""اعراض جانبيه""]",0.918,686,,
ent_merge_000060,التهاب الأذن,التهاب الاذن,DiseaseCondition,"[""التهاب الأذن""]",0.900,1,,
ent_merge_000061,التهاب البربخ,التهاب البربخ,DiseaseCondition,"[""التهاب البربخ""]",0.950,1,,
ent_merge_000062,التهاب البروستات,التهاب البروستات,DiseaseCondition,"[""التهاب البروستات"", ""التهاب غدة البروستات""]",0.900,2,,
ent_merge_000063,التهاب البروستاتا,التهاب البروستاتا,DiseaseCondition,"[""التهاب البروستاتا""]",0.950,2,,
ent_merge_000064,التهاب البول,التهاب البول,DiseaseCondition,"[""التهاب البول"", ""التهابات البول""]",0.900,1,,
ent_merge_000065,التهاب الجلد التأتبي,التهاب الجلد التاتبي,DiseaseCondition,"[""التهاب الجلد التأتبي""]",0.900,1,,
ent_merge_000066,التهاب الجيوب,التهاب الجيوب,DiseaseCondition,"[""التهاب الجيوب""]",0.900,1,,
ent_merge_000067,التهاب الجيوب الانفيه,التهاب الجيوب الانفيه,DiseaseCondition,"[""التهاب الجيوب الانفيه""]",0.900,2,,
ent_merge_000068,التهاب الحلق,التهاب الحلق,DiseaseCondition,"[""التهاب الحلق""]",0.950,1,,
ent_merge_000069,التهاب الرئة,التهاب الريه,DiseaseCondition,"[""التهاب الرئة"", ""التهاب رئوي""]",0.950,2,,
