doc_id,doc_type,source_id,entity_id,qa_id,title,embedding_text
entity::ent_diseasecondition_e04a557cb82b,entity,ent_diseasecondition_e04a557cb82b,ent_diseasecondition_e04a557cb82b,,Acanthosis nigricans,"Entity: Acanthosis nigricans
Aliases: Acanthosis nigricans
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_5f5cc11b7f72,entity,ent_diseasecondition_5f5cc11b7f72,ent_diseasecondition_5f5cc11b7f72,,Achondroplasia,"Entity: Achondroplasia
Aliases: Achondroplasia
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_8d0f4dc232cb,entity,ent_diseasecondition_8d0f4dc232cb,ent_diseasecondition_8d0f4dc232cb,,Growth Hormone,"Entity: Growth Hormone
Aliases: Growth Hormone
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_e70dbd4b1bf0,entity,ent_diseasecondition_e70dbd4b1bf0,ent_diseasecondition_e70dbd4b1bf0,,Hashimot,"Entity: Hashimot
Aliases: Hashimot, Hashimot's disease
Type: DiseaseCondition
Quality: high
Relations: Hashimot TREATED_BY Tiroxine. Evidence: أَنِّي أعاني من هاشيموتو في بعض الأحيان في رمضان أخذ الدواء قبل السحور ولا اكل شي بعده وأصوم طوال النهار"
entity::ent_diseasecondition_81ee665c48f1,entity,ent_diseasecondition_81ee665c48f1,ent_diseasecondition_81ee665c48f1,,Hashimoto,"Entity: Hashimoto
Aliases: Hashimoto, Hashimotou
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_85bdadb0e2a2,entity,ent_diseasecondition_85bdadb0e2a2,ent_diseasecondition_85bdadb0e2a2,,Hypothyroidism,"Entity: Hypothyroidism
Aliases: Hypothyroidism, Underactive thyroid
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_ae3dd473a795,entity,ent_diseasecondition_ae3dd473a795,ent_diseasecondition_ae3dd473a795,,Pallister Killian syndrome,"Entity: Pallister Killian syndrome
Aliases: Pallister Killian syndrome
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_d66c4956707a,entity,ent_diseasecondition_d66c4956707a,ent_diseasecondition_d66c4956707a,,Rhizomelic and Micromelia,"Entity: Rhizomelic and Micromelia
Aliases: Rhizomelic and Micromelia
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_4c4500ee0d57,entity,ent_diseasecondition_4c4500ee0d57,ent_diseasecondition_4c4500ee0d57,,ارتجاج دماغي,"Entity: ارتجاج دماغي
Aliases: ارتجاج دماغي
Type: DiseaseCondition
Quality: high
Relations: ارتجاج دماغي DIAGNOSED_BY أشعة. Evidence: عمل صورة أشعة للرأس"
entity::ent_diseasecondition_d570c92436e9,entity,ent_diseasecondition_d570c92436e9,ent_diseasecondition_d570c92436e9,,ارتخاء,"Entity: ارتخاء
Aliases: ارتخاء
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_af6114123652,entity,ent_diseasecondition_af6114123652,ent_diseasecondition_af6114123652,,ارتخاء الصمام الميترالي,"Entity: ارتخاء الصمام الميترالي
Aliases: ارتخاء الصمام الميترالي
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_b774b131180f,entity,ent_diseasecondition_b774b131180f,ent_diseasecondition_b774b131180f,,ارتفاع الكلسترول,"Entity: ارتفاع الكلسترول
Aliases: ارتفاع الكلسترول
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_db17a406c72e,entity,ent_diseasecondition_db17a406c72e,ent_diseasecondition_db17a406c72e,,ارتفاع ضغط الدم,"Entity: ارتفاع ضغط الدم
Aliases: ارتفاع ضغط, ارتفاع ضغط الدم, ضغط الدم
Type: DiseaseCondition
Quality: high
Relations: ارتفاع ضغط الدم HAS_SYMPTOM خفقان القلب. Evidence: خفقان احيتنا | ارتفاع ضغط الدم HAS_SYMPTOM ضيق تنفس. Evidence: ضيق تنفس | ارتفاع ضغط الدم HAS_SYMPTOM خفقان القلب. Evidence: خفقان القلب الشديد | ارتفاع ضغط الدم HAS_SYMPTOM خفقان القلب. Evidence: تسارع في ضربات القلب | ارتفاع ضغط الدم HAS_SYMPTOM دوخة. Evidence: دوخة | ارتفاع ضغط الدم HAS_SYMPTOM ضيق تنفس. Evidence: ضيق تنفس | ارتفاع ضغط الدم HAS_SYMPTOM الإغماء. Evidence: الإغماء | ارتفاع ضغط الدم TREATED_BY العقاقير. Evidence: قد يعطى لك المهدئات لتقلصات العضلات والعقاقير من خلال الوريد (عن طريق الوريد) لعلاج ارتفاع ضغط الدم والإثارة والألم."
entity::ent_diseasecondition_7f3c581aaa3e,entity,ent_diseasecondition_7f3c581aaa3e,ent_diseasecondition_7f3c581aaa3e,,ارتكاريا,"Entity: ارتكاريا
Aliases: ارتكاريا
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_f3982f19c624,entity,ent_diseasecondition_f3982f19c624,ent_diseasecondition_f3982f19c624,,ارتياف دعب \u0627لديم,"Entity: ارتياف دعب \u0627لديم
Aliases: ارتياف دعب \u0627لديم, ارتياف دعب الديم
Type: DiseaseCondition
Quality: high
Relations: ارتياف دعب \u0627لديم HAS_SYMPTOM الالم. Evidence: الالم الدي الديم الديم الديم"
entity::ent_diseasecondition_9db0143f0c61,entity,ent_diseasecondition_9db0143f0c61,ent_diseasecondition_9db0143f0c61,,إسهال,"Entity: إسهال
Aliases: إسهال
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_b2548ad0e103,entity,ent_diseasecondition_b2548ad0e103,ent_diseasecondition_b2548ad0e103,,اضطراب الغدة الدرقية,"Entity: اضطراب الغدة الدرقية
Aliases: اضطراب الغدة الدرقية
Type: DiseaseCondition
Quality: high
Relations: "
entity::ent_diseasecondition_35eb2b8f8638,entity,ent_diseasecondition_35eb2b8f8638,ent_diseasecondition_35eb2b8f8638,,اضطراب نفسي,"Entity: اضطراب نفسي
Aliases: اضطراب نفسي
Type: DiseaseCondition
Quality: high
Relations: اضطراب نفسي TREATED_BY العقاقير المضادة للذهان. Evidence: العقاقير المضادة للذهان"
