query_id,query,normalized_query,expanded_terms,key_medical_fragments,primary_intent,all_intents,target_relation_types,detected_entity_names,detected_entity_types,detected_entity_match_types,semantic_candidate_entity_names,silver_relevant_entity_ids,silver_relevant_qa_ids,relation_type_weights,warnings,retrieval_mode
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,ما علاج البلغم (حساسيه الصدر) رغم اخذي هلاج اكثر من مره ولا فايده ? هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمري 55...,"[""ارتفاع الكوليسترول"", ""حساسية"", ""دهون الدم"", ""ربو""]","[""البلغم حساسيه الصدر"", ""حساسيه الصدر رغم"", ""الصدر رغم اخذي"", ""رغم اخذي هلاج"", ""اخذي هلاج اكثر"", ""هلاج اكثر مره"", ""اكثر مره ولا"", ""مره ولا فايده"", ""ولا فايده امتنع"", ""فايده امتنع طعام""]",treatment_request,"[""treatment_request"", ""symptom_check""]","[""TREATED_BY"", ""TREATS"", ""MANAGED_BY"", ""HAS_AFTERCARE_INSTRUCTION"", ""HAS_SYMPTOM"", ""SYMPTOM_OF""]","[""حساسية الصدر"", ""ضغط"", ""بلغم"", ""الكوليسترول"", ""ضغط الدم"", ""ارتفاع الكوليسترول"", ""حساسية""]","[""DiseaseCondition"", ""Symptom"", ""Symptom"", ""DiseaseCondition"", ""Symptom"", ""DiseaseCondition"", ""DiseaseCondition""]","[""exact"", ""exact"", ""exact"", ""exact"", ""alias"", ""alias"", ""alias""]","[""ربو""]","[""ent_diseasecondition_1c50bd11c45a"", ""ent_diseasecondition_1cda0b09f82c"", ""ent_diseasecondition_250910ab0701"", ""ent_diseasecondition_2f75d3dabe0b"", ""ent_symptom_724e59ded899"", ""ent_symptom_d713f64368d3"", ""ent_symptom_dc2c7333a505"", ""supp_ent_condition_cholesterol""]","[""ahd5k_00010"", ""ahd5k_00020"", ""ahd5k_00069"", ""ahd5k_00085"", ""ahd5k_00133"", ""ahd5k_00142"", ""ahd5k_00171"", ""ahd5k_00436"", ""ahd5k_00481"", ""ahd5k_00510"", ""ahd5k_00614"", ""ahd5k_00683"", ""ahd5k_00691"", ""ahd5k_00695"", ""ahd5k_00756"", ""ahd5k_00812"", ""ahd5k_00864"", ""ahd5k_00887"", ""ahd5k_00931"", ""ahd5k_00963"", ""ahd5k_00970"", ""ahd5k_00994"", ""ahd5k_01231"", ""ahd5k_01236"", ""ahd5k_01245"", ""ahd5k_01259"", ""ahd5k_01294"", ""ahd5k_01350"", ""ahd5k_01418"", ""ahd5k_01836"", ""ahd5k_01894"", ""ahd5k_02039"", ""ahd5k_02115"", ""ahd5k_02124"", ""ahd5k_02470"", ""ahd5k_02556"", ""ahd5k_02577"", ""ahd5k_02607"", ""ahd5k_02662"", ""ahd5k_02754"", ""ahd5k_02966"", ""ahd5k_03068"", ""ahd5k_03098"", ""ahd5k_03243"", ""ahd5k_03258"", ""ahd5k_03423"", ""ahd5k_03626"", ""ahd5k_03662"", ""ahd5k_03762"", ""ahd5k_04144"", ""ahd5k_04235"", ""ahd5k_04347"", ""ahd5k_04490"", ""ahd5k_04912""]","{""TREATED_BY"": 1.0, ""TREATS"": 1.0, ""MANAGED_BY"": 1.0, ""HAS_AFTERCARE_INSTRUCTION"": 1.0, ""HAS_SYMPTOM"": 0.4, ""SYMPTOM_OF"": 0.4}",[],entity_seeded_vector_then_graph
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,كيف اعالج علامات الشيخوخه المبكره بالوجه?,[],"[""كيف اعالج علامات"", ""اعالج علامات الشيخوخه"", ""علامات الشيخوخه المبكره"", ""الشيخوخه المبكره بالوجه"", ""المبكره بالوجه الوجه"", ""كيف اعالج"", ""اعالج علامات"", ""علامات الشيخوخه"", ""الشيخوخه المبكره"", ""المبكره بالوجه""]",treatment_request,"[""treatment_request""]","[""TREATED_BY"", ""TREATS"", ""MANAGED_BY"", ""HAS_AFTERCARE_INSTRUCTION""]","[""الشيخوخة""]","[""DiseaseCondition""]","[""exact""]",[],"[""ent_diseasecondition_d99fb1a77d6c""]","[""ahd5k_00987"", ""ahd5k_03329""]","{""TREATED_BY"": 1.0, ""TREATS"": 1.0, ""MANAGED_BY"": 1.0, ""HAS_AFTERCARE_INSTRUCTION"": 1.0}",[],entity_seeded_vector_then_graph
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,ماالعلاج الاسعافي لانخفاض السكر مع فقدان الوعي,"[""مرض السكري""]","[""ماالعلاج الاسعافي لانخفاض"", ""الاسعافي لانخفاض السكر"", ""لانخفاض السكر فقدان"", ""السكر فقدان الوعي"", ""فقدان الوعي انخفاض"", ""الوعي انخفاض قدان"", ""ماالعلاج الاسعافي"", ""الاسعافي لانخفاض"", ""لانخفاض السكر"", ""السكر فقدان""]",general_medical_question,"[""general_medical_question""]","[""HAS_SYMPTOM"", ""TREATED_BY"", ""DIAGNOSED_BY"", ""INVESTIGATED_BY""]","[""فقدان الوعي"", ""سكر""]","[""Symptom"", ""DiseaseCondition""]","[""exact"", ""exact""]","[""مرض السكري""]","[""ent_diseasecondition_380db6d92562"", ""ent_diseasecondition_4393a2bf88a6"", ""ent_symptom_1113453f7a36""]","[""ahd5k_00992"", ""ahd5k_01294"", ""ahd5k_01358"", ""ahd5k_01551"", ""ahd5k_02607"", ""ahd5k_03015"", ""ahd5k_03068"", ""ahd5k_03284"", ""ahd5k_03801"", ""ahd5k_04630"", ""ahd5k_04912"", ""ahd5k_04944""]","{""HAS_SYMPTOM"": 1.0, ""TREATED_BY"": 1.0, ""DIAGNOSED_BY"": 1.0, ""INVESTIGATED_BY"": 1.0}",[],entity_seeded_vector_then_graph
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,هل الاشعه المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,"[""الغدة الدرقية"", ""مرض الغدة الدرقية""]","[""الاشعه المقطعيه بالصبغه"", ""المقطعيه بالصبغه للقلب"", ""بالصبغه للقلب تسبب"", ""للقلب تسبب انتفاخ"", ""تسبب انتفاخ اسفل"", ""انتفاخ اسفل الوجه"", ""اسفل الوجه انتفاخ"", ""الوجه انتفاخ الغده"", ""انتفاخ الغده الصبغه"", ""الغده الصبغه قلب""]",diagnostic_test_request,"[""diagnostic_test_request""]","[""DIAGNOSED_BY"", ""DIAGNOSES"", ""INVESTIGATED_BY"", ""INVESTIGATES""]","[""أشعة"", ""انتفاخ"", ""الغدة الدرقية""]","[""Test"", ""Symptom"", ""DiseaseCondition""]","[""exact"", ""exact"", ""alias""]","[""مرض الغدة الدرقية"", ""الغدة الدرقية""]","[""ent_diseasecondition_22348d970227"", ""ent_diseasecondition_7b4788cd854a"", ""ent_symptom_fd750eeb2865"", ""ent_test_c4cfd2d6468c"", ""supp_ent_thyroid""]","[""ahd5k_00035"", ""ahd5k_00114"", ""ahd5k_00632"", ""ahd5k_00876"", ""ahd5k_01220"", ""ahd5k_01290"", ""ahd5k_01295"", ""ahd5k_01537"", ""ahd5k_02003"", ""ahd5k_02685"", ""ahd5k_02980"", ""ahd5k_03019"", ""ahd5k_03465"", ""ahd5k_04468"", ""ahd5k_04648"", ""ahd5k_04844"", ""ahd5k_04934""]","{""DIAGNOSED_BY"": 1.0, ""DIAGNOSES"": 1.0, ""INVESTIGATED_BY"": 1.0, ""INVESTIGATES"": 1.0}",[],entity_seeded_vector_then_graph
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,السلام عليكم..ماهو العلاج المناسب لتقليل نسبه الاملاح في الدم النسبه الحاليه عندي هي (7.9) عمري 44 سنه /ذكر?,[],"[""العلاج المناسب لتقليل"", ""المناسب لتقليل نسبه"", ""لتقليل نسبه الاملاح"", ""نسبه الاملاح النسبه"", ""الاملاح النسبه الحاليه"", ""النسبه الحاليه عمري"", ""الحاليه عمري سنه"", ""عمري سنه ذكر"", ""سنه ذكر تقليل"", ""العلاج المناسب""]",treatment_request,"[""treatment_request"", ""symptom_check""]","[""TREATED_BY"", ""TREATS"", ""MANAGED_BY"", ""HAS_AFTERCARE_INSTRUCTION"", ""HAS_SYMPTOM"", ""SYMPTOM_OF""]","[""العلاج"", ""النسبة""]","[""Treatment"", ""Test""]","[""exact"", ""exact""]",[],"[""ent_test_4e95ccf90696"", ""ent_treatment_90baddc0bf15""]","[""ahd5k_00666"", ""ahd5k_04052"", ""ahd5k_04490""]","{""TREATED_BY"": 1.0, ""TREATS"": 1.0, ""MANAGED_BY"": 1.0, ""HAS_AFTERCARE_INSTRUCTION"": 1.0, ""HAS_SYMPTOM"": 0.4, ""SYMPTOM_OF"": 0.4}",[],entity_seeded_vector_then_graph
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,السلام عليكم انا اشعر ببروده راسي -وغذا اصبح ملمس راسي بارد جاني صداع لايزول بالمسكنات- ذهبت لافضل اخصايي انف واذن وحنجره قال هذا المرض ماله علاج !! ماهي التحاليل الازمه...,[],"[""ببروده راسي وغذا"", ""راسي وغذا اصبح"", ""وغذا اصبح ملمس"", ""اصبح ملمس راسي"", ""ملمس راسي بارد"", ""راسي بارد جاني"", ""بارد جاني صداع"", ""جاني صداع لايزول"", ""صداع لايزول بالمسكنات"", ""لايزول بالمسكنات ذهبت""]",symptom_check,"[""symptom_check"", ""treatment_request"", ""cause_or_condition_question"", ""diagnostic_test_request""]","[""HAS_SYMPTOM"", ""SYMPTOM_OF"", ""TREATED_BY"", ""TREATS"", ""MANAGED_BY"", ""HAS_AFTERCARE_INSTRUCTION"", ""DIAGNOSED_BY"", ""DIAGNOSES"", ""INVESTIGATED_BY"", ""INVESTIGATES""]","[""صداع"", ""صداع التوتر""]","[""Symptom"", ""Symptom""]","[""exact"", ""alias""]",[],"[""ent_symptom_b754f1a1e5a8"", ""ent_symptom_c01e00eb5c72""]","[""ahd5k_00065"", ""ahd5k_00222"", ""ahd5k_00507"", ""ahd5k_00780"", ""ahd5k_00887"", ""ahd5k_01058"", ""ahd5k_02266"", ""ahd5k_02318"", ""ahd5k_02662"", ""ahd5k_03689"", ""ahd5k_03737"", ""ahd5k_04265"", ""ahd5k_04356""]","{""HAS_SYMPTOM"": 1.0, ""SYMPTOM_OF"": 1.0, ""TREATED_BY"": 0.4, ""TREATS"": 0.4, ""MANAGED_BY"": 0.4, ""HAS_AFTERCARE_INSTRUCTION"": 0.4, ""DIAGNOSED_BY"": 0.4, ""DIAGNOSES"": 0.4, ""INVESTIGATED_BY"": 0.4, ""INVESTIGATES"": 0.4}","[""Current trial graph has no direct CAUSES/CAUSED_BY/RISK_FACTOR_FOR relation. Step 9 should approximate cause questions with SYMPTOM_OF/HAS_SYMPTOM and mark this limitation.""]",entity_seeded_vector_then_graph
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,مامتي جدا تعبانه من القرحه من غير النزيف المستمر والان هي لا تتناول الاطعمه بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,[],"[""مامتي جدا تعبانه"", ""جدا تعبانه القرحه"", ""تعبانه القرحه غير"", ""القرحه غير النزيف"", ""غير النزيف المستمر"", ""النزيف المستمر والان"", ""المستمر والان تتناول"", ""والان تتناول الاطعمه"", ""تتناول الاطعمه بسبب"", ""الاطعمه بسبب الغثيان""]",cause_or_condition_question,"[""cause_or_condition_question""]","[""HAS_SYMPTOM"", ""SYMPTOM_OF""]","[""قرحة"", ""القرحة"", ""النزيف"", ""غثيان""]","[""DiseaseCondition"", ""DiseaseCondition"", ""Symptom"", ""Symptom""]","[""exact"", ""exact"", ""exact"", ""exact""]",[],"[""ent_diseasecondition_780d3bf613f5"", ""ent_diseasecondition_d13d516b4149"", ""ent_symptom_23da4c61fd5e"", ""ent_symptom_ca6890d2fa81""]","[""ahd5k_01066"", ""ahd5k_03563"", ""ahd5k_03807"", ""ahd5k_04926""]","{""HAS_SYMPTOM"": 1.0, ""SYMPTOM_OF"": 1.0}","[""Current trial graph has no direct CAUSES/CAUSED_BY/RISK_FACTOR_FOR relation. Step 9 should approximate cause questions with SYMPTOM_OF/HAS_SYMPTOM and mark this limitation.""]",entity_seeded_vector_then_graph
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,"ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتاكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ,حتي يعود يصبح في طول يسمح بتركيب...",[],"[""البديل لعمل كراون"", ""لعمل كراون للضرس"", ""كراون للضرس حال"", ""للضرس حال طول"", ""حال طول الضرس"", ""طول الضرس قصير"", ""الضرس قصير بسبب"", ""قصير بسبب كسر"", ""بسبب كسر وتاكل"", ""كسر وتاكل السطح""]",aftercare_question,"[""aftercare_question"", ""cause_or_condition_question""]","[""HAS_AFTERCARE_INSTRUCTION"", ""AVOID_AFTER"", ""HAS_SYMPTOM"", ""SYMPTOM_OF""]","[""الضرس"", ""كسر""]","[""DiseaseCondition"", ""DiseaseCondition""]","[""exact"", ""exact""]",[],"[""ent_diseasecondition_63c6ebfcb439"", ""ent_diseasecondition_ee57bd84c53c""]","[""ahd5k_00484"", ""ahd5k_00821"", ""ahd5k_00828"", ""ahd5k_00977"", ""ahd5k_01094"", ""ahd5k_04078""]","{""HAS_AFTERCARE_INSTRUCTION"": 1.0, ""AVOID_AFTER"": 1.0, ""HAS_SYMPTOM"": 0.4, ""SYMPTOM_OF"": 0.4}","[""Current trial graph has no direct CAUSES/CAUSED_BY/RISK_FACTOR_FOR relation. Step 9 should approximate cause questions with SYMPTOM_OF/HAS_SYMPTOM and mark this limitation.""]",entity_seeded_vector_then_graph
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,زوجتي حامل ومنذ بدايه حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تاثير علي الجنين....,[],"[""زوجتي حامل ومنذ"", ""حامل ومنذ بدايه"", ""ومنذ بدايه حملها"", ""بدايه حملها اتوقف"", ""حملها اتوقف الاتصال"", ""اتوقف الاتصال معهاابدا"", ""الاتصال معهاابدا فهل"", ""معهاابدا فهل علاقه"", ""فهل علاقه لما"", ""علاقه لما تشعر""]",drug_safety_question,"[""drug_safety_question"", ""development_timeline_question""]","[""HAS_ADVERSE_EFFECT"", ""CONTRAINDICATED_IN"", ""SAFE_DURING_PREGNANCY"", ""REQUIRES_MEDICAL_SUPERVISION_FOR"", ""DEVELOPS_DURING"", ""OCCURS_DURING""]","[""الجنين"", ""حرقه""]","[""DiseaseCondition"", ""Symptom""]","[""exact"", ""exact""]",[],"[""ent_diseasecondition_1420aadad936"", ""ent_symptom_ecf500c8beea""]","[""ahd5k_01099"", ""ahd5k_03455"", ""ahd5k_04815""]","{""HAS_ADVERSE_EFFECT"": 1.0, ""CONTRAINDICATED_IN"": 1.0, ""SAFE_DURING_PREGNANCY"": 1.0, ""REQUIRES_MEDICAL_SUPERVISION_FOR"": 1.0, ""DEVELOPS_DURING"": 0.4, ""OCCURS_DURING"": 0.4}",[],entity_seeded_vector_then_graph
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,لمدا كلما انزعجت من شخص ما اشعر بدوار ودقات سريعه للقلب وشعور براسي تقيل تم يغمي علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكرا جزيل,[],"[""لمدا كلما انزعجت"", ""كلما انزعجت شخص"", ""انزعجت شخص بدوار"", ""شخص بدوار ودقات"", ""بدوار ودقات سريعه"", ""ودقات سريعه للقلب"", ""سريعه للقلب وشعور"", ""للقلب وشعور براسي"", ""وشعور براسي تقيل"", ""براسي تقيل يغمي""]",symptom_check,"[""symptom_check""]","[""HAS_SYMPTOM"", ""SYMPTOM_OF""]","[""دقات سريعة للقلب"", ""راسي تقيل"", ""دوار""]","[""Symptom"", ""Symptom"", ""Symptom""]","[""exact"", ""exact"", ""exact""]",[],"[""ent_symptom_2623f9ed0078"", ""ent_symptom_e9ec482600f1"", ""ent_symptom_ec53995c86ca""]","[""ahd5k_01140""]","{""HAS_SYMPTOM"": 1.0, ""SYMPTOM_OF"": 1.0}",[],entity_seeded_vector_then_graph
