category,subset_rows,clean_source_rows
أمراض نسائية,221,162090
الصحة الجنسية,164,96364
الأمراض الجلدية,114,41748
الطب العام,108,41718
أمراض العضلات والعظام و المفاصل,103,45801
أمراض المسالك البولية والتناسلية,97,42582
الأمراض الجنسية,92,22156
أمراض الجهاز الهضمي,91,36541
أمراض القلب و الشرايين,90,22005
أمراض الأطفال,82,23807
جراحة عامة,82,17344
الحمل والولادة,80,18756
أمراض باطنية,77,18123
أنف، أذن وحنجرة,77,18668
امراض العيون,77,18680
أمراض نفسية,74,19086
الأورام الخبيثة والحميدة,72,12358
علم الصيدلة,71,14887
تغذية,70,16332
الأمراض العصبية,68,10841
أمراض الأسنان,67,16898
صحة الطفل,67,8268
أمراض الغدد الصماء,66,9236
أمراض الجهاز التنفسي,65,6101
البشرة والجمال,64,6650
صحة الرجل,64,3805
الصحة النفسية,62,10346
ارتفاع ضغط الدم,60,4556
صحة المرأة,60,3608
صحة عامة,59,2307
مرض السكري,59,7144
أمراض الفم,58,4409
جراحة العظام,58,4192
طب الأسنان,58,2231
جراحة الأعصاب,57,593
علاج طبيعي,57,418
أعشاب طبية,56,402
أمراض الدم,56,2362
إدمان,56,1915
الصحة و الرياضة,56,1114
الطب البديل,56,387
العقم,56,386
جراحة الفك والأسنان,56,685
جراحة القلب والشرايين,56,575
أرجية حساسية,55,555
إسعاف أولي,55,68
الامراض المعدية,55,403
الامراض الوراثية,55,166
بصريات,55,82
تخدير,55,56
تشخيص,55,256
جراحة المسالك البولية,55,392
جراحة تجميل,55,1578
جراحة نسائية,55,259
خدمات طبية,55,77
صحة الأسنان,55,3967
علم الأجنة,55,66
علم الأشعة,55,83
علم الأمراض,55,57
علم التشريح,55,61
علم السموم,55,55
علم المناعة,55,92
علم النفس,55,382
فيتامينات و معادن,55,150
مختبر,55,224
هرمونات,55,240
علم الأحياء,49,49
علم الأحياء الدقيقة,48,48
علم الوراثة,44,44
الأمراض الرثويه,34,34
الطب الوقائي,34,34
فيزيولوجيا,34,34
مطاعيم و لقاحات,32,32
تشوهات خلقية,21,21
تاريخ الطب,18,18
كيمياء,18,18
صحة المسنين,17,17
جراحة الأطفال,16,16
رمضان,13,13
جراحة الأوعية الدموية,12,12
حمل الأنابيب,12,12
كيمياء حيوية,12,12
تجهيزات طبية,8,8
فيزياء,8,8
أمراض الاستقلاب,7,7
علم الأنسجة,5,5
علم النبات,5,5
أخبار الطبي,2,2
علم البيئة,1,1
كيمياء عضوية,1,1
