query_id,query,doc_type,rank,final_score,raw_similarity,boost,score_reason,title,doc_id,source_id,entity_id,qa_id,text_preview
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,entity,1,0.694106,0.344106,0.35,hard_entity_seed,بلغم,entity::ent_symptom_dc2c7333a505,ent_symptom_dc2c7333a505,ent_symptom_dc2c7333a505,,"Entity: بلغم
Aliases: بلغم
Type: Symptom
Quality: high
Relations: حساسية HAS_SYMPTOM بلغم. Evidence: ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ | التهاب HAS_SYMPTOM بلغم. Evidence: اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج | ربو HAS_SYMPTOM بلغم. Evidence: هل هو ربو ؟؟ او هل هناك حساسية ابسط"
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,entity,2,0.53826,0.28826,0.25,hard_entity_seed,حساسية,entity::ent_diseasecondition_2f75d3dabe0b,ent_diseasecondition_2f75d3dabe0b,ent_diseasecondition_2f75d3dabe0b,,"Entity: حساسية
Aliases: ارتكاريا, التهاب, حساسية, حساسية الصدر, حساسية جلديه, حساسية شقية, ربو, نزلة معوية
Type: DiseaseCondition
Quality: high
Relations: حساسية HAS_SYMPTOM سعال. Evidence: هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم | حساسية HAS_SYMPTOM بلغم. Evidence: ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من "
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,entity,3,0.431259,0.081259,0.35,hard_entity_seed,حساسية الصدر,entity::ent_diseasecondition_250910ab0701,ent_diseasecondition_250910ab0701,ent_diseasecondition_250910ab0701,,"Entity: حساسية الصدر
Aliases: حساسية, حساسية الصدر
Type: DiseaseCondition
Quality: high
Relations: حساسية الصدر HAS_SYMPTOM سعال. Evidence: حساسية الصدر and سعال co-occur with explicit symptom-pathology link | حساسية الصدر DIAGNOSED_BY تحليل الحساسية. Evidence: تحليل الحساسية explicitly mentioned as diagnostic tool for حساسية الصدر"
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,entity,4,0.401571,0.051571,0.35,hard_entity_seed,الكوليسترول,entity::ent_diseasecondition_1cda0b09f82c,ent_diseasecondition_1cda0b09f82c,ent_diseasecondition_1cda0b09f82c,,"Entity: الكوليسترول
Aliases: الكوليسترول
Type: DiseaseCondition
Quality: high
Relations: "
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,entity,5,0.390456,0.040456,0.35,hard_entity_seed,ضغط,entity::ent_symptom_d713f64368d3,ent_symptom_d713f64368d3,ent_symptom_d713f64368d3,,"Entity: ضغط
Aliases: ضغط
Type: Symptom
Quality: high
Relations: التهاب الجيوب الأنفية HAS_SYMPTOM ضغط. Evidence: ضغط"
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,entity,6,0.343296,0.093296,0.25,hard_entity_seed,ضغط الدم,entity::ent_symptom_724e59ded899,ent_symptom_724e59ded899,ent_symptom_724e59ded899,,"Entity: ضغط الدم
Aliases: ضغط, ضغط الدم
Type: Symptom
Quality: high
Relations: مرض السكري HAS_SYMPTOM ضغط الدم. Evidence: مرض السكري وضغط الدمز | مرض السكري HAS_SYMPTOM ضغط الدم. Evidence: مرض السكري وضغط الدم | مرض السكري HAS_SYMPTOM ضغط الدم. Evidence: مع العلم أن المريض يعاني من مرض السكر"
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,entity,7,0.261975,0.141975,0.12,semantic_candidate_entity,ربو,entity::ent_diseasecondition_1c50bd11c45a,ent_diseasecondition_1c50bd11c45a,ent_diseasecondition_1c50bd11c45a,,"Entity: ربو
Aliases: ربو
Type: DiseaseCondition
Quality: high
Relations: ربو HAS_SYMPTOM سعال. Evidence: هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم | ربو HAS_SYMPTOM بلغم. Evidence: هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم | ربو TREATED_BY زيت الحبة السوداء. Evidence: التخفيف من أعراض الربو "
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,entity,8,0.16843,0.16843,0.0,semantic_similarity_only,سعال,entity::ent_symptom_f4cf885a0447,ent_symptom_f4cf885a0447,ent_symptom_f4cf885a0447,,"Entity: سعال
Aliases: بلغم, سعال, ضيق تنفس
Type: Symptom
Quality: high
Relations: حساسية HAS_SYMPTOM سعال. Evidence: هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم | التهاب HAS_SYMPTOM سعال. Evidence: اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج | ربو HAS_SYMPTOM سعال. Evidence: هل هو ربو ؟؟ او "
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,entity,9,0.137829,0.137829,0.0,semantic_similarity_only,العقاقير,entity::ent_treatment_a0a8ee46502f,ent_treatment_a0a8ee46502f,ent_treatment_a0a8ee46502f,,"Entity: العقاقير
Aliases: العقاقير, المهدئات
Type: Treatment
Quality: medium
Relations: ارتفاع ضغط الدم TREATED_BY العقاقير. Evidence: قد يعطى لك المهدئات لتقلصات العضلات والعقاقير من خلال الوريد (عن طريق الوريد) لعلاج ارتفاع ضغط الدم والإثارة والألم."
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,entity,10,0.135432,0.135432,0.0,semantic_similarity_only,زيت الحبة السوداء,entity::ent_treatment_677fdfb3086e,ent_treatment_677fdfb3086e,ent_treatment_677fdfb3086e,,"Entity: زيت الحبة السوداء
Aliases: زيت الحبة السوداء
Type: Treatment
Quality: high
Relations: ربو TREATED_BY زيت الحبة السوداء. Evidence: التخفيف من أعراض الربو وأمراض الجهاز التنفسي. ما هي فوائد زيت حبة السوداء | حساسية TREATED_BY زيت الحبة السوداء. Evidence: علاج حساسية الأنف. ما هي فوائد زيت حبة السوداء | صداع TREATED_BY زيت الحبة السوداء. Evide"
