differential_id,cohort,query_id,query,reference_answer,generation_mode,cited_evidence,evidence_qa_ids,verification_status,support_score,question_relevance,failed_checks,differential_type,automatic_citation_valid,automatic_verifier_supported,review_decision,safety_error_types,reviewer_notes,reviewer_type,candidate_claim,candidate_citations,closest_baseline_claim,closest_baseline_similarity
ahd_reference_100:evalv1_001:1,ahd_reference_100,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,structured_claims_v3_1,هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون,ahd10k_00787,supported,0.666667,0.957261,,not_produced_by_baseline,true,true,,,,,يمكن رفع مستوى هرمون البروجستيرون عن طريق زيادة تناول الخضار والفواكه، تقليل الضغط النفسي والتوتر، وقف التدخين، واستخدام علاجات دوائية تحتوي على هرمون البروجستيرون.,E1,استخدام علاجات دوائية تحتوي على هرمون البروجستيرون يمكن أن يعالج انخفاضه.,0.425532
ahd_reference_100:evalv1_002:1,ahd_reference_100,evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,راجع اختصاصي باطنية عمل فحص شامل للدم والبول والبراز، وضغط الدم وما يلزم للمتابعة والتشخيص الدقيق.,structured_claims_v3_1,هناك أسباب التهابية وعدوائية وتنفسية وقلبية ودموية وأخرى كثيرة يمكن أن تسبب ذلك، وننصح باجراء فحص طبي سريري أولا للوقوف على علامات وتفاصيل أكثر دقة,ahdqa_0528835,supported,0.5625,0.463889,,not_produced_by_baseline,true,true,,,,,يُنصح بإجراء فحص طبي سريري شامل لتحديد الأسباب المحتملة للدوخة والإغماء، بما في ذلك الأسباب التهابية، الأدوية، التنفسية، القلبية، والدموية.,E3,فحص طبي سريري لتحديد الأسباب المحتملة للدوخة والإغماء,0.557895
ahd_reference_100:evalv1_003:2,ahd_reference_100,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,الفحص الطبي هو استقصاء ناقد ومعاينة بهدف التشخيص.ويشمل جميع الوسائل التي تفيد في تحقيق الهدف، من الفحص السريري ثم المختبر والأشعة بأنواعها والفحوصات الخاصة لأمراض معينة مثل فحص الحمل والسكري وفحص الدم للسرطان وغيرها كثير،، يفيد مراجعتك للمفردات تحت بند التشخيص في مواضيع خاصة.,structured_claims_v3_1,الفحص السريري يشمل فحص الجسم من فوق لتحت بجميع أعضائه، والفحص المخبري هو فحص كافة سوائل الجسم وإفرازاته في المختبر إما مجهرياً أو بأجهزة أخرى.,ahdqa_0791809,supported,0.909091,0.845238,,not_produced_by_baseline,true,true,,,,,الفحص الطبي يشمل فحص سوائل الجسم وإفرازاته في المختبر إما مجهرياً أو بأجهزة أخرى.,E2,الفحص المخبري هو فحص سوائل الجسم وإفرازاته في المختبر,0.727273
ahd_reference_100:evalv1_003:3,ahd_reference_100,evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,الفحص الطبي هو استقصاء ناقد ومعاينة بهدف التشخيص.ويشمل جميع الوسائل التي تفيد في تحقيق الهدف، من الفحص السريري ثم المختبر والأشعة بأنواعها والفحوصات الخاصة لأمراض معينة مثل فحص الحمل والسكري وفحص الدم للسرطان وغيرها كثير،، يفيد مراجعتك للمفردات تحت بند التشخيص في مواضيع خاصة.,structured_claims_v3_1,الفحص الطبي هو الوسيلة الوحيدة لتحديد ان كان هناك سبب عضوي أو نفسي، وفي حالة عدم وجود أي خلل عضوي يتطلب الأمر مراجعة أخصائي نفسية للوصول إلى تشخيص دقيق,ahd5k_03417,supported,1.0,0.820145,,not_produced_by_baseline,true,true,,,,,الفحص الطبي هو الوسيلة الوحيدة لتحديد إن كان هناك سبب عضوي أو نفسي، وفي حالة عدم وجود أي خلل عضوي يتطلب الأمر مراجعة أخصائي نفسي للوصول إلى تشخيص دقيق.,E3,لتحديد ما إذا كان هناك سبب عضوي أو نفسي,0.378378
ahd_reference_100:evalv1_010:1,ahd_reference_100,evalv1_010,كيف اجعل شعري يعود كثيفا وطويلا من جديد انا متزوجة,تساقط الشعر وكثافته يعتمد على عامل وراثي ، والامراض الوراثية للان لم يتم اكتشاف علاج لها ولكن هناك بعض الادوية تستعمل لفترة طويلة وبحاجة الى صبر تساعد على نمو الشعر وتأخير تساقطه مثل Z-span كبسولة يوميا ودواء سنتروم كبسولة يوميا ، ودهن الرأس بمحلول مينيكسوديل 2%مرة يوميا وتناول اطعمة متوازنة تحتوي على فيتامين ب12 وفيتامين ج وفيتامين إي,structured_claims_v3_1,الجزء الذي فقدتيه من شعرك بسبب كسل الغدة الدرقية سوف يعود بعد الانضباط على العلاج والجرعة المناسبة لك,ahdqa_0699382,supported,0.642857,0.4625,,not_produced_by_baseline,true,true,,,,,قد يعود الجزء المفقود من الشعر نتيجة لكسل الغدة الدرقية إذا تم الانضباط على العلاج والجرعة المناسبة.,E2,قد يعود الشعر المفقود بسبب قصور الغدة الدرقية بعد الالتزام بالعلاج والجرعة المناسبة,0.703297
ahd_reference_100:evalv1_014:1,ahd_reference_100,evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,ازرقاق اللثة بعد عمل جراحي أو اجراء علاجي قد يكون رضي في بعد الحالات ويسبب هكذا تغير باللون، في حال عدم وجود ألم أو أعراض فموية غير طبيعية فيجب اعطاء المنطقة الوقت الكافي للشفاء والتي قد تكون مدة أسبوع وسطيا، ان استمرت الأعراض لبعدها أو زادت سوءا عندها يجب مراجعة الطبيب لفحص المنطقة والتأكد من العلاج.,structured_claims_v3_1,يجب زيارة الطبيب المختص بأسرع وقت ممكن حتى يتمكن من تحديد السبب والعلاج المناسب حيث أن هذه الأعراض قد تشير إلى أحد الحالات التالية: التهاب اللثة. قرحة الفم الناكسة. داء المبيضات الفموي. فقر الدم. سرطان الفم. خراج سني. للمزيد: نزيف اللثة ما هي أنواع أمراض اللثة؟ أمراض ونزيف اللثة أمراض اللثة وعلاجها بالأعشاب أمراض اللثة عند النساء أمراض اللثة والاسنان عند النساء المرجع: Color Changes to Your Gums WebMD Symptom Checker,ahdqa_0523025,supported,0.636364,0.577935,,not_produced_by_baseline,true,true,,,,,من المهم زيارة طبيب الأسنان في أقرب وقت لتحديد السبب الدقيق والعلاج المناسب، لأن الأعراض قد تشير إلى حالات مثل التهاب اللثة، خراج سني، أو اضطرابات أخرى.,E2,يجب زيارة الطبيب لتحديد السبب.,0.266667
ahd_reference_100:evalv1_022:1,ahd_reference_100,evalv1_022,ماسبب خروج دم قليل جدا في فترات نادره مع المخاط والبلغم. ?,يجب اجراء بعض الفحوصات المخبريه مثل صفائح الدم وعوامل التخثر وأشعة الصدر لمعرفة السبب.امنياتي بدوام الصحه والعافيه,structured_claims_v3_1,أود التوضيح بداية أن خروج دم مع المخاط من الأنف لا يستدعي القلق في الغالب، فهناك العديد من الأسباب البسيطة التي قد تؤدي إلى خروج كمية بسيطة من الدم مع المخاط، ومنها الآتي: جفاف الطقس. كثرة نفخ الأنف بهدف إخراج المخاط. التعرض لإصابة بسيطة في الأنف. تكرار وضع إصبع اليد داخل الأنف. وجود جسم غريب داخل الأنف. احتقان الأنف. حساسية الأنف. التهاب الجيوب الأنفية. التعرض لبعض العناصر الكيميائية المهيجة. استخدام بعض الأدوية. تجدر مراجعة الطبيب في حال ملاحظة حدوث سيلان للدم بشكل متكرر من الأنف، أو استمرار مشكلة الدم في المخاط لمدة طويلة، خصوصًا في حال مصاحبتها لأعراض الأخرى. للمزيد: نزيف الأنف المتكرر والمستمر أسباب نزيف الأنف أثناء النوم,ahdqa_0604382,supported,0.692308,0.652976,,not_produced_by_baseline,true,true,,,,,قد يكون نزف دم مع المخاط نتيجة جفاف الطقس أو احتقان الأنف أو التهاب الجيوب الأنفية أو تكرار وضع إصبع اليد داخل الأنف، وهي أسباب بسيطة غالباً لا تستدعي القلق إذا كانت نادرة.,E4,الدم القليل مع المخاط غالباً ما يكون نتيجة لالتهاب أو تهيج بسيط في الأنف، مثل جفاف الهواء أو احتقان أو إصابة خفيفة أو إدخال إصبع أو جسم غريب.,0.381877
ahd_reference_100:evalv1_023:1,ahd_reference_100,evalv1_023,السلام عليكم فحصة السكر بعد الاكل فوجدة 112 هل هو عادي جزاكم الله كل خير,عليك بتجنب السكريات استعمل العسل و اشرب ماء اوراق الزيتون المغلية فيه انه فعال في الحفاض على المستوى الطبيعي و السكر عادة يقاس بصيام ٨ الى ١٢ ساعة قبل التحليل حاول قياسه FBS و اخبرني النتيجة,structured_claims_v3_1,الاخت الكريمة .. هنالك نوعان من فحص السكر : الفحص الصائم الذي يقوم الشخص بفترة صيام لمدة ٨ ساعات قبل عمل الفحص . الفحص العشوائي ، الذي يمكن عمله في اي وقت . و هنالك ايضا فحص ما بعد تناول الوجبة ، لذلك يمكنكِ عمل الفحص بعد مرور ساعتين من تناول الخبز الاسمر .,ahd5k_03371,supported,0.777778,0.784134,,not_produced_by_baseline,true,true,,,,,يتم إجراء فحص السكر بعد تناول الوجبة بعد ساعتين من تناول الطعام.,E2,النتيجة 112 ملغ/دليل بعد ساعتين من تناول الطعام تُعد ضمن النطاق الطبيعي للسكر بعد الوجبة.,0.48
ahd_reference_100:evalv1_023:2,ahd_reference_100,evalv1_023,السلام عليكم فحصة السكر بعد الاكل فوجدة 112 هل هو عادي جزاكم الله كل خير,عليك بتجنب السكريات استعمل العسل و اشرب ماء اوراق الزيتون المغلية فيه انه فعال في الحفاض على المستوى الطبيعي و السكر عادة يقاس بصيام ٨ الى ١٢ ساعة قبل التحليل حاول قياسه FBS و اخبرني النتيجة,structured_claims_v3_1,تحليل السكر يكون صائم وبعد الاكل بساعتين ويمكن عمل تحليل السكر التراكمى Hb A1c .,ahd5k_00141,supported,0.5,0.822452,,not_produced_by_baseline,true,true,,,,,يمكن عمل تحليل السكر التراكمى Hb A1c لتقييم متوسط مستويات السكر على مدى الأشهر السابقة.,E1,النتيجة 112 ملغ/دليل بعد ساعتين من تناول الطعام تُعد ضمن النطاق الطبيعي للسكر بعد الوجبة.,0.231214
ahd_reference_100:evalv1_031:1,ahd_reference_100,evalv1_031,السلام عليكم اريدعلاج للربو مجرب و مضمون علما بأنني اعاني من ضيق في التنفس اثناء الذهاب الي النوم و كذلك في ساعة الصباح المبكر افيدوني مشكورين,من الافضل مراجعه طبيب اختصاصي امراض صدريه للفحص والتاكد من وظائف الرئة لوصف العلاج المناسب,structured_claims_v3_1,لكل مريض استجابة خاصة على الدواء وكلاهما يمكن أن يسبب ضيق النفس وللتحقق لا بد من فحص,ahdqa_0485526,supported,1.0,0.620455,,not_produced_by_baseline,true,true,,,,,لكل مريض استجابة خاصة على الدواء وكلاهما يمكن أن يسبب ضيق النفس وللتحقق لا بد من فحص,E2,يجب معرفة السبب قبل علاج ضيق التنفس.,0.369748
