cohort,query_id,query,failure_class,confidence,requires_manual_review,strong_equivalent_count,borderline_count,strongest_answer_similarity,strongest_question_similarity,strongest_scenario_score,original_question_rows_excluded,fts_candidates,top_oracle_qa_id,top_oracle_question,top_oracle_answer,top_oracle_retrieved_by_current_pipeline,latency_ms
ahd_reference,evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,only_broad_or_mismatched_evidence_exists,low,True,0,4,0.888145,0.848901,0.305,0,50,ahdqa_0691006,"السلام عليكم
اشعر بحكة بلقضيب وبعض الاحيان حرقة وتيبس بجلدة القضيب ..علما اني متزوج حوالي اربعة اشهر ..وزوجتي ذهبت للطبيب وقال احتمال عندها فطريات واعطوها تحاميل وكريم واستخدمت الاكريم على...","لابد من معاجة الطرفين الزوج والزوجة معا ،منعا لرجوع الالتهاب ، يفضل عمل تحاليل وزرع والتأكد من نوع الجرثومة او الفطريات والبدء بالمعالجة سوية
وبعد المعالجة الإهتمام بالنظافة واتباع تعليمات الطبيبة بالنسبة للزوجة",False,13565.731
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,only_broad_or_mismatched_evidence_exists,low,True,0,8,0.879481,0.843915,0.35,0,50,ahdqa_0445368,اشعر بالالم حاد في أسفل بطني من جهات اليمين ؟؟,يجب ان يراك طبيب لفحص البطن سريريا ومعرفة سبب الالم بعد الفحص,False,15420.391
ahd_reference,evalv1_015,انا شخص مدخن من ٣ سنوات من امس اصبحت اشعر بصعوبة اخذ النفس لدرجة اشعر بالنعاس وقلة التركيز اليوم رحت للطبيب عملي اكس راي وقلي عندي التهاب قصبات هوائية وصفلي...,only_broad_or_mismatched_evidence_exists,low,True,0,2,0.891874,0.805867,0.305,0,50,ahdqa_0091413,"هل يجوز تناول مضادات بلغم متل امبراكسول لمريض الرجفان الاذيني ؟
علما ان المريض مستمر بتناول الديجوكسين ويعاني من الصدفية ايضا",تستطيع اخذه اذا ليس هناك حساسية لمكوناته، و تجنبه في حالة قصور في التنفس. عليك شرب كثير من الماء ايضا لاخراج البلغم. و عليك الكشف لمعرفة السبب لهذا البلغم واخذ الدواء اللازم... فادوية التي تساعد في اخراج البلغم غير كافية,False,19081.228
ahd_reference,evalv1_019,ما هي اسباب قصر اطراف الجنين؟ هل لها حل؟ لماذا تظهر في الشهر السابع؟,only_broad_or_mismatched_evidence_exists,low,True,0,5,0.877224,0.80513,0.305,0,50,ahdqa_0753879,السلام عليكم انا هشام من المغرب انا عمري 17 عاما لكن اعاني من توقف طولي هل هذا يعني اني لن استمر في زيادة طولي هل هناك حل,"طول القامة او قصرها شيء نسبي يختلف من شعب الى اخر , اذا كان طولك قصير جدا بالنسبة لمتوسط طول اهل بلدك فهذا يعتبر قصر , الاسباب قد تكون وراثية بمعنى ان الوالدين او احدهم قصير واحتمالية القصر اعلى . ما زال امامك عام لكي تطول , ينصح مراجعة اخصائي غدد صماء وسكري وجراح عظام من اجل عمل صورة اشعة ورؤية فيما اذا كانت مناطق النمو قد اغلقت ام ما زال هناك امل في ذلك , قد يكون القصر نتيجة اختلالات هرمونية",False,11273.106
ahd_reference,evalv1_021,هل البخاخ ذو القرص (Diskhaler). علاجي او وقائي,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.936015,0.847343,0.3375,0,50,ahdqa_0775500,"هلالبخاخ التربيني عديد الجرعات (تيربو هيلر, Turbohaler علاجي او وقائي","هو علاجي و وقائي
علاجي من ناحية انه يخفف من التهاب الطرق التنفسية
ووقائي انه يخفف من تكرار الاعراض",False,7912.59
ahd_reference,evalv1_025,ما الأثار التي قد تحدث نتيجة تشوهات الفص الأمامي للدماغ؟,only_broad_or_mismatched_evidence_exists,medium,True,0,0,0.874851,0.76744,0.3375,0,50,ahdqa_0623975,عدم التحكم في البول ما أسبابه,عدم التحكم في البول هو نتيجة حالة اختلاج المثانة العصبي الناتج عن اما خلل عصبي في تغذية المثانة او خلل في عمل المثانة او عدم انتظام في العضلات العاصرة لعنق المثانة..,False,11484.233
ahd_reference,evalv1_028,"السلام عليكم و رحمة الله و بركاته في الاَونة الأجيرة بدأت أحس بتعب و خمول فعملت تحاليل و ها هي النتائج globules rouges 4,18 hemoglobine 11,1 hematocrite 34,1 V.G.M 81,6...",only_broad_or_mismatched_evidence_exists,low,True,0,1,0.876215,0.820805,0.305,0,50,ahdqa_0725095,كيف يتم إنقاص درجة triglyceride و ما هو النظام الغذائي المتوجب اتباعه (المأكولات المسموحة والممنوعة التي تشكل خطر في التضاعف) ؟ وشكرا,"إن النسبة الطبيعية لتحاليل الدهون الثلاثية يجب أن تكون أقل من 150 مغ/دسل، ويمكن خفض مستويات الدهون الثلاثية من خلال اتباع النصائح التالية:

التخلص من الوزن الزائد ويفضل فقدان ما يعادل 5-10% من إجمالي الوزن للمساعدة في خفض الدهون الثلاثية بما يعادل 40 مغ/دسل.
تحديد نسبة السكر المضافة في النظام الغذائي من الصودا والعصائر والحلويات.
اتباع نظام غذائي منخفض الكربوهيدرات حيث يتم تحديد الحصول على 26% فقط من السعرات الحرارية من الكربوهيدرات.
تناول المزيد من الألياف من الخضروات والفواكه والحبوب الكاملة.
ممارسة التمارين الرياضية بشكل منتظم.
تجنب تناول الدهون غير المشبعة مثل الأطعمة المصنعة والمخبوزات.
تناول الأسماك الدهنية الغنية بالأوميغا3 مرتين في الأسبوع.
تناول وجبات الطعام بشكل يومي منتظم في نفس التوقيت من كل يوم.
تجنب شرب الكحول.
إضافة بروتين الصويا إلى النظام الغذائي.
تناول المزيد من المكسرات مثل الجوز، اللوز، البندق،الكاجو، الفستق.
تناول المكملات الغذائية التي تحتوي على الأوميغا3/ زيت السمك/ الحلبة/ مستخلص الثوم/ الكركم.

ومن الجدير بالذكر أنه يجب أيضاً زيارة الطبيب المختص من أجل تحديد الحاجة لأي من الأدوية التي تساعد في خفض نسبة الدهون الثلاثية.

الدهون الثلاثية.. في الجسم والغذاء
أسباب ارتفاع الدهون الثلاثية وعلاجه

المرجع:

Lipid Panel
13 Simple Ways to Lower Your Triglycerides",False,19120.014
ahd_reference,evalv1_030,لدي انحراف في الفك السفلي، لا أشعر بأي آلام،كل ما في الأمر هو أن وجهي لا يبدو متطابق خاصة عندما أفتح فمي ، زرت طبيباً من قبل فقال لي أن...,only_broad_or_mismatched_evidence_exists,low,True,0,3,0.911885,0.866221,0.65,0,50,ahdqa_0456635,لدي تضخم قليل ف الفك السفلي مما جعل وجهي يبدو مكعبا اريد ان اجري عملية تصغير الفك السفلي هل هذا ممكن ف السعودية وكم تكلف وماهي مساوئها,من الافضل مراجعة طبيب اختصاصي جراحة فم وفكين لديه خبرة بالجراحة التقويمية,False,6005.037
ahd_reference,evalv1_032,ما هو المطهر الطبيعى الأمن الذى لا يؤثر على مناعة الإنسان أو الأطفال على المدى الطويل؟,only_broad_or_mismatched_evidence_exists,low,True,0,1,0.856676,0.870843,0.655,0,50,ahdqa_0799605,ماهى المطهرات الطبيعية التى لا تضر بمناعة الإنسان على المدى الطويل؟ وكيف اتأكد من أن المظهر الذى استخدمة أمن أم غير أمن؟ وهل صابون الديتول أو غيره من المركات المعروفة...,المطهرات الطبيعية الخارجية عادة غير ضارة ويمكنك مشاهدة لونها الطبيعي المألوف وأي تغيير في اللون أو وجود ترسبات أو وجود شائب عالفة به تدل على عدم صلاحيتها ن واليتول والريكسول وغيرها من المطهرات لا تستخدم بتركيزها الموجود في العبوات بل يجب تخفيفها بالماء,True,6269.824
ahd_reference,evalv1_035,انا فتاة مغربية نظري ضعيف جدا _20 وهو وراثي قال لي الطبيب يستحيل ان يعود بصري حتى بارتداء النظارة لن ارى جيدا,only_broad_or_mismatched_evidence_exists,low,True,0,1,0.877273,0.812773,0.305,0,50,ahdqa_0617047,السلام عليكم زوجي يعاني منذ سنوات من ارتفاع في درجة حرارة الجسم مع احمرار شديد في عموم الجسم ونحول وبعدها يتقشر الجلد وتظهر هذه الحالة بشكل مفاجئ ...وفقكم الله,عليه اجراء فحوصات دم شاملة وبعدها نقرر العلاج,False,5826.282
