query_id,query,subgraph_rank,rerank_score,max_hybrid_score,mean_top_hybrid_score,evidence_count,unique_qa_count,direct_edge_count,semantic_support,evidence_relevance,relation_weight,primary_intent_match,source_entity_id,source_name,source_type,graph_relation_type,target_entity_id,target_name,target_type,best_seed_entity_name,best_seed_source,rank_reason
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,1,0.853633,0.871748,0.871748,1,1,1,0.53826,0.114286,1.0,True,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,TREATED_BY,ent_treatment_cbf0b7b10d4f,تجنب المنتجات التي تحوي جلوتين,Treatment,حساسية,detected_alias,matches primary intent; has original/direct edge support; strong semantic support
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,2,0.845599,0.856963,0.856963,1,1,1,0.53826,0.142857,1.0,True,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,TREATED_BY,ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,حساسية,detected_alias,matches primary intent; has original/direct edge support; strong semantic support
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,3,0.845599,0.856963,0.856963,1,1,1,0.53826,0.142857,1.0,True,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,TREATED_BY,ent_treatment_843876e28a68,كورتيزون,Treatment,حساسية,detected_alias,matches primary intent; has original/direct edge support; strong semantic support
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,4,0.838022,0.85182,0.85182,1,1,1,0.53826,0.057143,1.0,True,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,TREATED_BY,ent_treatment_104bb0a91d5a,تيليفاست,Treatment,حساسية,detected_alias,matches primary intent; has original/direct edge support; strong semantic support
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,5,0.83746,0.846477,0.846477,1,1,1,0.217662,0.114286,1.0,True,supp_ent_condition_cholesterol,ارتفاع الكوليسترول,DiseaseCondition,MANAGED_BY,supp_ent_lifestyle_cholesterol,تقليل الدهون والرياضة,LifestyleRecommendation,ارتفاع الكوليسترول,detected_alias,matches primary intent; has original/direct edge support
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,6,0.829987,0.837034,0.837034,1,1,1,0.53826,0.085714,1.0,True,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,TREATED_BY,ent_treatment_0311bc90ba75,حليب مكسر بروتين الحليب,Treatment,حساسية,detected_alias,matches primary intent; has original/direct edge support; strong semantic support
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,7,0.82953,0.827391,0.827391,1,1,1,0.53826,0.2,1.0,True,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,TREATED_BY,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,حساسية,detected_alias,matches primary intent; has original/direct edge support; strong semantic support
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,8,0.827462,0.83532,0.83532,1,1,1,0.53826,0.057143,1.0,True,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,TREATED_BY,ent_treatment_45a78ee47153,نازونكس,Treatment,حساسية,detected_alias,matches primary intent; has original/direct edge support; strong semantic support
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,1,0.755988,0.705785,0.705785,1,1,1,0.084515,0.285714,1.0,True,ent_diseasecondition_0058b0001848,تضيق القنوات الموجودة داخل الكبد,DiseaseCondition,TREATED_BY,ent_treatment_07d0f0ae4c18,منظار قنوات مرارية الف سلامة,Treatment,تضيق القنوات الموجودة داخل الكبد,semantic_qa_evidence,matches primary intent; has original/direct edge support; evidence overlaps query terms
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,2,0.670388,0.665785,0.665785,1,1,0,0.084515,0.285714,1.0,True,ent_treatment_07d0f0ae4c18,منظار قنوات مرارية الف سلامة,Treatment,TREATS,ent_diseasecondition_0058b0001848,تضيق القنوات الموجودة داخل الكبد,DiseaseCondition,منظار قنوات مرارية الف سلامة,semantic_qa_evidence,matches primary intent; evidence overlaps query terms
