query_id,query,stage,result_type,relevant_total,retrieved_relevant_at_5,recall_at_5,mrr,ndcg_at_10
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,semantic_retrieval,entity,8,5,0.625,1.0,0.920205
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,semantic_retrieval,evidence,62,1,0.016129,1.0,0.492762
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,semantic_retrieval,qa,54,3,0.055556,1.0,0.503324
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,semantic_retrieval,entity,1,1,1.0,1.0,1.0
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,semantic_retrieval,evidence,3,2,0.666667,1.0,0.765361
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,semantic_retrieval,qa,2,1,0.5,1.0,0.613147
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,semantic_retrieval,entity,3,3,1.0,1.0,1.0
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,semantic_retrieval,evidence,15,5,0.333333,1.0,1.0
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,semantic_retrieval,qa,12,4,0.333333,1.0,0.583433
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,semantic_retrieval,entity,5,4,0.8,1.0,0.868795
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,semantic_retrieval,evidence,22,4,0.181818,1.0,0.861138
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,semantic_retrieval,qa,17,1,0.058824,0.5,0.138862
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,semantic_retrieval,entity,2,2,1.0,1.0,1.0
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,semantic_retrieval,evidence,5,3,0.6,1.0,0.722727
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,semantic_retrieval,qa,3,0,0.0,0.0,0.0
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,semantic_retrieval,entity,2,2,1.0,1.0,1.0
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,semantic_retrieval,evidence,15,5,0.333333,1.0,0.921602
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,semantic_retrieval,qa,13,1,0.076923,1.0,0.220092
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,semantic_retrieval,entity,4,4,1.0,1.0,1.0
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,semantic_retrieval,evidence,8,4,0.5,1.0,0.636855
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,semantic_retrieval,qa,4,1,0.25,1.0,0.39038
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,semantic_retrieval,entity,2,2,1.0,1.0,1.0
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,semantic_retrieval,evidence,8,5,0.625,1.0,0.835891
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,semantic_retrieval,qa,6,1,0.166667,1.0,0.40347
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,semantic_retrieval,entity,2,2,1.0,1.0,1.0
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,semantic_retrieval,evidence,5,3,0.6,1.0,0.722727
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,semantic_retrieval,qa,3,1,0.333333,1.0,0.469279
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,semantic_retrieval,entity,3,3,1.0,1.0,1.0
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,semantic_retrieval,evidence,4,1,0.25,1.0,0.39038
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,semantic_retrieval,qa,1,1,1.0,1.0,1.0
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,semantic_retrieval,entity,3,3,1.0,1.0,1.0
trial_query_086,عندي فقر دم وعملت التحاليل عندي نقص فيتامين دال ونقص حديد وصف لي الدكتور 20 ابرة حديد لمدة شهر هل اخذ هالكمية بهذه المدة آمن أم مضر للجسم ؟ وما...,semantic_retrieval,evidence,7,4,0.571429,1.0,0.704125
