combined_version,candidate_pool,query_id,query,query_group,reference_answer,primary_intent,candidate_type,pool_rank,candidate_id,qa_id,source_row_number,source_quality,retrieval_channel,candidate_question,candidate_answer_or_evidence,category,relation_type,source_entity_name,target_entity_name,retrieval_score,answer_relevance,query_concept_coverage,query_constraint_coverage,entity_identity,intent_support,source_reliability,vector_similarity,graph_support,anatomy_mismatch,unrelated_condition_mismatch,matched_query_concepts,missing_query_concepts,matched_variants,variant_A,variant_B,variant_C,variant_support_count,variant_a_rank,variant_b_rank,variant_c_rank,best_variant_rank,best_bm25_rank,safety_mode,safety_reason,graph_aliases_added,relevance_label,error_reason,secondary_error_reason,annotation_status,annotator_id,annotation_notes
candidate_combined_v1,original_pool,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,treatment_request,evidence,1,qa::ahd10k_00787,ahd10k_00787,,mention_evidence,vector,ماهو علاج انخفاض هرمون البروجسترون ؟,هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون,,,,,0.746046,0.957261,1.0,1.0,0.947368,1.0,0.55,0.946217,0.0,false,false,بروجستيرون,,,false,false,false,,,,,,,,,,1,missing key constraint,,human_confirmed,user_human_review_20260723,Imported from candidate_relevance_annotations_100_final.csv.
candidate_combined_v1,original_pool,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,treatment_request,relation,1,rel_seed_12099cb4f8d5e172,ahd10k_00787,,mention_evidence,graph_relation,,الإكثار من تناول الخضراوات والفواكه ماهو علاج انخفاض هرمون البروجسترون ؟ الإكثار من تناول الخضراوات والفواكه هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون ماهو علاج انخفاض هرمون البروجسترون ؟ وقف التدخين هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون ماهو علاج انخفاض هرمون البروجسترون ؟ التقليل من الضغط النفسي هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون,,TREATED_BY,هرمون البروجسترون,تناول الفواكه,0.723983,0.230769,1.0,1.0,0.947368,1.0,0.55,0.946217,1.0,false,false,بروجستيرون,,,false,false,false,,,,,,,,,,0,unsupported recommendation,,human_confirmed,user_human_review_20260723,Imported from candidate_relevance_annotations_100_final.csv.
candidate_combined_v1,original_pool,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,treatment_request,evidence,2,qa::ahd10k_00396,ahd10k_00396,,preprocessed_source_row,vector,هل الميرمية تصلح للفتاة البكر التي لديها هرمون الحليب مرتفع أو هل الميرمية مفيدة للهرمونات؟,بشكل عام لا يوجد ما يؤكد أن للميريمة فوائد في خفض هرمون الحليب، لذلك يجب عدم الاعتما عليها في علاج ارتفاع هرمون الحليب، ولكن بشكل عام يُعتقد أن للميرمية فوائد في تنظيم هرمونات الجسم وبشكل خاص هرمون الإستروجين لدى النساء، وفيما يلي بعض الفوائد الصحية الأخرى للميرمية: تساعد على تنظيم الدورة الشهرية. تساعد على تخفيف أعراض انقطاع الطمث. تساعد على تخفيف أعراض التهاب المفاصل. تساعد على تقليل مخاطر الإصابة ببعض أنواع السرطان. ولكن من المهم ملاحظة أن الميرمية قد تسبب بعض الآثار الجانبية، مثل: تقلصات في المعدة. الغثيان. القيء. الصداع. اضطرابات الدورة الشهرية. لذلك، يجب استشارة الطبيب قبل تناول الميرمية، خاصة إذا كنت تعاني من أي مشاكل صحية أو في حال الرغبة في استخدام الميرمية لفترات طويلة، ويعتمد علاج ارتفاع هرمون الحليب على السبب الأساسي وراء ارتفاعه، فإذا كان السبب هو وجود ورم في الغدة النخامية، فقد يتطلب العلاج إجراء عملية جراحية لإزالة الورم. أما إذا كان السبب غير معروف، فقد يصف الطبيب أحد الأدوية التالية: الأدوية المحفزة للدوبامين: تعمل هذه الأدوية على تثبيط إنتاج هرمون الحليب عن طريق زيادة إفراز الدوبامين، وهو ناقل عصبي يلعب دورًا مهمًا في تنظيم مستويات الهرمونات في الجسم. الأدوية المضادة للغدد النخامية: تعمل هذه الأدوية على تقليل حجم الغدة النخامية، مما يؤدي إلى انخفاض إنتاج هرمون الحليب. بالإضافة إلى العلاج الدوائي، قد يوصي الطبيب بإجراء تغييرات في نمط الحياة، مثل: فقدان الوزن الزائد. الحصول على قسط كافٍ من النوم. التقليل من التوتر. للمزيد: 8 من فوائد الميرمية للنساء، لنتعرف عليها أسباب ارتفاع هرمون الحليب وتأثيره على الصحة,,,,,0.689196,0.821469,0.0,1.0,0.0,1.0,0.9,0.920154,0.0,false,false,,بروجستيرون,,false,false,false,,,,,,,,,,0,wrong disease,,human_confirmed,user_human_review_20260723,Imported from candidate_relevance_annotations_100_final.csv.
candidate_combined_v1,original_pool,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,treatment_request,relation,2,rel_seed_5a9e50cfa7ee1c67,ahd10k_00787,,mention_evidence,graph_relation,,الإكثار من تناول الخضراوات والفواكه ماهو علاج انخفاض هرمون البروجسترون ؟ الإكثار من تناول الخضراوات والفواكه هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون ماهو علاج انخفاض هرمون البروجسترون ؟ وقف التدخين هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون ماهو علاج انخفاض هرمون البروجسترون ؟ التقليل من الضغط النفسي هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون,,TREATED_BY,انخفاض هرمون البروجسترون,تناول الفواكه,0.723983,0.230769,1.0,1.0,0.947368,1.0,0.55,0.946217,1.0,false,false,بروجستيرون,,,false,false,false,,,,,,,,,,0,unsupported recommendation,,human_confirmed,user_human_review_20260723,Imported from candidate_relevance_annotations_100_final.csv.
candidate_combined_v1,original_pool,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,treatment_request,evidence,3,qa::ahd10k_00720,ahd10k_00720,,preprocessed_source_row,vector,"زوجتي عمرها 43 عام لها نقص كبير في نسبة الهرمونات بنسبة 0,01 والعادي هو 2,10 هل هناك امال في الحمل ولكم جزيل الشكر",المقصود بمستوى الهرمونات لديها هو ما يعرف بفحص المضاد للهرمون مولريان (بالإنجليزية: Anti-Mullerian Hormone) وهو هرمون يدل على مخزون البويضات في مبيض الأنثى، ويكون مخزون البيض أعلى ما يمكن في عمر ال25 ويقل مع العمر. لذا فإن الحمل بعد سن الأربعين يعتبر تحدي للأنثى حيث يحده العديد من العوامل إلى جانب فحص مخزون البيض التي تجعل السيدة قادرة على الحمل ومنها: فحص عدد الجريبات، وهو فحص مرافق للفحص الهرموني يتم من خلال عمل سونار للمبيض لتحديد عدد الجريبات التي يمكن أن تحتوي على بويضات، وذلك لتقدير مخزون البيض. فحص الهرمون المنبه للجريب. هرمون مولتن. هرمون البروجستيرون. هرمون الاستروجين. سمك بطانة الرحم. حالة عنق الرحم. الغدة الدرقية. هرمون الحليب. ويجدر الذكر بأنه في حال هرمون مخزون البيض منخفض أي أقل من 1 نانوجرام/مليلتر، فذلك يعني أن فرصة حدوث الحمل ضيئلة جداً، وينصح في جميع الأحوال المتابعة من أخصائي المساعدة على الإنجاب لمعرفة الخيارات الممكنة. للمزيد: تجميد البويضات ... تقنية طبية جديدة توفر فرص الانجاب للنساء في سن متقدمة,,,,,0.616327,0.584286,1.0,1.0,0.0,0.0,0.9,0.922478,0.0,false,false,بروجستيرون,,,false,false,false,,,,,,,,,,0,wrong disease,,human_confirmed,user_human_review_20260723,Imported from candidate_relevance_annotations_100_final.csv.
candidate_combined_v1,original_pool,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,treatment_request,relation,3,rel_seed_3a09110f7e7bacf3,ahd10k_00787,,mention_evidence,graph_relation,,علاجات دوائية التي تحتوي هرمون البروجستيرون ماهو علاج انخفاض هرمون البروجسترون ؟ الإكثار من تناول الخضراوات والفواكه هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون ماهو علاج انخفاض هرمون البروجسترون ؟ وقف التدخين هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون ماهو علاج انخفاض هرمون البروجسترون ؟ التقليل من الضغط النفسي هناك العديد من الوسائل المتبعة لعلاج انخفاض مستوى البروجيستيرون الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي التقليل من الضغط النفسي والتوتر وقف التدخين علاجات دوائية التي تحتوي هرمون البروجستيرون,,TREATED_BY,هرمون البروجسترون,علاجات دوائية,0.723983,0.230769,1.0,1.0,0.947368,1.0,0.55,0.946217,1.0,false,false,بروجستيرون,,,false,false,false,,,,,,,,,,1,missing key constraint,,human_confirmed,user_human_review_20260723,Imported from candidate_relevance_annotations_100_final.csv.
candidate_combined_v1,original_pool,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,treatment_request,evidence,4,qa::ahdqa_0624550,ahdqa_0624550,,ahd_heldout_safe_corpus,fts_qa,السلام عليكم ورحمة الله اذا كان مستوى هرمون الذكوره التيسترون يصل الى 3.1 ماهو العلاج المناسب لرفع مستوى الهرمون الى اعلى من 3 وماالاعراض الناتجه عن استعمال العلاج ؟,عليكم السلام ورحمة الله.. هرمون الذكورة اقل من الطبيعي.. يجب ان تتناول حب البروفيرون (المسترولون) 25 ملغرام صباحا ومساء لمدة 60 الی 90 يوم مع المتابعة شهريا.. الاعراض الجانبية الم المعدة.الصداع. التهييج العصبي,,,,,0.608877,0.554396,0.0,1.0,0.428571,1.0,0.95,0.0,0.0,false,true,,بروجستيرون,,false,false,false,,,,,,,,,,0,wrong disease,,human_confirmed,user_human_review_20260723,Imported from candidate_relevance_annotations_100_final.csv.
candidate_combined_v1,original_pool,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,treatment_request,evidence,5,mention::men_merge_0003382,ahd10k_03070,,preprocessed_source_row,vector,هل يوجد علاج لخلل مستقبلات هرمون التيستيسترون؟,"قد يتسبب خلل مستقبلات هرمون التيستيسترون بالإصابة بمتلازمة عدم الحساسية للأندروجين الكاملة (بالإنجليزية: Complete Androgen insensitivity) أو متلازمة نقص الحساسية الجزئي للأندروجين (بالإنجليزية: Partial androgen insensitivity syndrome). ويعتمد العلاج في البداية على تحديد مدى الخلل في المستقبلات كالتالي: - إذا كان الخلل جزئياً، يجب تحديد الجنس المراد العيش ضمنه: * إذا أرادت المصابة أن تكون أنثى، فيجب إزالة الأعضاء الذكرية جراحياً، والبدء بتناول هرمون الإستروجين بعد البلوغ. * إذا قرر المصاب أن يكون ذكراً، فيجب البدء بتناول هرمون التستوستيرون وإجراء جراحة لتعديل الأعضاء الذكرية وإزالة التثدي (بالإنجليزية: Gynecomastia). -إذا كان الخلل عدم حساسية كاملة، فيجب إزالة الأعضاء الذكرية جراحياً، والبدء بتناول هرمون الإستروجين بعد البلوغ. المراجعamboss. Disorders of sex development. Retrieved on 24th march,2020, from: Children's Hospital of Philadelphia. Androgen Insensitivity Syndrome. Retrieved on 24th march,2020, from: National Organization for Rare Diseases. Partial Androgen Insensitivity Syndrome. Retrieved on 24th march,2020, from:",,,,,0.603935,0.784992,0.0,1.0,0.0,1.0,0.9,0.923762,0.0,false,false,,بروجستيرون,,false,false,false,,,,,,,,,,0,wrong disease,,human_confirmed,user_human_review_20260723,Imported from candidate_relevance_annotations_100_final.csv.
candidate_combined_v1,partial_fts_expansion,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,treatment_request,evidence,1,qa::ahdqa_0113531,ahdqa_0113531,113531,ahd_heldout_safe_corpus,partial_fts_expansion,اسبب نقص هرمون البروجستيرون يوم 21من الدورة طالع 0:1 هل له علاج ورحت عند الطبيبه كتبة هذا العلاج,نعم...علاج مناسب,أمراض نسائية,,,,,,,,,,0.95,,0.0,,,,,A|B,true,true,false,2,2,2,,2,-24.448854,all_three_variants,,البروجيستيرون,1,missing key constraint,,human_confirmed,user_human_review_20260723,Imported from partial_only_fts_candidates_v1_annotated.csv; blank expansion rows excluded.
candidate_combined_v1,partial_fts_expansion,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,treatment_request,evidence,2,qa::ahdqa_0754643,ahdqa_0754643,754643,ahd_heldout_safe_corpus,partial_fts_expansion,هل يمكن ان يحدث حمل اذا كان هرمون البروجسترن صفر,من الصعب جدا ان يكون مستوى الهرمون صفر ولكن عموما فان مستوى هرمون البروجستيرون يتغير حسب ايام الدورة وفي العادة فاننا نقوم بعمل التحليل في اليوم 21 او 22 من بداية الدورة واذا كان مستوى الهرمون في هذه الفترة اقل من 2 فهذا يعني عدم وجود اباضة وبالتالي فان حدوث حمل صعب جدا,العقم,,,,,,,,,,0.95,,0.0,,,,,C,false,false,true,1,,,1,1,-38.474067,all_three_variants,,البروجيستيرون,1,missing key constraint,,human_confirmed,user_human_review_20260723,Imported from partial_only_fts_candidates_v1_annotated.csv; blank expansion rows excluded.
