query_id,query,reference_answer,removed_claim,verifier_status,support_score,question_relevance,query_concept_coverage,failed_checks,deterministic_audit_class,requires_human_adjudication,citations,cited_evidence,verifier_reason
entitygtv1_001,لدى الم فى اسفل راسى ورقبتى والم فى اسنانى حيث ان اخر دروس العقل يظهر وشاهدت اللثه بها التهاب هل سبب الم الراس والرقبه يمكن ان يكون ورائه الم الاسنان,احتمال وارد وقد يترافق مع أسباب أخرى من المفضل استشارة طبيب أسنان بالفحص السرير ي والشعاعي ليتم التشخيص أو قد يلزم استعانة أخصائي آخر حسب ما تطلبه الحالة,ألم الرأس والرقبة قد يكون ناتجاً عن مشاكل الأسنان.,unsupported,0.142857,0.75,0.5,anatomy_mismatch|support_below_weak_threshold,mixed_relevance_and_support_or_safety_failure,yes,E1,E1: احتمال وارد وقد يترافق مع أسباب أخرى من المفضل استشارة طبيب أسنان بالفحص السرير ي والشعاعي ليتم التشخيص أو قد يلزم استعانة أخصائي آخر حسب ما تطلبه الحالة,No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_001,لدى الم فى اسفل راسى ورقبتى والم فى اسنانى حيث ان اخر دروس العقل يظهر وشاهدت اللثه بها التهاب هل سبب الم الراس والرقبه يمكن ان يكون ورائه الم الاسنان,احتمال وارد وقد يترافق مع أسباب أخرى من المفضل استشارة طبيب أسنان بالفحص السرير ي والشعاعي ليتم التشخيص أو قد يلزم استعانة أخصائي آخر حسب ما تطلبه الحالة,التهاب اللثة خلف ضرس العقل قد يسبب ألم في الرأس والرقبة.,unsupported,0.333333,0.777778,1.0,anatomy_mismatch|negation_mismatch,mixed_relevance_and_support_or_safety_failure,yes,E4,E4: من الممكن ان يكون السبب ضرس العقل اما تم بزوغه بشكل مائل حيث يتم يتم اطباق الاسنان بشكل غير صحيح ويتسبب بالتهاب اللثه.اما ضرس العقل يتم بزوغه مما يتسبب بالتهاب اللثه.ويفضل مراجعة طبيب الاسنان لمعرفه السبب قبل تناول الادويه.,No single cited evidence item passed all checks; best candidate: E4.
entitygtv1_002,هل يفيد مسحوق العرقسوس في حالة البحة الصوتية؟ وبشكل عام ما هي فوائد عرق السوس واضراره؟,"نعم، يُعتقد أن عرق السوس يساهم في التخفيف من أعراض التهاب الحلق والحنجرة، مما يساهم بدوره في التخفيف من أعراض بحة الصوت، أما بالنسبة لفوائد عرق السوس على الصحة بشكل عام فقد تتضمن الآتي:

مضاد للالتهابات: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للالتهابات، والتي يمكن أن تساعد في تخفيف الالتهابات في الجسم، مثل التهاب الحلق، والتهاب المفاصل، والتهاب الجلد.
مسكن للألم: يحتوي عرق السوس أيضًا على مركبات نباتية لها خصائص مسكنة للألم، والتي يمكن أن تساعد في تخفيف الآلام الخفيفة إلى المتوسطة، مثل الصداع، وآلام الأسنان، وآلام العضلات.
مضاد للأكسدة: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للأكسدة، والتي يمكن أن تساعد في حماية الجسم من تلف الخلايا الناجم عن الجذور الحرة.
منشط للجهاز المناعي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تعزيز الجهاز المناعي، مما قد يساعد في الوقاية من العدوى.
مفيد لصحة الجهاز الهضمي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تخفيف الإمساك، وتحسين الهضم، وحماية المعدة والأمعاء من التلف.
مفيد لصحة القلب والأوعية الدموية: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في خفض ضغط الدم، وتحسين صحة الأوعية الدموية، وحماية القلب من الأمراض.
مفيد لصحة الكبد: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في حماية الكبد من التلف، وتحسين وظائف الكبد.

أما بالنسبة لأضرار عرق السوس على الجسم فإنها قد تظهر نتيجة الإفراط في استخدام عرق السوس أو استخدام عرق السوس من قبل بعض الأشخاص الذين يتناولون بعض الأدوية أو يعانون من بعض الأمراض المزمنة، وقد تتضمن أضرار عرق السوس الآتي:

ارتفاع ضغط الدم: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى ارتفاع ضغط الدم، وخاصةً لدى الأشخاص الذين يعانون من ارتفاع ضغط الدم بالفعل.
انخفاض مستويات البوتاسيوم: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى انخفاض مستويات البوتاسيوم في الجسم، مما قد يؤدي إلى مشاكل في القلب، والعضلات، والجهاز العصبي.
احتباس السوائل: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى احتباس السوائل في الجسم، مما قد يؤدي إلى تورم، وزيادة الوزن، ومشاكل في القلب.

للمزيد:

ما هي أهم فوائد عرق السوس للشعر والصحة العامة
عرق السوس والسكري فوائد مواد فعالة واثار جانبية",عرق السوس يحتوي على مركبات مضادة للالتهابات، مسكنة للألم، مضادة للأكسدة، منشط للجهاز المناعي، مفيدة للهضم، ومفيدة للقلب.,unsupported,0.8125,0.90767,0.0,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E2,E2: نعم، يُعتقد أن عرق السوس يساهم في التخفيف من أعراض التهاب الحلق والحنجرة، مما يساهم بدوره في التخفيف من أعراض بحة الصوت، أما بالنسبة لفوائد عرق السوس على الصحة بشكل عام فقد تتضمن الآتي: مضاد للالتهابات: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للالتهابات، والتي يمكن أن تساعد في تخفيف الالتهابات في الجسم، مثل التهاب الحلق، والتهاب المفاصل، والتهاب الجلد. مسكن للألم: يحتوي عرق السوس أيضًا على مركبات نباتية لها خصائص مسكنة للألم، والتي يمكن أن تساعد في تخفيف الآلام الخفيفة إلى المتوسطة، مثل الصداع، وآلام الأسنان، وآلام العضلات. مضاد للأكسدة: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للأكسدة، والتي يمكن أن تساعد في حماية الجسم من تلف الخلايا الناجم عن الجذور الحرة. منشط للجهاز المناعي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تعزيز الجهاز المناعي، مما قد يساعد في الوقاية من العدوى. مفيد لصحة الجهاز الهضمي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تخفيف الإمساك، وتحسين الهضم، وحماية المعدة والأمعاء من التلف. مفيد لصحة القلب والأوعية الدموية: يحتوي عرق...,No single cited evidence item passed all checks; best candidate: E2.
entitygtv1_002,هل يفيد مسحوق العرقسوس في حالة البحة الصوتية؟ وبشكل عام ما هي فوائد عرق السوس واضراره؟,"نعم، يُعتقد أن عرق السوس يساهم في التخفيف من أعراض التهاب الحلق والحنجرة، مما يساهم بدوره في التخفيف من أعراض بحة الصوت، أما بالنسبة لفوائد عرق السوس على الصحة بشكل عام فقد تتضمن الآتي:

مضاد للالتهابات: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للالتهابات، والتي يمكن أن تساعد في تخفيف الالتهابات في الجسم، مثل التهاب الحلق، والتهاب المفاصل، والتهاب الجلد.
مسكن للألم: يحتوي عرق السوس أيضًا على مركبات نباتية لها خصائص مسكنة للألم، والتي يمكن أن تساعد في تخفيف الآلام الخفيفة إلى المتوسطة، مثل الصداع، وآلام الأسنان، وآلام العضلات.
مضاد للأكسدة: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للأكسدة، والتي يمكن أن تساعد في حماية الجسم من تلف الخلايا الناجم عن الجذور الحرة.
منشط للجهاز المناعي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تعزيز الجهاز المناعي، مما قد يساعد في الوقاية من العدوى.
مفيد لصحة الجهاز الهضمي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تخفيف الإمساك، وتحسين الهضم، وحماية المعدة والأمعاء من التلف.
مفيد لصحة القلب والأوعية الدموية: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في خفض ضغط الدم، وتحسين صحة الأوعية الدموية، وحماية القلب من الأمراض.
مفيد لصحة الكبد: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في حماية الكبد من التلف، وتحسين وظائف الكبد.

أما بالنسبة لأضرار عرق السوس على الجسم فإنها قد تظهر نتيجة الإفراط في استخدام عرق السوس أو استخدام عرق السوس من قبل بعض الأشخاص الذين يتناولون بعض الأدوية أو يعانون من بعض الأمراض المزمنة، وقد تتضمن أضرار عرق السوس الآتي:

ارتفاع ضغط الدم: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى ارتفاع ضغط الدم، وخاصةً لدى الأشخاص الذين يعانون من ارتفاع ضغط الدم بالفعل.
انخفاض مستويات البوتاسيوم: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى انخفاض مستويات البوتاسيوم في الجسم، مما قد يؤدي إلى مشاكل في القلب، والعضلات، والجهاز العصبي.
احتباس السوائل: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى احتباس السوائل في الجسم، مما قد يؤدي إلى تورم، وزيادة الوزن، ومشاكل في القلب.

للمزيد:

ما هي أهم فوائد عرق السوس للشعر والصحة العامة
عرق السوس والسكري فوائد مواد فعالة واثار جانبية",تناول عرق السوس بكميات كبيرة قد يرفع ضغط الدم.,unsupported,0.875,0.980564,0.0,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E1,E1: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى ارتفاع ضغط الدم يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للالتهابات مسكن للألم: يحتوي عرق السوس أيضًا على مركبات نباتية لها خصائص مسكنة للألم، والتي يمكن أن تساعد في تخفيف الآلام الخفيفة إلى المتوسطة، مثل الصداع نعم، يُعتقد أن عرق السوس يساهم في التخفيف من أعراض التهاب الحلق والحنجرة,No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_003,قعدت تقريبا سنة ما بقدر امشي لحالي لازم حدا يمسك ايدي لاني كنت عامل عملية لورم على جذع الدماغ انا بداية مرضي كنت بمشي بصعوبة جدا فكنت محتاجة لحدا يساعدني...,ابدئي بالتمرين على الاستقلال والمشي وحدك، يمكن أن تحاولي في البداية الاستعانة بالمشاية walker ثم تستغنين عنها بعد حين، ولكن البداية هي الاستقلال النفسي والاقتناع بقدرتك الذاتية، ثم الإصرار عليها والمتابعة حتى الاستقلال الكلي. تماماً مثل السياسة.مع تمنياتي بالشفاء.,ابدئي بالتمرين على الاستقلال والمشي وحدك، ويمكنك الاستعانة بالمشاية walker في البداية ثم الاستغناء عنها لاحقاً.,unsupported,0.8,0.65,0.25,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E1,E1: ابدئي بالتمرين على الاستقلال والمشي وحدك، يمكن أن تحاولي في البداية الاستعانة بالمشاية walker ثم تستغنين عنها بعد حين، ولكن البداية هي الاستقلال النفسي والاقتناع بقدرتك الذاتية، ثم الإصرار عليها والمتابعة حتى الاستقلال الكلي. تماماً مثل السياسة.مع تمنياتي بالشفاء.,No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_004,أحس بنبض قوي في بطني فوق السرة وتحت عظام الصدر ويزيد بعد الأكل وبعد أي جد عضلي مع حرقان ؟؟ ما السبب ؟؟,يبدو أن عندك إلتهاب بسيط في جدار المعدة، والأسباب معظمها غير معروف ، ولكن هناك التدخين وبعض الأدوية مثل الأسبرين ،وتناول الحوامص والحار . العلاج : تناول مضادات الحموضة ومضادات للتقلص ومهدئات للامعاء، ومضادات حيوية لجرثومة الهيليكوباكتر في حال وجودها بالاضافة إلى تجنب الأطعمة الحارة والحوامض والمشروبات الغازية والبهارات وزبادة عدد الوجبات وتقليل كمية الأكل، والأكل ببطء ومضغ الطعام جيدا وتجنب العلكة والدخان ، وعدم الاضطجاع أثناء أو بعد الأكل,يبدو أن لديك التهاب بسيط في جدار المعدة,unsupported,0.857143,0.859524,0.0,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E1,E1: يبدو أن عندك إلتهاب بسيط في جدار المعدة، والأسباب معظمها غير معروف ، ولكن هناك التدخين وبعض الأدوية مثل الأسبرين ،وتناول الحوامص والحار . العلاج : تناول مضادات الحموضة ومضادات للتقلص ومهدئات للامعاء، ومضادات حيوية لجرثومة الهيليكوباكتر في حال وجودها بالاضافة إلى تجنب الأطعمة الحارة والحوامض والمشروبات الغازية والبهارات وزبادة عدد الوجبات وتقليل كمية الأكل، والأكل ببطء ومضغ الطعام جيدا وتجنب العلكة والدخان ، وعدم الاضطجاع أثناء أو بعد الأكل,No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_005,"السلام عليكم. علاج السواد الرقبه والشيب المبكر؟
أفيدوني بارك الله فيكم",بالنسبة للأماكن الداكنة بالرقبة ... يجب الاهتمام بنظافة الرقبة و جفافها من العرق ... كما يجب تجنب التعرض لضوء النهار ... هذه أهم خطوة لتجنب اسمرار البشرة فى هذه المنطقة يمكن استخدام بعض كريمات التفتيح بعد استشارة الطبيب أما شيب الشعر ...فربما يكون علاجه صعبا ... و يمكن فقط طمس اللون باستخدام الصبغة المناسبة او الحناء,غالباً لا يُعالج الشيب المبكر في الشعر، ويُمكن طمس اللون باستخدام الصبغة أو الحناء.,unsupported,0.5,0.90625,0.5,negation_mismatch,support_or_safety_failure,yes,E1,E1: بالنسبة للأماكن الداكنة بالرقبة ... يجب الاهتمام بنظافة الرقبة و جفافها من العرق ... كما يجب تجنب التعرض لضوء النهار ... هذه أهم خطوة لتجنب اسمرار البشرة فى هذه المنطقة يمكن استخدام بعض كريمات التفتيح بعد استشارة الطبيب أما شيب الشعر ...فربما يكون علاجه صعبا ... و يمكن فقط طمس اللون باستخدام الصبغة المناسبة او الحناء,No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_006,انا عمري 23 سنه وكنت امارس العاده السريه منذ 3 شهرور تقريبا ولاكن ليسا باستمرار .وانا خائفه جدا لان دورتي انقطاعت منذ شهر ولاكن في نفس يوم الدوره احسست بالاعراض...,هناك عده اسباب لعدم انتظام الدوره الشهريه ومنها  ١. القلق والتوتر ٢. خلل في النظام الغذائي ٣. تكيس على المبايض ٤.خلل في هرمونات الجسم مثل : ١.زياده في هرمون الحليب ٢. خلل في هرمونات الغده النخاميه ٣. خلل في الهرمونات التي تفرزها الغده الدرقيه، والهيبوثلامس ٤. ارتفاع في الهرمون الذكري  لذلك انصحك بمراجعه اخصائي نسائيه لاجراء الفحوصات الهرمونيه اللازمه وكذلك فحص بجهاز الموجات الفوق صوتيه للرحم والمبايض لتشخيص حالتك.,الدورة الشهرية تأخرت ثلاث أسابيع,unsupported,0.6,0.783536,1.0,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E1,E1: اعملي فحص دم للحمل,No single cited evidence item passed all checks; best candidate: E1.
entitygtv1_006,انا عمري 23 سنه وكنت امارس العاده السريه منذ 3 شهرور تقريبا ولاكن ليسا باستمرار .وانا خائفه جدا لان دورتي انقطاعت منذ شهر ولاكن في نفس يوم الدوره احسست بالاعراض...,هناك عده اسباب لعدم انتظام الدوره الشهريه ومنها  ١. القلق والتوتر ٢. خلل في النظام الغذائي ٣. تكيس على المبايض ٤.خلل في هرمونات الجسم مثل : ١.زياده في هرمون الحليب ٢. خلل في هرمونات الغده النخاميه ٣. خلل في الهرمونات التي تفرزها الغده الدرقيه، والهيبوثلامس ٤. ارتفاع في الهرمون الذكري  لذلك انصحك بمراجعه اخصائي نسائيه لاجراء الفحوصات الهرمونيه اللازمه وكذلك فحص بجهاز الموجات الفوق صوتيه للرحم والمبايض لتشخيص حالتك.,عدم انتظام الدورة قد يكون بسبب القلق، خلل غذائي، تكيس المبايض، أو خلل هرموني,unsupported,0.636364,0.660008,1.0,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E3,E3: هناك عده اسباب لعدم انتظام الدوره الشهريه ومنها ١. القلق والتوتر ٢. خلل في النظام الغذائي ٣. تكيس على المبايض ٤.خلل في هرمونات الجسم مثل : ١.زياده في هرمون الحليب ٢. خلل في هرمونات الغده النخاميه ٣. خلل في الهرمونات التي تفرزها الغده الدرقيه، والهيبوثلامس ٤. ارتفاع في الهرمون الذكري لذلك انصحك بمراجعه اخصائي نسائيه لاجراء الفحوصات الهرمونيه اللازمه وكذلك فحص بجهاز الموجات الفوق صوتيه للرحم والمبايض لتشخيص حالتك.,No single cited evidence item passed all checks; best candidate: E3.
entitygtv1_006,انا عمري 23 سنه وكنت امارس العاده السريه منذ 3 شهرور تقريبا ولاكن ليسا باستمرار .وانا خائفه جدا لان دورتي انقطاعت منذ شهر ولاكن في نفس يوم الدوره احسست بالاعراض...,هناك عده اسباب لعدم انتظام الدوره الشهريه ومنها  ١. القلق والتوتر ٢. خلل في النظام الغذائي ٣. تكيس على المبايض ٤.خلل في هرمونات الجسم مثل : ١.زياده في هرمون الحليب ٢. خلل في هرمونات الغده النخاميه ٣. خلل في الهرمونات التي تفرزها الغده الدرقيه، والهيبوثلامس ٤. ارتفاع في الهرمون الذكري  لذلك انصحك بمراجعه اخصائي نسائيه لاجراء الفحوصات الهرمونيه اللازمه وكذلك فحص بجهاز الموجات الفوق صوتيه للرحم والمبايض لتشخيص حالتك.,يُنصح بمراجعة طبيب نسائي لإجراء فحوصات هرمونية وموجات فوق صوتية للرحم والمبايض,unsupported,0.818182,0.660008,1.0,intent_mismatch,evidence_supported_but_query_relevance_gate_failed,yes,E3,E3: هناك عده اسباب لعدم انتظام الدوره الشهريه ومنها ١. القلق والتوتر ٢. خلل في النظام الغذائي ٣. تكيس على المبايض ٤.خلل في هرمونات الجسم مثل : ١.زياده في هرمون الحليب ٢. خلل في هرمونات الغده النخاميه ٣. خلل في الهرمونات التي تفرزها الغده الدرقيه، والهيبوثلامس ٤. ارتفاع في الهرمون الذكري لذلك انصحك بمراجعه اخصائي نسائيه لاجراء الفحوصات الهرمونيه اللازمه وكذلك فحص بجهاز الموجات الفوق صوتيه للرحم والمبايض لتشخيص حالتك.,No single cited evidence item passed all checks; best candidate: E3.
