subset_id,source_row_number,split,category,category_en,question,answer,qa_text,question_norm,answer_norm,qa_text_norm,question_char_len,answer_char_len,qa_char_len,weak_medical_hints,weak_hint_diseases,weak_hint_symptoms,weak_hint_treatments,weak_hint_tests,weak_hint_anatomy,weak_hint_conditions
ahd5k_00001,732126,graph_train,الأمراض الجنسية,Sexual,اجريت فحص السائل المنوي و كانت النتائج كالتالي : عدد الحيوانات المنوية 90 مليون الحركة 50% الطبيعية 5% غير الطبيعي 95% ما احتمالية الحمل و هل انا مريض و ماذا...,العدد ممتاز، عليك فقط تحسين اللياقة البدنية بممارسة الرياضة اليومية والتغذية المتوازنة، وتناول المكسرات والعسل وعسل الملكات، ولا داعي للقلق.,"السؤال: اجريت فحص السائل المنوي و كانت النتائج كالتالي : عدد الحيوانات المنوية 90 مليون الحركة 50% الطبيعية 5% غير الطبيعي 95% ما احتمالية الحمل و هل انا مريض و ماذا...
الإجابة: العدد ممتاز، عليك فقط تحسين اللياقة البدنية بممارسة الرياضة اليومية والتغذية المتوازنة، وتناول المكسرات والعسل وعسل الملكات، ولا داعي للقلق.",اجريت فحص السايل المنوي و كانت النتايج كالتالي : عدد الحيوانات المنويه 90 مليون الحركه 50% الطبيعيه 5% غير الطبيعي 95% ما احتماليه الحمل و هل انا مريض و ماذا.,"العدد ممتاز, عليك فقط تحسين اللياقه البدنيه بممارسه الرياضه اليوميه والتغذيه المتوازنه, وتناول المكسرات والعسل وعسل الملكات, ولا داعي للقلق.","السؤال: اجريت فحص السايل المنوي و كانت النتايج كالتالي : عدد الحيوانات المنويه 90 مليون الحركه 50% الطبيعيه 5% غير الطبيعي 95% ما احتماليه الحمل و هل انا مريض و ماذا.
الإجابة: العدد ممتاز, عليك فقط تحسين اللياقه البدنيه بممارسه الرياضه اليوميه والتغذيه المتوازنه, وتناول المكسرات والعسل وعسل الملكات, ولا داعي للقلق.",160,140,300,"[{""canonical"": ""الحمل"", ""type"": ""condition"", ""matched_variant"": ""الحمل"", ""hint_strength"": ""weak"", ""final_graph_entity"": false}]",[],[],[],[],[],"[""الحمل""]"
ahd5k_00002,694247,graph_train,علاج طبيعي,physical therapy,لدي شد عضلي بظهري لدرجه اعاني من صعوبة عند العطس؟ هل الطول يتغير ويقصر. انا عمري 27سنه لاحظت الفتره الاخيره نقص طولي 3سم.علما ان طولي سابقا146 والان 143 مالمشكله وهل...,عند الاشتباه بقصر في الطول ينصح عمل فحص هشاشة عظام ومراجعة اخصائي غدد صماء وسكري,"السؤال: لدي شد عضلي بظهري لدرجه اعاني من صعوبة عند العطس؟ هل الطول يتغير ويقصر. انا عمري 27سنه لاحظت الفتره الاخيره نقص طولي 3سم.علما ان طولي سابقا146 والان 143 مالمشكله وهل...
الإجابة: عند الاشتباه بقصر في الطول ينصح عمل فحص هشاشة عظام ومراجعة اخصائي غدد صماء وسكري",لدي شد عضلي بظهري لدرجه اعاني من صعوبه عند العطس? هل الطول يتغير ويقصر. انا عمري 27سنه لاحظت الفتره الاخيره نقص طولي 3سم.علما ان طولي سابقا146 والان 143 مالمشكله وهل.,عند الاشتباه بقصر في الطول ينصح عمل فحص هشاشه عظام ومراجعه اخصايي غدد صماء وسكري,"السؤال: لدي شد عضلي بظهري لدرجه اعاني من صعوبه عند العطس? هل الطول يتغير ويقصر. انا عمري 27سنه لاحظت الفتره الاخيره نقص طولي 3سم.علما ان طولي سابقا146 والان 143 مالمشكله وهل.
الإجابة: عند الاشتباه بقصر في الطول ينصح عمل فحص هشاشه عظام ومراجعه اخصايي غدد صماء وسكري",168,80,248,[],[],[],[],[],[],[]
ahd5k_00003,196182,graph_train,الصحة الجنسية,Sexual health,عند ادخال اصبعي او شي في فتحة الشرج هل لها اضرار او شي عادي معا العلم استطيع التحكم بي كل شي وشكرا,إذا لم تتكرر الحالة فلا يوجد أضرار،,"السؤال: عند ادخال اصبعي او شي في فتحة الشرج هل لها اضرار او شي عادي معا العلم استطيع التحكم بي كل شي وشكرا
الإجابة: إذا لم تتكرر الحالة فلا يوجد أضرار،",عند ادخال اصبعي او شي في فتحه الشرج هل لها اضرار او شي عادي معا العلم استطيع التحكم بي كل شي وشكرا,"اذا لم تتكرر الحاله فلا يوجد اضرار,","السؤال: عند ادخال اصبعي او شي في فتحه الشرج هل لها اضرار او شي عادي معا العلم استطيع التحكم بي كل شي وشكرا
الإجابة: اذا لم تتكرر الحاله فلا يوجد اضرار,",98,35,133,[],[],[],[],[],[],[]
ahd5k_00004,758303,graph_train,جراحة نسائية,Gynaecological surgery,هل ما حدث لى بعد الولادة طبيعى لقد ولدت قيصرى وبعد اسبوع من الولادة حدث لى نزيف مفاجىء مع نزول قطع دم متجمدة واخذت حبوب لوقف النزيف وتم يقافه اريد...,"I think that was caused by an infection inside the uterus which caused the uterus to bleed, blood collected then the uterus contracted to expel the clots out. I must say that complications may happen during any surgical operation, I don't think what happened to you has anything to do with the good job your doctor did. In other words, it is very unlikely a fault of your doctor. I am sure you discussed what happened with your doctor who provided you with answers. Regards","السؤال: هل ما حدث لى بعد الولادة طبيعى لقد ولدت قيصرى وبعد اسبوع من الولادة حدث لى نزيف مفاجىء مع نزول قطع دم متجمدة واخذت حبوب لوقف النزيف وتم يقافه اريد...
الإجابة: I think that was caused by an infection inside the uterus which caused the uterus to bleed, blood collected then the uterus contracted to expel the clots out. I must say that complications may happen during any surgical operation, I don't think what happened to you has anything to do with the good job your doctor did. In other words, it is very unlikely a fault of your doctor. I am sure you discussed what happened with your doctor who provided you with answers. Regards",هل ما حدث لي بعد الولاده طبيعي لقد ولدت قيصري وبعد اسبوع من الولاده حدث لي نزيف مفاجيء مع نزول قطع دم متجمده واخذت حبوب لوقف النزيف وتم يقافه اريد.,"i think that was caused by an infection inside the uterus which caused the uterus to bleed, blood collected then the uterus contracted to expel the clots out. i must say that complications may happen during any surgical operation, i don't think what happened to you has anything to do with the good job your doctor did. in other words, it is very unlikely a fault of your doctor. i am sure you discussed what happened with your doctor who provided you with answers. regards","السؤال: هل ما حدث لي بعد الولاده طبيعي لقد ولدت قيصري وبعد اسبوع من الولاده حدث لي نزيف مفاجيء مع نزول قطع دم متجمده واخذت حبوب لوقف النزيف وتم يقافه اريد.
الإجابة: i think that was caused by an infection inside the uterus which caused the uterus to bleed, blood collected then the uterus contracted to expel the clots out. i must say that complications may happen during any surgical operation, i don't think what happened to you has anything to do with the good job your doctor did. in other words, it is very unlikely a fault of your doctor. i am sure you discussed what happened with your doctor who provided you with answers. regards",149,473,622,"[{""canonical"": ""دواء"", ""type"": ""treatment"", ""matched_variant"": ""حبوب"", ""hint_strength"": ""weak"", ""final_graph_entity"": false}, {""canonical"": ""الحمل"", ""type"": ""condition"", ""matched_variant"": ""الولاده"", ""hint_strength"": ""weak"", ""final_graph_entity"": false}]",[],[],"[""دواء""]",[],[],"[""الحمل""]"
ahd5k_00005,568737,graph_train,الطب العام,General Medicine,أنا عمري ١٨ ولا زالت قصير القامة ..,"لازم تعمل فحص هرمونات النمو ,ما دام الوقت في صالحك.","السؤال: أنا عمري ١٨ ولا زالت قصير القامة ..
الإجابة: لازم تعمل فحص هرمونات النمو ,ما دام الوقت في صالحك.",انا عمري 18 ولا زالت قصير القامه .,"لازم تعمل فحص هرمونات النمو ,ما دام الوقت في صالحك.","السؤال: انا عمري 18 ولا زالت قصير القامه .
الإجابة: لازم تعمل فحص هرمونات النمو ,ما دام الوقت في صالحك.",35,51,86,[],[],[],[],[],[],[]
ahd5k_00006,31843,graph_train,جراحة عامة,General Surgery,هل هناك ضرر من تاجيل عملية الفتق لاسبوعين وكيف يمكن تخفيف الالم اثناء هذي الفترة وفي حال عمل العملية هل يمكن السفر بعدها بيوم بالطائرة وهل سيكون هناك صعوبة في...,العملية ىسيطه ويقدر يسافر نفس اليوم ايا كان وضعها تواصل معنا,"السؤال: هل هناك ضرر من تاجيل عملية الفتق لاسبوعين وكيف يمكن تخفيف الالم اثناء هذي الفترة وفي حال عمل العملية هل يمكن السفر بعدها بيوم بالطائرة وهل سيكون هناك صعوبة في...
الإجابة: العملية ىسيطه ويقدر يسافر نفس اليوم ايا كان وضعها تواصل معنا",هل هناك ضرر من تاجيل عمليه الفتق لاسبوعين وكيف يمكن تخفيف الالم اثناء هذي الفتره وفي حال عمل العمليه هل يمكن السفر بعدها بيوم بالطايره وهل سيكون هناك صعوبه في.,العمليه يسيطه ويقدر يسافر نفس اليوم ايا كان وضعها تواصل معنا,"السؤال: هل هناك ضرر من تاجيل عمليه الفتق لاسبوعين وكيف يمكن تخفيف الالم اثناء هذي الفتره وفي حال عمل العمليه هل يمكن السفر بعدها بيوم بالطايره وهل سيكون هناك صعوبه في.
الإجابة: العمليه يسيطه ويقدر يسافر نفس اليوم ايا كان وضعها تواصل معنا",161,60,221,[],[],[],[],[],[],[]
ahd5k_00007,612714,graph_train,صحة المرأة,Women's health,انا بنت وقبل الدوره بيومين او ثلاث تجيني افرازات بنيه ومرات معها خمول والم طفيف ثم تجي الدوره ويجي ألمها صار لي ٤ شهور وهذا الحاله تجي قبل دورتي ،...,لا داعي لقلق و هذه أعراض طبيعيه و تكون جزء من أعراض ما قبل الدوره و يمكن مراجعه الطبيب لإعطاء ادويه تخفف من الأعراض,"السؤال: انا بنت وقبل الدوره بيومين او ثلاث تجيني افرازات بنيه ومرات معها خمول والم طفيف ثم تجي الدوره ويجي ألمها صار لي ٤ شهور وهذا الحاله تجي قبل دورتي ،...
الإجابة: لا داعي لقلق و هذه أعراض طبيعيه و تكون جزء من أعراض ما قبل الدوره و يمكن مراجعه الطبيب لإعطاء ادويه تخفف من الأعراض","انا بنت وقبل الدوره بيومين او ثلاث تجيني افرازات بنيه ومرات معها خمول والم طفيف ثم تجي الدوره ويجي المها صار لي 4 شهور وهذا الحاله تجي قبل دورتي ,.",لا داعي لقلق و هذه اعراض طبيعيه و تكون جزء من اعراض ما قبل الدوره و يمكن مراجعه الطبيب لاعطاء ادويه تخفف من الاعراض,"السؤال: انا بنت وقبل الدوره بيومين او ثلاث تجيني افرازات بنيه ومرات معها خمول والم طفيف ثم تجي الدوره ويجي المها صار لي 4 شهور وهذا الحاله تجي قبل دورتي ,.
الإجابة: لا داعي لقلق و هذه اعراض طبيعيه و تكون جزء من اعراض ما قبل الدوره و يمكن مراجعه الطبيب لاعطاء ادويه تخفف من الاعراض",149,115,264,"[{""canonical"": ""دواء"", ""type"": ""treatment"", ""matched_variant"": ""ادويه"", ""hint_strength"": ""weak"", ""final_graph_entity"": false}]",[],[],"[""دواء""]",[],[],[]
ahd5k_00008,807884,graph_train,علم الأجنة,Embryology,انا مصاب بمرض بهجت واعاني من الامه بالجسم ،ولم يصيب العين حتى الان فماهي افضل طرق الوقايه حتى لا يصل الى العين؟,داءُ بَهْجَت يحتاج إلى تواصل بين المريض والطبيب ليس فقط من أجل العلاج، ولكن من أجل الحد من مضاعفاته سواء على مستوى العين أو أي مكان آخر حيث بالمتابعة الدقيقة لكل نشاط للمرض في الأوعية الدقيقة يتطلب استخدام علاج محدد وخاص وفوري لكبح جهاز المناعة، عدا عن الدواء الخاص بالإصابة ذاتها وهو يختلف من مريض لآخر، ومن الإجراآت العامة التي يمكن اتباعها هو الإكثار من تناوال السوئل خاصة الماء ومعالجة أي التهاب دون تلكئ.,"السؤال: انا مصاب بمرض بهجت واعاني من الامه بالجسم ،ولم يصيب العين حتى الان فماهي افضل طرق الوقايه حتى لا يصل الى العين؟
الإجابة: داءُ بَهْجَت يحتاج إلى تواصل بين المريض والطبيب ليس فقط من أجل العلاج، ولكن من أجل الحد من مضاعفاته سواء على مستوى العين أو أي مكان آخر حيث بالمتابعة الدقيقة لكل نشاط للمرض في الأوعية الدقيقة يتطلب استخدام علاج محدد وخاص وفوري لكبح جهاز المناعة، عدا عن الدواء الخاص بالإصابة ذاتها وهو يختلف من مريض لآخر، ومن الإجراآت العامة التي يمكن اتباعها هو الإكثار من تناوال السوئل خاصة الماء ومعالجة أي التهاب دون تلكئ.","انا مصاب بمرض بهجت واعاني من الامه بالجسم ,ولم يصيب العين حتي الان فماهي افضل طرق الوقايه حتي لا يصل الي العين?","داء بهجت يحتاج الي تواصل بين المريض والطبيب ليس فقط من اجل العلاج, ولكن من اجل الحد من مضاعفاته سواء علي مستوي العين او اي مكان اخر حيث بالمتابعه الدقيقه لكل نشاط للمرض في الاوعيه الدقيقه يتطلب استخدام علاج محدد وخاص وفوري لكبح جهاز المناعه, عدا عن الدواء الخاص بالاصابه ذاتها وهو يختلف من مريض لاخر, ومن الاجراات العامه التي يمكن اتباعها هو الاكثار من تناوال السويل خاصه الماء ومعالجه اي التهاب دون تلكي.","السؤال: انا مصاب بمرض بهجت واعاني من الامه بالجسم ,ولم يصيب العين حتي الان فماهي افضل طرق الوقايه حتي لا يصل الي العين?
الإجابة: داء بهجت يحتاج الي تواصل بين المريض والطبيب ليس فقط من اجل العلاج, ولكن من اجل الحد من مضاعفاته سواء علي مستوي العين او اي مكان اخر حيث بالمتابعه الدقيقه لكل نشاط للمرض في الاوعيه الدقيقه يتطلب استخدام علاج محدد وخاص وفوري لكبح جهاز المناعه, عدا عن الدواء الخاص بالاصابه ذاتها وهو يختلف من مريض لاخر, ومن الاجراات العامه التي يمكن اتباعها هو الاكثار من تناوال السويل خاصه الماء ومعالجه اي التهاب دون تلكي.",111,409,520,"[{""canonical"": ""التهاب"", ""type"": ""condition"", ""matched_variant"": ""التهاب"", ""hint_strength"": ""weak"", ""final_graph_entity"": false}]",[],[],[],[],[],"[""التهاب""]"
ahd5k_00009,456488,graph_train,أنف، أذن وحنجرة,"Nose, ear and throat",مرحبا عندي طفلة بجيل سنه و٣ اشهر ولديها ضعف سمع عالي عن طريق طبيب للعلاج البديل تلقت ادويه مثل غداء ملكات وحتى الان حصل تطور صغير جدا هل يمكن مساعده,ينصح بعمل سماعة طبية إذا كان ضعف السمع شديدا أو بزرع قوقعة إذا كان السمع مفقودا,"السؤال: مرحبا عندي طفلة بجيل سنه و٣ اشهر ولديها ضعف سمع عالي عن طريق طبيب للعلاج البديل تلقت ادويه مثل غداء ملكات وحتى الان حصل تطور صغير جدا هل يمكن مساعده
الإجابة: ينصح بعمل سماعة طبية إذا كان ضعف السمع شديدا أو بزرع قوقعة إذا كان السمع مفقودا",مرحبا عندي طفله بجيل سنه و3 اشهر ولديها ضعف سمع عالي عن طريق طبيب للعلاج البديل تلقت ادويه مثل غداء ملكات وحتي الان حصل تطور صغير جدا هل يمكن مساعده,ينصح بعمل سماعه طبيه اذا كان ضعف السمع شديدا او بزرع قوقعه اذا كان السمع مفقودا,"السؤال: مرحبا عندي طفله بجيل سنه و3 اشهر ولديها ضعف سمع عالي عن طريق طبيب للعلاج البديل تلقت ادويه مثل غداء ملكات وحتي الان حصل تطور صغير جدا هل يمكن مساعده
الإجابة: ينصح بعمل سماعه طبيه اذا كان ضعف السمع شديدا او بزرع قوقعه اذا كان السمع مفقودا",148,79,227,"[{""canonical"": ""دواء"", ""type"": ""treatment"", ""matched_variant"": ""ادويه"", ""hint_strength"": ""weak"", ""final_graph_entity"": false}]",[],[],"[""دواء""]",[],[],[]
ahd5k_00010,550455,graph_train,جراحة القلب والشرايين,Cardiovascular surgery,يوجد أعراض ترعبني. عند الصعود بالدرج او مرتفع ينقطع نفسي ويجب ان استريح علماً باني ب٢٦ من العمر ومن قبل كانت هناك آلام في الصدر غريبه كنت اتجاهلها علما بان...,لم تذكر خصائص ضيق النفس، لكن الفحص الطبي السريري ضروري كونه يسمح بالتأكد من خصائص الأعراض المذكورة والعلامات التي قد يجدها الطبيب عند الفحص، لأن الأسباب كثيرة تنفسية وقلبية ودموية ووعائية وغير ذلك,"السؤال: يوجد أعراض ترعبني. عند الصعود بالدرج او مرتفع ينقطع نفسي ويجب ان استريح علماً باني ب٢٦ من العمر ومن قبل كانت هناك آلام في الصدر غريبه كنت اتجاهلها علما بان...
الإجابة: لم تذكر خصائص ضيق النفس، لكن الفحص الطبي السريري ضروري كونه يسمح بالتأكد من خصائص الأعراض المذكورة والعلامات التي قد يجدها الطبيب عند الفحص، لأن الأسباب كثيرة تنفسية وقلبية ودموية ووعائية وغير ذلك",يوجد اعراض ترعبني. عند الصعود بالدرج او مرتفع ينقطع نفسي ويجب ان استريح علما باني ب26 من العمر ومن قبل كانت هناك الام في الصدر غريبه كنت اتجاهلها علما بان.,"لم تذكر خصايص ضيق النفس, لكن الفحص الطبي السريري ضروري كونه يسمح بالتاكد من خصايص الاعراض المذكوره والعلامات التي قد يجدها الطبيب عند الفحص, لان الاسباب كثيره تنفسيه وقلبيه ودمويه ووعاييه وغير ذلك","السؤال: يوجد اعراض ترعبني. عند الصعود بالدرج او مرتفع ينقطع نفسي ويجب ان استريح علما باني ب26 من العمر ومن قبل كانت هناك الام في الصدر غريبه كنت اتجاهلها علما بان.
الإجابة: لم تذكر خصايص ضيق النفس, لكن الفحص الطبي السريري ضروري كونه يسمح بالتاكد من خصايص الاعراض المذكوره والعلامات التي قد يجدها الطبيب عند الفحص, لان الاسباب كثيره تنفسيه وقلبيه ودمويه ووعاييه وغير ذلك",158,196,354,[],[],[],[],[],[],[]
