mention_id,entity_id,canonical_name,entity_type,chunk_id,qa_id,source_row_number,surface_form,field,evidence,extraction_method,provider,model,confidence
men_llm_0000001,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00001,ahd5k_00970,769766,حساسية الصدر,question,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000002,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00001,ahd5k_03626,370529,حساسية,question,هل بنسلين يسبب إلتهاب المعدة للأطفال,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000003,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,chunk_00001,ahd5k_00970,769766,التهاب,answer,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000004,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,chunk_00001,ahd5k_03872,383286,التهاب,answer,أعراض التهاب وحساسيه الجيوب الانفيه لابد من استخدام الادويه المناسبه بعد الفحص عند طبيب ENT,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000005,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,chunk_00001,ahd5k_00970,769766,ربو,answer,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700
men_llm_0000006,ent_diseasecondition_c294dde65052,نزلة معوية,DiseaseCondition,chunk_00001,ahd5k_03626,370529,نزله معويه,answer,ممكن ان يسبب نزله معويه,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000007,ent_symptom_f4cf885a0447,سعال,Symptom,chunk_00001,ahd5k_00970,769766,سعال,answer,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700
men_llm_0000008,ent_symptom_dc2c7333a505,بلغم,Symptom,chunk_00001,ahd5k_00970,769766,بلغم,question,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000009,ent_symptom_dc2c7333a505,بلغم,Symptom,chunk_00001,ahd5k_00970,769766,بلغم,answer,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000010,ent_symptom_7b839cc80688,ضيق تنفس,Symptom,chunk_00001,ahd5k_03872,383286,ضيق تنفس,question,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000011,ent_symptom_28acc791e82d,تعب,Symptom,chunk_00001,ahd5k_03872,383286,تعب,question,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000012,ent_symptom_7cfc95737dc0,حكة,Symptom,chunk_00001,ahd5k_04414,383417,حكة,question,ظهر عندي دوائر حمراء بين الفخذين مع حكة شديدة ايه سببها,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000013,ent_symptom_15f699fd4691,دوائر حمراء,Symptom,chunk_00001,ahd5k_04414,383417,دوائر حمراء,question,ظهر عندي دوائر حمراء بين الفخذين مع حكة شديدة ايه سببها,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000014,ent_treatment_70be4452db30,بنسلين,Treatment,chunk_00001,ahd5k_03626,370529,بنسلين,question,هل بنسلين يسبب إلتهاب المعدة للأطفال,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000015,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00002,ahd5k_00020,340580,حساسية,question,بنتي سنتين ونصف عندها حساسية من حليب البقر,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000016,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00002,ahd5k_00133,376061,تحسس,question,عندي تحسس انفي موسمي بيتغير حسب المواسم,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000017,ent_treatment_0311bc90ba75,حليب مكسر بروتين الحليب,Treatment,chunk_00002,ahd5k_00020,340580,حليب مكسر بروتين الحليب,answer,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000018,ent_treatment_45a78ee47153,نازونكس,Treatment,chunk_00002,ahd5k_00133,376061,نازونكس,answer,بدائل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000019,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,chunk_00002,ahd5k_00510,294513,ربو,question,هل تؤخر علاجات الحساسية والربو عملية الحمل ؟,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000020,ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,chunk_00002,ahd5k_00555,370571,مضاد هيستامين,answer,ابدا مضاد هيستامين مره الى مرتين باليوم الى ان تذهب للطبيب,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000021,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00003,ahd5k_01231,390602,حساسية,question,تناولت مضاد حيووي زييثرون وانتج حساسية شديدة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000022,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,chunk_00003,ahd5k_01245,266907,حساسية,question,انا اشعر بالصداع والنعاس وحساسية في وجهي,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950
men_llm_0000023,ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,chunk_00003,ahd5k_01231,390602,مضاد هيسامين,answer,استخدمي مضاد هيسامين وكورتيزون موضعي,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
men_llm_0000024,ent_treatment_843876e28a68,كورتيزون,Treatment,chunk_00003,ahd5k_01231,390602,كورتيزون,answer,استخدمي مضاد هيسامين وكورتيزون موضعي,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850
