expansion_version,query_id,original_query,query_group,primary_intent,safety_mode,safety_reason,variant_c_query_source,graph_aliases_added,qa_id,source_row_number,question,answer,category,matched_variants,variant_a_rank,variant_b_rank,variant_c_rank,best_variant_rank,best_bm25_rank,variant_support_count,expansion_rank,relevance_label,error_reason,secondary_error_reason
partial_only_fts_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,medication_safety,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: احساس,original_query,ازمة (الربو)|الربو|تحسس قصبي|الربو الشعبي|مرضى الربو|مرضى القلب,ahdqa_0785516,785516,اناحامل اصبت بكحه شديده وعطاس مدة شهرونص راجعت الطبيبه اعطتني بخارمره واحده واعطتني نوعين من البخاخات احداهما موسع والاخروقايه تحسنت كثيرالان لااعرف هل انامصابه بربو اوحساسيه لم تؤكدلي شئ لانها...,هذا لن يؤثر على الحمل او الولاده. اما بالنسبه الى الحساسيه فانصحك بمراجعه اخصائي باطنيه تنفسيه لاجراء الفحوصات اللازمه لتشخيص سبب الحساسيه.,أمراض الجهاز التنفسي,C,,,1,1,-37.763074,1,1,1,missing key constraint,
partial_only_fts_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,medication_safety,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: احساس,original_query,ازمة (الربو)|الربو|تحسس قصبي|الربو الشعبي|مرضى الربو|مرضى القلب,ahdqa_0196899,196899,لدى ولاده قيصريه سابقه(البكر)حيث ان الولاده التاليه طبيعي ولكن متعسره وحصل بها مضاعفات (نزيف،شق بعنق الرحم )ماهي الولاده الامنه لي ولجنيني في حملي القادم,حسب التاريخ المرضي والمشاكل اللي حدثت ما سببها، رأيي الافضل قيصري,أمراض نسائية,C,,,2,2,-26.427339,1,2,0,wrong intent,
partial_only_fts_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,medication_safety,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: احساس,original_query,ازمة (الربو)|الربو|تحسس قصبي|الربو الشعبي|مرضى الربو|مرضى القلب,ahdqa_0323203,323203,يعطيك العافية دكتور هل عملية ازالة الرحم لمريضة لها ليف على الرحم بعمر 52 مصابة بالسكري و الضغط خطيرة اثناء العملية؟؟؟,الان كل شيء يكون تحت السيطرة خلال العملية,أمراض نسائية,C,,,3,3,-23.311501,1,3,0,different clinical scenario,
partial_only_fts_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,medication_safety,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: احساس,original_query,ازمة (الربو)|الربو|تحسس قصبي|الربو الشعبي|مرضى الربو|مرضى القلب,ahdqa_0280370,280370,السلام عليكم .انا مصابة بالسكري وانا حامل في بدايةالشهر السادس ماهي احتمال ولادتي طبيعية علما اني انجبت 3مرات طبيعي واريد ان امنع الحمل نهائي بعد الولادة ماهي افضل طريقة,حسب عمرك .يعمل ربط للمواسبر,أمراض نسائية,C,,,4,4,-23.269654,1,4,0,wrong intent,
partial_only_fts_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,medication_safety,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: احساس,original_query,ازمة (الربو)|الربو|تحسس قصبي|الربو الشعبي|مرضى الربو|مرضى القلب,ahdqa_0551510,551510,ماهي حبوب منع الحمل المناسبه لمريضه تكيس المبايض,حبوب دايان ٣٥,أمراض نسائية,C,,,5,5,-23.084432,1,5,0,wrong intent,
partial_only_fts_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,medication_safety,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: احساس,original_query,ازمة (الربو)|الربو|تحسس قصبي|الربو الشعبي|مرضى الربو|مرضى القلب,ahdqa_0122416,122416,ضيق التنفس لمريضة ضغط وسكري عمرها ٦٠ سنة مصابة كورونا اليوم ١١ من الاصابة ما الاجراء اللازم وهل ممكن استخدم جهاز تبخيرة الذي عندي,من الافضل التوجه للمستشفى لتقييم الحالة الصحية جيدا,الطب العام,C,,,6,6,-22.992423,1,6,0,different clinical scenario,
partial_only_fts_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,medication_safety,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: احساس,original_query,ازمة (الربو)|الربو|تحسس قصبي|الربو الشعبي|مرضى الربو|مرضى القلب,ahdqa_0282505,282505,أيهما أفضل الولادة الطبيعية ام القيصرية ؟لمريضة Ms ؟ و عندها ديسك بضهرها ؟,القيصرية في هذه الحالة افضل,أمراض نسائية,C,,,7,7,-22.859591,1,7,0,wrong intent,
partial_only_fts_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,medication_safety,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: احساس,original_query,ازمة (الربو)|الربو|تحسس قصبي|الربو الشعبي|مرضى الربو|مرضى القلب,ahdqa_0455924,455924,عملية اسنئصال الرحم لمريضة سكري كبيرة في السن ماهي المخاطر؟,التخدير فطط واحتمالات النزيف,أمراض نسائية,C,,,8,8,-22.74019,1,8,0,different clinical scenario,
partial_only_fts_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,medication_safety,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: احساس,original_query,ازمة (الربو)|الربو|تحسس قصبي|الربو الشعبي|مرضى الربو|مرضى القلب,ahdqa_0216334,216334,انا طبييبة عند اعطائي لدواء لمريضة عن طريق الفراشة في يدها لاحظت خروج دم وقد لامس القفازات الطبية لدي وهي ممكن تكون مصابة بhiv هل ممكن ان يتنتقل هذا الفيروس,القفازات الطبية تمنع انتقال الدم وما يحتويه، إذا كانت مريضة!!!,الصحة الجنسية,C,,,9,9,-22.182746,1,9,0,generic medical overlap,
partial_only_fts_v1,evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,causes_safety,medication_safety,original_query_only_due_reformulation_drift,New medical phrase terms were not grounded in the original query or a linked graph entity: احساس,original_query,ازمة (الربو)|الربو|تحسس قصبي|الربو الشعبي|مرضى الربو|مرضى القلب,ahdqa_0690328,690328,"زوجتي تعاني من الام بالراس من فترة الى اخرئ ,اريد مسكنات امنه لانها ترضع طفل عمره ثلاثه اشهر ,, اريد اسماء المسكنات الامنه والطرق واوقات يكون الالم غير محتمل ولا...",Acetaminophen or panadol.,الأمراض العصبية,C,,,10,10,-22.025672,1,10,1,different clinical scenario,
