relation_id,chunk_id,qa_id,candidate_relation_type,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,source_evidence,target_evidence,candidate_method,needs_llm_validation
rel_seed_56abfb8d8355106e,chunk_00001,ahd5k_00970,HAS_SYMPTOM,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,entity_type_cooccurrence_same_qa,true
rel_seed_0c7a95bcebd3a487,chunk_00001,ahd5k_00970,HAS_SYMPTOM,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_symptom_dc2c7333a505,بلغم,Symptom,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,entity_type_cooccurrence_same_qa,true
rel_seed_bd265df67c4d74e3,chunk_00001,ahd5k_00970,HAS_SYMPTOM,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,entity_type_cooccurrence_same_qa,true
rel_seed_6c884a1c6b84097f,chunk_00001,ahd5k_00970,HAS_SYMPTOM,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_symptom_dc2c7333a505,بلغم,Symptom,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,entity_type_cooccurrence_same_qa,true
rel_seed_0c18290c6e2c4697,chunk_00001,ahd5k_00970,HAS_SYMPTOM,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ent_symptom_f4cf885a0447,سعال,Symptom,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,entity_type_cooccurrence_same_qa,true
rel_seed_2d8676e4afe037e2,chunk_00001,ahd5k_00970,HAS_SYMPTOM,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ent_symptom_dc2c7333a505,بلغم,Symptom,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,entity_type_cooccurrence_same_qa,true
rel_seed_f1b288a79aac2313,chunk_00001,ahd5k_03626,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_70be4452db30,بنسلين,Treatment,هل بنسلين يسبب إلتهاب المعدة للأطفال,هل بنسلين يسبب إلتهاب المعدة للأطفال,entity_type_cooccurrence_same_qa,true
rel_seed_5f923c9b33847ee1,chunk_00001,ahd5k_03626,TREATED_BY,ent_diseasecondition_c294dde65052,نزلة معوية,DiseaseCondition,ent_treatment_70be4452db30,بنسلين,Treatment,ممكن ان يسبب نزله معويه,هل بنسلين يسبب إلتهاب المعدة للأطفال,entity_type_cooccurrence_same_qa,true
rel_seed_4e0920fcda8ee854,chunk_00001,ahd5k_03872,HAS_SYMPTOM,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_symptom_7b839cc80688,ضيق تنفس,Symptom,أعراض التهاب وحساسيه الجيوب الانفيه لابد من استخدام الادويه المناسبه بعد الفحص عند طبيب ENT,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,entity_type_cooccurrence_same_qa,true
rel_seed_b17e2cb75449ca9f,chunk_00001,ahd5k_03872,HAS_SYMPTOM,ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,ent_symptom_28acc791e82d,تعب,Symptom,أعراض التهاب وحساسيه الجيوب الانفيه لابد من استخدام الادويه المناسبه بعد الفحص عند طبيب ENT,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,entity_type_cooccurrence_same_qa,true
