cohort,query_id,query,reference_answer,automatic_failure_class,automatic_reason,oracle_rank,qa_id,source_question,source_answer,answer_similarity,question_similarity,scenario_score,scenario_conflicts,query_concept_coverage,retrieved_by_current_pipeline,human_failure_class,human_equivalent_evidence,annotation_notes,annotation_status
ahd_reference,evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,1,ahdqa_0691006,"السلام عليكم
اشعر بحكة بلقضيب وبعض الاحيان حرقة وتيبس بجلدة القضيب ..علما اني متزوج حوالي اربعة اشهر ..وزوجتي ذهبت للطبيب وقال احتمال عندها فطريات واعطوها تحاميل وكريم واستخدمت الاكريم على...","لابد من معاجة الطرفين الزوج والزوجة معا ،منعا لرجوع الالتهاب ، يفضل عمل تحاليل وزرع والتأكد من نوع الجرثومة او الفطريات والبدء بالمعالجة سوية
وبعد المعالجة الإهتمام بالنظافة واتباع تعليمات الطبيبة بالنسبة للزوجة",0.888145,0.848901,0.305,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.0,False,,,,pending_human_confirmation
ahd_reference,evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,2,ahdqa_0652232,انا رجل متزوج عمري ٣٨ مشكلتي نزول افرازات صفراء اللون بدون رائحه من القضيب مع حكه احياناً في اسفل القضيب واخذت مضادات حيويه وادويه بعد تحليل البول وتحليل الافرازات ولم...,"هل اخذت المضاد الحيوي بعد عمل زراعه لهذه الافرازات؟
ربما تحتاج زوجتكط الى مراجعة اختصاصي النسائيه......
على الاغلب انكما ستحتاجان الى تناول الدواء معا....للقضاء على الالتهاب",0.881444,0.828684,0.305,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.0,False,,,,pending_human_confirmation
ahd_reference,evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,3,ahdqa_0705951,لدي طفله عمرها3سنوات لاحظت صديد بنى اللون في ملابسها الداخليه بعد التبول .علما انها لا تعاني من حكه او الم او مرض,"يجب عمل فحص بول و زراعة و اخذ الطفلة للطبيب لفحص المنطقة
قد لا يكون هناك مشكلة و لكن يجب الاطمئنان",0.877526,0.802774,0.305,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.0,False,,,,pending_human_confirmation
ahd_reference,evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,4,ahdqa_0662121,حرقة البول لطفلة عمرها خمس سنوات,"قد يكون التهاب في المجاري البولية
يجب عمل فحص و زراعة بول للاطمئنان",0.876303,0.796489,0.305,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.0,False,,,,pending_human_confirmation
ahd_reference,evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,5,ahdqa_0797040,ما هو سبب الحرقة فى القضيب بعد الجماع,"من الممكن ان يكون عندك التهابات
اعمل فحص بول وكذلك زراعه للبول
مع عمل تحليل للسائل المنوي وممكن زراعه للسائل",0.875123,0.815259,0.305,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,1,ahdqa_0445368,اشعر بالالم حاد في أسفل بطني من جهات اليمين ؟؟,يجب ان يراك طبيب لفحص البطن سريريا ومعرفة سبب الالم بعد الفحص,0.879481,0.843915,0.35,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.0,False,,,,pending_human_confirmation
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,2,ahdqa_0546174,ماسبل وجود ماء في البطن,"ان كنت تعني استسقاء اي ان الماء يسري بين الاحشاء داخل البطن فله اسباب كثيرة
اهمها مشاكل الكبد وتعب القلب والكلى و نقص البروتين",0.879151,0.828586,0.35,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,3,ahdqa_0653165,عندي الم في بطني خاصتا ادا اكلت القشدة واللبن,"اسال الله العظيم رب العرش العظيم ان يشفيك
اخي الكريم يجب عليك فحص البطن بالسونار للتاكد من سلامة المرارة",0.873144,0.839918,0.35,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.0,False,,,,pending_human_confirmation
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,4,ahdqa_0538420,السلام عليكم دكتور ابني عمر 22 يوم عنده موجود ماء في البطن سبب انتفاخ في البطن شنو السبب,اولا كيف عرفت ان هنالك ماء في البطن؟ هل فحص من قبل طبيب الاطفال؟ انتفاخ البطن ان كان حقيقة عنده انتفاخ بطن له اسباب عديدة وبعضها نسبية طبيعية يرجى الايضاح,0.872905,0.854242,0.65,"[""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,5,ahdqa_0320628,اعاني من حبه في فتحة الشرج ولكن لا اشعر بالام ولا اي شي منها,اخي الكريم لا حياء في الطب يجب ان تزور طبيب جراح ليعاينك ويفحص فتحة المخرج والتأكد من التشخيص ، لانه من المحتمل ان لا تكون حبة انما هي تضخم في احد الشرايين او ما يسمى بالباسور الخارجي ولكن هذا ليس التشخيص النهائي لان التشخيص الصحيح هو بعد الفحص الدقيق للمنطقة التي ذكرتها,0.86959,0.818953,0.305,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.333333,False,,,,pending_human_confirmation
ahd_reference,evalv1_015,انا شخص مدخن من ٣ سنوات من امس اصبحت اشعر بصعوبة اخذ النفس لدرجة اشعر بالنعاس وقلة التركيز اليوم رحت للطبيب عملي اكس راي وقلي عندي التهاب قصبات هوائية وصفلي...,هذا الدواء يساعد على اسهال اخراج البلغم عندما يكون متخثر. تستطيعين اخذ ٢ ل من الماء اذا ليس لديك مشكل في الكلية. فهو يساعد ايضا على اخراج البلغم. لا تاخذيهما في اليل,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,1,ahdqa_0091413,"هل يجوز تناول مضادات بلغم متل امبراكسول لمريض الرجفان الاذيني ؟
علما ان المريض مستمر بتناول الديجوكسين ويعاني من الصدفية ايضا",تستطيع اخذه اذا ليس هناك حساسية لمكوناته، و تجنبه في حالة قصور في التنفس. عليك شرب كثير من الماء ايضا لاخراج البلغم. و عليك الكشف لمعرفة السبب لهذا البلغم واخذ الدواء اللازم... فادوية التي تساعد في اخراج البلغم غير كافية,0.891874,0.805867,0.305,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.0,False,,,,pending_human_confirmation
ahd_reference,evalv1_015,انا شخص مدخن من ٣ سنوات من امس اصبحت اشعر بصعوبة اخذ النفس لدرجة اشعر بالنعاس وقلة التركيز اليوم رحت للطبيب عملي اكس راي وقلي عندي التهاب قصبات هوائية وصفلي...,هذا الدواء يساعد على اسهال اخراج البلغم عندما يكون متخثر. تستطيعين اخذ ٢ ل من الماء اذا ليس لديك مشكل في الكلية. فهو يساعد ايضا على اخراج البلغم. لا تاخذيهما في اليل,only_broad_or_mismatched_evidence_exists,Only borderline semantic matches were found. Manual review is required to distinguish an acceptable paraphrase from a related but different clinical scenario.,2,ahdqa_0045625,ابنى عنده ٢٠ يوم وكان تعبان اوى من صدره من البلغم وراح لدكتور والدكتور كتبله على جلسات اكسجين ٣ فى اليوم وعند الاستشارة طلب الدكتور زيادة الجلسات الى ٦ او...,هذه الجلسات تزيل و تخرج البلغم فانها تزيد الكحة لاخراج البلغم. من الافضل عدم استعماله في اليل,0.877277,0.847287,0.34,"[""medical_identity_unmatched"", ""intent_mismatch""]",0.0,False,,,,pending_human_confirmation
