query_id,claim,human_should_retain,original_failed_checks,v5_hard_failures,v5_soft_failures,v5_semantic_eligible,v5_status_after_hard_gates,support_score
entitygtv1_002,عرق السوس يحتوي على مركبات مضادة للالتهابات، مسكنة للألم، مضادة للأكسدة، منشط للجهاز المناعي، مفيدة للهضم، ومفيدة للقلب.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.8125
entitygtv1_002,تناول عرق السوس بكميات كبيرة قد يرفع ضغط الدم.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.875
entitygtv1_003,ابدئي بالتمرين على الاستقلال والمشي وحدك، ويمكنك الاستعانة بالمشاية walker في البداية ثم الاستغناء عنها لاحقاً.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.8
entitygtv1_004,يبدو أن لديك التهاب بسيط في جدار المعدة,True,intent_mismatch,,intent_mismatch,True,unsupported,0.857143
entitygtv1_006,الدورة الشهرية تأخرت ثلاث أسابيع,False,intent_mismatch,,intent_mismatch,True,unsupported,0.6
entitygtv1_006,عدم انتظام الدورة قد يكون بسبب القلق، خلل غذائي، تكيس المبايض، أو خلل هرموني,True,intent_mismatch,,intent_mismatch,True,unsupported,0.636364
entitygtv1_006,يُنصح بمراجعة طبيب نسائي لإجراء فحوصات هرمونية وموجات فوق صوتية للرحم والمبايض,True,intent_mismatch,,intent_mismatch,True,unsupported,0.818182
entitygtv1_008,يمكن شد الجلد المترهل في منطقة البطن بممارسة الرياضة أو بالجراحة التجميلية.,True,anatomy_mismatch|intent_mismatch,,intent_mismatch,True,unsupported,0.5
entitygtv1_009,من الآثار الجانبية لزوتريم فقدان الشهية، ارتفاع ضغط الدم، العصبية، التوتر، الهزات، الإسهال، الغثيان، مشاكل المعدة، سلس البول، الجفاف، وتفاعلات مع أدوية أخرى.,True,intent_mismatch,,intent_mismatch,True,unsupported,0.666667
entitygtv1_013,لا. لم تتمزق.,True,claim_query_concept_mismatch|intent_mismatch,,claim_query_concept_mismatch|intent_mismatch,True,unsupported,1.0
