query_id,query,claim_id,claim_rank,claim_ar,support_status,support_score,citation_valid,qa_valid,cited_evidence_ids,valid_evidence_ids,source_qa_ids,valid_source_qa_ids,supporting_relations,supporting_evidence,verification_reason,best_evidence_preview
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,trial_query_076_claim_01,1,تجنب المنتجات التي تحتوي على الجلوتين قد يساعد في تحسين الحساسية,supported,0.4545,True,True,"[""E1""]","[""E1""]","[""ahd5k_00812""]","[""ahd5k_00812""]","[""حساسية --TREATED_BY--> تجنب المنتجات التي تحوي جلوتين""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_00812"", ""evidence_text"": ""للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين"", ""relation"": ""حساسية --TREATED_BY--> تجنب المنتجات التي تحوي جلوتين""}]",claim terms overlap retrieved evidence and cited/source ids are valid,للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,trial_query_076_claim_02,2,مضادات الهيستامين مثل تيليفاست قد تكون مفيدة في الحساسية,supported,0.4444,True,True,"[""E4""]","[""E4""]","[""ahd5k_02470""]","[""ahd5k_02470""]","[""حساسية --TREATED_BY--> تيليفاست""]","[{""evidence_id"": ""E4"", ""qa_id"": ""ahd5k_02470"", ""evidence_text"": ""مضاد للهيستامين مثل تيليفاست"", ""relation"": ""حساسية --TREATED_BY--> تيليفاست""}]",claim terms overlap retrieved evidence and cited/source ids are valid,مضاد للهيستامين مثل تيليفاست
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,trial_query_078_claim_01,1,يُنصح بإعطاء المصاب عسلًا تحت لسانه في حالة انخفاض السكر مع فقدان الوعي,supported,0.5385,True,True,"[""E3""]","[""E3""]","[""ahd5k_00992""]","[""ahd5k_00992""]","[""فقدان الوعي --TREATED_BY--> عسل""]","[{""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_00992"", ""evidence_text"": ""يجب عليك اعطاء المصاب عسل تحت لسانه"", ""relation"": ""فقدان الوعي --TREATED_BY--> عسل""}]",claim terms overlap retrieved evidence and cited/source ids are valid,يجب عليك اعطاء المصاب عسل تحت لسانه
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,trial_query_079_claim_01,1,الأشعة المقطعية بالصبغة تُستخدم لفحص الأعراض مثل الانتفاخ، لكن تفسير النتائج يتطلب تحليل تقرير الأشعة,weakly_supported,0.0714,True,True,"[""E1"", ""E3""]","[""E1"", ""E3""]","[""ahd5k_01537"", ""ahd5k_01537""]","[""ahd5k_01537"", ""ahd5k_01537""]","[""انتفاخ --INVESTIGATED_BY--> اشعة"", ""اشعة --INVESTIGATES--> انتفاخ""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01537"", ""evidence_text"": ""اشعة بالصبغة"", ""relation"": ""انتفاخ --INVESTIGATED_BY--> اشعة""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_01537"", ""evidence_text"": ""اشعة بالصبغة"", ""relation"": ""اشعة --INVESTIGATES--> انتفاخ""}]",partial evidence match or partial source/citation support,اشعة بالصبغة
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,trial_query_080_claim_01,1,يجب إجراء الفحص السريري والتحاليل المخبرية لتحديد السبب الجذري قبل تحديد العلاج,supported,0.5833,True,True,"[""E1""]","[""E1""]","[""ahd5k_04490""]","[""ahd5k_04490""]","[""حساسية الصدر --HAS_SYMPTOM--> سعال""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_04490"", ""evidence_text"": ""حساسية الصدر and سعال co-occur with explicit symptom-pathology link"", ""relation"": ""حساسية الصدر --HAS_SYMPTOM--> سعال""}]",claim terms overlap retrieved evidence and cited/source ids are valid,حساسية الصدر and سعال co-occur with explicit symptom-pathology link
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,trial_query_081_claim_01,1,الصداع قد يكون أحد أعراض التهاب السحايا أو التهاب الجيوب الأنفية أو الصداع التوتري,supported,0.6364,True,True,"[""E1"", ""E2"", ""E3""]","[""E1"", ""E2"", ""E3""]","[""ahd5k_02662"", ""ahd5k_02662"", ""ahd5k_02662""]","[""ahd5k_02662"", ""ahd5k_02662"", ""ahd5k_02662""]","[""التهاب السحايا --HAS_SYMPTOM--> صداع"", ""صداع --SYMPTOM_OF--> التهاب السحايا"", ""التهاب الجيوب الأنفية --HAS_SYMPTOM--> صداع""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_02662"", ""evidence_text"": ""صداع"", ""relation"": ""التهاب السحايا --HAS_SYMPTOM--> صداع""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_02662"", ""evidence_text"": ""صداع"", ""relation"": ""صداع --SYMPTOM_OF--> التهاب السحايا""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_02662"", ""evidence_text"": ""صداع"", ""relation"": ""التهاب الجيوب الأنفية --HAS_SYMPTOM--> صداع""}]",claim terms overlap retrieved evidence and cited/source ids are valid,صداع
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,trial_query_082_claim_01,1,يمكن استخدام ايزومبرازول 40 مجم يومياً لمدة 3 شهور لعلاج القرحة بدون نزيف,supported,0.4615,True,True,"[""E1"", ""E3""]","[""E1"", ""E3""]","[""ahd5k_01066"", ""ahd5k_01066""]","[""ahd5k_01066"", ""ahd5k_01066""]","[""قرحة --TREATED_BY--> ايزومبرازول"", ""ايزومبرازول --TREATS--> قرحة""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01066"", ""evidence_text"": ""ممكن تجرب دواء اسمه ايزومبرازول"", ""relation"": ""قرحة --TREATED_BY--> ايزومبرازول""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_01066"", ""evidence_text"": ""ممكن تجرب دواء اسمه ايزومبرازول"", ""relation"": ""ايزومبرازول --TREATS--> قرحة""}]",claim terms overlap retrieved evidence and cited/source ids are valid,ممكن تجرب دواء اسمه ايزومبرازول
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,trial_query_082_claim_02,2,عدم تحسن الحالة خلال العلاج يتطلب الذهاب إلى المستشفى,supported,0.3333,True,True,"[""E1"", ""E3""]","[""E1"", ""E3""]","[""ahd5k_01066"", ""ahd5k_01066""]","[""ahd5k_01066"", ""ahd5k_01066""]","[""قرحة --TREATED_BY--> ايزومبرازول"", ""ايزومبرازول --TREATS--> قرحة""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01066"", ""evidence_text"": ""ممكن تجرب دواء اسمه ايزومبرازول"", ""relation"": ""قرحة --TREATED_BY--> ايزومبرازول""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_01066"", ""evidence_text"": ""ممكن تجرب دواء اسمه ايزومبرازول"", ""relation"": ""ايزومبرازول --TREATS--> قرحة""}]",claim terms overlap retrieved evidence and cited/source ids are valid,ممكن تجرب دواء اسمه ايزومبرازول
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,trial_query_084_claim_01,1,الحرقة في المهبل تشير إلى وجود التهابات نسائية,supported,0.375,True,True,"[""E1"", ""E2""]","[""E1"", ""E2""]","[""ahd5k_01099"", ""ahd5k_01099""]","[""ahd5k_01099"", ""ahd5k_01099""]","[""التهاب --HAS_SYMPTOM--> حرقه"", ""حرقه --SYMPTOM_OF--> التهاب""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01099"", ""evidence_text"": ""التهابات نسائيه تسبب حرقه في المهبل"", ""relation"": ""التهاب --HAS_SYMPTOM--> حرقه""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_01099"", ""evidence_text"": ""التهابات نسائيه تسبب حرقه في المهبل"", ""relation"": ""حرقه --SYMPTOM_OF--> التهاب""}]",claim terms overlap retrieved evidence and cited/source ids are valid,التهابات نسائيه تسبب حرقه في المهبل
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,trial_query_084_claim_02,2,لا يوجد تأثير على الجنين من الحرقة الناتجة عن التهابات نسائية,supported,0.5455,True,True,"[""E1""]","[""E1""]","[""ahd5k_01099""]","[""ahd5k_01099""]","[""التهاب --HAS_SYMPTOM--> حرقه""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01099"", ""evidence_text"": ""التهابات نسائيه تسبب حرقه في المهبل"", ""relation"": ""التهاب --HAS_SYMPTOM--> حرقه""}]",claim terms overlap retrieved evidence and cited/source ids are valid,التهابات نسائيه تسبب حرقه في المهبل
