query_id,category,bertscore_precision,bertscore_recall,bertscore_f1,overall_reliability_score,reliability_label,answerability_label,evidence_coverage,relation_confidence,source_reliability,claim_support_rate,hallucination_rate,qa_fallback_used,answer_reference_overlap,reference_context_overlap,query,candidate_answer,reference_answer,issue_label
unseen100_001,جراحة القلب والشرايين,0.654171,0.656065,0.655117,0.821,high,answerable,0.1,0.7545,0.9521,1.0,0.0,no,0.050000,0.081081,هل من الطبيعي ان تصل ضربات قلبي الى 85 في الدقيقة مع وجود الم في منطقة القلب علما بان معدل ضربات قلبي عادة تكون بين 50-60 ضربة في الدقيقة,حسب عوامل الخطورة الاخرى كالسكري و الكلى. اذا لانوجد أمراض مصاحبة ١٤٠-٨٠ و ضربات القلب تقريبا من ٦٥-٨٥ لكن ممكن ان نقبل ضربات قلب اقل او اكثر,نعم أحياناً يكون طبيعي خاصة عند بذل جهد أو عند الانفعال، ولكن إذا كان هناك أعراض أخرى تترافق معه في نفس الوقت فإنه ينبغي اجراء فحص طبي للتأكد من عدم وجود علامات سريرية لاضطراب ما سواء في الدم أو الجهاز الدموي أو العصب...,acceptable_similarity
unseen100_002,الطب الوقائي,0.657843,0.625886,0.641467,0.7856,medium,answerable,0.1667,0.5068,0.8973,1.0,0.0,no,0.067416,0.071429,انا عمرى 13 سنة احب الجمال جدا واريد تطويل رموشى عن طريق مزج ملعقة عسل نحل صغيرة مع ملعقة زيت لوز حلو كبيرة ووضعها فى ماسكارا نظيفة ووضعها على رموشى...,يوجد العديد من الفوائد لاستخدام زيت اللوز المر، منها التخلص من علامات التمدد ولكن هناك حاجة إلى مزيد من الدراسات قبل أن يتم إثبات فعالية زيت اللوز المر. ومن الجدير بالذكر أن زيت اللوز المر يحتوي على مركبات سامة مثل ال...,إن الله جميل يحب الجمال، ننصحك بعدم السماح للمخلوط من الدخول لعينيك لأنه قد يسبب أذية أنت لست بحاجة لها، وأما لتطيل الرموش فأعطيك هذه الوصفات المفيدة جدا، واستعمليها كا هو موصوف بحذر في عملية تكثيف وتطويل الرموش والحو...,acceptable_similarity
unseen100_003,الأورام الخبيثة والحميدة,0.635979,0.660213,0.647869,0.8059,high,answerable,0.1429,0.6243,0.9391,1.0,0.0,yes,0.000000,0.090909,هل يوجد علاج كيميائي لا يسبب تساقط الشعر ؟,يمكن تناول حبة زنك 50 ملغ يوميًا بعد الفطور وزيت الخروع مساءً لتقليل تساقط الشعر. يُرجى استشارة طبيب قبل البدء. هذا ليس بديلاً عن استشارة الطبيب.,نعم يوجد. ..لكن اختيار الدواء يكون حسب المرض. ...ولايمكن للمريض اختيار الدواء بنفسه. .....,acceptable_similarity
unseen100_004,صحة المسنين,1.0,1.0,1.0,0.8062,high,answerable,0.1429,0.6531,0.912,1.0,0.0,no,1.000000,1.000000,انا امراءة فى السبعين اعاني من الام قوية تمتد من الرقبة الى الكتف والظهر حتى الحوض فهل ممكن الالم نتيجة الا عصاب ام اسباب اخرى علما ام المسكنات القوية تخخف...,الالام التي تعانين منها قد تكون نتيجة انزلاق غضروفي عنقي او خشونة عالية في الفقرات او التهاب اوتار . ينصح عمل صورة رنين مغناطيسي للعنق وفحص هشاشة عظام ومراجعة اخصائي جراحة اعصاب من اجل الفحص السريري,الالام التي تعانين منها قد تكون نتيجة انزلاق غضروفي عنقي او خشونة عالية في الفقرات او التهاب اوتار . ينصح عمل صورة رنين مغناطيسي للعنق وفحص هشاشة عظام ومراجعة اخصائي جراحة اعصاب من اجل الفحص السريري,acceptable_similarity
unseen100_005,تاريخ الطب,0.686515,0.685742,0.686128,0.7862,medium,answerable,0.1111,0.5333,0.93,1.0,0.0,yes,0.045455,0.071429,اسباب البرودة الجنسية وعلاجها,علاج فقدان الشهيه العصبي يعتمد علاج هذا المرض على عدد من التدابير التي تهدف الى استعادة الوزن الطبيعي للجسم وضبط سلوكيات تناول الطعام ومنها : - زيادة النشاط الاجتماعي . العلاج النفسي لتطوير استراتيجيات سلوكية لاستعادة...,"بنتج البرود الجنسي لاسباب نفسية او انفعالية: كالضغط, القلق, الاكتئاب, او التعب, -الشعور بالذنب, او الهم, -عدم الاثارة بالشكل الكافي, -الخوف من الالم من الجنس, -الخوف من الحمل, -و عدم الارتياح لشريك الحياة. -عدم الارتي...",acceptable_similarity
unseen100_006,علم الأحياء الدقيقة,0.619258,0.674987,0.645923,0.7944,medium,answerable,0.1111,0.5833,0.935,1.0,0.0,yes,0.000000,0.133333,ماهو الحل المناسب لظاهرة التثدي عند الرجل,عليك تحسين لياقتك البدنية بممارسة الرياضة اليومية والتغذية المتوازنة وتناول المكسرات والعسل وعسل الملكات، وهذهلائحة بالأطعمة التى تساعد على التخلص من الضعف الجنسى مثل: الثوم، البصل، القمح، الموز،الزنجبيل، حبة البركة،...,راجع اختصاصي الغدد الصماء فربما يستطيع مساعدتك قبل أن تلجأ للجراحة، والتي ربما تكون الحل الوحيد.,acceptable_similarity
unseen100_007,علم السموم,0.667157,0.643842,0.655292,0.7999,medium,answerable,0.1429,0.6149,0.9082,1.0,0.0,no,0.071429,0.032787,انا عندي سؤال واتمنى انكم تجاوبوني عليه ،، وياريت الي يجاوب يكون متأكد من جوابه،، تكفون يااهل الخير ساااعدووني ،، انا عاطل لي 3 سنوات ْوربي رزقني بوظيفه وعندي تحاليل...,خروج الدم يعني وجود جرح في المثانة أو الإحليل. ويمكن آن يكون هذا ناتجاً عن وجود جرح ينزل منه الدم، حصوة في المثانة أو الإحليل؟ يمكمنك تصوير الجهاز البولي بصورة ملونر أي في بي لتحديد السبب والمكان، وبعدها يتحدد العلاج؟...,لا يوجد طريقة سحرية للتخلص من آثاره، لأن هذا يعتمد على طريقة التعاطي وكمية الجرعة ومدة الادمان، وحالة الأستقلاب في الجسم فهي تختلف من شخص لأخر والفارق كبير حيث تختفي أثاره عند البعض في مدة 3 أيام بينما عند آخرين قد تم...,acceptable_similarity
unseen100_008,تشخيص,0.628367,0.688459,0.657042,0.826,high,answerable,0.1667,0.7245,0.9491,1.0,0.0,no,0.000000,0.052632,: إبنتي عمرها 16 عاماوقد لاحظنا ان بطة الرجل اليمين اكبر من الشمال(ولاحظنا ذلك عندممارستها الرياضة خلال فترة الصيف) ولا يوجد وجع ولا تعب . هل ذلك طبيعي أو من...,اذا كنت مدخنا يجب الاقلاع عن التدخين نهائياً وقطعياً علما بأنك لا تدخن كما قلت لكن جلوسك في مكان فيه مدخنين يجعلك مدخناً ايضاً اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج يجب التأكد من م...,لا داعي للقلق فقد تكون مجرد لا تناظر عادي، ولكن الأفضل مراجعة اختصاصي باطني لعمل تخطيط عضلات والتأكد أن كل شيء على ما يرام.,acceptable_similarity
unseen100_009,البشرة والجمال,0.667001,0.626301,0.646011,0.8106,high,answerable,0.1667,0.6582,0.9125,1.0,0.0,no,0.083333,0.044118,أفضل طريقة لإزالة الشعر الغير مرغوب فيه وهل توجد كريما لهذا الغرض وما اسمها وأين يمكن إيجادها وهل لها مضاعفات,الفوال أو التفول هو الاضطراب الخلقي الجيني الناجم عن نقص الأنزيم المسؤول عن الحفاظ على تركيز ببتيد الغلوتاثيون الذي يحمي خلايا الدم الحمراء من التلف بفعل الأكسدة وبالتالي التسبب في فقر الدم الانحلالي الغير مناعي وخاصة...,زيادة الشعر عند المرأة يسمى الشعرانية (هيرسوتيزم) وهو ليس مرضا وانما عرض لمرض ما .وفي معظم الحالات السبب مجهول وفي بعض الحالات السبب يكون اعتلال الغدة الكظرية وزيادة افراز الكورتيزون وهرمون الذكورة وهو الأندروجين بسبب...,acceptable_similarity
unseen100_010,رمضان,0.641907,0.623924,0.632788,0.7984,medium,answerable,0.0909,0.6533,0.912,1.0,0.0,no,0.000000,0.000000,انا اصوم ولله الحمد واكون بصحه جيده الي قبل الفطور بحوالي 2ساعتان ابدا افقد توازني واشعر بدوار وعدم التركيز وخاصتا عند قيادة السياره وهذا الحال من حوالي 5 سنوات تقريبا...,نعم ... نقص فيتامين (ب12) يسبب انيميا وتنميل,هذا شيء طبيعي وذلك لانخفاض السكر وفقدان السوائل خلال النهار خصوصا وان فترة الصيام تعتبر طويلة ولكن طالما أن الوضع يعود طبيعي بعد الافطار فلا خوف باذن الله,retrieval_coverage_gap
