query_id,query,candidate_answer,reference_answer,bertscore_precision,bertscore_recall,bertscore_f1
unseen100_001,كيف يمكن الدراسة طب الاعشاب؟وماهي المستوي المطلوب؟وهل هنك امكانية للدرسة عن طريق المراسلة,إن زمن البروثرومبين وتركيز البروثرومبين في الدم يتم قياسه من خلال تحليل الدم. إن زمن التخثر هو مقياس للتسلسل التخثري للدم ويتكون من مجموعة من العوامل منها العامل 7، 2(البروثرومبين)، 5، 10، والفيبرينوجين. ويتم إجراء الاختبار عن طريق إضافة الكالسيوم والثرومبوبلاستين، وهو منشط لمسار التخثر، إلى عينة الدم ثم قياس الوقت (بالثواني) اللازم لتكوين الجلطة. وللحصول على نتيجة صحيحة يحب أخذ عينة الدم بالشكل الصحيح عن طريق ملء عينة الدم بالكامل (5 مل)، لأن الأنبوب المملوء بشكل غير كامل قد يؤدي إلى فترة تخثر طويلة بشكل خاطئ مع ضرورة إجراء التحليل خلال ساعتين في حال بقاء العينة في درجة حرارة الغرفة أو خلال 4 ساعات في حال الاحتفاظ بالعينة في الثلاجة. للمزيد: إرشادات غذائية للمرضى الذين يستخدمون مميعات ال...,لا أعرف أن هناك جامعة عربية تدرس طب الأعشاب، وأرجو تصحيحي إذا كنت مخطئا. ولكنها ضمن دراسة جامعية في الصيدلة، وربما في علم النبات.,0.59904,0.654223,0.625416
unseen100_002,ماهو لون الدم في الاوعية الدموية الشعرية نقي ام غير نقي ؟؟,"لا داعي للقلق ولكن ينبغي معرفة تاريخك المرضي واجراء فحص للكشف عن أي علامات سريرية قد تكون موجودة لديك وتساعد في تحديد طبيعة الحالة , فهكذا أعراض ممكن أن تكون ناجمة عن التها ب في الجهاز التنفسي ويمكن تترافق مع فقر الدم أو اضطرابات دموية أو متعلقة بجهاز الدورة الدموية أو غير ذلك ، لذلك ننصحك بمعاودة طبيبك للوقوف على تفاصيل أكثر تسمح بالتشخيص ومن ثم اتخاذ السلوك الطبي الأمثل",المقصود بالدم النقي هو المؤكسد، ويكون الدم الشرياي عادة مؤكسد وعندما يدخا في الشعيرات يكون مؤكسد، ويبدأ بتلقي الدم غير المؤكسد في الشعيرات الوريدية، ويتحول لونه بالتدريج إلى اللون القاتم غير المؤكسد.,0.627483,0.659544,0.643114
unseen100_003,عندي سؤال هل توجدعملية غشاء البكاره الدائمه وكم تدوم فتره طويله وكم تستغرق من الوقت لآجرائهااا,مش صعبة، وتستغرق ثواني لفتح الغشاء، ولا داعي للقلق.,لا يوجد غشاء بكارة دائم، وقد لجأت بعض الشعوب الأفريقية إلى إغلاق فتحة المهبل نهائياً بتخييط طرفي الفتحة، وترك فتحة صعيرة لخروج الدم ، واخترع الصينيين عشاء بكارة مؤقت يمكن وضعه في الليله الأولى لفضه وتمثيل وجود غشاء للبكارة،أما إعادة غشاء البكارة فيعتمد على المدة بعد تمزقه ووجود بقايا يمكن الاستفادة منها لعملية التخييط.,0.716117,0.65077,0.681881
unseen100_004,هل ادوية تخفيف الوزن يؤثر على عملية التبويض و تمنع الحمل؟,يحتوي العلاج على المضاد الحيوي ازيثروميسين و لم تظهر الدراسات الحالية أضراراً على الجنين، يجب استشارة الطبيب قبل أخذ العلاج في حال كانت المريضة حامل أو تخطط للحمل.,ممكن فقدان الوزن بشكل كبير يؤدي لعدم الاباضه و تأخر الدوره,0.650754,0.689764,0.669691
unseen100_005,اعانى ف وقت النوم بالذات بإنتصاب العضو لمده طويله حتى انام وعندما استيقظ نفس الموضوع مع العلم اننى لا اشعر بالراحه الا بالنوم على بطنى بدون ان اثير نفسى جنسيا...,هذا يتطلب معرفة نسبة الضعف الموجود في العضلة القلبية ونسبة التضيق في الثلاثة شرايين المذكورة، كما أنه من الضروري معرفة الحالة الوظيفية لباقي أعضاء الجسم خاصة الكلى والجهاز التنفسي، والكبد وغيره، وفي جميع الأحوال في العادة تُعرض نتائج القثطرة على فريق طبي مُتخصص لتقييم كل هذه الأمور ومن ثم يتم اختيار الطريقة العلاجية التي تتناسب أكثر مع حالة المريض,هذا عادي في عمرك، مارس الرياضة ، وهوايات أخرى مثل المطالعة، وقلل التفكير في الجنس.,0.633556,0.678229,0.655132
unseen100_006,والدى عمل تحليل الالفا فيتو بروتين ونسبته طلعت اعلى من هل ده معناه وجود سرطان 300,الف سلامة انصحك بعمل تحليل بول و نسبة يوريك اسيد و سونار على البطن و الحوض مبدئيا و من ثم مراجعة طبيب مسالك و الاكثار من شرب الماء,لا ينحصر ارتفاع البروتين الجنيني ألفا ( ألفا فيتوبروتين ) بالاصابة بالأورام الخبيثة اذ يرتبط بعوامل مرضية غير سرطانية كتشمع الكبد أو التهاب الكبد وغيرها . ننصح باستشارة الطبيب اتلمختص لتشخيص الحالة,0.67205,0.665012,0.668512
unseen100_007,لدي بشرة دهنية و انا اعاني من النقاط السوداء خاصة علي الانف مالعمل,تحتاجين الى كريم يعيد النضارة والانوثة لك في تلك المنطقة,عليك مراجعة اخصائي جلدية من اجل عمل جلسات تنظيف بشرة وتقشير ووصف العلاج لهذه الحالة,0.660511,0.633147,0.64654
unseen100_008,السلام عليكم انا بدي اتجوز بنت خالي والكن علمن انو املااض الوراثا موجودى عنا بالعيلا علمن انو اخوي حامل مرض فنير كتنوريى عشان ابوي ماخد لنت عمو وكمان عنا اطفال...,بوجود اللقاح تستطيعين الإطمئنان لن ينتقل اذا اتبعنا التعليمات الصحيحة سيتحجم الفيروس بالعلاج ويفقد نشاطه تابعي مع استشاري كبد,في وجود هذه الأمراض العائلية، ابعد عن الشر وغنيله. ولكن يمكن عمل خريطة جينية للزوجين لإوية احتمال انتقال الأمراض.,0.658095,0.681129,0.669414
unseen100_009,كيف يمكن اعادة الانف الى حجمة الطبيعي قبل الحمل والولاده بدون عمليات تجميل وما هو السبب في كبر الانف في هذه المرحله,اذا كنت حامل وما زلت تستعملين اقراص ال بريمولوت ن فيجب ايقافها ، فهناك دراسات اثبتتت انه يمكن ان تؤدي هذه الاقراص الى تشوهات في القلب والاوعيه الدمويه لدى الجنين ، كما انه يمكن ان تؤدي الى تشوهات في الانبوب العصبي والدماغ,ان الانف لايكبر قبل الحمل وانما فى فتره الحمل و الرضاعه يحدش تغيير فشيولوجى,0.634735,0.662678,0.648406
unseen100_010,ولد لي طفل ولديه أصبع سادسه عظميه في كفه الايمن هل لهذا أثار مستقبليه؟,يجب مراجعة اخصائية النسائية لإجراء الفحص السريري,هذه حالة نادرة، ويمكن علاجها بسهولة واستئصال الإصبع السادسة من قبل الجراح، راجع جراح عظام.,0.703896,0.689724,0.696738
