entity_id,canonical_name,canonical_name_norm,entity_type,aliases,mention_count,qa_count,source_chunk_count,average_llm_confidence,source_models,source_origin
ent_diseasecondition_e04a557cb82b,Acanthosis nigricans,acanthosis nigricans,DiseaseCondition,"[""Acanthosis nigricans""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_5f5cc11b7f72,Achondroplasia,achondroplasia,DiseaseCondition,"[""Achondroplasia""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_5adaa861c8c1,Bleharasia,bleharasia,DiseaseCondition,"[""Bilharzia"", ""Bleharasia""]",1,1,1,0.700,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_bea06b58cdde,Genetics,genetics,DiseaseCondition,"[""Genetics""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_8d0f4dc232cb,Growth Hormone,growth hormone,DiseaseCondition,"[""GH"", ""Growth Hormone""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_e70dbd4b1bf0,Hashimot,hashimot,DiseaseCondition,"[""Hashimot"", ""Hashimot's disease""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_81ee665c48f1,Hashimoto,hashimoto,DiseaseCondition,"[""Hashimoto"", ""Hashimotou""]",2,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_d0f36332edfe,Hyperspleenism,hyperspleenism,DiseaseCondition,"[""Hyperspleenism"", ""Hypersplenism""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_85bdadb0e2a2,Hypothyroidism,hypothyroidism,DiseaseCondition,"[""Hypothyroidism"", ""Underactive thyroid""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_ae3dd473a795,Pallister Killian syndrome,pallister killian syndrome,DiseaseCondition,"[""Pallister Killian syndrome""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_d66c4956707a,Rhizomelic and Micromelia,rhizomelic and micromelia,DiseaseCondition,"[""Rhizomelic and Micromelia""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_4c4500ee0d57,ارتجاج دماغي,ارتجاج دماغي,DiseaseCondition,"[""ارتجاج دماغي""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_d570c92436e9,ارتخاء,ارتخاء,DiseaseCondition,"[""ارتخاء""]",3,3,2,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_af6114123652,ارتخاء الصمام الميترالي,ارتخاء الصمام الميترالي,DiseaseCondition,"[""ارتخاء الصمام الميترالي""]",1,1,1,0.950,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_b774b131180f,ارتفاع الكلسترول,ارتفاع الكلسترول,DiseaseCondition,"[""ارتفاع الكلسترول"", ""الدهون الثلاثيه""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_db17a406c72e,ارتفاع ضغط الدم,ارتفاع ضغط الدم,DiseaseCondition,"[""ارتفاع ضغط الدم"", ""حبة"", ""كتلة""]",21,19,10,0.931,"[""llama-3.1-8b-instant""]",new_user_extraction
ent_diseasecondition_7f3c581aaa3e,ارتكاريا,ارتكاريا,DiseaseCondition,"[""ارتكاريا""]",3,3,3,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
ent_diseasecondition_f3982f19c624,ارتياف دعب \u0627لديم,ارتياف دعب \u0627لديم,DiseaseCondition,"[""ارتياف دعب \\u0627لديم"", ""ارتياف دعب الديم""]",1,1,1,0.850,"[""llama-3.1-8b-instant""]",previous_user_extraction
