query_id,category,bertscore_precision,bertscore_recall,bertscore_f1,overall_reliability_score,reliability_label,answerability_label,evidence_coverage,relation_confidence,source_reliability,claim_support_rate,hallucination_rate,qa_fallback_used,answer_reference_overlap,reference_context_overlap,query,candidate_answer,reference_answer,issue_label
unseen100_001,تشوهات خلقية,0.670185,0.666341,0.668257,0.8244,high,answerable,0.1667,0.7143,0.9481,1.0,0.0,no,0.062500,0.086957,السلام عليكم عند مشكلة في كبر الحوض اْي المؤخرة غير متناسقة مع جسمي مشكلتي بدءت في سن 14 سنة لقد راحت مؤخرة تكبرفي مدة قصيرة اْي بضعة اْشهر ومن الوقت...,التقيم بحاجة الى اخذ تاريخ مرضي واضح ومن ثم الفحص السريري واخيرا عمل الفحوصات المخبرية والصورالشعاعية ومن ثم العلاج,قياسات الجسم تتحدد غالباً بالوراثة، وهذه العلامة من النمو هي علامة على خلل في الغدد الصماء، وعليك مراجعة طبيب الغدد الصماء وعمل فحص للهرمونات، لتحديد إمكانية العلاج.,acceptable_similarity
unseen100_002,جراحة المسالك البولية,0.660467,0.642612,0.651417,0.8269,high,answerable,0.1429,0.7511,0.9518,1.0,0.0,no,0.000000,0.000000,السلام عليكم سؤالي هل اجري عملية ترقيع عضو الذكري لطفلي او لا حيث انه بعد ان اجريت عمليه الطهارة لطفلي راه اطباء قال احدهم لابد من عمليه ترقيع للعضو عندما...,اشربي قهوتك و شايك على راحتك مع المحافظة على تنظيف الاسنان.,باعتقادي انه لا بد من اجراء العمليه ومن دون تاخير..... اذ انه كان من الخطأ ان تجرى له عمليه ختان....,acceptable_similarity
unseen100_003,جراحة القلب والشرايين,0.679719,0.664183,0.671861,0.8236,high,answerable,0.1429,0.7314,0.9498,1.0,0.0,no,0.040000,0.000000,عمري 48 عاما قمت بتركيب 4 دعامات في الشريان التاجي منذ شهرين والان بشعر ببعض الدوخة وعدم التركيز علي فترات وغالبا ماتكون اثناء المشي علما باني قمت بقياس الضغط وكان...,كثير من الفتيات يعانن من هذه الأعراض وذلك نتيجة انخفاض الضغط وبالتالي ارتفاع نبضات القلب والشعور بالدوخة والإجهاد وينصح بتناول وجبة الإفطار والإكثار من السوائل والأملاح .. ألف سلامة,"أسباب الدوخة هذه كثيرة وأكثرها شيوعاً امراض الأذن, ومشاكل الفقرات العنقية, وأحياناً الأدوية لذلك ننصحك بمعاودة طبيك المعالج للكشف عن أي علامة سريرية قد تكون موجودة لديك وتساعد في تحديد السببب",acceptable_similarity
unseen100_004,جراحة عامة,0.613264,0.636187,0.624515,0.8105,high,answerable,0.1667,0.6579,0.9125,1.0,0.0,no,0.000000,0.125000,لدي انتفاخ يشبه العرق يمين منطقة العانة لم يكن موجود قبل اسبوع مع العلم امارس رياضة كمال الاجسام من شهر ذهبت لجراح شخص الحالة على انها بداية فتق و آخر...,هذا يتطلب معرفة نسبة الضعف الموجود في العضلة القلبية ونسبة التضيق في الثلاثة شرايين المذكورة، كما أنه من الضروري معرفة الحالة الوظيفية لباقي أعضاء الجسم خاصة الكلى والجهاز التنفسي، والكبد وغيره، وفي جميع الأحوال في ال...,يوجد نوعين من الفتق الاربي المباشر اللي فيه انتفاخ مباشر يزداد بالسعال والاخر غير المباشر يحتاج لفحص بالاصبع,reference_mismatch_or_answer_wording
unseen100_005,الصحة الجنسية,0.613205,0.650495,0.6313,0.8217,high,answerable,0.125,0.7363,0.9503,1.0,0.0,no,0.034483,0.000000,هل الوزن الزائد سبب في قصر القضيب,أعراض فقر الدم تؤثر على جميع أعضاء الجسم دوخه وتوتر زيادة ضربات القلب ضيق في التنفس غثيان وتقي وأحيانا الم في المعدة كسل وخمول اضطرابات في النوم شحوب في البشره وأعراض كثيرة اخري,السمنة تقصر القضيب، فكل زيادة وزم ١٠ كغم تقصر واحد سم من طول القضيب!,retrieval_coverage_gap
unseen100_006,علم السموم,0.617706,0.667287,0.64154,0.6525,medium,answerable,0.0,0.6836,0.0,1.0,0.0,no,0.000000,0.052632,ما هي الأضرار الناتجة عن التعرض لعنصر النيكل؟,يعتقد أن لزيت الحبة السوداء أو ما يعرف بحبة البركة العديد من الفوائد الصحية، والتي تضمن فوائد للجلد، والشعر، والجسم، والمناعة، ولكن لم يتم إثبات فاعلية جميع الفوائد المشهورة للحبة السوداء والمستخدمة في الطب الشعبي، لذ...,صنف النيكل من المواد المسببة لسرطان عند الإنسان، التعرض المزمن للنيكل هو أحد عوامل الخطر للاصابة بسرطان الرئة النيكل هو أكثر المعادن المسببة للحساسية,acceptable_similarity
unseen100_007,أمراض المسالك البولية والتناسلية,0.665554,0.678923,0.672172,0.8096,high,answerable,0.1667,0.6519,0.9119,1.0,0.0,no,0.000000,0.000000,يوجد كتلة في الكلية ١٠ سم وقال الطبيب أنها موجودة منذ ٣ سنوات وتم اكتشافها في أثناء تشخيص حالة المرارة,أنصحك بمراجعة أخصائي الأمراض الداخلية الذي قد يطلب صور شعاعية للرأس من ضمن فحوص أخرى تحياتي,اعمل صورة مرنان مغناطيسي للكلية مع حقن مادة ظليلة وارسل النتيجة,acceptable_similarity
unseen100_008,علم الأجنة,0.590397,0.541346,0.564809,0.777,medium,answerable,0.1429,0.476,0.8943,1.0,0.0,yes,0.000000,0.000000,زوجتي حامل في نهاية شهرها السابع وتبين من صور الأشعة السينية أن الجنين يعاني من متلازمة Chiari من الدرجة الثانية، : هل من الممكن الحصول على قائمة بأسماء مراكز طبية...,كيف تحمل وهي حامل في السادس...؟؟...!!,نعم هنالك عدد من اختصاصي جراحة الاكفاء في عمان الرجاء الاتصال بنا لدى حضوركم وسوف نقوم بالاتمام شخصيا لانتقاء افضل اطباء جراحي الاطفال لاجراء العمليه. د.سليمان ضبيط مدير وحدة الاخصاب والوراثة +962-6-4647217 +962-6-464...,retrieval_coverage_gap
unseen100_009,أمراض الغدد الصماء,0.665603,0.697268,0.681067,0.7723,medium,answerable,0.125,0.4641,0.8931,1.0,0.0,yes,0.062500,0.181818,عندي فرط في تعرق اليدين والقدمين ويحدث تعرق لمناطق اخري كثير ولكن اريد حل لليدين والقدمين,الحل اما علاج درايسول محلول يوميا ليلا ثم اسبوعيا او العلاج الحديث بابر البوتوكس الموضعيه باشراف طبيب جلديه,اعمل تحاليل الغدة الدرقية اذا كانت طبيعية راجع طبيب أمراض الجلدية,acceptable_similarity
unseen100_010,أرجية حساسية,0.645072,0.669763,0.657185,0.8523,high,answerable,0.1111,0.9101,0.9943,1.0,0.0,no,0.019608,0.000000,اعاني من حكه بالبطن واحمرار وكذلك الوجه واليدين وانتفاخ البطن ولاتوجد حبوب مع العلم اني اتناول ادويه للضغط والسكر ومسيل الدم واسبرين,هذا يتطلب معرفة نسبة الضعف الموجود في العضلة القلبية ونسبة التضيق في الثلاثة شرايين المذكورة، كما أنه من الضروري معرفة الحالة الوظيفية لباقي أعضاء الجسم خاصة الكلى والجهاز التنفسي، والكبد وغيره، وفي جميع الأحوال في ال...,حساسيه الارتكاريا لابد من معرفة اخر شي تم التعرض له من غذاء ودواء او مسببات في الجو لابد من مراجعة طبيب حساسيه,acceptable_similarity
unseen100_011,البشرة والجمال,0.642825,0.575452,0.607276,0.7907,medium,answerable,0.1429,0.5593,0.9026,1.0,0.0,no,0.142857,0.065421,اعاني من خشونه المنطقه الحساسه حتى عند نزع الشعر بالحلاوة ماهو السبب ؟,أعراض التهاب وحساسيه الجيوب الانفيه لابد من استخدام الادويه المناسبه بعد الفحص عند طبيب ENT,لتفادي ظهور الحبوب بعد الحلاقة: تظهرالحبوب وتحدث الخشونة بسبب أن الشعر عندما يبدأ بالنمو والظهور نكون الشعرة مثل الشوكة فتسبب الحكة فتثير بصيلات وجراب الشعر فتتكون الحبوب. والحل هو ان لا تحلقي الشعر بالشفرة وتنعميه تم...,retrieval_coverage_gap
unseen100_012,كيمياء,0.635747,0.636967,0.636356,0.7847,medium,answerable,0.1667,0.5015,0.8968,1.0,0.0,no,0.039216,0.045455,اريد ان اسال عن كيفية استعمال ملح بيكاربونات الصوديوم للتشطيف اقصد ماهي نسب الملح بالنسبة للماء وكم مرة يستخدم باليوم للقضاء على الفطريات بانتظار الرد تحياتي,"ان ارتفاع ال CRP وكذلك ارتفاع كريات الدم البيضاء يدل على وجود التهاب( انفلونزا, التهاب باللثه ,وغيرها....), ولكن اذا كان ال CRP هو فقط ايجابي او حتى مرتفع حتى 10 فيمكن ان يعتبر طبيعياً وكذلك ارتفاع الكريات الدم البيضا...",يفضل التشطيف بالماء والملح 9بالالف اي 9 غم ملح لكل لتر ، او بالمطهرات المنزلية المعروفة مخففة جدا يعني كاسة شاي في كل لتر ماء مثل ديتول او ريكسول او غيرهما ، 3 مرات يوميا ولكن لابد من استخدام دواء مضاد للفطريات مثل ما...,retrieval_coverage_gap
unseen100_013,الطب الوقائي,0.677827,0.58277,0.626714,0.804,high,answerable,0.125,0.6559,0.9123,1.0,0.0,no,0.000000,0.015748,"Salam alikom, O3ani min mochkil l3ara9 ta7ta L2ibt , wa yountijo 3an dalika ra2i7a kariha . bimadana tansa7ounani",يجب اجراء الفحص السريري و الفحوصات المخبرية لتحديد السبب ثم العلاج,1- مضادات التعرق مثل الدرايسول ، ويمكن وضعه على اليدين والإبكين في الليل وإزالته في الصباح.ويمكن أن تكون مفيدة في الحالات الخفيفة. 2- محلول كلوريد اللومينيوم والذي يوجد في السوق تحت أسماء متعددة . 3- بوتوكس النوع أ وه...,retrieval_coverage_gap
unseen100_014,تشخيص,0.603229,0.46686,0.526355,0.789,medium,answerable,0.1111,0.5502,0.9317,1.0,0.0,yes,0.000000,0.026490,انا عمري ١٤ وتؤلمني الخصية اليسرى مالسبب,هذا طبيعي,"١-أسباب في الخصية نفسها (داخل كيس الصفن), مثل الدوالي أو إلتهابات البربخ و الخصية أو كيس موجود داخل كيس الصفن. أو بسبب ورم في الخصية حميد ، أو خبيث. ٢-كما قد يكون ناجماً عن دوالي في الخصية، أو قيلة مائية في الصفن تضغط...",retrieval_coverage_gap
