query_id,query,query_group,reference_answer,category,ahd_row_index,sampling_seed,annotation_status
unseen100_001,كيف يمكن الدراسة طب الاعشاب؟وماهي المستوي المطلوب؟وهل هنك امكانية للدرسة عن طريق المراسلة,unseen_random_stratified_100,لا أعرف أن هناك جامعة عربية تدرس طب الأعشاب، وأرجو تصحيحي إذا كنت مخطئا. ولكنها ضمن دراسة جامعية في الصيدلة، وربما في علم النبات.,أعشاب طبية,804117,20260728,source_answer_reference_not_human_adjudicated
unseen100_002,ماهو لون الدم في الاوعية الدموية الشعرية نقي ام غير نقي ؟؟,unseen_random_stratified_100,المقصود بالدم النقي هو المؤكسد، ويكون الدم الشرياي عادة مؤكسد وعندما يدخا في الشعيرات يكون مؤكسد، ويبدأ بتلقي الدم غير المؤكسد في الشعيرات الوريدية، ويتحول لونه بالتدريج إلى اللون القاتم غير المؤكسد.,علم الأحياء,772295,20260728,source_answer_reference_not_human_adjudicated
unseen100_003,"عندي سؤال
هل توجدعملية غشاء البكاره الدائمه
وكم تدوم فتره طويله
وكم تستغرق من الوقت لآجرائهااا",unseen_random_stratified_100,لا يوجد غشاء بكارة دائم، وقد لجأت بعض الشعوب الأفريقية إلى إغلاق فتحة المهبل نهائياً بتخييط طرفي الفتحة، وترك فتحة صعيرة لخروج الدم ، واخترع الصينيين عشاء بكارة مؤقت يمكن وضعه في الليله الأولى لفضه وتمثيل وجود غشاء للبكارة،أما إعادة غشاء البكارة فيعتمد على المدة بعد تمزقه ووجود بقايا يمكن الاستفادة منها لعملية التخييط.,جراحة نسائية,797877,20260728,source_answer_reference_not_human_adjudicated
unseen100_004,هل ادوية تخفيف الوزن يؤثر على عملية التبويض و تمنع الحمل؟,unseen_random_stratified_100,ممكن فقدان الوزن بشكل كبير يؤدي لعدم الاباضه و تأخر الدوره,الحمل والولادة,717587,20260728,source_answer_reference_not_human_adjudicated
unseen100_005,اعانى ف وقت النوم بالذات بإنتصاب العضو لمده طويله حتى انام وعندما استيقظ نفس الموضوع مع العلم اننى لا اشعر بالراحه الا بالنوم على بطنى بدون ان اثير نفسى جنسيا...,unseen_random_stratified_100,هذا عادي في عمرك، مارس الرياضة ، وهوايات أخرى مثل المطالعة، وقلل التفكير في الجنس.,الأمراض الجنسية,756669,20260728,source_answer_reference_not_human_adjudicated
unseen100_006,والدى عمل تحليل الالفا فيتو بروتين ونسبته طلعت اعلى من هل ده معناه وجود سرطان 300,unseen_random_stratified_100,لا ينحصر ارتفاع البروتين الجنيني ألفا ( ألفا فيتوبروتين ) بالاصابة بالأورام الخبيثة اذ يرتبط بعوامل مرضية غير سرطانية كتشمع الكبد أو التهاب الكبد وغيرها . ننصح باستشارة الطبيب اتلمختص لتشخيص الحالة,مختبر,736860,20260728,source_answer_reference_not_human_adjudicated
unseen100_007,لدي بشرة دهنية و انا اعاني من النقاط السوداء خاصة علي الانف مالعمل,unseen_random_stratified_100,عليك مراجعة اخصائي جلدية من اجل عمل جلسات تنظيف بشرة وتقشير ووصف العلاج لهذه الحالة,علاج طبيعي,745659,20260728,source_answer_reference_not_human_adjudicated
unseen100_008,السلام عليكم انا بدي اتجوز بنت خالي والكن علمن انو املااض الوراثا موجودى عنا بالعيلا علمن انو اخوي حامل مرض فنير كتنوريى عشان ابوي ماخد لنت عمو وكمان عنا اطفال...,unseen_random_stratified_100,في وجود هذه الأمراض العائلية، ابعد عن الشر وغنيله. ولكن يمكن عمل خريطة جينية للزوجين لإوية احتمال انتقال الأمراض.,علم الوراثة,767485,20260728,source_answer_reference_not_human_adjudicated
unseen100_009,"كيف يمكن اعادة الانف الى حجمة الطبيعي قبل الحمل والولاده بدون عمليات تجميل
وما هو السبب في كبر الانف في هذه المرحله",unseen_random_stratified_100,ان الانف لايكبر قبل الحمل وانما فى فتره الحمل و الرضاعه يحدش تغيير فشيولوجى,علم الأنسجة,773125,20260728,source_answer_reference_not_human_adjudicated
unseen100_010,ولد لي طفل ولديه أصبع سادسه عظميه في كفه الايمن هل لهذا أثار مستقبليه؟,unseen_random_stratified_100,هذه حالة نادرة، ويمكن علاجها بسهولة واستئصال الإصبع السادسة من قبل الجراح، راجع جراح عظام.,تشوهات خلقية,779116,20260728,source_answer_reference_not_human_adjudicated
unseen100_011,هل يوجد ضرر من استخدامي فيتامينات برايورين لتقوية الشعر ومنع التساقط وانا مرضعة علماً بان عمر طفلي ستة اشهر ونص,unseen_random_stratified_100,لم تجري ابحاث معتمدة حتى الان عن امكانية استعماله خلال الحمل او الارضاع وهذا يعني انه يفضل تجنبه لان تاثيره غير معروف. يجب استشارة الطبيب او الصيدلاني قبل اخذ المكملات على اية حال,فيتامينات و معادن,673136,20260728,source_answer_reference_not_human_adjudicated
unseen100_012,أشعر بما يشبه الحكة على الشفرتين من الخارج .. تظهر وتختفي علما أنني أغسل وأجفف المنطقة يوميا.. ماذا أفعل,unseen_random_stratified_100,غالبا التهابات فطريه تحتاجين للذهاب لطبيب للفحص واعطاءك علاج مناسب,أمراض نسائية,277196,20260728,source_answer_reference_not_human_adjudicated
unseen100_013,انا عندي التهاب بضرسي والدكتوره وصفت لي كلافوس625ملجم وانا عندي التهاب كبدي سي بس خامل هل استخدم المضاد الحيوي ولا اوقفه؟,unseen_random_stratified_100,"يحتوي دواء كلافوس على المادة الفعالة أموكسيسيللين و كلافولانيك أسيد الذي يعتبر أحد المضادات الحيوية والذي ينتمي إلى عائلة البنسيللين. ومن الجدير بالذكر أنه يتم طرح الدواء خارج الجسم بالبول عن طريق الكلى، إلا أنه يؤدي في حالات نادرة إلى خلل في وظائف الكبد مثل اليرقان أو التهاب الكبد خاصة للمرضى الذين يعانون من مشاكل في الكبد مثل التهاب الكبد سي في حالتك. وتشير الدراسات أنه يمكن استخدامه بحذر تحت إشراف الطبيب المختص فقط مع ضرورة مراقبة وظائف الكبد قبل وخلال تناول الدواء على فترات منتظمة.
كما يجب العلم أنه يوجد بعض الحالات التي تعتبر من موانع الاستخدام لهذا الدواء مثل وجود تاريخ لليرقان أو اختلال وظائف الكبد مع العلاج بهذا الدواء. يفضل الرجوع للطبيب بعد عمل الفحوصات الخاصة بوظائف الكبد من أجل اتخاذ قرار باستخدام الدواء أو الاستعاضة عنه ببديل آخر أكثر أماناً.
للمزيد:

التهاب الكبد الوبائي الفيروسي والاسنان

المرجع:

Amoxicillin and Clavulanate
Amoxicillin-clavulanic acid–induced hepatitis",الامراض المعدية,709963,20260728,source_answer_reference_not_human_adjudicated
unseen100_014,ما هي فوائد فول الصويا ، وكيف نستعمله,unseen_random_stratified_100,"فول الصويا هو أحد أنواع البقوليات الشائعة في منطقة شرق آسيا. يتكون فول الصويا من البروتين بنسبة 36 % , 30 % من الكربوهيدرات ومحتوى جيد من المعادن , الفيتامينات , الألياف الغذائية اضافة الى الزيت بنسبة 20 % . أشارت الدراسات الحديثة الى دور فول الصويا في التقليل من خطر الاصابة بأمراض القلب والشرايين وسرطان البروستات , القولون والثدي , كما يُعد عاملاً للوقاية من الاصابة بهشاشة العظام المرافقة لانقطاع الطمث عند السيدات ويُخفف من حدة الهبات الساخنة المرافقة لهذه المرحلة .",علم النبات,784335,20260728,source_answer_reference_not_human_adjudicated
unseen100_015,ما معني كلمة sympathatic,unseen_random_stratified_100,معناها : تعاطفي، ودي,علم الأمراض,807386,20260728,source_answer_reference_not_human_adjudicated
unseen100_016,للاشخاص الي ليدهم حساسية الصدر من الغبار والرطوبة ما هو افضل علاج يمكن اخدة عند تهيج الصدر وضيق التنفس ...,unseen_random_stratified_100,العلاج يكون عن طريق طبيب,أرجية حساسية,373645,20260728,source_answer_reference_not_human_adjudicated
unseen100_017,السلام عليكم .. انا شاب في 20 من عمري كنت اعاني من ضعف في النمو الا اني في الاونه الاخيره نميت بشكل لا بأس به ولكني اعاني قصرا في الطول...,unseen_random_stratified_100,طولك يعتبر ضمن الطبيعي وبإمكانك استشارة طبيب غدد صم,جراحة العظام,606300,20260728,source_answer_reference_not_human_adjudicated
unseen100_018,تظهر في جسدي مرات بقع دموية لا تالم و تختفي بعد يوم وانا لا اعاني من حمى او اي الم او دوخة و لا ارهاق و انا ام مرضع ما...,unseen_random_stratified_100,ان كانت متكررة يجب الذهاب الي الطبيب لرؤية هذه البقع الدموية و شكلها و لونها ، من المحتمل ان تكون هناك مشكلة في الصفائح الدموية او في سيولة الدم,الطب العام,205477,20260728,source_answer_reference_not_human_adjudicated
