mention_id,entity_id,canonical_name,entity_type,chunk_id,qa_id,source_row_number,surface_form,field,evidence,extraction_method,provider,model,confidence,llm_confidence,prompt_version
men_merge_0000001,ent_merge_000776,حكة,Symptom,chunk_00001,ahd10k_03415,771586,حكه,question,لدي حكه في فصل الشتاء,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000002,ent_merge_000034,إكزيما,DiseaseCondition,chunk_00001,ahd10k_06261,769465,اكزيما,answer,ممكن ان تكون تعاني من اكزيما في اليد,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000003,ent_merge_000326,حساسية,DiseaseCondition,chunk_00001,ahd10k_03415,771586,أرجية حساسية,unknown,أرجية حساسية,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.850,,
men_merge_0000004,ent_merge_000311,جفاف البشرة,DiseaseCondition,chunk_00002,ahd10k_00440,789734,جفاف البشرة,answer,لترطيب البشرة فهذا يعني أنها جافة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000005,ent_merge_001506,فيتامين ج,Treatment,chunk_00002,ahd10k_00440,789734,فيتامين ج,answer,الحرص على تناول فيتامين ج,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000006,ent_merge_001506,فيتامين ج,Treatment,chunk_00002,ahd10k_01267,747430,فيتامين ج,answer,المعروف أن الحمضيات غنية بفيتامين ج,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000007,ent_merge_001502,فيتامين أ,Treatment,chunk_00002,ahd10k_00440,789734,فيتامين أ,answer,الحرص على تناول فيتامين ج و أ,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.950,,
men_merge_0000008,ent_merge_000776,حكة,Symptom,chunk_00002,ahd10k_00440,789734,حكة,answer,تظهر بها بعض الخطوط الصغيرة الحمراء,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.700,,
men_merge_0000010,ent_merge_000260,تشقق الجلد,DiseaseCondition,chunk_00003,ahd10k_06287,98412,تشقق الجلد,question,تشقق الجلد في هذه المنطقة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
men_merge_0000011,ent_merge_000766,حرقان,Symptom,chunk_00003,ahd10k_06287,98412,حرقان,question,أشعر بألم وحرقان في الفتحة,llm_structured_entity_extraction,groq,llama-3.3-70b-versatile,0.900,,
