query_id,query,query_group,reference_answer,gold_entity_ids,gold_evidence_ids,gold_qa_ids,gold_relation_ids,answerable_from_final_graph,annotation_status,annotator_id,adjudicator_id,annotation_notes
entitygtv1_001,لدى الم فى اسفل راسى ورقبتى والم فى اسنانى حيث ان اخر دروس العقل يظهر وشاهدت اللثه بها التهاب هل سبب الم الراس والرقبه يمكن ان يكون ورائه الم الاسنان,entity_ground_truth,احتمال وارد وقد يترافق مع أسباب أخرى من المفضل استشارة طبيب أسنان بالفحص السرير ي والشعاعي ليتم التشخيص أو قد يلزم استعانة أخصائي آخر حسب ما تطلبه الحالة,ent_merge_000059,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_002,هل يفيد مسحوق العرقسوس في حالة البحة الصوتية؟ وبشكل عام ما هي فوائد عرق السوس واضراره؟,entity_ground_truth,"نعم، يُعتقد أن عرق السوس يساهم في التخفيف من أعراض التهاب الحلق والحنجرة، مما يساهم بدوره في التخفيف من أعراض بحة الصوت، أما بالنسبة لفوائد عرق السوس على الصحة بشكل عام فقد تتضمن الآتي:

مضاد للالتهابات: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للالتهابات، والتي يمكن أن تساعد في تخفيف الالتهابات في الجسم، مثل التهاب الحلق، والتهاب المفاصل، والتهاب الجلد.
مسكن للألم: يحتوي عرق السوس أيضًا على مركبات نباتية لها خصائص مسكنة للألم، والتي يمكن أن تساعد في تخفيف الآلام الخفيفة إلى المتوسطة، مثل الصداع، وآلام الأسنان، وآلام العضلات.
مضاد للأكسدة: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للأكسدة، والتي يمكن أن تساعد في حماية الجسم من تلف الخلايا الناجم عن الجذور الحرة.
منشط للجهاز المناعي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تعزيز الجهاز المناعي، مما قد يساعد في الوقاية من العدوى.
مفيد لصحة الجهاز الهضمي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تخفيف الإمساك، وتحسين الهضم، وحماية المعدة والأمعاء من التلف.
مفيد لصحة القلب والأوعية الدموية: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في خفض ضغط الدم، وتحسين صحة الأوعية الدموية، وحماية القلب من الأمراض.
مفيد لصحة الكبد: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في حماية الكبد من التلف، وتحسين وظائف الكبد.

أما بالنسبة لأضرار عرق السوس على الجسم فإنها قد تظهر نتيجة الإفراط في استخدام عرق السوس أو استخدام عرق السوس من قبل بعض الأشخاص الذين يتناولون بعض الأدوية أو يعانون من بعض الأمراض المزمنة، وقد تتضمن أضرار عرق السوس الآتي:

ارتفاع ضغط الدم: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى ارتفاع ضغط الدم، وخاصةً لدى الأشخاص الذين يعانون من ارتفاع ضغط الدم بالفعل.
انخفاض مستويات البوتاسيوم: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى انخفاض مستويات البوتاسيوم في الجسم، مما قد يؤدي إلى مشاكل في القلب، والعضلات، والجهاز العصبي.
احتباس السوائل: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى احتباس السوائل في الجسم، مما قد يؤدي إلى تورم، وزيادة الوزن، ومشاكل في القلب.

للمزيد:

ما هي أهم فوائد عرق السوس للشعر والصحة العامة
عرق السوس والسكري فوائد مواد فعالة واثار جانبية",ent_merge_001455,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=2 mapped_graph_entities=1
entitygtv1_003,قعدت تقريبا سنة ما بقدر امشي لحالي لازم حدا يمسك ايدي لاني كنت عامل عملية لورم على جذع الدماغ انا بداية مرضي كنت بمشي بصعوبة جدا فكنت محتاجة لحدا يساعدني...,entity_ground_truth,ابدئي بالتمرين على الاستقلال والمشي وحدك، يمكن أن تحاولي في البداية الاستعانة بالمشاية walker ثم تستغنين عنها بعد حين، ولكن البداية هي الاستقلال النفسي والاقتناع بقدرتك الذاتية، ثم الإصرار عليها والمتابعة حتى الاستقلال الكلي. تماماً مثل السياسة.مع تمنياتي بالشفاء.,ent_merge_001596,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_004,أحس بنبض قوي في بطني فوق السرة وتحت عظام الصدر ويزيد بعد الأكل وبعد أي جد عضلي مع حرقان ؟؟ ما السبب ؟؟,entity_ground_truth,يبدو أن عندك إلتهاب بسيط في جدار المعدة، والأسباب معظمها غير معروف ، ولكن هناك التدخين وبعض الأدوية مثل الأسبرين ،وتناول الحوامص والحار . العلاج : تناول مضادات الحموضة ومضادات للتقلص ومهدئات للامعاء، ومضادات حيوية لجرثومة الهيليكوباكتر في حال وجودها بالاضافة إلى تجنب الأطعمة الحارة والحوامض والمشروبات الغازية والبهارات وزبادة عدد الوجبات وتقليل كمية الأكل، والأكل ببطء ومضغ الطعام جيدا وتجنب العلكة والدخان ، وعدم الاضطجاع أثناء أو بعد الأكل,ent_merge_001343,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_005,"السلام عليكم. علاج السواد الرقبه والشيب المبكر؟
أفيدوني بارك الله فيكم",entity_ground_truth,بالنسبة للأماكن الداكنة بالرقبة ... يجب الاهتمام بنظافة الرقبة و جفافها من العرق ... كما يجب تجنب التعرض لضوء النهار ... هذه أهم خطوة لتجنب اسمرار البشرة فى هذه المنطقة يمكن استخدام بعض كريمات التفتيح بعد استشارة الطبيب أما شيب الشعر ...فربما يكون علاجه صعبا ... و يمكن فقط طمس اللون باستخدام الصبغة المناسبة او الحناء,ent_merge_000148,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_006,انا عمري 23 سنه وكنت امارس العاده السريه منذ 3 شهرور تقريبا ولاكن ليسا باستمرار .وانا خائفه جدا لان دورتي انقطاعت منذ شهر ولاكن في نفس يوم الدوره احسست بالاعراض...,entity_ground_truth,هناك عده اسباب لعدم انتظام الدوره الشهريه ومنها  ١. القلق والتوتر ٢. خلل في النظام الغذائي ٣. تكيس على المبايض ٤.خلل في هرمونات الجسم مثل : ١.زياده في هرمون الحليب ٢. خلل في هرمونات الغده النخاميه ٣. خلل في الهرمونات التي تفرزها الغده الدرقيه، والهيبوثلامس ٤. ارتفاع في الهرمون الذكري  لذلك انصحك بمراجعه اخصائي نسائيه لاجراء الفحوصات الهرمونيه اللازمه وكذلك فحص بجهاز الموجات الفوق صوتيه للرحم والمبايض لتشخيص حالتك.,ent_merge_000670,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=2 mapped_graph_entities=1 unresolved_entities=عدم انتظام الدوره الشهريه
entitygtv1_007,كيفية تصغير الثدى ؟؟,entity_ground_truth,"شد الصدر ورفعه بواسطة عملية جراحية تجميلية عند اختصاصي جراحة التجميل ، ففي حالة كبر حجمه وترهله وارتخائه لأسفل تجرى له
جراحة تصغير و شد او تجميل الثدي
فكرة العملية:
تقليل حجم الثدى ورفعة إما بأزالة الجلد الزائد أو الدهن الزائد أو كليهما
زمن العملية:ساعة إلى ثلاث ساعات
 اسباب العمليه:
كبر حجم الثدى و سقوطه قد يؤدى لآلام بالظهر والكتيفين و مشاكل فى الملابس المناسبة و مشاكل نفسية لدى المرأة يتم أزالة جزء من الجلد لرفع الثدى يتم أزالة جزء من الدهن والجلد لتقليل حجم الثدى بعد العملية:تختفى هذه المشاكل كلها مقابل ندبة أسفل الثدى
وأما إذا كان حجم الثدي صغيرا فيحتاج إلى عملية تكبير ورفع وعملية التكبير تتم بحقن الثدي بالماء المالح أو بالسيليكون",ent_merge_001360,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_008,كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,entity_ground_truth,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية.راجعي اختصاصي تجميل.,ent_merge_002050,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_009,هل زوتريم اقل فى الاعراض الجانبية فى التخسيس وهل عند ايقاف الكورس يعود الوزن مرة اخرى ؟ وشكرا,entity_ground_truth,من الاثار الجانبية لزوتريم هي فقدان الشهية، ارتفاع ضغط الدم، والعصبية، والتوتر والهزات، والإسهال، والغثيان، ومشاكل في المعدة، وسلس البول، والجفاف، وربما التفاعلات مع بعض الأدوية والوصفات الطبية. ولنتائج أكثر إيجابية يجب دمجها مع تمارين بدنية منتظمة و تقليل الطعام كي لا يعود الوزن الذي تم فقده في حالة التوقف عن اخذه ولا يجب تناوله دون استشارة الطبيب,ent_merge_001424|ent_merge_000859,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=2 mapped_graph_entities=2
entitygtv1_010,هل الاولاد الذين يولدون بعد سبعة اشهر من الحمل يكونون معرضون للعقم فى الكبر ؟,entity_ground_truth,يرجى تحويل السؤال لإختصاصي أمراض النسائية,ent_merge_000157,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=1 mapped_graph_entities=1
entitygtv1_011,ما هي مضار الصوف الصخري عند لمسه و استنشاقه؟,entity_ground_truth,"يستخدم الصوف الصخري في عزل البناء، ويتم انتاجه عن طريق أكاسيد معدنية وطبيعية. يتعرض العمال والأشخاص الذين يتعاملون معه بشكل كبير إلى أضراره والتي تحدث خلال فترة زمنية قصيرة (بالإنجليزية: Acute) أو فترة زمينة طويلة (بالإنجليزية: Chronic). 
فمن أضرار الصوف الصخري على الإنسان والتي تحدث عند ملامسته مباشرة ما يلي: 

تهيج واحمرار في الجلد والعينين: يؤدي تعرض للصوف الصخري في بعض الأحيان إلى التهاب الجلد والعينين، حيث تظهر الأعراض التالية: حكة، واحمرار، وتقشر، وظهور فقاعات مائية، وغيرها من التغيرات الجلدية. 
تهيج الجهاز التنفسي: يمكن أن تظهر بعض أعراض تهيج الجهاز التنفسي بعد استنشاق الصوف الصخري، مثل السعال، والتهاب الحلق، وحكة الأنف، واحتقان الأنف. 
الإصابة بالعدوى: قد تجرح الألياف الحادة من الصوف الصخري الجلد، وبالتالي يزيد من خطر دخول الجراثيم المسببة للعدوى. 

ومن أضرار الصوف الصخري على الإنسان والتي تحدث عند التعرض لفترات طويلة: 

زيادة من خطر الإصابة تليف الرئتين (بالإنجليزية: Lung fibrosis).
زيادة من خطر الإصابة بالتهاب الرئوي والتهاب الجنبي (بالإنجليزية: Pleural inflammation).
صنفت الوكالة الدولية لبحوث السرطان (IARC) الصوف الصخري كمادة غير مسببة للسرطان.
لا توجد دراسات كافية على تأثير الصوف الصخري على صحة الإنجاب.

لذا لمنع تعرض الجلد والجهاز التنفسي للصوف الصخري، وللتقليل من أضراره ينصح بأن يرتدي أولئك الذين يتعاملون مع الصوف الصخري قفازات واقية، وكمامة أو قناع مانع للاستنشاق، ونظارات واقية.
للمزيد:

أسباب وعلاج احمرار الجلد
تقشر الجلد: أسباب وعلاجات طبيعية
أشياء غير متوقعة تسبب حساسية الجلد

المراجع: 

Carcinogenicity of the insulation wools: Reassessment of the IARC evaluation
Health Hazards of Rockwool
Lung Cancer among Rock and Slag Wool Production Workers",,,,,,annotated,source_entity_ground_truth,,Human entity name/type ground truth from ground_truth_entities_100.csv. Graph IDs mapped deterministically by normalized name and entity type. Exact-question QA artifacts must be removed by the evaluation leakage guard. source_entity_rows=2 mapped_graph_entities=0 unresolved_entities=التهاب الجلد|التهاب الجلد
