question,answer,entity_type,canonical_name
لدى الم فى اسفل راسى ورقبتى والم فى اسنانى حيث ان اخر دروس العقل يظهر وشاهدت اللثه بها التهاب هل سبب الم الراس والرقبه يمكن ان يكون ورائه الم الاسنان,احتمال وارد وقد يترافق مع أسباب أخرى من المفضل استشارة طبيب أسنان بالفحص السرير ي والشعاعي ليتم التشخيص أو قد يلزم استعانة أخصائي آخر حسب ما تطلبه الحالة,DiseaseCondition,التهاب
هل يفيد مسحوق العرقسوس في حالة البحة الصوتية؟ وبشكل عام ما هي فوائد عرق السوس واضراره؟,"نعم، يُعتقد أن عرق السوس يساهم في التخفيف من أعراض التهاب الحلق والحنجرة، مما يساهم بدوره في التخفيف من أعراض بحة الصوت، أما بالنسبة لفوائد عرق السوس على الصحة بشكل عام فقد تتضمن الآتي:

مضاد للالتهابات: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للالتهابات، والتي يمكن أن تساعد في تخفيف الالتهابات في الجسم، مثل التهاب الحلق، والتهاب المفاصل، والتهاب الجلد.
مسكن للألم: يحتوي عرق السوس أيضًا على مركبات نباتية لها خصائص مسكنة للألم، والتي يمكن أن تساعد في تخفيف الآلام الخفيفة إلى المتوسطة، مثل الصداع، وآلام الأسنان، وآلام العضلات.
مضاد للأكسدة: يحتوي عرق السوس على مركبات نباتية لها خصائص مضادة للأكسدة، والتي يمكن أن تساعد في حماية الجسم من تلف الخلايا الناجم عن الجذور الحرة.
منشط للجهاز المناعي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تعزيز الجهاز المناعي، مما قد يساعد في الوقاية من العدوى.
مفيد لصحة الجهاز الهضمي: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في تخفيف الإمساك، وتحسين الهضم، وحماية المعدة والأمعاء من التلف.
مفيد لصحة القلب والأوعية الدموية: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في خفض ضغط الدم، وتحسين صحة الأوعية الدموية، وحماية القلب من الأمراض.
مفيد لصحة الكبد: يحتوي عرق السوس على مركبات نباتية يمكن أن تساعد في حماية الكبد من التلف، وتحسين وظائف الكبد.

أما بالنسبة لأضرار عرق السوس على الجسم فإنها قد تظهر نتيجة الإفراط في استخدام عرق السوس أو استخدام عرق السوس من قبل بعض الأشخاص الذين يتناولون بعض الأدوية أو يعانون من بعض الأمراض المزمنة، وقد تتضمن أضرار عرق السوس الآتي:

ارتفاع ضغط الدم: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى ارتفاع ضغط الدم، وخاصةً لدى الأشخاص الذين يعانون من ارتفاع ضغط الدم بالفعل.
انخفاض مستويات البوتاسيوم: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى انخفاض مستويات البوتاسيوم في الجسم، مما قد يؤدي إلى مشاكل في القلب، والعضلات، والجهاز العصبي.
احتباس السوائل: يمكن أن يؤدي تناول عرق السوس بكميات كبيرة إلى احتباس السوائل في الجسم، مما قد يؤدي إلى تورم، وزيادة الوزن، ومشاكل في القلب.

للمزيد:

ما هي أهم فوائد عرق السوس للشعر والصحة العامة
عرق السوس والسكري فوائد مواد فعالة واثار جانبية",Treatment,عرق السوس
قعدت تقريبا سنة ما بقدر امشي لحالي لازم حدا يمسك ايدي لاني كنت عامل عملية لورم على جذع الدماغ انا بداية مرضي كنت بمشي بصعوبة جدا فكنت محتاجة لحدا يساعدني...,ابدئي بالتمرين على الاستقلال والمشي وحدك، يمكن أن تحاولي في البداية الاستعانة بالمشاية walker ثم تستغنين عنها بعد حين، ولكن البداية هي الاستقلال النفسي والاقتناع بقدرتك الذاتية، ثم الإصرار عليها والمتابعة حتى الاستقلال الكلي. تماماً مثل السياسة.مع تمنياتي بالشفاء.,Treatment,مشاية
أحس بنبض قوي في بطني فوق السرة وتحت عظام الصدر ويزيد بعد الأكل وبعد أي جد عضلي مع حرقان ؟؟ ما السبب ؟؟,يبدو أن عندك إلتهاب بسيط في جدار المعدة، والأسباب معظمها غير معروف ، ولكن هناك التدخين وبعض الأدوية مثل الأسبرين ،وتناول الحوامص والحار . العلاج : تناول مضادات الحموضة ومضادات للتقلص ومهدئات للامعاء، ومضادات حيوية لجرثومة الهيليكوباكتر في حال وجودها بالاضافة إلى تجنب الأطعمة الحارة والحوامض والمشروبات الغازية والبهارات وزبادة عدد الوجبات وتقليل كمية الأكل، والأكل ببطء ومضغ الطعام جيدا وتجنب العلكة والدخان ، وعدم الاضطجاع أثناء أو بعد الأكل,Treatment,تناول مضادات الحموضة
"السلام عليكم. علاج السواد الرقبه والشيب المبكر؟
أفيدوني بارك الله فيكم",بالنسبة للأماكن الداكنة بالرقبة ... يجب الاهتمام بنظافة الرقبة و جفافها من العرق ... كما يجب تجنب التعرض لضوء النهار ... هذه أهم خطوة لتجنب اسمرار البشرة فى هذه المنطقة يمكن استخدام بعض كريمات التفتيح بعد استشارة الطبيب أما شيب الشعر ...فربما يكون علاجه صعبا ... و يمكن فقط طمس اللون باستخدام الصبغة المناسبة او الحناء,DiseaseCondition,الشيب
انا عمري 23 سنه وكنت امارس العاده السريه منذ 3 شهرور تقريبا ولاكن ليسا باستمرار .وانا خائفه جدا لان دورتي انقطاعت منذ شهر ولاكن في نفس يوم الدوره احسست بالاعراض...,هناك عده اسباب لعدم انتظام الدوره الشهريه ومنها  ١. القلق والتوتر ٢. خلل في النظام الغذائي ٣. تكيس على المبايض ٤.خلل في هرمونات الجسم مثل : ١.زياده في هرمون الحليب ٢. خلل في هرمونات الغده النخاميه ٣. خلل في الهرمونات التي تفرزها الغده الدرقيه، والهيبوثلامس ٤. ارتفاع في الهرمون الذكري  لذلك انصحك بمراجعه اخصائي نسائيه لاجراء الفحوصات الهرمونيه اللازمه وكذلك فحص بجهاز الموجات الفوق صوتيه للرحم والمبايض لتشخيص حالتك.,Symptom,القلق
كيفية تصغير الثدى ؟؟,"شد الصدر ورفعه بواسطة عملية جراحية تجميلية عند اختصاصي جراحة التجميل ، ففي حالة كبر حجمه وترهله وارتخائه لأسفل تجرى له
جراحة تصغير و شد او تجميل الثدي
فكرة العملية:
تقليل حجم الثدى ورفعة إما بأزالة الجلد الزائد أو الدهن الزائد أو كليهما
زمن العملية:ساعة إلى ثلاث ساعات
 اسباب العمليه:
كبر حجم الثدى و سقوطه قد يؤدى لآلام بالظهر والكتيفين و مشاكل فى الملابس المناسبة و مشاكل نفسية لدى المرأة يتم أزالة جزء من الجلد لرفع الثدى يتم أزالة جزء من الدهن والجلد لتقليل حجم الثدى بعد العملية:تختفى هذه المشاكل كلها مقابل ندبة أسفل الثدى
وأما إذا كان حجم الثدي صغيرا فيحتاج إلى عملية تكبير ورفع وعملية التكبير تتم بحقن الثدي بالماء المالح أو بالسيليكون",Treatment,جراحة تجميلية
كيف يمكن شد الجلد المترهل في منطقه البطن مع العلم ان الوزن مناسب؟,يمكن شده بممارسة الرياضة أو بالجراحة التجميلية.راجعي اختصاصي تجميل.,Treatment,الجراحة التجميلية
هل زوتريم اقل فى الاعراض الجانبية فى التخسيس وهل عند ايقاف الكورس يعود الوزن مرة اخرى ؟ وشكرا,من الاثار الجانبية لزوتريم هي فقدان الشهية، ارتفاع ضغط الدم، والعصبية، والتوتر والهزات، والإسهال، والغثيان، ومشاكل في المعدة، وسلس البول، والجفاف، وربما التفاعلات مع بعض الأدوية والوصفات الطبية. ولنتائج أكثر إيجابية يجب دمجها مع تمارين بدنية منتظمة و تقليل الطعام كي لا يعود الوزن الذي تم فقده في حالة التوقف عن اخذه ولا يجب تناوله دون استشارة الطبيب,Treatment,زوتريم
هل الاولاد الذين يولدون بعد سبعة اشهر من الحمل يكونون معرضون للعقم فى الكبر ؟,يرجى تحويل السؤال لإختصاصي أمراض النسائية,DiseaseCondition,العقم
