entity_id,canonical_name,entity_type,surface_form,qa_id,chunk_id,source_row_number,field,evidence,llm_confidence,model,prompt_version
ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,التهاب,ahd5k_00970,chunk_00001,769766,answer,اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ربو,ahd5k_00970,chunk_00001,769766,answer,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,0.700,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية الصدر,ahd5k_00970,chunk_00001,769766,question,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_dc2c7333a505,بلغم,Symptom,بلغم,ahd5k_00970,chunk_00001,769766,question,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_dc2c7333a505,بلغم,Symptom,بلغم,ahd5k_00970,chunk_00001,769766,answer,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_f4cf885a0447,سعال,Symptom,سعال,ahd5k_00970,chunk_00001,769766,answer,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,0.700,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_03626,chunk_00001,370529,question,هل بنسلين يسبب إلتهاب المعدة للأطفال,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_c294dde65052,نزلة معوية,DiseaseCondition,نزله معويه,ahd5k_03626,chunk_00001,370529,answer,ممكن ان يسبب نزله معويه,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_treatment_70be4452db30,بنسلين,Treatment,بنسلين,ahd5k_03626,chunk_00001,370529,question,هل بنسلين يسبب إلتهاب المعدة للأطفال,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_16cf4e77b755,التهاب,DiseaseCondition,التهاب,ahd5k_03872,chunk_00001,383286,answer,أعراض التهاب وحساسيه الجيوب الانفيه لابد من استخدام الادويه المناسبه بعد الفحص عند طبيب ENT,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_28acc791e82d,تعب,Symptom,تعب,ahd5k_03872,chunk_00001,383286,question,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_7b839cc80688,ضيق تنفس,Symptom,ضيق تنفس,ahd5k_03872,chunk_00001,383286,question,اعاني من فتره من آلام في الانف والوجه والاخص الجبين واشعر بحساسيه في الحلق مما يسبب لي ضيق تنفس وتعب بشكل عام,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_15f699fd4691,دوائر حمراء,Symptom,دوائر حمراء,ahd5k_04414,chunk_00001,383417,question,ظهر عندي دوائر حمراء بين الفخذين مع حكة شديدة ايه سببها,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_symptom_7cfc95737dc0,حكة,Symptom,حكة,ahd5k_04414,chunk_00001,383417,question,ظهر عندي دوائر حمراء بين الفخذين مع حكة شديدة ايه سببها,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,حساسية,ahd5k_00020,chunk_00002,340580,question,بنتي سنتين ونصف عندها حساسية من حليب البقر,0.850,llama-3.3-70b-versatile,legacy_entity_extraction
