annotation_version,query_id,query,query_group,candidate_type,candidate_id,qa_id,source_quality,retrieval_channel,candidate_question,candidate_answer_or_evidence,relation_type,source_entity_name,target_entity_name,relevance_label,error_reason,secondary_error_reason,annotator_id,annotation_status,annotation_notes
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,evidence,qa::ahdqa_0125741,ahdqa_0125741,ahd_heldout_safe_corpus,conditional_fts,عندي نسبة هرمون البروجستيرون في اليوم 21 من الدوره كانت 5 مل لكل نانوقرام …مع العلم اني عملت تحاليل اليوم الثاني من الدوره كل الهرمونات وكانت ممتازه…هل نسبة البروجستيرون جيده؟,لا ضعيفة,,,,1,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,relation,rel_seed_faf4283e3c5884d3,ahd10k_00787,raw_ahd_source_row,graph_relation,,علاجات دوائية التي تحتوي هرمون البروجستيرون الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي والتوتر ماهو علاج انخفاض هرمون البروجسترون ؟,TREATED_BY,انخفاض هرمون البروجسترون,علاجات دوائية,1,missing key constraint,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,evidence,qa::ahdqa_0053833,ahdqa_0053833,ahd_heldout_safe_corpus,conditional_fts,السلام هليكم سويت تحليل يوم 21 تحليل هرمون البروجستيرون وابي اعرف النتيجه,المعدل طبيعي .,,,,0,different clinical scenario,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,evidence,qa::ahdqa_0179940,ahdqa_0179940,ahd_heldout_safe_corpus,conditional_fts,انتفاخ بالجسم والم اسفل البطن والظهر علما بان هرمون البروجستيرون نسبته في اليوم ال ٢١ هو 0.05,ليس بالضرورة ذلك. ولكن الهرمون منخفض وبحاجة للتقوية,,,,1,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,relation,rel_seed_12099cb4f8d5e172,ahd10k_00787,raw_ahd_source_row,graph_relation,,الإكثار من تناول الخضراوات والفواكه الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي والتوتر ماهو علاج انخفاض هرمون البروجسترون ؟,TREATED_BY,هرمون البروجسترون,تناول الفواكه,0,unsupported recommendation,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,evidence,qa::ahdqa_0418007,ahdqa_0418007,ahd_heldout_safe_corpus,conditional_fts,هل تحتوي كبسولات البوليجيناكس على هرمون البروجستيرون,لاتحتوي على البروجستيرون..تحتوي على نيومايسين ..بولي مكسين..نيستاتين..,,,,0,wrong intent,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,evidence,qa::ahdqa_0804256,ahdqa_0804256,ahd_heldout_safe_corpus,conditional_fts,كيف أرفع نسبة هرمون البروجستيرون علما بأنى نسبته عندى 0.49,العلاج الهرموني بحاجة إلى إشراف اختصاصي الغدد الصماء، ولا يمكن وصفها بدون فحوصات على النت راجع اختصاصي غدد صماء.,,,,2,,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,relation,rel_seed_0353a135a653ee56,ahd10k_00787,raw_ahd_source_row,graph_relation,,الإكثار من تناول الخضراوات الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي والتوتر ماهو علاج انخفاض هرمون البروجسترون ؟,TREATED_BY,هرمون البروجسترون,تناول الخضراوات,0,unsupported recommendation,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,evidence,qa::ahdqa_0113531,ahdqa_0113531,ahd_heldout_safe_corpus,conditional_fts,اسبب نقص هرمون البروجستيرون يوم 21من الدورة طالع 0:1 هل له علاج ورحت عند الطبيبه كتبة هذا العلاج,نعم...علاج مناسب,,,,1,missing key constraint,,GPT-5.6 Thinking,annotated,
final_v2_independent_relevance_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,relation,rel_seed_3a09110f7e7bacf3,ahd10k_00787,raw_ahd_source_row,graph_relation,,علاجات دوائية التي تحتوي هرمون البروجستيرون الإكثار من تناول الخضراوات والفواكه التقليل من الضغط النفسي والتوتر ماهو علاج انخفاض هرمون البروجسترون ؟,TREATED_BY,هرمون البروجسترون,علاجات دوائية,1,missing key constraint,,GPT-5.6 Thinking,annotated,
