query_id,query,original_max_label,expansion_reviewed_candidates,expansion_max_label,first_expansion_direct_rank,direct_within_rank_5,outcome
evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,1,3,2,3,True,rescued_direct
evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,1,8,2,8,False,rescued_direct
evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,2,0,,,False,already_direct
evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,1,10,1,,False,still_partial
evalv1_005,عندي ظعف في النظر اليسرى 7/10 واليمنى 10/10ولما زرت الطبيب قالي عندك حول لانو لما اكون بعيد ة الاشخاص مايظهرون لي خاصة من الوجه لا اعرف منهم غير لما احط...,0,0,,,False,all_zero_not_targeted
evalv1_006,السلام عليكم اني المريض عمري 22 اعاني من ارتفاع ضغط الدم وكذلك عندم انتظامه رغم اخذ الادوية والالتزام بالاكل الصحي قليل الملح،وعند اجراء تحليل الالدستيرون تبين وجود فرط نشاط للهرمون...,1,12,1,,False,still_partial
evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,2,0,,,False,already_direct
evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,1,12,1,,False,still_partial
evalv1_009,اريد ان اعرف البكتيريا التي تسبب الاسهال؟,0,0,,,False,all_zero_not_targeted
evalv1_010,كيف اجعل شعري يعود كثيفا وطويلا من جديد انا متزوجة,2,0,,,False,already_direct
evalv1_011,تم عمل منظار للمعدة مرتين وأظهر أن هناك إلتهاب في المرئ والمعدة (شديد ) فما هو العلاج المناسب ؟ المريض أنثي 55 سنة,1,9,1,,False,still_partial
evalv1_012,السلام عليكم عندي مشكلة بلثة ضرس تمت معالجة العصب وازالته لكن اللثة المحيطة بالعصب تؤلم عند لمسها هل هاذا يعني انه تضرر و او في خراج يؤدي الى قلع الضرس...,2,0,,,False,already_direct
evalv1_013,تعديل السؤال السابق السؤال /لدي تحليل دم +بول وانتم بكرامه بعد أقل من شهر ولست واثق من سلامة دمي من السموم نوع السموم هي حبوب منشطه تُأخذ عن طريق الفم...,2,0,,,False,already_direct
evalv1_014,السلام عليكم بعد زيارتي لطبيب الأسنان و معالجة السن بدى لون أزرق في اللثة قرب جذر السن و أظن مكان تخدير السن ممكن معرفة السبب,1,10,1,,False,still_partial
evalv1_015,انا شخص مدخن من ٣ سنوات من امس اصبحت اشعر بصعوبة اخذ النفس لدرجة اشعر بالنعاس وقلة التركيز اليوم رحت للطبيب عملي اكس راي وقلي عندي التهاب قصبات هوائية وصفلي...,1,6,2,6,False,rescued_direct
evalv1_016,والدى سمين وعنده كرش ودائما يشعر بالجوع ولا يقدر ان يسمح لنفسه ان لا ياكل وجبة االعشاء فهل من علاج مانع للشهية وتخسيس الكرش والدى عنده 50 سنة,0,0,,,False,all_zero_not_targeted
evalv1_017,هل العملية الجراحية على مستوى المخ لاستاصال ورم ارومي دبقي للمرة الثانية بعد خطيرة و هل هناك أمل في العيش مع هذا الورم,1,10,1,,False,still_partial
evalv1_018,عملت تحليل كولسترول لزوجي وكانت النتائج Total cholesterol 200 LDL 119 HDL 33 VLDL 48 Fasting Triglycerides 245 هل النسبة مرتفعة جدا وهل هناك خطر عمر زوجي 45 سنة ويعاني...,2,0,,,False,already_direct
evalv1_019,ما هي اسباب قصر اطراف الجنين؟ هل لها حل؟ لماذا تظهر في الشهر السابع؟,2,0,,,False,already_direct
evalv1_020,لدي خصيه 3800000 ثمان وثلاثين مليون هل كافيه للانجاب وهل الخصيه اليمنى للذكر واليسرى للانثى بمعنى ان لدي اليسري فقط هل نسلي اناث ونصائحك,2,0,,,False,already_direct
evalv1_021,هل البخاخ ذو القرص (Diskhaler). علاجي او وقائي,1,10,1,,False,still_partial
evalv1_022,ماسبب خروج دم قليل جدا في فترات نادره مع المخاط والبلغم. ?,1,6,2,6,False,rescued_direct
evalv1_023,السلام عليكم فحصة السكر بعد الاكل فوجدة 112 هل هو عادي جزاكم الله كل خير,1,5,2,5,True,rescued_direct
evalv1_024,اشعر بخدر في قدمي اليسري واكنها مش موجوده او اكن اعصابي في قدمي اليسري فكه خالص فما السبب,1,5,2,5,True,rescued_direct
evalv1_025,ما الأثار التي قد تحدث نتيجة تشوهات الفص الأمامي للدماغ؟,1,7,2,7,False,rescued_direct
evalv1_026,انا فتاة ابلغ22 عندي خلل في الدورة الحيضية تغيب لمدة 6 اشهر استعملت الكثير من الادوية دون حصول نتيجة . مع العلم اني كثيرة الشعر وخصوصافي وجهي . ماهو تشخيص...,2,0,,,False,already_direct
evalv1_027,لماذا يتم تغطية الشخص المصاب بالحرق بالبطانية ؟,0,0,,,False,all_zero_not_targeted
evalv1_028,"السلام عليكم و رحمة الله و بركاته في الاَونة الأجيرة بدأت أحس بتعب و خمول فعملت تحاليل و ها هي النتائج globules rouges 4,18 hemoglobine 11,1 hematocrite 34,1 V.G.M 81,6...",2,0,,,False,already_direct
evalv1_029,لماذا يوجد الجلوكوز في اللمف رغم انه ينتقل عبرالطريق الدموي؟,0,0,,,False,all_zero_not_targeted
evalv1_030,لدي انحراف في الفك السفلي، لا أشعر بأي آلام،كل ما في الأمر هو أن وجهي لا يبدو متطابق خاصة عندما أفتح فمي ، زرت طبيباً من قبل فقال لي أن...,1,12,1,,False,still_partial
evalv1_031,السلام عليكم اريدعلاج للربو مجرب و مضمون علما بأنني اعاني من ضيق في التنفس اثناء الذهاب الي النوم و كذلك في ساعة الصباح المبكر افيدوني مشكورين,2,0,,,False,already_direct
evalv1_032,ما هو المطهر الطبيعى الأمن الذى لا يؤثر على مناعة الإنسان أو الأطفال على المدى الطويل؟,0,0,,,False,all_zero_not_targeted
evalv1_033,عندي ضيق نفس تخطيط وايكو وفحص جخد القلب سليم ووظائف الرئه والدم كلها سليمه مالسبب اتعب كثيرا من اقل مجهود لايوجد وزن زائد,1,12,1,,False,still_partial
evalv1_034,عانيت لمره واحدة لحالة تشنج اثناءالنوم وصرف لي الطبيب اقراص Tegretol لا اعلم هل استمر عليها او لا! خصوصا بانها تسبب لي النعاس والدوار والالام بالجسمم ؟,1,12,1,,False,still_partial
evalv1_035,انا فتاة مغربية نظري ضعيف جدا _20 وهو وراثي قال لي الطبيب يستحيل ان يعود بصري حتى بارتداء النظارة لن ارى جيدا,0,0,,,False,all_zero_not_targeted
evalv1_036,زوجة تبلغ 31 وتعاني مِم صداع شديد بالرأس وصف لها الطبيب المعالج دواء relpax وتستعمله بشكل يومي . هل هذا الاستعمال اليومي له تأثير على صحتها على طول المدة وشكرا,1,12,1,,False,still_partial
evalv1_037,تناولت matador 750 لمده 15 وبعدها اصبت باسهال و تعب و نقص قلق والم فی المفاصل تغیر نضام غذائی. اجریت تحلیل البراز سلیم انا اعانی.فی.3.اشهر و نقص فی.الوزن کبیر و...,0,0,,,False,all_zero_not_targeted
evalv1_038,اخذت جرعتين فقط من التهاب الكبد ب في مرحلة البلوغ هل هذا كافي ؟؟بعد العدوى بكم يوم يمكن ان اعرف اني مصاب عن طريق التحاليل,2,0,,,False,already_direct
evalv1_039,لماذا نشعر بالدوار عندما نكون جالسين ونقف؟,2,0,,,False,already_direct
evalv1_040,. خصيتي لا تاخذالشكل الطبيعي فهي ليست منتفخة كالكرة . بل اغلب الوقت متدلية جدا .احيانا كيس الصفن يتمدد ولايوجد به اي انتفاخ وتظهر الخصيتين بوضوح احيانا تنكمش الخصية فتصبح...,2,0,,,False,already_direct
evalv1_041,ما هو علاج حمو الفم ( بقعة بيضاء في المنتصف وشديدة الأحمرار من الاطراف ) اعاني منها من ٤ أيام أشعر بتعب شديد و ألم ؟!,2,0,,,False,already_direct
evalv1_042,اخي يبلغ من العمر 24 وكان لديه ثقب في القلب مما ادى الى تجمع ماء في الرئه ولكن الثقب اغلق ومازال يعاني من ضيق التنفس والماء الذي في الرئه لم...,2,0,,,False,already_direct
evalv1_043,ماذا يعني نقص mcv في تحليل الدم؟ وهل يدل على مشكلة خطيرة؟ علمًا أن النقص بسيط جدًا وباقي تحاليل الدم طبيعية,1,12,1,,False,still_partial
evalv1_044,السلام عليكم ماهو سبب الكحه ويليها فقدان الوعي لعده دقايق وحدوثه لمرات متكرره ؟,1,12,1,,False,still_partial
evalv1_046,castor.oil مادا يستخدم هدا الدواء وكيف الطريقه,1,12,1,,False,still_partial
evalv1_047,ابني عمره ١٢ سنة و تحليل pct =0.378 في حين المستوى الطبيعي يجب ان يكون بين 0.11_0.29. وكذلك تحليل Gran%=46.5 والمستوى الطبيعي هو 50_70 أرجو توضيح ماذا يعني التحليل شكرا,2,0,,,False,already_direct
evalv1_048,استخدامات اشعة الفا فى الطب,0,0,,,False,all_zero_not_targeted
evalv1_049,تمزق وتر الكتف بسبب bodybuilding ذهبت لدكتور أعطاني 45ي راحة وبعدها ولم أشفى ثم حقن لي حقنة كتفي و طلب مني العودة لتمرين و الأن أحيانا بعد التمرين أحس الام...,1,1,2,1,True,rescued_direct
evalv1_050,هل الخصية اليسرى دائما اق ارتفاع من اليمنى,2,0,,,False,already_direct
