chunk_id,stage,severity,error
chunk_00001,validation,warning,Rejected generic/noisy standalone entity: هلاج
chunk_00001,validation,warning,Rejected background medication entity: علاج الضغط
chunk_00001,validation,warning,Rejected background medication entity: علاج الكوليسترول
chunk_00002,validation,warning,Rejected standalone allergen/trigger entity: حليب البقر
chunk_00006,validation,warning,Rejected standalone allergen/trigger entity: جلوتين
chunk_00006,validation,warning,Rejected generic/noisy standalone entity: حبوب
chunk_00015,validation,warning,Rejected generic/noisy standalone entity: الم
chunk_00015,validation,warning,Rejected body-part-only entity: المعدة
chunk_00016,validation,warning,Rejected generic/noisy standalone entity: دواء
chunk_00017,model_call,error,HTTP Error 429: Too Many Requests
chunk_00023,validation,warning,Rejected body-part-only entity: الجلد
chunk_00024,validation,warning,Rejected body-part-only entity: القلب
chunk_00027,validation,warning,Rejected body-part-only entity: القلب
chunk_00027,validation,warning,Rejected body-part-only entity: القلب
chunk_00027,validation,warning,Rejected body-part-only entity: القلب
chunk_00030,validation,warning,Rejected body-part-only entity: الجلد
chunk_00038,validation,warning,Rejected body-part-only entity: الكلى
chunk_00038,validation,error,تحاليل مخبرية has no mentions
chunk_00039,validation,warning,Rejected body-part-only entity: القلب
chunk_00039,validation,warning,Rejected body-part-only entity: الجلد
chunk_00042,validation,warning,Rejected context-only entity: النوم
chunk_00046,validation,error,Dropped mention with invalid qa_id: ahd5k_00001
chunk_00046,validation,error,Dropped mention with invalid qa_id: ahd5k_00001
chunk_00046,validation,error,Dropped mention with invalid qa_id: ahd5k_00001
chunk_00046,validation,error,Dropped mention with invalid qa_id: ahd5k_00001
chunk_00052,validation,warning,Rejected body-part-only entity: القلب
chunk_00052,validation,warning,Rejected body-part-only entity: الجلد
chunk_00063,validation,warning,Rejected body-part-only entity: الجلد
chunk_00064,validation,warning,Rejected category-like entity: أمراض القلب و الشرايين
chunk_00064,validation,warning,Rejected body-part-only entity: قلب
chunk_00065,validation,warning,Rejected body-part-only entity: قلب
chunk_00065,validation,warning,Rejected body-part-only entity: قلب
chunk_00065,validation,warning,Rejected body-part-only entity: قلب
chunk_00065,validation,warning,Rejected body-part-only entity: قلب
chunk_00066,validation,warning,Rejected body-part-only entity: قلب
chunk_00067,validation,warning,Rejected body-part-only entity: القلب
chunk_00068,validation,warning,Rejected body-part-only entity: القلب
chunk_00070,validation,warning,Rejected generic/noisy standalone entity: ألم
chunk_00070,validation,warning,Rejected body-part-only entity: القلب
chunk_00072,validation,warning,Rejected generic/noisy standalone entity: ألم
chunk_00072,validation,warning,Rejected body-part-only entity: القلب
chunk_00073,validation,warning,Rejected generic/noisy standalone entity: ألم
chunk_00073,validation,warning,Rejected body-part-only entity: قلب
chunk_00074,validation,warning,Rejected body-part-only entity: القلب
chunk_00077,validation,warning,Rejected body-part-only entity: القلب
chunk_00077,validation,warning,Rejected generic/noisy standalone entity: دواء
chunk_00077,validation,warning,Rejected body-part-only entity: رأس
chunk_00078,validation,warning,Rejected body-part-only entity: قلب
chunk_00080,validation,warning,Rejected body-part-only entity: القلب
chunk_00080,validation,warning,Rejected body-part-only entity: الجلد
chunk_00081,validation,warning,Rejected body-part-only entity: القلب
chunk_00082,validation,warning,Rejected body-part-only entity: القلب
chunk_00083,validation,warning,Rejected body-part-only entity: قلب
chunk_00083,validation,warning,Rejected body-part-only entity: الكلى
chunk_00084,validation,warning,Rejected body-part-only entity: قلب
chunk_00088,validation,warning,Rejected body-part-only entity: القلب
chunk_00097,validation,warning,Rejected context-only entity: النوم
chunk_00099,validation,warning,Rejected body-part-only entity: القلب
chunk_00101,validation,warning,Rejected generic/noisy standalone entity: الم
chunk_00114,validation,warning,Rejected generic/noisy standalone entity: دواء
chunk_00115,validation,warning,Rejected generic/noisy standalone entity: ألم
chunk_00123,validation,warning,Rejected generic/noisy standalone entity: علاج
chunk_00130,validation,warning,Rejected generic/noisy standalone entity: ألم
chunk_00130,validation,warning,Rejected body-part-only entity: القلب
chunk_00130,validation,warning,Rejected body-part-only entity: المعدة
chunk_00130,validation,warning,Rejected body-part-only entity: القلب
chunk_00132,validation,warning,Rejected body-part-only entity: القلب
chunk_00136,validation,warning,Rejected body-part-only entity: صدر
