query_id,query,original_answer_ar,refined_answer_ar,kept_claims,removed_claims,limitations_ar,answerability_label,claim_count,kept_claim_count,removed_claim_count,claim_support_rate,hallucination_rate,mitigation_action,refined_preview
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,الدليل المتاح يشير إلى أن تجنب المنتجات التي تحتوي على الجلوتين [E1] وتناول مضادات الهيستامين مثل تيليفاست [E4] قد تكون خيارات علاجية لتحسين الحساسية. ومع ذلك، لا توجد أدلة كافية لتحديد علاج البلغم المزمن رغم تناول هلاج. يُنصح بالتشاور مع طبيب مختص لتقييم الحالة وتحديد خطة علاج مخصصة.,تجنب المنتجات التي تحتوي على الجلوتين قد يساعد في تحسين الحساسية [E1 | ahd5k_00812] مضادات الهيستامين مثل تيليفاست قد تكون مفيدة في الحساسية [E4 | ahd5k_02470],"[""تجنب المنتجات التي تحتوي على الجلوتين قد يساعد في تحسين الحساسية"", ""مضادات الهيستامين مثل تيليفاست قد تكون مفيدة في الحساسية""]",[],"[""عدم وجود أدلة مباشرة لعلاج البلغم المزمن رغم تناول هلاج"", ""العلاقات المتوفرة تركز على الحساسية العامة وليس البلغم المزمن""]",answerable,2,2,0,1.0,0.0,no_claims_removed,تجنب المنتجات التي تحتوي على الجلوتين قد يساعد في تحسين الحساسية [E1 | ahd5k_00812] مضادات الهيستامين مثل تيليفاست قد تكون مفيدة في الحساسية [E4 | ahd5k_02470]
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,لا توجد أدلة كافية في السياق المقدم لعلاج علامات الشيخوخة المبكرة بالوجه. يُنصح باستشارة طبيب مختص للحصول على تقييم وعلاج مناسب.,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.,[],[],"[""عدم توفر علاقات أو أدلة مباشرة متعلقة بعلاج علامات الشيخوخة المبكرة""]",insufficient_evidence,0,0,0,0.0,0.0,no_claims_removed,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,في حالة انخفاض السكر مع فقدان الوعي، يُنصح بإعطاء المصاب عسلًا تحت لسانه ليمضغه [E3]. هذا الإجراء يُستخدم كعلاج إسعافي بناءً على الأدلة المتوفرة.,يُنصح بإعطاء المصاب عسلًا تحت لسانه في حالة انخفاض السكر مع فقدان الوعي [E3 | ahd5k_00992],"[""يُنصح بإعطاء المصاب عسلًا تحت لسانه في حالة انخفاض السكر مع فقدان الوعي""]",[],"[""العسل موصى به بناءً على دليل متوسط التأكد، ولا توجد أدلة إضافية عن طرق أخرى للعلاج الإسعافي.""]",answerable,1,1,0,1.0,0.0,no_claims_removed,يُنصح بإعطاء المصاب عسلًا تحت لسانه في حالة انخفاض السكر مع فقدان الوعي [E3 | ahd5k_00992]
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,لا توجد أدلة كافية في السياق المقدم لتقييم ما إذا كانت الأشعة المقطعية بالصبغة للقلب تسبب انتفاخًا أسفل الوجه أو الغدة الدرقية. يُنصح بمراجعة تقرير الأشعة وتحليل النتائج مع طبيب مختص [E1][E3].,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.,[],"[""الأشعة المقطعية بالصبغة تُستخدم لفحص الأعراض مثل الانتفاخ، لكن تفسير النتائج يتطلب تحليل تقرير الأشعة""]","[""عدم وجود أدلة مباشرة عن علاقة الأشعة بالصبغة بالانتفاخ في الغدة الدرقية أو الوجه"", ""الاعتماد على استفسار عام عن نتائج الأشعة دون تحليل مفصل""]",insufficient_evidence,1,0,1,1.0,0.0,removed_unsupported_claims,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,لا توجد أدلة كافية في المعلومات المقدمة لتقييم العلاج المناسب لتقليل نسبة الأملاح في الدم (7.9). يُنصح بالاستعانة بخبير طبي لتحديد السبب الجذري والعلاج الملائم بناءً على الفحص السريري والتحاليل المخبرية [E1].,يجب إجراء الفحص السريري والتحاليل المخبرية لتحديد السبب الجذري قبل تحديد العلاج [E1 | ahd5k_04490],"[""يجب إجراء الفحص السريري والتحاليل المخبرية لتحديد السبب الجذري قبل تحديد العلاج""]",[],"[""البيانات المُسترجعة لا تشمل أدلة مباشرة عن ارتفاع نسبة الأملاح في الدم أو علاجه"", ""العلاقات الطبية المُسترجعة تركز على التهابات المسالك البولية وليس اضطرابات الإلكتروليت""]",answerable,1,1,0,1.0,0.0,no_claims_removed,يجب إجراء الفحص السريري والتحاليل المخبرية لتحديد السبب الجذري قبل تحديد العلاج [E1 | ahd5k_04490]
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,بناءً على الأدلة المتوفرة، يُمكن أن يكون الصداع المصحوب ببرودة الرأس مرتبطًا بحالات مثل التهاب السحايا أو التهاب الجيوب الأنفية أو الصداع التوتري [E1][E2][E3]. يُنصح بالكشف الطبي المعمق لتحديد السبب الدقيق، حيث لم تُذكر في الأدلة تحاليل محددة. يُفضل استشارة طبيب مختص لإجراء الفحوصات المطلوبة.,"الصداع قد يكون أحد أعراض التهاب السحايا أو التهاب الجيوب الأنفية أو الصداع التوتري [E1,E2,E3 | ahd5k_02662,ahd5k_02662,ahd5k_02662]","[""الصداع قد يكون أحد أعراض التهاب السحايا أو التهاب الجيوب الأنفية أو الصداع التوتري""]",[],"[""البيانات المُسترجعة لا تتضمن تفاصيل محددة عن التحاليل المطلوبة لتأكيد التشخيص.""]",answerable,1,1,0,1.0,0.0,no_claims_removed,"الصداع قد يكون أحد أعراض التهاب السحايا أو التهاب الجيوب الأنفية أو الصداع التوتري [E1,E2,E3 | ahd5k_02662,ahd5k_02662,ahd5k_02662]"
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,إذا كانت القرحة مؤكدة بدون نزيف، يمكن تجربة دواء ايزومبرازول 40 مجم يومياً لمدة 3 شهور [E1]. إذا لم يحدث تحسن، يجب الذهاب إلى المستشفى [E1]. يُنصح بالاستعانة بclinician لتأكيد التشخيص وتحديد الخطوات التالية.,"يمكن استخدام ايزومبرازول 40 مجم يومياً لمدة 3 شهور لعلاج القرحة بدون نزيف [E1,E3 | ahd5k_01066,ahd5k_01066] عدم تحسن الحالة خلال العلاج يتطلب الذهاب إلى المستشفى [E1,E3 | ahd5k_01066,ahd5k_01066]","[""يمكن استخدام ايزومبرازول 40 مجم يومياً لمدة 3 شهور لعلاج القرحة بدون نزيف"", ""عدم تحسن الحالة خلال العلاج يتطلب الذهاب إلى المستشفى""]",[],"[""البيانات المتوفرة لا تشمل إدارة الغثيان مباشرة"", ""العلاقة بين الدواء والقرحة ذات موثوقية محدودة""]",answerable,2,2,0,1.0,0.0,no_claims_removed,"يمكن استخدام ايزومبرازول 40 مجم يومياً لمدة 3 شهور لعلاج القرحة بدون نزيف [E1,E3 | ahd5k_01066,ahd5k_01066] عدم تحسن الحالة خلال العلاج يتطلب الذهاب إلى المستشفى [E1,E3 | ahd5k_01066,ahd5k_01066]"
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,لا توجد أدلة كافية في السياق المقدم لتحديد بديل لتركيب كراون للضرس القصير الناتج عن كسر وتآكل بعد الحشو العصبي. يُنصح بالتشاور مع طبيب مختص لتحديد خيارات إعادة تشكيل الضرس أو الإجراءات المناسبة.,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.,[],[],"[""العلاقات المسترجعة تتعلق ببرد الأسنان وحساسية التخدير، ولا ترتبط بحلول بديلة للكراون.""]",insufficient_evidence,0,0,0,0.0,0.0,no_claims_removed,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,الحرقة في المهبل التي تشعر بها زوجتك مرتبطة بالتهابات نسائية [E1]، ولا يوجد تأثير على الجنين [E1]. العلاقة بين الاتصال الجنسي والحرقة غير مذكورة في الأدلة المتوفرة.,"الحرقة في المهبل تشير إلى وجود التهابات نسائية [E1,E2 | ahd5k_01099,ahd5k_01099] لا يوجد تأثير على الجنين من الحرقة الناتجة عن التهابات نسائية [E1 | ahd5k_01099]","[""الحرقة في المهبل تشير إلى وجود التهابات نسائية"", ""لا يوجد تأثير على الجنين من الحرقة الناتجة عن التهابات نسائية""]",[],"[""العلاقة بين الاتصال الجنسي والحرقة غير متوفرة في الأدلة"", ""موثوقية العلاقات المتوفرة محدودة""]",answerable,2,2,0,1.0,0.0,no_claims_removed,"الحرقة في المهبل تشير إلى وجود التهابات نسائية [E1,E2 | ahd5k_01099,ahd5k_01099] لا يوجد تأثير على الجنين من الحرقة الناتجة عن التهابات نسائية [E1 | ahd5k_01099]"
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,الأعراض المذكورة (دوار، دقات سريعة للقلب، شعور برأس ثقيل، وغيبوبة مؤقتة) قد تكون مرتبطة بحالات متعددة تتطلب تقييمًا طبيًا شاملًا. لا توجد أدلة كافية في السياق المقدم لربط هذه الأعراض مباشرة بفقر الدم أو أي تشخيص محدد آخر. يُنصح بالاستعانة بخبير طبي لإجراء فحوصات إضافية.,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.,[],"[""الأعراض المذكورة قد تكون مرتبطة بحالات تتطلب تقييمًا طبيًا""]","[""العلاقات المُسترجعة تركز على إدارة فقر الدم والتغذية، ولا تغطي الأعراض المذكورة في السؤال.""]",insufficient_evidence,1,0,1,0.0,1.0,removed_unsupported_claims,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.
