query_id,query,answer_ar,claims,evidence_summary_ar,used_relations,limitations_ar,next_step_note_ar,provider,model
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,الدليل المتاح يشير إلى أن تجنب المنتجات التي تحتوي على الجلوتين [E1] وتناول مضادات الهيستامين مثل تيليفاست [E4] قد تكون خيارات علاجية لتحسين الحساسية. ومع ذلك، لا توجد أدلة كافية لتحديد علاج البلغم المزمن رغم تناول هلاج. يُنصح بالتشاور مع طبيب مختص لتقييم الحالة وتحديد خطة علاج مخصصة.,"[{""claim_ar"": ""تجنب المنتجات التي تحتوي على الجلوتين قد يساعد في تحسين الحساسية"", ""citations"": [""E1""], ""source_qa_ids"": [""ahd5k_00812""], ""support_status"": ""supported""}, {""claim_ar"": ""مضادات الهيستامين مثل تيليفاست قد تكون مفيدة في الحساسية"", ""citations"": [""E4""], ""source_qa_ids"": [""ahd5k_02470""], ""support_status"": ""supported""}]","[""تجنب الجلوتين موصى به لتحسين الحساسية [E1]"", ""مضادات الهيستامين مثل تيليفاست تُستخدم في الحساسية [E4]""]","[""حساسية --TREATED_BY--> تجنب المنتجات التي تحوي جلوتين"", ""حساسية --TREATED_BY--> تيليفاست""]","[""عدم وجود أدلة مباشرة لعلاج البلغم المزمن رغم تناول هلاج"", ""العلاقات المتوفرة تركز على الحساسية العامة وليس البلغم المزمن""]",يُنصح بالاستعانة بطبيب مختص لتقييم الحالة وتحديد العلاج المناسب، خاصة مع وجود أعراض مستمرة رغم العلاجات الحالية.,groq,qwen/qwen3-32b
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,لا توجد أدلة كافية في السياق المقدم لعلاج علامات الشيخوخة المبكرة بالوجه. يُنصح باستشارة طبيب مختص للحصول على تقييم وعلاج مناسب.,[],[],[],"[""عدم توفر علاقات أو أدلة مباشرة متعلقة بعلاج علامات الشيخوخة المبكرة""]",يُفضل زيارة طبيب جلدية لفحص الوجه وتقييم الحالة بشكل دقيق.,groq,qwen/qwen3-32b
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,في حالة انخفاض السكر مع فقدان الوعي، يُنصح بإعطاء المصاب عسلًا تحت لسانه ليمضغه [E3]. هذا الإجراء يُستخدم كعلاج إسعافي بناءً على الأدلة المتوفرة.,"[{""claim_ar"": ""يُنصح بإعطاء المصاب عسلًا تحت لسانه في حالة انخفاض السكر مع فقدان الوعي"", ""citations"": [""E3""], ""source_qa_ids"": [""ahd5k_00992""], ""support_status"": ""supported""}]","[""- العسل موصى به كعلاج إسعافي لفقدان الوعي الناتج عن انخفاض السكر [E3]""]","[""فقدان الوعي --TREATED_BY--> عسل""]","[""العسل موصى به بناءً على دليل متوسط التأكد، ولا توجد أدلة إضافية عن طرق أخرى للعلاج الإسعافي.""]",يجب طلب المساعدة الطبية الفورية بعد تطبيق الإجراء الإسعافي، ولا يُستبدل هذا النص بأي نصائح من مختص طبي.,groq,qwen/qwen3-32b
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,لا توجد أدلة كافية في السياق المقدم لتقييم ما إذا كانت الأشعة المقطعية بالصبغة للقلب تسبب انتفاخًا أسفل الوجه أو الغدة الدرقية. يُنصح بمراجعة تقرير الأشعة وتحليل النتائج مع طبيب مختص [E1][E3].,"[{""claim_ar"": ""الأشعة المقطعية بالصبغة تُستخدم لفحص الأعراض مثل الانتفاخ، لكن تفسير النتائج يتطلب تحليل تقرير الأشعة"", ""citations"": [""E1"", ""E3""], ""source_qa_ids"": [""ahd5k_01537"", ""ahd5k_01537""], ""support_status"": ""supported""}]","[""الأشعة بالصبغة تُستخدم لفحص الأورط والشرايين الطرفية، لكن تفسير النتائج يتطلب تحليل تقرير الأشعة [E1][E3]""]","[""انتفاخ --INVESTIGATED_BY--> اشعة"", ""اشعة --INVESTIGATES--> انتفاخ""]","[""عدم وجود أدلة مباشرة عن علاقة الأشعة بالصبغة بالانتفاخ في الغدة الدرقية أو الوجه"", ""الاعتماد على استفسار عام عن نتائج الأشعة دون تحليل مفصل""]",يُنصح بمراجعة تقرير الأشعة وتحليله مع طبيب مختص لتحديد العلاقة السببية المحتملة.,groq,qwen/qwen3-32b
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,لا توجد أدلة كافية في المعلومات المقدمة لتقييم العلاج المناسب لتقليل نسبة الأملاح في الدم (7.9). يُنصح بالاستعانة بخبير طبي لتحديد السبب الجذري والعلاج الملائم بناءً على الفحص السريري والتحاليل المخبرية [E1].,"[{""claim_ar"": ""يجب إجراء الفحص السريري والتحاليل المخبرية لتحديد السبب الجذري قبل تحديد العلاج"", ""citations"": [""E1""], ""source_qa_ids"": [""ahd5k_04490""], ""support_status"": ""insufficient""}]","[""- E1: يُوصى بإجراء فحص سريري وتحاليل مخبرية لتحديد الأسباب المحتملة لمشاكل الصحة (غير مرتبط مباشرة بارتفاع نسبة الأملاح)"", ""- E2-E6: تتعلق بمشاكل التهابات المسالك البولية وخروج الدم أثناء التبول (غير متعلقة بارتفاع نسبة الأملاح)""]","[""العلاج --HAS_SYMPTOM--> النسبة"", ""النسبة --INVESTIGATED_BY--> تصوير الجهاز البولي""]","[""البيانات المُسترجعة لا تشمل أدلة مباشرة عن ارتفاع نسبة الأملاح في الدم أو علاجه"", ""العلاقات الطبية المُسترجعة تركز على التهابات المسالك البولية وليس اضطرابات الإلكتروليت""]",يُنصح بالاستعانة بخبير طبي لإجراء فحوصات مخبرية متخصصة وتحديد خطة علاج فردية,groq,qwen/qwen3-32b
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,بناءً على الأدلة المتوفرة، يُمكن أن يكون الصداع المصحوب ببرودة الرأس مرتبطًا بحالات مثل التهاب السحايا أو التهاب الجيوب الأنفية أو الصداع التوتري [E1][E2][E3]. يُنصح بالكشف الطبي المعمق لتحديد السبب الدقيق، حيث لم تُذكر في الأدلة تحاليل محددة. يُفضل استشارة طبيب مختص لإجراء الفحوصات المطلوبة.,"[{""claim_ar"": ""الصداع قد يكون أحد أعراض التهاب السحايا أو التهاب الجيوب الأنفية أو الصداع التوتري"", ""citations"": [""E1"", ""E2"", ""E3""], ""source_qa_ids"": [""ahd5k_02662"", ""ahd5k_02662"", ""ahd5k_02662""], ""support_status"": ""supported""}]","[""- الصداع مرتبط بحالات مثل التهاب السحايا (E1)، التهاب الجيوب الأنفية (E3)، والصداع التوتري (E5) حسب الأدلة المُسترجعة.""]","[""التهاب السحايا --HAS_SYMPTOM--> صداع"", ""صداع --SYMPTOM_OF--> التهاب السحايا"", ""التهاب الجيوب الأنفية --HAS_SYMPTOM--> صداع""]","[""البيانات المُسترجعة لا تتضمن تفاصيل محددة عن التحاليل المطلوبة لتأكيد التشخيص.""]",يُنصح بالعودة إلى الطبيب المختص لإجراء فحوصات إضافية، حيث أن الأدلة الحالية لا تُحدد نوع التحاليل المطلوبة.,groq,qwen/qwen3-32b
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,إذا كانت القرحة مؤكدة بدون نزيف، يمكن تجربة دواء ايزومبرازول 40 مجم يومياً لمدة 3 شهور [E1]. إذا لم يحدث تحسن، يجب الذهاب إلى المستشفى [E1]. يُنصح بالاستعانة بclinician لتأكيد التشخيص وتحديد الخطوات التالية.,"[{""claim_ar"": ""يمكن استخدام ايزومبرازول 40 مجم يومياً لمدة 3 شهور لعلاج القرحة بدون نزيف"", ""citations"": [""E1"", ""E3""], ""source_qa_ids"": [""ahd5k_01066"", ""ahd5k_01066""], ""support_status"": ""supported""}, {""claim_ar"": ""عدم تحسن الحالة خلال العلاج يتطلب الذهاب إلى المستشفى"", ""citations"": [""E1"", ""E3""], ""source_qa_ids"": [""ahd5k_01066"", ""ahd5k_01066""], ""support_status"": ""supported""}]","[""القرحة بدون نزيف يمكن معالجتها بـ ايزومبرازول 40 مجم يومياً لمدة 3 شهور [E1]"", ""عدم تحسن الحالة يتطلب تدخلًا طبيًا فوريًا [E1]""]","[""قرحة --TREATED_BY--> ايزومبرازول"", ""ايزومبرازول --TREATS--> قرحة""]","[""البيانات المتوفرة لا تشمل إدارة الغثيان مباشرة"", ""العلاقة بين الدواء والقرحة ذات موثوقية محدودة""]",يُنصح بمتابعة الحالة مع طبيب إذا لم تتحسن الأعراض خلال العلاج.,groq,qwen/qwen3-32b
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,لا توجد أدلة كافية في السياق المقدم لتحديد بديل لتركيب كراون للضرس القصير الناتج عن كسر وتآكل بعد الحشو العصبي. يُنصح بالتشاور مع طبيب مختص لتحديد خيارات إعادة تشكيل الضرس أو الإجراءات المناسبة.,"[{""claim_ar"": ""لا توجد أدلة كافية في السياق المقدم لتحديد بديل لتركيب كراون للضرس القصير الناتج عن كسر وتآكل بعد الحشو العصبي."", ""citations"": [], ""source_qa_ids"": [], ""support_status"": ""insufficient""}]","[""السياق لا يحتوي على أدلة مباشرة عن إجراءات استعادة طول الضرس القصير لتركيب كراون.""]",[],"[""العلاقات المسترجعة تتعلق ببرد الأسنان وحساسية التخدير، ولا ترتبط بحلول بديلة للكراون.""]",يُنصح بالتشاور مع طبيب مختص لإجراء تقييم معمق وتحديد خيارات العلاج المناسبة.,groq,qwen/qwen3-32b
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,الحرقة في المهبل التي تشعر بها زوجتك مرتبطة بالتهابات نسائية [E1]، ولا يوجد تأثير على الجنين [E1]. العلاقة بين الاتصال الجنسي والحرقة غير مذكورة في الأدلة المتوفرة.,"[{""claim_ar"": ""الحرقة في المهبل تشير إلى وجود التهابات نسائية"", ""citations"": [""E1"", ""E2""], ""source_qa_ids"": [""ahd5k_01099"", ""ahd5k_01099""], ""support_status"": ""supported""}, {""claim_ar"": ""لا يوجد تأثير على الجنين من الحرقة الناتجة عن التهابات نسائية"", ""citations"": [""E1""], ""source_qa_ids"": [""ahd5k_01099""], ""support_status"": ""supported""}]","[""الالتهابات النسائية تسبب حرقه في المهبل [E1]"", ""الحرقة في المهبل تشير إلى وجود التهابات نسائية [E2]""]","[""التهاب --HAS_SYMPTOM--> حرقه"", ""حرقه --SYMPTOM_OF--> التهاب""]","[""العلاقة بين الاتصال الجنسي والحرقة غير متوفرة في الأدلة"", ""موثوقية العلاقات المتوفرة محدودة""]",يُنصح باستشارة طبيب مختص لتأكيد التشخيص وضمان سلامة الحمل.,groq,qwen/qwen3-32b
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,الأعراض المذكورة (دوار، دقات سريعة للقلب، شعور برأس ثقيل، وغيبوبة مؤقتة) قد تكون مرتبطة بحالات متعددة تتطلب تقييمًا طبيًا شاملًا. لا توجد أدلة كافية في السياق المقدم لربط هذه الأعراض مباشرة بفقر الدم أو أي تشخيص محدد آخر. يُنصح بالاستعانة بخبير طبي لإجراء فحوصات إضافية.,"[{""claim_ar"": ""الأعراض المذكورة قد تكون مرتبطة بحالات تتطلب تقييمًا طبيًا"", ""citations"": [], ""source_qa_ids"": [], ""support_status"": ""insufficient""}]","[""- لا توجد علاقات مباشرة بين الأعراض المذكورة وفقر الدم أو الحالات الأخرى في السياق المقدم.""]",[],"[""العلاقات المُسترجعة تركز على إدارة فقر الدم والتغذية، ولا تغطي الأعراض المذكورة في السؤال.""]",يُنصح بالاستعانة بخبير طبي لإجراء فحوصات إضافية وتحديد السبب الدقيق للأعراض.,groq,qwen/qwen3-32b
