query_id,source_entity_row,canonical_name,canonical_name_norm,entity_type,mapping_status,match_type,selected_entity_id,selected_canonical_name,candidate_entity_ids,candidate_count
entitygtv1_001,2,التهاب,التهاب,DiseaseCondition,mapped,exact_canonical,ent_merge_000059,التهاب,ent_merge_000059,1
entitygtv1_002,3,عرق السوس,عرق السوس,Treatment,mapped,exact_canonical,ent_merge_001455,عرق السوس,ent_merge_001455,1
entitygtv1_002,50,عرق السوس,عرق السوس,Treatment,mapped,exact_canonical,ent_merge_001455,عرق السوس,ent_merge_001455,1
entitygtv1_003,4,مشاية,مشايه,Treatment,mapped,exact_canonical,ent_merge_001596,مشاية,ent_merge_001596,1
entitygtv1_004,5,تناول مضادات الحموضة,تناول مضادات الحموضه,Treatment,mapped,exact_canonical,ent_merge_001343,تناول مضادات الحموضة,ent_merge_001343,1
entitygtv1_005,6,الشيب,الشيب,DiseaseCondition,mapped,exact_canonical,ent_merge_000148,الشيب,ent_merge_000148,1
entitygtv1_006,7,القلق,القلق,Symptom,mapped,exact_canonical,ent_merge_000670,القلق,ent_merge_000670,1
entitygtv1_006,185,عدم انتظام الدوره الشهريه,عدم انتظام الدوره الشهريه,DiseaseCondition,unresolved,none,,,,0
entitygtv1_007,8,جراحة تجميلية,جراحه تجميليه,Treatment,mapped,exact_canonical,ent_merge_001360,جراحة تجميلية,ent_merge_001360,1
entitygtv1_008,9,الجراحة التجميلية,الجراحه التجميليه,Treatment,mapped,exact_canonical,ent_merge_002050,الجراحة التجميلية,ent_merge_002050,1
entitygtv1_009,10,زوتريم,زوتريم,Treatment,mapped,exact_canonical,ent_merge_001424,زوتريم,ent_merge_001424,1
entitygtv1_009,83,غثيان,غثيان,Symptom,mapped,exact_canonical,ent_merge_000859,غثيان,ent_merge_000859,1
entitygtv1_010,11,العقم,العقم,DiseaseCondition,mapped,exact_canonical,ent_merge_000157,العقم,ent_merge_000157,1
entitygtv1_011,12,التهاب الجلد,التهاب الجلد,DiseaseCondition,unresolved,none,,,,0
entitygtv1_011,192,التهاب الجلد,التهاب الجلد,DiseaseCondition,unresolved,none,,,,0
entitygtv1_012,13,انسداد البلعوم,انسداد البلعوم,DiseaseCondition,mapped,exact_canonical,ent_merge_001770,انسداد البلعوم,ent_merge_001770,1
entitygtv1_012,200,انسداد البلعوم,انسداد البلعوم,DiseaseCondition,mapped,exact_canonical,ent_merge_001770,انسداد البلعوم,ent_merge_001770,1
entitygtv1_013,14,التهاب,التهاب,DiseaseCondition,mapped,exact_canonical,ent_merge_000059,التهاب,ent_merge_000059,1
entitygtv1_014,15,نسبه فيتامين د,نسبه فيتامين د,Test,unresolved,none,,,,0
entitygtv1_015,16,فحص قوة الدم,فحص قوه الدم,Test,mapped,exact_canonical,ent_merge_001054,فحص قوة الدم,ent_merge_001054,1
entitygtv1_016,17,ورم,ورم,DiseaseCondition,mapped,exact_canonical,ent_merge_000568,ورم,ent_merge_000568,1
entitygtv1_016,238,كيس داخل الرحم,كيس داخل الرحم,DiseaseCondition,unresolved,none,,,,0
entitygtv1_017,18,كتلة دهنية,كتله دهنيه,DiseaseCondition,mapped,exact_canonical,ent_merge_000471,كتلة دهنية,ent_merge_000471,1
entitygtv1_017,227,كتلة دهنية,كتله دهنيه,DiseaseCondition,mapped,exact_canonical,ent_merge_000471,كتلة دهنية,ent_merge_000471,1
entitygtv1_018,19,MUCOSOLVAN,mucosolvan,Treatment,mapped,exact_canonical,ent_merge_001115,MUCOSOLVAN,ent_merge_001115,1
entitygtv1_019,20,الحساسيه الانفيه,الحساسيه الانفيه,DiseaseCondition,unresolved,none,,,,0
entitygtv1_020,21,دوالي الخصية,دوالي الخصيه,DiseaseCondition,mapped,exact_canonical,ent_merge_000366,دوالي الخصية,ent_merge_000366,1
entitygtv1_020,181,دوالي الخصية,دوالي الخصيه,DiseaseCondition,mapped,exact_canonical,ent_merge_000366,دوالي الخصية,ent_merge_000366,1
entitygtv1_021,22,النعاس,النعاس,Symptom,mapped,exact_canonical,ent_merge_000687,النعاس,ent_merge_000687,1
entitygtv1_021,51,النعاس,النعاس,Symptom,mapped,exact_canonical,ent_merge_000687,النعاس,ent_merge_000687,1
entitygtv1_022,23,التراساوند,التراساوند,Test,mapped,exact_canonical,ent_merge_000936,التراساوند,ent_merge_000936,1
entitygtv1_023,24,التهاب في العصب,التهاب في العصب,DiseaseCondition,unresolved,none,,,,0
entitygtv1_024,25,تورم القدمين,تورم القدمين,Symptom,unresolved,none,,,,0
entitygtv1_025,26,قهوة,قهوه,Treatment,mapped,exact_alias,ent_merge_001234,القهوه,ent_merge_001234,1
entitygtv1_026,27,المرض,المرض,DiseaseCondition,mapped,exact_canonical,ent_merge_000179,المرض,ent_merge_000179,1
entitygtv1_026,241,المرض,المرض,DiseaseCondition,mapped,exact_canonical,ent_merge_000179,المرض,ent_merge_000179,1
entitygtv1_027,28,شرخ فى جدار المعده,شرخ في جدار المعده,DiseaseCondition,unresolved,none,,,,0
entitygtv1_028,29,التهاب اوتار,التهاب اوتار,DiseaseCondition,mapped,exact_alias,ent_merge_000059,التهاب,ent_merge_000059,1
entitygtv1_029,30,متلازمه تكيس المبايض,متلازمه تكيس المبايض,DiseaseCondition,unresolved,none,,,,0
entitygtv1_030,31,dexon,dexon,Treatment,mapped,exact_canonical,ent_merge_001102,dexon,ent_merge_001102,1
entitygtv1_031,32,التهاب القولون,التهاب القولون,DiseaseCondition,mapped,exact_canonical,ent_merge_000080,التهاب القولون,ent_merge_000080,1
