query_id,mode,claim_id,claim_text,response_text,cited_evidence_ids,cited_qa_ids,human_support_label,human_citation_valid,human_medical_correctness,human_hallucination_label,harm_severity,annotator_id,annotation_timestamp_utc,adjudication_status,adjudicator_id,annotation_notes
evalv1_001,reference_answer,evalv1_001_reference_c01,لماذا تم اجراء هذا الفحص ؟,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,,,supported,not_applicable,uncertain,no,none,dataset_preannotation_v1,,provisional_dataset_annotation,,"PROVISIONAL claim candidate split from the original dataset reference answer; human must confirm atomicity, correctness, and overwrite all provisional human_* labels; source_qa_id=ahd5k_04855"
evalv1_001,reference_answer,evalv1_001_reference_c02,عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون.,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,,,supported,not_applicable,uncertain,no,none,dataset_preannotation_v1,,provisional_dataset_annotation,,"PROVISIONAL claim candidate split from the original dataset reference answer; human must confirm atomicity, correctness, and overwrite all provisional human_* labels; source_qa_id=ahd5k_04855"
evalv1_001,reference_answer,evalv1_001_reference_c03,هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,,,supported,not_applicable,uncertain,no,none,dataset_preannotation_v1,,provisional_dataset_annotation,,"PROVISIONAL claim candidate split from the original dataset reference answer; human must confirm atomicity, correctness, and overwrite all provisional human_* labels; source_qa_id=ahd5k_04855"
evalv1_002,reference_answer,evalv1_002_reference_c01,راجع اختصاصي باطنية عمل فحص شامل للدم والبول والبراز، وضغط الدم وما يلزم للمتابعة والتشخيص الدقيق.,راجع اختصاصي باطنية عمل فحص شامل للدم والبول والبراز، وضغط الدم وما يلزم للمتابعة والتشخيص الدقيق.,,,supported,not_applicable,uncertain,no,none,dataset_preannotation_v1,,provisional_dataset_annotation,,"PROVISIONAL claim candidate split from the original dataset reference answer; human must confirm atomicity, correctness, and overwrite all provisional human_* labels; source_qa_id=ahd5k_04950"
evalv1_003,reference_answer,evalv1_003_reference_c01,الفحص الطبي هو استقصاء ناقد ومعاينة بهدف التشخيص.,الفحص الطبي هو استقصاء ناقد ومعاينة بهدف التشخيص.ويشمل جميع الوسائل التي تفيد في تحقيق الهدف، من الفحص السريري ثم المختبر والأشعة بأنواعها والفحوصات الخاصة لأمراض معينة مثل فحص الحمل والسكري وفحص الدم للسرطان وغيرها كثير،، يفيد مراجعتك للمفردات تحت بند التشخيص في مواضيع خاصة.,,,supported,not_applicable,uncertain,no,none,dataset_preannotation_v1,,provisional_dataset_annotation,,"PROVISIONAL claim candidate split from the original dataset reference answer; human must confirm atomicity, correctness, and overwrite all provisional human_* labels; source_qa_id=ahd5k_00570"
evalv1_003,reference_answer,evalv1_003_reference_c02,ويشمل جميع الوسائل التي تفيد في تحقيق الهدف، من الفحص السريري ثم المختبر والأشعة بأنواعها والفحوصات الخاصة لأمراض معينة مثل فحص الحمل والسكري وفحص الدم للسرطان وغيرها كثير،، يفيد مراجعتك للمفردات تحت بند التشخيص في مواضيع خاصة.,الفحص الطبي هو استقصاء ناقد ومعاينة بهدف التشخيص.ويشمل جميع الوسائل التي تفيد في تحقيق الهدف، من الفحص السريري ثم المختبر والأشعة بأنواعها والفحوصات الخاصة لأمراض معينة مثل فحص الحمل والسكري وفحص الدم للسرطان وغيرها كثير،، يفيد مراجعتك للمفردات تحت بند التشخيص في مواضيع خاصة.,,,supported,not_applicable,uncertain,no,none,dataset_preannotation_v1,,provisional_dataset_annotation,,"PROVISIONAL claim candidate split from the original dataset reference answer; human must confirm atomicity, correctness, and overwrite all provisional human_* labels; source_qa_id=ahd5k_00570"
evalv1_004,reference_answer,evalv1_004_reference_c01,اذا ما تم استعمال هذه المسكنات في المستشفى وتحت اشراف طبي فلا خوف منها ان شاء الله اما المسكنات فهناك انواع منها على شكل ابر ومنها غاز يتم استنشاقه ومنها التخدير النصفي ( ابرة الظهر ) وسوف يقوم طبيبك بتحديد ما يناسبك ومناقشة الأمر معك,اذا ما تم استعمال هذه المسكنات في المستشفى وتحت اشراف طبي فلا خوف منها ان شاء الله اما المسكنات فهناك انواع منها على شكل ابر ومنها غاز يتم استنشاقه ومنها التخدير النصفي ( ابرة الظهر ) وسوف يقوم طبيبك بتحديد ما يناسبك ومناقشة الأمر معك,,,supported,not_applicable,uncertain,no,none,dataset_preannotation_v1,,provisional_dataset_annotation,,"PROVISIONAL claim candidate split from the original dataset reference answer; human must confirm atomicity, correctness, and overwrite all provisional human_* labels; source_qa_id=ahd5k_04806"
evalv1_005,reference_answer,evalv1_005_reference_c01,بسم الله الرحمن الرحيم هنا الرؤيا بالنظارة احسن .,بسم الله الرحمن الرحيم هنا الرؤيا بالنظارة احسن . فلا ضير من استمرار لبس النظارة الطبية. في هذا العمر يعتبر النظر ثابت وما راح يضعف اكثر. تحتاجي لمراجعة عيادة العيون كل ستة شهور ويمكن عمل فحوصات للتأكد فيما اذا كنت قد تستفيدي من عملية تصحيح البصر والتخلص من النظارة الطبية .,,,supported,not_applicable,uncertain,no,none,dataset_preannotation_v1,,provisional_dataset_annotation,,"PROVISIONAL claim candidate split from the original dataset reference answer; human must confirm atomicity, correctness, and overwrite all provisional human_* labels; source_qa_id=ahd5k_03589"
evalv1_005,reference_answer,evalv1_005_reference_c02,فلا ضير من استمرار لبس النظارة الطبية.,بسم الله الرحمن الرحيم هنا الرؤيا بالنظارة احسن . فلا ضير من استمرار لبس النظارة الطبية. في هذا العمر يعتبر النظر ثابت وما راح يضعف اكثر. تحتاجي لمراجعة عيادة العيون كل ستة شهور ويمكن عمل فحوصات للتأكد فيما اذا كنت قد تستفيدي من عملية تصحيح البصر والتخلص من النظارة الطبية .,,,supported,not_applicable,uncertain,no,none,dataset_preannotation_v1,,provisional_dataset_annotation,,"PROVISIONAL claim candidate split from the original dataset reference answer; human must confirm atomicity, correctness, and overwrite all provisional human_* labels; source_qa_id=ahd5k_03589"
evalv1_005,reference_answer,evalv1_005_reference_c03,في هذا العمر يعتبر النظر ثابت وما راح يضعف اكثر.,بسم الله الرحمن الرحيم هنا الرؤيا بالنظارة احسن . فلا ضير من استمرار لبس النظارة الطبية. في هذا العمر يعتبر النظر ثابت وما راح يضعف اكثر. تحتاجي لمراجعة عيادة العيون كل ستة شهور ويمكن عمل فحوصات للتأكد فيما اذا كنت قد تستفيدي من عملية تصحيح البصر والتخلص من النظارة الطبية .,,,supported,not_applicable,uncertain,no,none,dataset_preannotation_v1,,provisional_dataset_annotation,,"PROVISIONAL claim candidate split from the original dataset reference answer; human must confirm atomicity, correctness, and overwrite all provisional human_* labels; source_qa_id=ahd5k_03589"
