alias,alias_norm,entity_id,canonical_name,entity_type,support_count,source_chunks,qa_ids
Acanthosis nigricans,acanthosis nigricans,ent_diseasecondition_e04a557cb82b,Acanthosis nigricans,DiseaseCondition,0,"[""chunk_00052""]","[""ahd5k_04944""]"
acanthosis nigricans,acanthosis nigricans,ent_diseasecondition_e04a557cb82b,Acanthosis nigricans,DiseaseCondition,1,"[""chunk_00052""]","[""ahd5k_04944""]"
Achondroplasia,achondroplasia,ent_diseasecondition_5f5cc11b7f72,Achondroplasia,DiseaseCondition,1,"[""chunk_00147""]","[""ahd5k_04892""]"
GH,gh,ent_diseasecondition_8d0f4dc232cb,Growth Hormone,DiseaseCondition,0,"[""chunk_00171""]","[""ahd5k_04373""]"
Growth Hormone,growth hormone,ent_diseasecondition_8d0f4dc232cb,Growth Hormone,DiseaseCondition,0,"[""chunk_00171""]","[""ahd5k_04373""]"
Hashimot,hashimot,ent_diseasecondition_e70dbd4b1bf0,Hashimot,DiseaseCondition,1,"[""chunk_00171""]","[""ahd5k_03831""]"
Hashimot's disease,hashimot's disease,ent_diseasecondition_e70dbd4b1bf0,Hashimot,DiseaseCondition,0,"[""chunk_00171""]","[""ahd5k_03831""]"
Hashimoto,hashimoto,ent_diseasecondition_81ee665c48f1,Hashimoto,DiseaseCondition,0,"[""chunk_00157""]","[""ahd5k_03394""]"
Hashimotou,hashimotou,ent_diseasecondition_81ee665c48f1,Hashimoto,DiseaseCondition,0,"[""chunk_00157""]","[""ahd5k_03394""]"
Hypothyroidism,hypothyroidism,ent_diseasecondition_85bdadb0e2a2,Hypothyroidism,DiseaseCondition,0,"[""chunk_00171""]","[""ahd5k_04335""]"
ITP,itp,ent_diseasecondition_d039dca7a8c0,النقص الشديد للصفائح,DiseaseCondition,1,"[""chunk_00057""]","[""ahd5k_00203""]"
Pallister Killian syndrome,pallister killian syndrome,ent_diseasecondition_ae3dd473a795,Pallister Killian syndrome,DiseaseCondition,1,"[""chunk_00147""]","[""ahd5k_04892""]"
Rhizomelic and Micromelia,rhizomelic and micromelia,ent_diseasecondition_d66c4956707a,Rhizomelic and Micromelia,DiseaseCondition,1,"[""chunk_00147""]","[""ahd5k_04892""]"
Systic Hygroma,systic hygroma,ent_diseasecondition_7f8719b1c99d,سيستي هيدروما,DiseaseCondition,1,"[""chunk_00043""]","[""ahd5k_03893""]"
Underactive thyroid,underactive thyroid,ent_diseasecondition_85bdadb0e2a2,Hypothyroidism,DiseaseCondition,0,"[""chunk_00171""]","[""ahd5k_04335""]"
ارتجاج دماغي,ارتجاج دماغي,ent_diseasecondition_4c4500ee0d57,ارتجاج دماغي,DiseaseCondition,1,"[""chunk_00200""]","[""ahd5k_02003""]"
ارتخاء,ارتخاء,ent_diseasecondition_d570c92436e9,ارتخاء,DiseaseCondition,0,"[""chunk_00027""]","[""ahd5k_01181"", ""ahd5k_04566""]"
ارتخاء الصمام الميترالي,ارتخاء الصمام الميترالي,ent_diseasecondition_af6114123652,ارتخاء الصمام الميترالي,DiseaseCondition,0,"[""chunk_00075""]","[""ahd5k_04352""]"
ارتفاع الكلسترول,ارتفاع الكلسترول,ent_diseasecondition_b774b131180f,ارتفاع الكلسترول,DiseaseCondition,0,"[""chunk_00088""]","[""ahd5k_01558""]"
ارتفاع ضغط,ارتفاع ضغط,ent_diseasecondition_db17a406c72e,ارتفاع ضغط الدم,DiseaseCondition,0,"[""chunk_00026"", ""chunk_00051"", ""chunk_00052"", ""chunk_00069"", ""chunk_00070"", ""chunk_00083"", ""chunk_00140"", ""chunk_00196""]","[""ahd5k_00065"", ""ahd5k_00237"", ""ahd5k_00823"", ""ahd5k_01005"", ""ahd5k_01682"", ""ahd5k_01761"", ""ahd5k_01763"", ""ahd5k_02399"", ""ahd5k_03242"", ""ahd5k_03423"", ""ahd5k_03624"", ""ahd5k_03983"", ""ahd5k_04477"", ""ahd5k_04701"", ""ahd5k_04944"", ""ahd5k_04975""]"
ارتفاع ضغط الدم,ارتفاع ضغط الدم,ent_diseasecondition_db17a406c72e,ارتفاع ضغط الدم,DiseaseCondition,8,"[""chunk_00026"", ""chunk_00052"", ""chunk_00069"", ""chunk_00070"", ""chunk_00083"", ""chunk_00140"", ""chunk_00196""]","[""ahd5k_00065"", ""ahd5k_02399"", ""ahd5k_03242"", ""ahd5k_03423"", ""ahd5k_03983"", ""ahd5k_04477"", ""ahd5k_04944"", ""ahd5k_04975""]"
