query_id,query,stage,result_type,relevant_total,retrieved_relevant_at_5,recall_at_5,mrr,ndcg_at_10,ragas_context_precision,ragas_context_recall
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,hybrid_retrieval,relation,62,4,0.064516,1.0,0.826333,,
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,hybrid_retrieval,context,54,4,0.074074,1.0,0.826333,1.0,0.296296
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,hybrid_retrieval,relation,3,0,0.0,0.0,0.0,,
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,hybrid_retrieval,context,2,0,0.0,0.111111,0.184576,0.1,1.0
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,hybrid_retrieval,relation,15,5,0.333333,1.0,0.648932,,
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,hybrid_retrieval,context,12,5,0.416667,1.0,0.648932,1.0,1.0
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,hybrid_retrieval,relation,22,3,0.136364,1.0,0.766349,,
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,hybrid_retrieval,context,17,3,0.176471,1.0,0.766349,0.966667,0.764706
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,hybrid_retrieval,relation,5,2,0.4,1.0,0.553146,,
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,hybrid_retrieval,context,3,2,0.666667,1.0,0.765361,0.433333,1.0
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,hybrid_retrieval,relation,15,4,0.266667,1.0,0.510069,,
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,hybrid_retrieval,context,13,4,0.307692,1.0,0.510069,1.0,0.461538
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,hybrid_retrieval,relation,8,2,0.25,1.0,0.379414,,
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,hybrid_retrieval,context,4,2,0.5,1.0,0.826237,0.333333,1.0
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,hybrid_retrieval,relation,8,2,0.25,1.0,0.379414,,
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,hybrid_retrieval,context,6,2,0.333333,1.0,0.645863,0.4,1.0
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,hybrid_retrieval,relation,5,1,0.2,1.0,0.33916,,
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,hybrid_retrieval,context,3,2,0.666667,1.0,0.817981,0.266667,1.0
