query_id,query,final_answer_ar,explanation_ar,answerability_label,supporting_relations,sources_and_evidence,overall_reliability_score,reliability_score,reliability_label,relation_confidence,source_reliability,evidence_coverage,claim_support_rate,hallucination_rate,supporting_relation_count,unique_source_count,removed_claims,limitations_ar
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,تجنب المنتجات التي تحتوي على الجلوتين قد يساعد في تحسين الحساسية [E1 | ahd5k_00812] مضادات الهيستامين مثل تيليفاست قد تكون مفيدة في الحساسية [E4 | ahd5k_02470],تم دعم الإجابة بواسطة 2 علاقة طبية مسترجعة. اعتمدت الإجابة على 5 أدلة مصدرية من قاعدة AHD. درجة الثقة حُسبت من دعم الادعاءات، تغطية الأدلة، ثقة العلاقات، موثوقية المصادر، ومعدل الهلوسة. تم حذف الادعاءات غير المدعومة قبل إخراج الإجابة النهائية.,answerable,"[""حساسية --TREATED_BY--> تجنب المنتجات التي تحوي جلوتين"", ""حساسية --TREATED_BY--> تيليفاست""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_00812"", ""evidence_text"": ""للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين"", ""relation"": ""حساسية --TREATED_BY--> تجنب المنتجات التي تحوي جلوتين""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_01231"", ""evidence_text"": ""استخدمي مضاد هيسامين وكورتيزون موضعي"", ""relation"": ""حساسية --TREATED_BY--> مضاد الهيستامين""}, {""evidence_id"": ""E4"", ""qa_id"": ""ahd5k_02470"", ""evidence_text"": ""مضاد للهيستامين مثل تيليفاست"", ""relation"": ""حساسية --TREATED_BY--> تيليفاست""}, {""evidence_id"": ""E5"", ""qa_id"": ""ahd5k_00171"", ""evidence_text"": ""طرق تخفيض الكوليسترول بدون دواء تعتمد على الجهد والتمارين خاصة المشي والحمية وتجنب الدهون الحيوانية والمقليات."", ""relation"": ""ارتفاع الكوليسترول --MANAGED_BY--> تقليل الدهون والرياضة""}, {""evidence_id"": ""E6"", ""qa_id"": ""ahd5k_00020"", ""evidence_text"": ""اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز"", ""relation"": ""حساسية --TREATED_BY--> حليب مكسر بروتين الحليب""}]",0.8594,0.8594,high,0.7754,0.9542,0.3333,1.0,0.0,2,2,[],"[""عدم وجود أدلة مباشرة لعلاج البلغم المزمن رغم تناول هلاج"", ""العلاقات المتوفرة تركز على الحساسية العامة وليس البلغم المزمن""]"
trial_query_077,كيف اعالج علامات الشيخوخة المبكرة بالوجه؟,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.,لم يتم إصدار إجابة طبية لأن الأدلة المسترجعة لا تدعم ادعاءات كافية. الجملة الخاصة باستشارة الطبيب تُعامل كتنبيه سلامة ثابت وليست ادعاءً طبياً محسوباً ضمن الأدلة.,insufficient_evidence,[],"[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_00255"", ""evidence_text"": ""عمل منظار قنوات مرارية الف سلامة"", ""relation"": ""تضيق القنوات الموجودة داخل الكبد --TREATED_BY--> منظار قنوات مرارية الف سلامة""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_02039"", ""evidence_text"": ""لابد من رؤيتها من قبل طبيب وعمل تحاليل خاصه بالحساسيه"", ""relation"": ""حساسية --DIAGNOSED_BY--> تحاليل مخبرية""}, {""evidence_id"": ""E4"", ""qa_id"": ""ahd5k_01537"", ""evidence_text"": ""اشعة بالصبغة"", ""relation"": ""انتفاخ --INVESTIGATED_BY--> اشعة""}]",0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0,0,[],"[""عدم توفر علاقات أو أدلة مباشرة متعلقة بعلاج علامات الشيخوخة المبكرة""]"
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,يُنصح بإعطاء المصاب عسلًا تحت لسانه في حالة انخفاض السكر مع فقدان الوعي [E3 | ahd5k_00992],تم دعم الإجابة بواسطة 1 علاقة طبية مسترجعة. اعتمدت الإجابة على 4 أدلة مصدرية من قاعدة AHD. درجة الثقة حُسبت من دعم الادعاءات، تغطية الأدلة، ثقة العلاقات، موثوقية المصادر، ومعدل الهلوسة. تم حذف الادعاءات غير المدعومة قبل إخراج الإجابة النهائية.,answerable,"[""فقدان الوعي --TREATED_BY--> عسل""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_04912"", ""evidence_text"": ""مع العلم أن المريض يعاني من مرض السكر"", ""relation"": ""مرض السكري --HAS_SYMPTOM--> ضغط الدم""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_01294"", ""evidence_text"": ""مرض السكري وضغط الدمز"", ""relation"": ""مرض السكري --HAS_SYMPTOM--> ضغط الدم""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_00992"", ""evidence_text"": ""يجب عليك اعطاء المصاب عسل تحت لسانه"", ""relation"": ""فقدان الوعي --TREATED_BY--> عسل""}, {""evidence_id"": ""E4"", ""qa_id"": ""ahd5k_01551"", ""evidence_text"": ""تحاليل مخبرية"", ""relation"": ""مرض السكري --DIAGNOSED_BY--> تحاليل مخبرية""}]",0.8394,0.8394,high,0.8271,0.9594,0.1429,1.0,0.0,1,1,[],"[""العسل موصى به بناءً على دليل متوسط التأكد، ولا توجد أدلة إضافية عن طرق أخرى للعلاج الإسعافي.""]"
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.,لم يتم إصدار إجابة طبية لأن الأدلة المسترجعة لا تدعم ادعاءات كافية. الجملة الخاصة باستشارة الطبيب تُعامل كتنبيه سلامة ثابت وليست ادعاءً طبياً محسوباً ضمن الأدلة.,insufficient_evidence,"[""انتفاخ --INVESTIGATED_BY--> اشعة"", ""اشعة --INVESTIGATES--> انتفاخ""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01537"", ""evidence_text"": ""اشعة بالصبغة"", ""relation"": ""انتفاخ --INVESTIGATED_BY--> اشعة""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_00035"", ""evidence_text"": ""مستوى الهرمون في الدم"", ""relation"": ""مرض الغدة الدرقية --DIAGNOSED_BY--> الهرمون""}, {""evidence_id"": ""E4"", ""qa_id"": ""ahd5k_04844"", ""evidence_text"": ""أشعة"", ""relation"": ""أشعة --DIAGNOSES--> تسوس الأسنان""}, {""evidence_id"": ""E6"", ""qa_id"": ""ahd5k_00114"", ""evidence_text"": ""اجراء صورة اشعة عادية للحوض"", ""relation"": ""التهاب --DIAGNOSED_BY--> اشعة""}]",0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0,0,"[""الأشعة المقطعية بالصبغة تُستخدم لفحص الأعراض مثل الانتفاخ، لكن تفسير النتائج يتطلب تحليل تقرير الأشعة""]","[""عدم وجود أدلة مباشرة عن علاقة الأشعة بالصبغة بالانتفاخ في الغدة الدرقية أو الوجه"", ""الاعتماد على استفسار عام عن نتائج الأشعة دون تحليل مفصل""]"
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,يجب إجراء الفحص السريري والتحاليل المخبرية لتحديد السبب الجذري قبل تحديد العلاج [E1 | ahd5k_04490],تم دعم الإجابة بواسطة 1 علاقة طبية مسترجعة. اعتمدت الإجابة على 4 أدلة مصدرية من قاعدة AHD. درجة الثقة حُسبت من دعم الادعاءات، تغطية الأدلة، ثقة العلاقات، موثوقية المصادر، ومعدل الهلوسة. تم حذف الادعاءات غير المدعومة قبل إخراج الإجابة النهائية.,answerable,"[""حساسية الصدر --HAS_SYMPTOM--> سعال""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_04490"", ""evidence_text"": ""حساسية الصدر and سعال co-occur with explicit symptom-pathology link"", ""relation"": ""حساسية الصدر --HAS_SYMPTOM--> سعال""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_00666"", ""evidence_text"": ""التهاب في المثانة أو الإحليل يسبب خروج الدم"", ""relation"": ""التهاب --HAS_SYMPTOM--> الدم""}, {""evidence_id"": ""E5"", ""qa_id"": ""ahd5k_00666"", ""evidence_text"": ""تصوير الجهاز البولي لتحديد سبب التهاب المثانة"", ""relation"": ""التهاب --DIAGNOSED_BY--> تصوير الجهاز البولي""}, {""evidence_id"": ""E6"", ""qa_id"": ""ahd5k_00666"", ""evidence_text"": ""تصوير الجهاز البولي لتحديد مكان خروج الدم"", ""relation"": ""الدم --INVESTIGATED_BY--> تصوير الجهاز البولي""}]",0.7355,0.7355,medium,0.5059,0.8973,0.1667,1.0,0.0,1,1,[],"[""البيانات المُسترجعة لا تشمل أدلة مباشرة عن ارتفاع نسبة الأملاح في الدم أو علاجه"", ""العلاقات الطبية المُسترجعة تركز على التهابات المسالك البولية وليس اضطرابات الإلكتروليت""]"
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,"الصداع قد يكون أحد أعراض التهاب السحايا أو التهاب الجيوب الأنفية أو الصداع التوتري [E1,E2,E3 | ahd5k_02662,ahd5k_02662,ahd5k_02662]",تم دعم الإجابة بواسطة 3 علاقة طبية مسترجعة. اعتمدت الإجابة على 3 أدلة مصدرية من قاعدة AHD. درجة الثقة حُسبت من دعم الادعاءات، تغطية الأدلة، ثقة العلاقات، موثوقية المصادر، ومعدل الهلوسة. تم حذف الادعاءات غير المدعومة قبل إخراج الإجابة النهائية.,answerable,"[""التهاب السحايا --HAS_SYMPTOM--> صداع"", ""صداع --SYMPTOM_OF--> التهاب السحايا"", ""التهاب الجيوب الأنفية --HAS_SYMPTOM--> صداع""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_02662"", ""evidence_text"": ""صداع"", ""relation"": ""التهاب السحايا --HAS_SYMPTOM--> صداع""}, {""evidence_id"": ""E5"", ""qa_id"": ""ahd5k_00780"", ""evidence_text"": ""الصداع التوتري قد يظهر كصداع يختلف حدته"", ""relation"": ""صداع --SYMPTOM_OF--> الصداع التوتري""}, {""evidence_id"": ""E6"", ""qa_id"": ""ahd5k_04356"", ""evidence_text"": ""ضرس العقل"", ""relation"": ""ضرس العقل --HAS_SYMPTOM--> صداع""}]",0.8772,0.8772,high,0.7318,0.9498,0.5,1.0,0.0,3,1,[],"[""البيانات المُسترجعة لا تتضمن تفاصيل محددة عن التحاليل المطلوبة لتأكيد التشخيص.""]"
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,"يمكن استخدام ايزومبرازول 40 مجم يومياً لمدة 3 شهور لعلاج القرحة بدون نزيف [E1,E3 | ahd5k_01066,ahd5k_01066] عدم تحسن الحالة خلال العلاج يتطلب الذهاب إلى المستشفى [E1,E3 | ahd5k_01066,ahd5k_01066]",تم دعم الإجابة بواسطة 2 علاقة طبية مسترجعة. اعتمدت الإجابة على 2 أدلة مصدرية من قاعدة AHD. درجة الثقة حُسبت من دعم الادعاءات، تغطية الأدلة، ثقة العلاقات، موثوقية المصادر، ومعدل الهلوسة. تم حذف الادعاءات غير المدعومة قبل إخراج الإجابة النهائية.,answerable,"[""قرحة --TREATED_BY--> ايزومبرازول"", ""ايزومبرازول --TREATS--> قرحة""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01066"", ""evidence_text"": ""ممكن تجرب دواء اسمه ايزومبرازول"", ""relation"": ""قرحة --TREATED_BY--> ايزومبرازول""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_03807"", ""evidence_text"": ""مضادات حيويه نكسيوم و كلاريثرومايسين واموكسسلين"", ""relation"": ""الملوية البوابية --TREATED_BY--> الدواء""}]",0.8072,0.8072,high,0.4711,0.7438,0.5,1.0,0.0,2,1,[],"[""البيانات المتوفرة لا تشمل إدارة الغثيان مباشرة"", ""العلاقة بين الدواء والقرحة ذات موثوقية محدودة""]"
trial_query_083,ما البديل لعمل كراون للضرس في حال كان طول الضرس قصير بسبب كسر وتآكل في السطح بعد حشو عصب مع حجم طبيعي للضرس ،حتى يعود يصبح في طول يسمح بتركيب...,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.,لم يتم إصدار إجابة طبية لأن الأدلة المسترجعة لا تدعم ادعاءات كافية. الجملة الخاصة باستشارة الطبيب تُعامل كتنبيه سلامة ثابت وليست ادعاءً طبياً محسوباً ضمن الأدلة.,insufficient_evidence,[],"[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_00484"", ""evidence_text"": ""لا توجد علاقة مرتبطة بين حشو الأسنان وغمازة الوجه حسب مصدر AHD."", ""relation"": ""حشو الأسنان --NOT_ASSOCIATED_WITH--> غمازة الوجه""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_00484"", ""evidence_text"": ""إذا تم تخدير منطقة الغمازة بمخدر قوي وكمية كبيرة فقد تزول الحالة خلال 24-48 ساعة."", ""relation"": ""تخدير موضعي قوي --MAY_TEMPORARILY_AFFECT--> غمازة الوجه""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_00828"", ""evidence_text"": ""كثرة برد الأسنان قد تؤثر على الأسنان وتجعلها حساسة."", ""relation"": ""برد الأسنان --HAS_RISK--> حساسية الأسنان""}, {""evidence_id"": ""E4"", ""qa_id"": ""ahd5k_00828"", ""evidence_text"": ""برد الأسنان للتصغير قد يتم في جلسة واحدة، أما للتركيب وعمل أسنان صناعية فقد يحتاج جلسة أو جلستين."", ""relation"": ""برد الأسنان --PROCEDURE_DURATION--> جلسة واحدة أو جلستان""}, {""evidence_id"": ""E5"", ""qa_id"": ""ahd5k_04986"", ""evidence_text"": ""وجربت التمارين فترة بس ما لاحظت نتيجة كبيرة"", ""relation"": ""بروز في البطن --TREATED_BY--> تمارين رياضية""}]",0.2,0.2,low,0.0,0.0,0.0,0.0,0.0,0,0,[],"[""العلاقات المسترجعة تتعلق ببرد الأسنان وحساسية التخدير، ولا ترتبط بحلول بديلة للكراون.""]"
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,"الحرقة في المهبل تشير إلى وجود التهابات نسائية [E1,E2 | ahd5k_01099,ahd5k_01099] لا يوجد تأثير على الجنين من الحرقة الناتجة عن التهابات نسائية [E1 | ahd5k_01099]",تم دعم الإجابة بواسطة 2 علاقة طبية مسترجعة. اعتمدت الإجابة على 1 أدلة مصدرية من قاعدة AHD. درجة الثقة حُسبت من دعم الادعاءات، تغطية الأدلة، ثقة العلاقات، موثوقية المصادر، ومعدل الهلوسة. تم حذف الادعاءات غير المدعومة قبل إخراج الإجابة النهائية.,answerable,"[""التهاب --HAS_SYMPTOM--> حرقه"", ""حرقه --SYMPTOM_OF--> التهاب""]","[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_01099"", ""evidence_text"": ""التهابات نسائيه تسبب حرقه في المهبل"", ""relation"": ""التهاب --HAS_SYMPTOM--> حرقه""}]",0.8838,0.8838,high,0.4804,0.7447,1.0,1.0,0.0,2,1,[],"[""العلاقة بين الاتصال الجنسي والحرقة غير متوفرة في الأدلة"", ""موثوقية العلاقات المتوفرة محدودة""]"
trial_query_085,لمدا كلما انزعجت من شخص ما أشعر بدوار ودقات سريعة للقلب وشعور براسي تقيل تم يغمى علي دون الغياب عن الوعي فما تشخيصكم لهدا وشكراً جزيل,لا توجد أدلة كافية. يُنصح باستشارة طبيب مختص للحصول على تقييم دقيق.,لم يتم إصدار إجابة طبية لأن الأدلة المسترجعة لا تدعم ادعاءات كافية. الجملة الخاصة باستشارة الطبيب تُعامل كتنبيه سلامة ثابت وليست ادعاءً طبياً محسوباً ضمن الأدلة.,insufficient_evidence,[],"[{""evidence_id"": ""E1"", ""qa_id"": ""ahd5k_00594"", ""evidence_text"": ""يمكن دعم فقر الدم بنظام غذائي غني بعناصر مثل الحديد وحمض الفوليك وفيتامين ب-12، مع بقاء العلاج حسب نوع فقر الدم تحت إشراف الطبيب."", ""relation"": ""فقر الدم --MANAGED_BY--> أغذية غنية بالحديد والفولات وفيتامين ب12""}, {""evidence_id"": ""E2"", ""qa_id"": ""ahd5k_00594"", ""evidence_text"": ""تناول الأطعمة الغنية بالحديد مع أطعمة غنية بفيتامين ج مثل البرتقال والطماطم والفراولة قد يحسن الامتصاص."", ""relation"": ""أغذية غنية بالحديد والفولات وفيتامين ب12 --ABSORPTION_IMPROVED_BY--> أطعمة غنية بفيتامين ج""}, {""evidence_id"": ""E3"", ""qa_id"": ""ahd5k_00594"", ""evidence_text"": ""ينصح بتجنب تناول الأطعمة الغنية بالحديد مع القهوة أو الشاي أو الأطعمة الغنية بالكالسيوم لأنها قد تمنع امتصاص الحديد."", ""relation"": ""أغذية غنية بالحديد والفولات وفيتامين ب12 --ABSORPTION_REDUCED_BY--> الشاي والقهوة والكالسيوم مع الحديد""}, {""evidence_id"": ""E4"", ""qa_id"": ""ahd5k_04444"", ""evidence_text"": ""جرب بخاخات الماء والملح"", ""relation"": ""سيلان الانف --TREATED_BY--> بخاخات الماء والملح""}, {""evidence_id"": ""E5"", ""qa_id"": ""ahd5k_04444"", ""evidence_text"": ""لابد من عرضه على اخصائي الاطفال"", ""relation"": ""سيلان الانف --INVESTIGATED_BY--> خصائي الاطفال""}]",0.0,0.0,low,0.0,0.0,0.0,0.0,1.0,0,0,"[""الأعراض المذكورة قد تكون مرتبطة بحالات تتطلب تقييمًا طبيًا""]","[""العلاقات المُسترجعة تركز على إدارة فقر الدم والتغذية، ولا تغطي الأعراض المذكورة في السؤال.""]"
