query_id,query,hybrid_score,relation_confidence,seed_score,relation_weight,semantic_support,direction_bonus,evidence_relevance,seed_entity_id,seed_entity_name,seed_source,expansion_source,edge_id,original_relation_id,edge_direction,graph_relation_type,source_entity_id,source_name,source_type,target_entity_id,target_name,target_type,qa_id,evidence,reason
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.871748,0.95,0.82,1.0,0.53826,0.04,0.114286,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_e43cc896f52f8b30,rel_seed_e43cc896f52f8b30,direct,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_cbf0b7b10d4f,تجنب المنتجات التي تحوي جلوتين,Treatment,ahd5k_00812,للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين,Direct treatment recommendation for allergy
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.856963,0.9,0.82,1.0,0.53826,0.04,0.142857,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_036615e69fe27f5a,rel_seed_036615e69fe27f5a,direct,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_f4b5c1573769,مضاد الهيستامين,Treatment,ahd5k_01231,استخدمي مضاد هيسامين وكورتيزون موضعي,Direct treatment recommendation for allergy
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.856963,0.9,0.82,1.0,0.53826,0.04,0.142857,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_8e92aaaff3cb2b47,rel_seed_8e92aaaff3cb2b47,direct,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_843876e28a68,كورتيزون,Treatment,ahd5k_01231,استخدمي مضاد هيسامين وكورتيزون موضعي,Direct treatment recommendation for allergy
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.85182,0.9,0.82,1.0,0.53826,0.04,0.057143,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_7ce02234253ff02e,rel_seed_7ce02234253ff02e,direct,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_104bb0a91d5a,تيليفاست,Treatment,ahd5k_02470,مضاد للهيستامين مثل تيليفاست,Direct treatment recommendation for allergy
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.846477,0.99,0.82,1.0,0.217662,0.04,0.114286,supp_ent_condition_cholesterol,ارتفاع الكوليسترول,detected_alias,seed_entity_traversal,supp_rel_cholesterol_lifestyle,supp_rel_cholesterol_lifestyle,direct,MANAGED_BY,supp_ent_condition_cholesterol,ارتفاع الكوليسترول,DiseaseCondition,supp_ent_lifestyle_cholesterol,تقليل الدهون والرياضة,LifestyleRecommendation,ahd5k_00171,طرق تخفيض الكوليسترول بدون دواء تعتمد على الجهد والتمارين خاصة المشي والحمية وتجنب الدهون الحيوانية والمقليات.,dataset-derived supplemental fact from ahd5k_00171
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.837034,0.85,0.82,1.0,0.53826,0.04,0.085714,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_f0f432e62cc5ed96,rel_seed_f0f432e62cc5ed96,direct,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_0311bc90ba75,حليب مكسر بروتين الحليب,Treatment,ahd5k_00020,اعطيها حليب مكسر بروتين الحليب بالكامل او حليب رز,Direct treatment recommendation for allergy
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.83532,0.85,0.82,1.0,0.53826,0.04,0.057143,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_df369e76bea13661,rel_seed_df369e76bea13661,direct,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_45a78ee47153,نازونكس,Treatment,ahd5k_00133,بدائل يوجد نازونكس وافاميز وتابونكس وفليكسونيز,Explicit treatment alternative listed for allergy
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.827391,0.8,0.82,1.0,0.53826,0.04,0.2,ent_diseasecondition_2f75d3dabe0b,حساسية,detected_alias,seed_entity_traversal,rel_seed_4f94c296991a8bf7,rel_seed_4f94c296991a8bf7,direct,TREATED_BY,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ent_treatment_677fdfb3086e,زيت الحبة السوداء,Treatment,ahd5k_00887,علاج حساسية الأنف. ما هي فوائد زيت حبة السوداء,Direct treatment claim for nasal allergies
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.771721,0.9,1.0,0.4,0.694106,0.0,0.857143,ent_symptom_dc2c7333a505,بلغم,detected_exact,seed_entity_traversal,rel_seed_0c7a95bcebd3a487__inverse,rel_seed_0c7a95bcebd3a487,inverse,SYMPTOM_OF,ent_symptom_dc2c7333a505,بلغم,Symptom,ent_diseasecondition_2f75d3dabe0b,حساسية,DiseaseCondition,ahd5k_00970,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟,Phlegm explicitly linked to allergy condition
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,0.771721,0.9,1.0,0.4,0.694106,0.0,0.857143,ent_symptom_dc2c7333a505,بلغم,detected_exact,seed_entity_traversal,rel_seed_2d8676e4afe037e2__inverse,rel_seed_2d8676e4afe037e2,inverse,SYMPTOM_OF,ent_symptom_dc2c7333a505,بلغم,Symptom,ent_diseasecondition_1c50bd11c45a,ربو,DiseaseCondition,ahd5k_00970,هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم,Phlegm explicitly linked to asthma symptoms
