expansion_version,query_id,original_query,query_group,primary_intent,safety_mode,safety_reason,variant_c_query_source,graph_aliases_added,qa_id,source_row_number,question,answer,category,matched_variants,variant_a_rank,variant_b_rank,variant_c_rank,best_variant_rank,best_bm25_rank,variant_support_count,expansion_rank,relevance_label,error_reason,secondary_error_reason,annotator_id,annotation_status,annotation_notes
partial_only_fts_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,treatment_request,all_three_variants,,fts_variant_C_full_query,البروجيستيرون,ahdqa_0470749,470749,ما هو علاج النقص الحاد في هرمون البروجسترون,من يوم ١٦ للدوره خذي دوفاستون ٢ حبه في اليوم لمده ١٠ يوم,أمراض نسائية,B,,4,,4,-22.374203,1,9,0,unsupported recommendation,,user_human_review_20260723,human_confirmed,Validated and confirmed after Step 11 replay review.
partial_only_fts_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,treatment_request,all_three_variants,,fts_variant_C_full_query,البروجيستيرون,ahdqa_0149750,149750,"السلام عليكم
دكتور هل يعمل علاج ايتروجيستان على رفع هرمون البروجسترون وهل ان هرمون البروجسترون ثابت ام تتغير نسبته مع كل دورة ارجو الرد",هرمون البروجيسترون يكون قليلا بعد الدورة الشهرية ثم يزداد ويتغير علي مدار الشهر لحين الحيض الجديد أما إذا حدث حمل فإنه يزيد بدرجة كبيرة,أمراض نسائية,B,,5,,5,-21.916707,1,12,1,missing key constraint,,user_human_review_20260723,human_confirmed,Validated and confirmed after Step 11 replay review.
partial_only_fts_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,treatment_request,all_three_variants,,fts_variant_C_full_query,البروجيستيرون,ahdqa_0276762,276762,علاج نقص هرمون البروجسترون,نقصان البروجسترون يعنى عدم التبويض عليه تحتاجين تنشيط...راجعى طبيب خصوبة أو نسائية,أمراض نسائية,B,,3,,3,-22.812533,1,6,1,missing key constraint,,user_human_review_20260723,human_confirmed,Validated and confirmed after Step 11 replay review.
partial_only_fts_v1,evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,treatment,treatment_request,all_three_variants,,fts_variant_C_full_query,البروجيستيرون,ahdqa_0679322,679322,انا متزوجة من 6 شهور ولم يحدث حمل ...هرمون البروجستيرون منخفض الدكتورة قالتلي هتديني منشط بس جوزي يتعالج لان حركة الحيوانات النشطة صفر ومتوسطة النشاط 40% ايه اسباب والعالج وهل...,ان كانت الحركه صفر...فالحمل لن يحدث الا بعد العلاج والذي ربما يستمر الى اكثر من ثلاثة شهور,أمراض المسالك البولية والتناسلية,C,,,3,3,-32.988413,1,5,0,different clinical scenario,,user_human_review_20260723,human_confirmed,Validated and confirmed after Step 11 replay review.
partial_only_fts_v1,evalv1_022,ماسبب خروج دم قليل جدا في فترات نادره مع المخاط والبلغم. ?,symptoms,cause_request,all_three_variants,,fts_variant_C_full_query,البلغم,ahdqa_0739741,739741,ما هو سبب خروج دم قليل مع البراز مع العلم انه لا يوجد امساك مصاحب لألم في البطن ؟,"هل الدم في بداية البراز ام في نهايته؟
وهل لونه احمر صافي؟
وهل يوجد مخاط مع البراز؟
راجع موقع الطبي للتعرف على الدم المصاحب للبراز
اذ انه يوجد امراض كثيره تسبب ذلك",أمراض المسالك البولية والتناسلية,A,4,,,4,-20.875219,1,10,0,wrong anatomy,,user_human_review_20260723,human_confirmed,Validated and confirmed after Step 11 replay review.
partial_only_fts_v1,evalv1_022,ماسبب خروج دم قليل جدا في فترات نادره مع المخاط والبلغم. ?,symptoms,cause_request,all_three_variants,,fts_variant_C_full_query,البلغم,ahdqa_0242038,242038,أعاني من السعال الشديد مع خروج المخاط والبلغم مع الم في الصدر واختناق وعدم القدره على التنفس,"ببسبب الالتهاب والنزلات و الرشح او اصابة الجهاز الهضمي ’ والنوم على الجنب ’ القلق او التوتر طول الجلوس او النوم , يحفز الإنسان لحماية نفسه من الموقف فيحدث زيادة الادرنالين) وهي التي تؤدي إلى زيادة الافرازات، وغيره من الاعراض , هذه عملية فسيولوجية , والعلاج تغيير وضعية النوم , و علاج السبب ,سلامات",أنف، أذن وحنجرة,C,,,4,4,-31.426928,1,8,0,unsupported recommendation,,user_human_review_20260723,human_confirmed,Validated and confirmed after Step 11 replay review.
partial_only_fts_v1,evalv1_023,السلام عليكم فحصة السكر بعد الاكل فوجدة 112 هل هو عادي جزاكم الله كل خير,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0081195,81195,"قمت باجراء ٣ فحوصات للسكر بنفس اليوم
فحص السكر الصايم لمدة ٨ ساعات صيام النتيجة 109
فحص السكر بعد الاكل بساعتين بالضبط وجبة رئيسية تحتوي على تمرة وارز وسمك وعصير...",السؤال غير واضح . هل أنت مريض سكري أم لا . إذا كنت مريض سكري يجب ذكر أدويتك . وإن كنت غير مصاب فلماذا تعمل هذه التحاليل . ونتيجة تحليل السكر التراكمي غير واضحة,أمراض الغدد الصماء,A|B,7,6,,6,-24.545924,2,6,1,missing key constraint,,user_human_review_20260723,human_confirmed,Validated and confirmed after Step 11 replay review.
partial_only_fts_v1,evalv1_024,اشعر بخدر في قدمي اليسري واكنها مش موجوده او اكن اعصابي في قدمي اليسري فكه خالص فما السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0075102,75102,"اعاني من خدر او ثقل في قدمي ويدي اليسرى ووخز في الرأس و دوخة اجريت تصوير رنين مغناطيسي للرقبة و اسفل الظهر كانت نتائج سليمة
هل ممكن ان يكون تصلب...",الأسباب كثيره ومتنوعه عليك مراجعة طبيب أعصاب للفحص السريري لإجراء اللازم او لتوجيهك للتخصص المعني,أمراض العضلات والعظام و المفاصل,C,,,3,3,-26.930079,1,7,1,missing key constraint,,user_human_review_20260723,human_confirmed,Validated and confirmed after Step 11 replay review.
partial_only_fts_v1,evalv1_024,اشعر بخدر في قدمي اليسري واكنها مش موجوده او اكن اعصابي في قدمي اليسري فكه خالص فما السبب,causes_safety,cause_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0793923,793923,لماذا اعاني من تنميل وخدر في بعض الاحيان في يدي اليمنى واليسرى يصل الى ساقي واصابع القدم مع ألم ضاغط في اعلى المرفق يمتد الى كامل اليد اليسرى تقريبا ،...,"يذهب البعض إلى الطبيب ويشكو له احس يدي مخدره كما يشعر بذلك أيضاً في القدمين. تتعد الأسباب وراء ذلك بعضها قد يكون غير مقلق والآخر قد يدل على وجود مشكلة صحية ما. ينشأ الخدر إما بسبب وجود ضغط على الأعصاب أو تلفها وهذا ما يسمى بالاعتلال العصبي المحيطي، عادة ما يرافق الخدر أعراض أخرى مثل: الألم، والحكة، والوخز، وهزل العضلات.
من أهم أسباب خدر اليدين والقدمين ما يلي: 

مرض السكري عادة ما تبدأ الأعراض في كلتا القدمين ثم تصعد إلى الساقين، بعدها تبدأ في كلتا اليدين وترتفع إلى الذراعين.
متلازمات انحباس العصب، والتي تشمل على ما يلي: متلازمة النفق الرسغي ، وشلل العصب الزندي، وشلل العصب الشظوي، وشلل العصب الكعبري.
وجود مشاكل صحية في أعضاء الجسم المختلفة، مثل: اضطرابات الكلى، وأمراض الكبد، وتلف الأوعية الدموية، وأمراض الدم، اضطرابات النسيج الضام، والالتهابات المزمنة، والاختلالات الهرمونية، والسرطانات والأورام الحميدة التي تؤثر على الأعصاب وغيرها من المشاكل. 
نقص الفيتامينات التالية:فيتامين هـ، ب1، ب3، ب6، ب12. 
الإدمان على الكحول.
تناول بعض الأطعمة الملوثة بالعناصر الكيميائية الملوثة -كالأكل البحري- مثل: الرصاص، والزرنيخ، والزئبق، والثاليوم، وبعض المواد الكيميائية الصناعية والبيئية.
العلاج الكيماوي والإشعاعي.

ينصح بمراجعة الطبيب لمعرفة السبب وراء احس يدي مخدره وعلاجها. كما يجب على الشخص بمراجعة الطبيب على الفور في حال ظهور ما يلي مع الخدر:

التعرض لإصابة في الظهر، أو الرقبة، أو الرأس.
عدم القدرة على المشي أو الحركة.
فقدان الوعي ولو لمدة قصيرة.
صعوبة التركيز والشعور بالارتباك.
التكلم بطريقة غير واضحة. 
تشويش الرؤية.
ضعف عام في الجسم.
وجود ألم شديد.
فقدان السيطرة على الأمعاء أو المثانة.

للمزيد:

تنميل اصابع اليدين
الام الرقبة والكتف",الأمراض العصبية,B,,4,,4,-7.57678,1,12,2,,,user_human_review_20260723,human_confirmed,Validated and confirmed after Step 11 replay review.
partial_only_fts_v1,evalv1_058,قمت بإجراء تحليل دم لمعرفة هل أنا مصابة بالأنميا أو لا وخرج في التحليل lymphocytes كان مرتفع شوي 45.5% . ماذا يعني هذا؟,tests_diagnosis,test_request,all_three_variants,,fts_variant_C_full_query,,ahdqa_0209353,209353,"السلام عليكم
قمت بفحص تحليل lymphocytes وطلع مرتفع ٤٫٢ فهل يشكل خطر
مع العلم اني اخذ حبوب زنك ٥٠ يوميا",لا يشكل خطر إن شاء الله والزنك ليس له علاقة بإرتفاع الـ lymphocytes,الطب العام,C,,,3,3,-36.640741,1,11,1,missing key constraint,,user_human_review_20260723,human_confirmed,Validated and confirmed after Step 11 replay review.
