query_id,targeted_candidates_available,ordinary_context_items,ordinary_has_strong_direct_evidence,expansion_triggered,new_candidates_added,final_step11_state,final_step11_evidence_count
evalv1_001,12,1,False,True,10,strong_direct_context,6
evalv1_002,12,2,False,True,11,partial_context,5
evalv1_003,0,6,True,False,0,strong_direct_context,6
evalv1_004,10,6,False,True,9,partial_context,6
evalv1_005,0,1,False,False,0,partial_context,1
evalv1_006,12,1,False,True,12,partial_context,1
evalv1_007,0,0,False,False,0,insufficient_context,0
evalv1_008,12,0,False,False,0,insufficient_context,0
evalv1_009,0,3,True,False,0,strong_direct_context,3
evalv1_010,0,2,False,False,0,partial_context,2
evalv1_011,9,2,False,True,8,partial_context,5
evalv1_012,0,0,False,False,0,insufficient_context,0
evalv1_013,0,1,False,False,0,partial_context,1
evalv1_014,10,1,False,True,7,partial_context,1
evalv1_015,12,0,False,False,0,insufficient_context,0
evalv1_016,0,1,False,False,0,partial_context,1
evalv1_017,10,2,False,True,8,partial_context,4
evalv1_018,0,4,False,False,0,partial_context,4
evalv1_019,0,0,False,False,0,insufficient_context,0
evalv1_020,0,3,False,False,0,partial_context,3
evalv1_021,10,0,False,False,0,insufficient_context,0
evalv1_022,12,4,False,True,10,partial_context,6
evalv1_023,12,4,True,False,0,strong_direct_context,4
evalv1_024,12,1,False,True,12,partial_context,6
evalv1_025,9,0,False,False,0,insufficient_context,0
evalv1_026,0,2,False,False,0,partial_context,2
evalv1_027,0,1,False,False,0,partial_context,1
evalv1_028,0,0,False,False,0,insufficient_context,0
evalv1_029,0,3,False,False,0,partial_context,3
evalv1_030,12,0,False,False,0,insufficient_context,0
evalv1_031,0,1,False,False,0,partial_context,1
evalv1_032,0,0,False,False,0,insufficient_context,0
evalv1_033,12,2,False,True,11,partial_context,3
evalv1_034,12,3,False,True,10,partial_context,6
evalv1_035,0,0,False,False,0,insufficient_context,0
evalv1_036,12,2,False,True,11,partial_context,4
evalv1_037,0,0,False,False,0,insufficient_context,0
evalv1_038,0,4,False,False,0,partial_context,4
evalv1_039,0,5,True,False,0,strong_direct_context,5
evalv1_040,0,0,False,False,0,insufficient_context,0
evalv1_041,0,0,False,False,0,insufficient_context,0
evalv1_042,0,2,False,False,0,partial_context,2
evalv1_043,12,0,False,False,0,insufficient_context,0
evalv1_044,12,4,False,True,9,partial_context,6
evalv1_045,0,0,False,False,0,insufficient_context,0
evalv1_046,12,6,True,False,0,strong_direct_context,6
evalv1_047,0,1,False,False,0,partial_context,1
evalv1_048,0,6,True,False,0,strong_direct_context,6
evalv1_049,12,1,False,True,11,partial_context,1
evalv1_050,0,6,True,False,0,strong_direct_context,6
evalv1_051,0,6,False,False,0,partial_context,6
evalv1_052,9,6,False,True,6,partial_context,6
evalv1_053,12,3,False,True,9,partial_context,3
evalv1_054,12,0,False,False,0,insufficient_context,0
evalv1_055,12,1,False,True,12,partial_context,6
evalv1_056,12,6,False,True,12,partial_context,6
evalv1_057,12,0,False,False,0,insufficient_context,0
evalv1_058,12,4,False,True,11,partial_context,5
evalv1_059,0,0,False,False,0,insufficient_context,0
evalv1_060,0,6,False,False,0,partial_context,6
evalv1_061,12,0,False,False,0,insufficient_context,0
evalv1_062,12,4,False,True,10,partial_context,4
evalv1_063,12,0,False,False,0,insufficient_context,0
evalv1_064,0,6,False,False,0,partial_context,6
evalv1_065,0,6,False,False,0,partial_context,6
evalv1_066,0,6,False,False,0,partial_context,6
evalv1_067,10,6,False,True,7,partial_context,6
evalv1_068,0,1,False,False,0,partial_context,1
evalv1_069,8,3,False,True,6,partial_context,3
evalv1_070,0,6,False,False,0,partial_context,6
evalv1_071,0,6,False,False,0,partial_context,6
evalv1_072,7,0,False,False,0,insufficient_context,0
evalv1_073,0,2,False,False,0,partial_context,2
evalv1_074,0,1,False,False,0,partial_context,1
evalv1_075,0,6,True,False,0,strong_direct_context,6
evalv1_076,0,0,False,False,0,insufficient_context,0
evalv1_077,0,5,False,False,0,partial_context,5
evalv1_078,0,1,False,False,0,partial_context,1
evalv1_079,0,6,False,False,0,partial_context,6
evalv1_080,12,0,False,False,0,insufficient_context,0
evalv1_081,7,6,False,True,4,partial_context,6
evalv1_082,0,6,False,False,0,partial_context,6
evalv1_083,0,5,False,False,0,partial_context,5
evalv1_084,0,6,True,False,0,strong_direct_context,6
evalv1_085,0,0,False,False,0,insufficient_context,0
evalv1_086,0,5,False,False,0,partial_context,5
evalv1_087,8,0,False,False,0,insufficient_context,0
evalv1_088,0,6,False,False,0,partial_context,6
evalv1_089,0,6,False,False,0,partial_context,6
evalv1_090,0,4,True,False,0,strong_direct_context,4
evalv1_091,0,1,True,False,0,strong_direct_context,1
evalv1_092,0,0,False,False,0,insufficient_context,0
evalv1_093,10,2,False,True,5,partial_context,2
evalv1_094,12,6,False,True,9,partial_context,6
evalv1_095,12,0,False,False,0,insufficient_context,0
evalv1_096,6,2,False,True,2,partial_context,2
evalv1_097,0,0,False,False,0,insufficient_context,0
evalv1_098,0,6,False,False,0,partial_context,6
evalv1_099,12,3,False,True,9,partial_context,3
evalv1_100,12,0,False,False,0,insufficient_context,0
