query_id,query,claim_id,claim_rank,claim_ar,answer_ar,citations,source_qa_ids,used_relations,support_status_hint,extraction_source
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,trial_query_076_claim_01,1,تجنب المنتجات التي تحتوي على الجلوتين قد يساعد في تحسين الحساسية,الدليل المتاح يشير إلى أن تجنب المنتجات التي تحتوي على الجلوتين [E1] وتناول مضادات الهيستامين مثل تيليفاست [E4] قد تكون خيارات علاجية لتحسين الحساسية. ومع ذلك، لا توجد أدلة كافية لتحديد علاج البلغم المزمن رغم تناول هلاج. يُنصح بالتشاور مع طبيب مختص لتقييم الحالة وتحديد خطة علاج مخصصة.,"[""E1""]","[""ahd5k_00812""]","[""حساسية --TREATED_BY--> تجنب المنتجات التي تحوي جلوتين"", ""حساسية --TREATED_BY--> تيليفاست""]",supported,structured_llm_claims
trial_query_076,ما علاج البلغم (حساسية الصدر) رغم اخذى هلاج اكثر من مرة ولا فائدة ؟ هل امتنع عن طعام معين يزيد البلغم وانا غير مدخن واخذ علاج للضغط والكوليسترول عمرى 55...,trial_query_076_claim_02,2,مضادات الهيستامين مثل تيليفاست قد تكون مفيدة في الحساسية,الدليل المتاح يشير إلى أن تجنب المنتجات التي تحتوي على الجلوتين [E1] وتناول مضادات الهيستامين مثل تيليفاست [E4] قد تكون خيارات علاجية لتحسين الحساسية. ومع ذلك، لا توجد أدلة كافية لتحديد علاج البلغم المزمن رغم تناول هلاج. يُنصح بالتشاور مع طبيب مختص لتقييم الحالة وتحديد خطة علاج مخصصة.,"[""E4""]","[""ahd5k_02470""]","[""حساسية --TREATED_BY--> تجنب المنتجات التي تحوي جلوتين"", ""حساسية --TREATED_BY--> تيليفاست""]",supported,structured_llm_claims
trial_query_078,ماالعلاج الاسعافي لأنخفاض السكر مع فقدان الوعي,trial_query_078_claim_01,1,يُنصح بإعطاء المصاب عسلًا تحت لسانه في حالة انخفاض السكر مع فقدان الوعي,في حالة انخفاض السكر مع فقدان الوعي، يُنصح بإعطاء المصاب عسلًا تحت لسانه ليمضغه [E3]. هذا الإجراء يُستخدم كعلاج إسعافي بناءً على الأدلة المتوفرة.,"[""E3""]","[""ahd5k_00992""]","[""فقدان الوعي --TREATED_BY--> عسل""]",supported,structured_llm_claims
trial_query_079,هل الاشعة المقطعيه بالصبغه للقلب تسبب انتفاخ اسفل الوجه او انتفاخ الغده هل هو طبيعي,trial_query_079_claim_01,1,الأشعة المقطعية بالصبغة تُستخدم لفحص الأعراض مثل الانتفاخ، لكن تفسير النتائج يتطلب تحليل تقرير الأشعة,لا توجد أدلة كافية في السياق المقدم لتقييم ما إذا كانت الأشعة المقطعية بالصبغة للقلب تسبب انتفاخًا أسفل الوجه أو الغدة الدرقية. يُنصح بمراجعة تقرير الأشعة وتحليل النتائج مع طبيب مختص [E1][E3].,"[""E1"", ""E3""]","[""ahd5k_01537"", ""ahd5k_01537""]","[""انتفاخ --INVESTIGATED_BY--> اشعة"", ""اشعة --INVESTIGATES--> انتفاخ""]",supported,structured_llm_claims
trial_query_080,السلام عليكم..ماهو العلاج المناسب لتقليل نسبة الاملاح في الدم النسبة الحالية عندي هي (7.9) عمري 44 سنة /ذكر؟,trial_query_080_claim_01,1,يجب إجراء الفحص السريري والتحاليل المخبرية لتحديد السبب الجذري قبل تحديد العلاج,لا توجد أدلة كافية في المعلومات المقدمة لتقييم العلاج المناسب لتقليل نسبة الأملاح في الدم (7.9). يُنصح بالاستعانة بخبير طبي لتحديد السبب الجذري والعلاج الملائم بناءً على الفحص السريري والتحاليل المخبرية [E1].,"[""E1""]","[""ahd5k_04490""]","[""العلاج --HAS_SYMPTOM--> النسبة"", ""النسبة --INVESTIGATED_BY--> تصوير الجهاز البولي""]",insufficient,structured_llm_claims
trial_query_081,السلام عليكم أنا أشعر ببرودة رأسي -وغذا اصبح ملمس رأسي بارد جاني صداع لايزول بالمسكنات- ذهبت لأفضل أخصائي أنف وأذن وحنجرة قال هذا المرض ماله علاج !! ماهي التحاليل الأزمة...,trial_query_081_claim_01,1,الصداع قد يكون أحد أعراض التهاب السحايا أو التهاب الجيوب الأنفية أو الصداع التوتري,بناءً على الأدلة المتوفرة، يُمكن أن يكون الصداع المصحوب ببرودة الرأس مرتبطًا بحالات مثل التهاب السحايا أو التهاب الجيوب الأنفية أو الصداع التوتري [E1][E2][E3]. يُنصح بالكشف الطبي المعمق لتحديد السبب الدقيق، حيث لم تُذكر في الأدلة تحاليل محددة. يُفضل استشارة طبيب مختص لإجراء الفحوصات المطلوبة.,"[""E1"", ""E2"", ""E3""]","[""ahd5k_02662"", ""ahd5k_02662"", ""ahd5k_02662""]","[""التهاب السحايا --HAS_SYMPTOM--> صداع"", ""صداع --SYMPTOM_OF--> التهاب السحايا"", ""التهاب الجيوب الأنفية --HAS_SYMPTOM--> صداع""]",supported,structured_llm_claims
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,trial_query_082_claim_01,1,يمكن استخدام ايزومبرازول 40 مجم يومياً لمدة 3 شهور لعلاج القرحة بدون نزيف,إذا كانت القرحة مؤكدة بدون نزيف، يمكن تجربة دواء ايزومبرازول 40 مجم يومياً لمدة 3 شهور [E1]. إذا لم يحدث تحسن، يجب الذهاب إلى المستشفى [E1]. يُنصح بالاستعانة بclinician لتأكيد التشخيص وتحديد الخطوات التالية.,"[""E1"", ""E3""]","[""ahd5k_01066"", ""ahd5k_01066""]","[""قرحة --TREATED_BY--> ايزومبرازول"", ""ايزومبرازول --TREATS--> قرحة""]",supported,structured_llm_claims
trial_query_082,مامتي جدا تعبانه من القرحة من غير النزيف المستمر والان هي لا تتناول الاطعمة بسبب الغثيان ...ارجو مساعدتي ..وهي لا تريد المستشفی,trial_query_082_claim_02,2,عدم تحسن الحالة خلال العلاج يتطلب الذهاب إلى المستشفى,إذا كانت القرحة مؤكدة بدون نزيف، يمكن تجربة دواء ايزومبرازول 40 مجم يومياً لمدة 3 شهور [E1]. إذا لم يحدث تحسن، يجب الذهاب إلى المستشفى [E1]. يُنصح بالاستعانة بclinician لتأكيد التشخيص وتحديد الخطوات التالية.,"[""E1"", ""E3""]","[""ahd5k_01066"", ""ahd5k_01066""]","[""قرحة --TREATED_BY--> ايزومبرازول"", ""ايزومبرازول --TREATS--> قرحة""]",supported,structured_llm_claims
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,trial_query_084_claim_01,1,الحرقة في المهبل تشير إلى وجود التهابات نسائية,الحرقة في المهبل التي تشعر بها زوجتك مرتبطة بالتهابات نسائية [E1]، ولا يوجد تأثير على الجنين [E1]. العلاقة بين الاتصال الجنسي والحرقة غير مذكورة في الأدلة المتوفرة.,"[""E1"", ""E2""]","[""ahd5k_01099"", ""ahd5k_01099""]","[""التهاب --HAS_SYMPTOM--> حرقه"", ""حرقه --SYMPTOM_OF--> التهاب""]",supported,structured_llm_claims
trial_query_084,زوجتي حامل ومنذ بداية حملها لم اتوقف عن الاتصال معهاابدا ..فهل ذلك له علاقه لما تشعر به من حرقه في المهبل...وهل ذلك له تأثير على الجنين....,trial_query_084_claim_02,2,لا يوجد تأثير على الجنين من الحرقة الناتجة عن التهابات نسائية,الحرقة في المهبل التي تشعر بها زوجتك مرتبطة بالتهابات نسائية [E1]، ولا يوجد تأثير على الجنين [E1]. العلاقة بين الاتصال الجنسي والحرقة غير مذكورة في الأدلة المتوفرة.,"[""E1""]","[""ahd5k_01099""]","[""التهاب --HAS_SYMPTOM--> حرقه"", ""حرقه --SYMPTOM_OF--> التهاب""]",supported,structured_llm_claims
