query_id,query,candidate_answer,reference_answer,bertscore_precision,bertscore_recall,bertscore_f1
evalv1_001,هل يوجد علاج أكيد وفعال لرفع نسبه هرمون البروجستروأذا كان معدله صفر؟,بحسب الأدلة المسترجعة من قاعدة AHD، يمكن الإجابة كالتالي: للاسف اهم علاج تجنب المنتجات التي تحوي جلوتين [E1 | ahd5k_00812],لماذا تم اجراء هذا الفحص ؟ عادةً يتم اجراء فحوصات هرمونيه اخرى مع هذا الهرمون. هناك حبوب عديده تحتوي على عده انواع من البرجسترون وهي تُستعمل في حالات عديده ولكن ليس لدي علم عن حالتك اذا كان هناك فائده من استعمال هذه الهورمونات,0.636517,0.649961,0.643169
evalv1_002,عملت تحاليل و كل شيء و ماطلع شيء في سنة 2012 و الدوخة و الاغماء موجودين ماذا افعل ؟,الدوخة والإغماء قد تكون أعراضًا لارتفاع ضغط الدم. يُنصح بمراقبة ضغط الدم باستمرار ومراجعة الطبيب.,راجع اختصاصي باطنية عمل فحص شامل للدم والبول والبراز، وضغط الدم وما يلزم للمتابعة والتشخيص الدقيق.,0.705482,0.698947,0.702199
evalv1_003,ما هو الفحص الطبي ماذا يشمل؟,الفحص الطبي يشمل معرفة التاريخ المرضي وإجراء فحص سريري للكشف عن علامات سريرية تساعد في تحديد طبيعة الحالة. لا يُعد هذا بديلاً عن استشارة طبيب مختص.,الفحص الطبي هو استقصاء ناقد ومعاينة بهدف التشخيص.ويشمل جميع الوسائل التي تفيد في تحقيق الهدف، من الفحص السريري ثم المختبر والأشعة بأنواعها والفحوصات الخاصة لأمراض معينة مثل فحص الحمل والسكري وفحص الدم للسرطان وغيرها كثير،، يفيد مراجعتك للمفردات تحت بند التشخيص في مواضيع خاصة.,0.729117,0.694641,0.711462
evalv1_004,ماهي مسكنات الولاده الآمنه لمريضه مصابه بربو اوحساسيه بالصدر,بحسب الأدلة المسترجعة من قاعدة AHD، يمكن الإجابة كالتالي: اذا كنت مدخنا يجب الاقلاع عن التدخين نهائياً وقطعياً علما بأنك لا تدخن كما قلت لكن جلوسك في مكان فيه مدخنين يجعلك مدخناً ايضاً اذا كنت تعاني من التهاب ما في الجزء العلوي من الجهاز التنفسي يجب ان تتعالج يجب التأكد من ما تعانيه هل هو ربو ؟؟ او هل هناك حساسية ابسط من ذلك وعوارضها فقط السعال والبلغم يجب التأكد من ذلك وانصحك بان تطلب معاينة من اخصائي حساسية لكي يعطيك التشخيص النهائي وعندها الطريق الى العلاج يكون اسهل [E1 | ahd5k_00970],اذا ما تم استعمال هذه المسكنات في المستشفى وتحت اشراف طبي فلا خوف منها ان شاء الله اما المسكنات فهناك انواع منها على شكل ابر ومنها غاز يتم استنشاقه ومنها التخدير النصفي ( ابرة الظهر ) وسوف يقوم طبيبك بتحديد ما يناسبك ومناقشة الأمر معك,0.635753,0.678811,0.656577
evalv1_005,عندي ظعف في النظر اليسرى 7/10 واليمنى 10/10ولما زرت الطبيب قالي عندك حول لانو لما اكون بعيد ة الاشخاص مايظهرون لي خاصة من الوجه لا اعرف منهم غير لما احط...,بحسب الأدلة المسترجعة من قاعدة AHD، يمكن الإجابة كالتالي: من الواضح انكب تعانين من تكسر مزمن في الدم أدى لظهور الحصى في المرارة لذا أنصحكم بمراجعة طبيب اختصاص دم لمعرفة نوعية التكسر والتي على الأغلب ان يكون العامل الوراثي له دور كبير [E3 | ahd5k_01325],بسم الله الرحمن الرحيم هنا الرؤيا بالنظارة احسن . فلا ضير من استمرار لبس النظارة الطبية. في هذا العمر يعتبر النظر ثابت وما راح يضعف اكثر. تحتاجي لمراجعة عيادة العيون كل ستة شهور ويمكن عمل فحوصات للتأكد فيما اذا كنت قد تستفيدي من عملية تصحيح البصر والتخلص من النظارة الطبية .,0.664875,0.662806,0.663839
evalv1_006,السلام عليكم اني المريض عمري 22 اعاني من ارتفاع ضغط الدم وكذلك عندم انتظامه رغم اخذ الادوية والالتزام بالاكل الصحي قليل الملح،وعند اجراء تحليل الالدستيرون تبين وجود فرط نشاط للهرمون...,بحسب الأدلة المسترجعة من قاعدة AHD، يمكن الإجابة كالتالي: هذا يتطلب معرفة نسبة الضعف الموجود في العضلة القلبية ونسبة التضيق في الثلاثة شرايين المذكورة، كما أنه من الضروري معرفة الحالة الوظيفية لباقي أعضاء الجسم خاصة الكلى والجهاز التنفسي، والكبد وغيره، وفي جميع الأحوال في العادة تُعرض نتائج القثطرة على فريق طبي مُتخصص لتقييم كل هذه الأمور ومن ثم يتم اختيار الطريقة العلاجية التي تتناسب أكثر مع حالة المريض [E6 | ahd5k_04912],اذا لم يثبت سبب اخر لارتفاع الضغط .. فأن معالجة خلل الهرمونات بالمتابعة مع طبيب اخصائي دقيق غدد صماء ممكن يسهم باستقرار ضغط الدم لديك بصورة تامة مع تمنياتي بالشفاء العاجل,0.646488,0.683611,0.664531
evalv1_007,هل التهابات المهبليه عند الزوجه من الممكن ان تصيب الزوج بحرقان شديد فى العضو,"بحسب الأدلة المسترجعة من قاعدة AHD، يمكن الإجابة كالتالي: لشيب (الشعر الأبيض) ظهور الشيب عملية فسيولوجية تحدث عادة عند التقدم في العمر. وذلك عندما لا تستطيع الخلايا الملونة التي تفرز مادة الميلانين (والتي تعطي الشعرة اللون) الاستمرار في نشاطها، إذ تفقد الشعرة لونها وتصبح بيضاء وهذا ما يسمى ""بالشيب"". إن ظهور الشيب على شعر الرأس أو الوجه لا يعني مطلقاً التقدم بالسن فقد يظهر قبل البلوغ أو بعد ذلك نتيجة ظروف معينة. كما أن الاستعداد الشخصي والعوامل النفسية والوراثية لهما أثر مهم في ظهور الشيب المبكر. ويجب الإشارة بأن بعض حالات الشيب المبكر تكون مؤقتة، إذ قد تعاود الخلايا الملونة نشاطها مرة أخرى خاصة بعد زوال المؤثر وبالتالي يعود لون الشعر إلى وضعه العادي ويحدث هذا أحياناً في أمراض الحميات ومرض الثعلبة. أما إذا كان المؤثر على الخلايا الأم (الكيراتينوس... [E4 | ahd5k_04612]",نعم ، هناك بعض الالتهاب تنتقل من الزوجة الى الزوج ، يفضل عمل فحص بول و زراعة و معالجتين الزوج و الزوجه معا .,0.609288,0.666231,0.636489
evalv1_008,لدي إنتفاخ بشكب غير معقول و كأن بطني سينفجر من الإنتفاخ أخشى أن يكون لدي مرض خطير أو تضخم بالكبد أرجو أن تفيدوني ما هي التحاليل اللازمة لأتأكد أنه لا...,بحسب الأدلة المسترجعة من قاعدة AHD، يمكن الإجابة كالتالي: هذا فالغالب شيء وراثي يعتمد على الجينات، يستحسن زيارة اختصاصي الأمراض الوراثية وبحث الموضوع معه. [E5 | ahd5k_00647],اخي الكريم يكفي ان يراك طبيب ويفحص بطنك لكي يعلم ما اذا كان هذا هو سمنة او انتفاخ او تضخم لأي عضو داخل البطن او هو استسقاء,0.612622,0.631067,0.621708
evalv1_009,اريد ان اعرف البكتيريا التي تسبب الاسهال؟,بحسب الأدلة المسترجعة من قاعدة AHD، يمكن الإجابة كالتالي: لم تذكر خصائص ضيق النفس، لكن الفحص الطبي السريري ضروري كونه يسمح بالتأكد من خصائص الأعراض المذكورة والعلامات التي قد يجدها الطبيب عند الفحص، لأن الأسباب كثيرة تنفسية وقلبية ودموية ووعائية وغير ذلك [E2 | ahd5k_00010],كثيرة هي الجراثيم التي تسبب الإسهال وتسبب أشكال مختلفة من التهابات المعدة والأمعاء ، وبعضه تخترق أنسجة الأمعاء وتنتشر في الدم والجهاز اللمفي والأجهزة الداخلية مسببة مجموعة من الأمراض الهامة وأهم الأنواع هي: الإشريكية القولونية والكلبسيللا والمتحولات والسالمونيللا، والشيغيللا والكوليرا واليرسينيا وغيرها.,0.65093,0.670398,0.660521
evalv1_010,كيف اجعل شعري يعود كثيفا وطويلا من جديد انا متزوجة,بحسب الأدلة المسترجعة من قاعدة AHD، يمكن الإجابة كالتالي: يستخرج زيت الحنظل من نبات الحنظل الصحراوي، ويعتقد أنه يساهم بالفعل في علاج بعض اضطرابات المفاصل وألم المفاصل، ومن فوائد زيت الحنظل للمفاصل أبين لك الآتي: الحد من التهاب المفاصل التخفيف من ألم المفاصل خفض سرعة تطور الأمراض المزمنة التي تؤدي إلى تلف المفاصل زيادة معدل حركة المفصل الوقاية من بعض أمراض المفاصل أما حول طريقة استخدام الحنظل لعلاج المفاصل فتتم على النحو الآتي: تطبيق زيت الحنظل على المنطقة المصابة 2-3 مرات يوميًا تدليك المنطقة حتى يتم امتصاص الزيت عبر الجلد التوقف المباشر عن استخدام زيت الحنظل في حا لا توجد أدلة كافية في السياق المسترجع لدعم: [E1 | ahd5k_04473].,تساقط الشعر وكثافته يعتمد على عامل وراثي ، والامراض الوراثية للان لم يتم اكتشاف علاج لها ولكن هناك بعض الادوية تستعمل لفترة طويلة وبحاجة الى صبر تساعد على نمو الشعر وتأخير تساقطه مثل Z-span كبسولة يوميا ودواء سنتروم كبسولة يوميا ، ودهن الرأس بمحلول مينيكسوديل 2%مرة يوميا وتناول اطعمة متوازنة تحتوي على فيتامين ب12 وفيتامين ج وفيتامين إي,0.624292,0.641318,0.632691
